datetime,time,open,high,low,close,tick_volume,spread,real_volume
2016-10-28 10:00:00,1477648800,19.1,19.4,19.1,19.4,1000,1,32277
2016-10-28 10:30:00,1477650600,19.44,19.6,19.03,19.6,43,1,1391
2016-10-28 11:00:00,1477652400,19.51,19.53,19.5,19.51,31,1,1067
2016-10-28 11:30:00,1477654200,19.52,19.79,19.5,19.7,14,1,465
2016-10-28 12:00:00,1477656000,19.7,19.7,19.51,19.54,11,1,327
2016-10-28 12:30:00,1477657800,19.54,19.55,19.5,19.5,178,1,5729
2016-10-28 13:00:00,1477659600,19.5,19.5,19.32,19.5,74,1,2042
2016-10-28 13:30:00,1477661400,19.5,19.51,19.41,19.5,21,1,599
2016-10-28 14:00:00,1477663200,19.5,19.54,19.3,19.5,15,1,548
2016-10-28 14:30:00,1477665000,19.39,19.39,19.3,19.3,58,1,1833
2016-10-28 15:00:00,1477666800,19.31,19.35,19.0,19.08,49,1,1454
2016-10-28 15:30:00,1477668600,19.08,19.1,18.8,19.1,380,1,12752
2016-10-28 16:00:00,1477670400,18.99,19.13,18.92,19.08,37,1,1386
2016-10-28 16:30:00,1477672200,19.08,19.2,19.08,19.15,21,1,637
2016-10-28 17:00:00,1477674000,19.13,19.23,18.93,19.2,38,1,1449
2016-10-28 17:30:00,1477675800,19.18,19.23,19.14,19.19,45,1,1322
2016-10-28 18:00:00,1477677600,18.96,18.96,18.96,18.96,28,0,640
2016-10-31 10:00:00,1477908000,18.91,19.15,18.91,19.08,9,1,230
2016-10-31 10:30:00,1477909800,19.14,19.14,19.05,19.06,5,1,122
2016-10-31 11:00:00,1477911600,19.11,19.2,19.08,19.08,5,1,127
2016-10-31 11:30:00,1477913400,18.92,18.92,18.81,18.81,6,1,246
2016-10-31 12:00:00,1477915200,18.75,18.75,18.52,18.68,12,1,519
2016-10-31 12:30:00,1477917000,18.65,18.7,18.65,18.7,2,1,79
2016-10-31 13:00:00,1477918800,18.7,18.7,18.61,18.61,7,1,285
2016-10-31 13:30:00,1477920600,18.63,18.63,18.5,18.5,7,1,138
2016-10-31 14:00:00,1477922400,18.4,18.43,18.4,18.43,3,1,188
2016-10-31 14:30:00,1477924200,18.39,18.39,18.39,18.39,1,1,44
2016-10-31 15:00:00,1477926000,18.25,18.3,17.71,17.95,9,1,326
2016-10-31 15:30:00,1477927800,17.97,18.0,17.65,18.0,11,1,392
2016-10-31 16:00:00,1477929600,17.96,17.96,17.6,17.72,14,1,387
2016-10-31 16:30:00,1477931400,17.82,17.93,17.82,17.93,4,1,166
2016-10-31 17:00:00,1477933200,17.93,17.93,17.83,17.86,4,1,246
2016-10-31 17:30:00,1477935000,17.88,17.99,17.88,17.99,19,1,847
2016-10-31 18:00:00,1477936800,17.73,17.73,17.73,17.73,2,0,42
2016-11-01 10:00:00,1477994400,17.8,18.0,17.8,17.99,6,1,194
