datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-09-26 11:00:00,1190804400,13.69,13.69,13.69,13.69,1,0,1
2007-09-26 16:30:00,1190824200,12.62,13.18,12.62,13.18,5,0,100
2007-09-27 10:00:00,1190887200,13.4,13.4,13.4,13.4,4,0,100
2007-09-27 10:30:00,1190889000,13.4,13.4,13.4,13.4,2,0,34
2007-09-27 11:00:00,1190890800,13.59,13.59,13.59,13.59,1,0,48
2007-09-27 12:00:00,1190894400,13.58,13.69,13.58,13.69,4,0,100
2007-09-27 12:30:00,1190896200,13.68,13.68,13.68,13.68,1,0,10
2007-09-27 13:30:00,1190899800,13.59,13.59,13.59,13.59,1,0,6
2007-09-27 14:00:00,1190901600,13.31,13.31,13.31,13.31,2,0,70
2007-09-27 14:30:00,1190903400,13.52,13.59,13.12,13.12,11,0,273
2007-09-27 15:00:00,1190905200,13.59,13.59,13.59,13.59,4,0,65
2007-09-28 15:00:00,1190991600,13.4,13.5,13.4,13.5,2,0,85
2007-09-28 15:30:00,1190993400,12.64,13.59,12.64,13.59,4,0,67
2007-10-01 10:00:00,1191232800,13.2,13.59,13.2,13.59,3,0,100
2007-10-01 10:30:00,1191234600,13.54,13.69,13.54,13.59,25,0,755
2007-10-01 11:00:00,1191236400,13.59,13.59,13.4,13.59,6,0,181
2007-10-01 11:30:00,1191238200,13.59,13.69,13.59,13.64,11,0,246
2007-10-01 12:00:00,1191240000,12.64,13.69,12.64,13.64,5,0,93
2007-10-01 12:30:00,1191241800,13.59,13.64,13.59,13.64,2,0,24
2007-10-01 13:00:00,1191243600,13.64,14.08,13.59,14.08,28,0,742
2007-10-01 13:30:00,1191245400,13.77,13.88,13.77,13.84,6,0,147
2007-10-01 14:00:00,1191247200,13.79,13.79,13.79,13.79,2,0,112
2007-10-01 14:30:00,1191249000,13.84,13.84,13.79,13.79,3,0,98
2007-10-01 15:00:00,1191250800,13.74,13.86,12.92,12.92,7,0,158
2007-10-01 15:30:00,1191252600,13.63,13.63,13.63,13.63,3,0,95
2007-10-01 16:00:00,1191254400,13.59,13.59,13.59,13.59,2,0,57
2007-10-01 16:30:00,1191256200,13.2,13.59,12.63,12.63,3,0,42
2007-10-02 14:30:00,1191335400,12.79,12.79,12.72,12.72,3,0,64
2007-10-02 15:00:00,1191337200,12.72,13.53,12.72,13.53,4,0,117
2007-10-03 15:30:00,1191425400,13.11,13.11,13.11,13.11,1,0,6
