datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-11-11 10:00:00,1605088800,5.6,5.98,5.6,5.83,596,0,13663
2020-11-11 10:30:00,1605090600,5.83,6.41,5.82,6.39,996,1,21196
2020-11-11 11:00:00,1605092400,6.39,6.44,6.24,6.29,776,1,16987
2020-11-11 11:30:00,1605094200,6.29,6.31,6.15,6.3,568,1,10383
2020-11-11 12:00:00,1605096000,6.3,6.36,6.27,6.35,283,1,5843
2020-11-11 12:30:00,1605097800,6.34,6.45,6.29,6.42,304,1,5661
2020-11-11 13:00:00,1605099600,6.41,6.76,6.4,6.64,390,1,8441
2020-11-11 13:30:00,1605101400,6.68,6.6899999999999995,6.54,6.65,304,1,6253
2020-11-11 14:00:00,1605103200,6.64,6.64,6.55,6.6,239,1,4634
2020-11-11 14:30:00,1605105000,6.61,6.63,6.6,6.63,202,1,4235
2020-11-11 15:00:00,1605106800,6.63,6.71,6.5,6.5,292,1,5919
2020-11-11 15:30:00,1605108600,6.5,6.63,6.43,6.49,248,1,4490
2020-11-11 16:00:00,1605110400,6.48,6.48,6.33,6.44,282,1,4851
2020-11-11 16:30:00,1605112200,6.44,6.61,6.43,6.52,236,1,4701
2020-11-11 17:00:00,1605114000,6.53,6.57,6.4,6.49,139,1,3000
2020-11-11 17:30:00,1605115800,6.49,6.57,6.47,6.5600000000000005,115,1,1619
2020-11-11 18:00:00,1605117600,6.54,6.54,6.54,6.54,30,0,546
2020-11-12 10:00:00,1605175200,6.99,7.09,6.73,7.01,1486,0,31388
2020-11-12 10:30:00,1605177000,7.02,7.07,6.92,6.9399999999999995,1117,1,24464
2020-11-12 11:00:00,1605178800,6.9399999999999995,7.0,6.65,6.65,964,1,18230
2020-11-12 11:30:00,1605180600,6.65,6.68,6.55,6.64,431,1,7992
2020-11-12 12:00:00,1605182400,6.64,6.7,6.55,6.55,456,1,8109
2020-11-12 12:30:00,1605184200,6.5600000000000005,6.5600000000000005,6.37,6.37,759,1,12555
2020-11-12 13:00:00,1605186000,6.37,6.41,6.16,6.33,366,1,6749
2020-11-12 13:30:00,1605187800,6.34,6.34,6.2,6.27,287,1,5115
2020-11-12 14:00:00,1605189600,6.27,6.29,6.15,6.19,394,1,7688
2020-11-12 14:30:00,1605191400,6.2,6.22,6.18,6.21,137,1,2315
2020-11-12 15:00:00,1605193200,6.21,6.32,6.19,6.2,224,1,4624
2020-11-12 15:30:00,1605195000,6.22,6.22,6.19,6.21,149,1,2426
2020-11-12 16:00:00,1605196800,6.21,6.25,6.09,6.09,421,1,7179
2020-11-12 16:30:00,1605198600,6.09,6.19,6.05,6.14,211,1,3350
2020-11-12 17:00:00,1605200400,6.14,6.17,6.07,6.09,181,1,2971
2020-11-12 17:30:00,1605202200,6.09,6.17,6.06,6.14,144,1,3420
2020-11-12 18:00:00,1605204000,6.15,6.15,6.15,6.15,16,0,399
2020-11-13 10:00:00,1605261600,6.17,6.34,6.17,6.3,271,0,5200
2020-11-13 10:30:00,1605263400,6.3,6.3,6.2,6.24,236,1,4004
2020-11-13 11:00:00,1605265200,6.24,6.28,6.21,6.26,183,1,3334
2020-11-13 11:30:00,1605267000,6.27,6.46,6.26,6.45,185,1,3246
2020-11-13 12:00:00,1605268800,6.43,6.46,6.32,6.32,193,1,3449
2020-11-13 12:30:00,1605270600,6.34,6.37,6.21,6.25,179,1,3834
2020-11-13 13:00:00,1605272400,6.25,6.32,6.24,6.3,108,1,1935
2020-11-13 13:30:00,1605274200,6.3,6.35,6.29,6.35,96,1,1495
2020-11-13 14:00:00,1605276000,6.33,6.37,6.3,6.31,84,1,1442
2020-11-13 14:30:00,1605277800,6.31,6.33,6.31,6.33,66,1,1352
2020-11-13 15:00:00,1605279600,6.33,6.36,6.31,6.36,41,1,785
2020-11-13 15:30:00,1605281400,6.36,6.39,6.3,6.3,137,1,2256
2020-11-13 16:00:00,1605283200,6.3,6.33,6.26,6.31,89,1,1539
2020-11-13 16:30:00,1605285000,6.31,6.38,6.3,6.33,69,1,1132
2020-11-13 17:00:00,1605286800,6.33,6.34,6.3,6.34,92,1,1689
2020-11-13 17:30:00,1605288600,6.35,6.47,6.35,6.47,99,1,2064
2020-11-13 18:00:00,1605290400,6.44,6.44,6.44,6.44,4,0,54
2020-11-16 10:00:00,1605520800,6.61,6.61,6.57,6.6,337,0,5707
2020-11-16 10:30:00,1605522600,6.59,6.61,6.5600000000000005,6.6,241,1,3862
2020-11-16 11:00:00,1605524400,6.59,6.7,6.59,6.6899999999999995,171,1,2848
2020-11-16 11:30:00,1605526200,6.6899999999999995,6.78,6.68,6.75,197,1,3396
2020-11-16 12:00:00,1605528000,6.75,6.9,6.71,6.9,237,1,4861
2020-11-16 12:30:00,1605529800,6.9,6.9,6.76,6.85,227,1,3854
2020-11-16 13:00:00,1605531600,6.86,6.89,6.8,6.84,183,1,3518
2020-11-16 13:30:00,1605533400,6.84,6.84,6.78,6.8,139,1,2756
2020-11-16 14:00:00,1605535200,6.8,6.9,6.78,6.9,141,1,2588
2020-11-16 14:30:00,1605537000,6.89,6.99,6.85,6.9399999999999995,208,1,4398
2020-11-16 15:00:00,1605538800,6.9399999999999995,6.95,6.9,6.9399999999999995,160,1,3117
2020-11-16 15:30:00,1605540600,6.9399999999999995,6.96,6.89,6.91,150,1,2862
2020-11-16 16:00:00,1605542400,6.93,6.96,6.91,6.9399999999999995,98,1,1416
2020-11-16 16:30:00,1605544200,6.96,6.96,6.9,6.93,110,1,2210
2020-11-16 17:00:00,1605546000,6.9399999999999995,6.95,6.93,6.95,91,1,1597
2020-11-16 17:30:00,1605547800,6.9399999999999995,6.95,6.78,6.8100000000000005,132,1,2110
2020-11-16 18:00:00,1605549600,6.8,6.8,6.8,6.8,13,0,100
2020-11-17 10:00:00,1605607200,6.9,7.05,6.86,6.98,350,0,8263
2020-11-17 10:30:00,1605609000,6.98,6.98,6.91,6.95,212,1,4507
2020-11-17 11:00:00,1605610800,6.95,6.95,6.84,6.85,231,1,4380
2020-11-17 11:30:00,1605612600,6.86,6.9,6.8,6.86,175,1,2582
2020-11-17 12:00:00,1605614400,6.86,6.89,6.82,6.85,113,1,2079
2020-11-17 12:30:00,1605616200,6.85,6.95,6.83,6.89,78,1,1079
2020-11-17 13:00:00,1605618000,6.89,6.9399999999999995,6.87,6.92,79,1,1296
2020-11-17 13:30:00,1605619800,6.92,6.93,6.9,6.91,77,1,937
2020-11-17 14:00:00,1605621600,6.91,6.92,6.86,6.87,122,1,2250
2020-11-17 14:30:00,1605623400,6.86,6.87,6.78,6.83,268,1,4945
2020-11-17 15:00:00,1605625200,6.84,6.86,6.84,6.85,63,1,1043
2020-11-17 15:30:00,1605627000,6.85,6.86,6.83,6.83,71,1,1203
2020-11-17 16:00:00,1605628800,6.84,6.84,6.76,6.8100000000000005,134,1,2308
2020-11-17 16:30:00,1605630600,6.8100000000000005,6.82,6.78,6.79,96,1,1234
2020-11-17 17:00:00,1605632400,6.8100000000000005,6.82,6.75,6.79,129,1,2055
2020-11-17 17:30:00,1605634200,6.79,6.8,6.74,6.74,131,1,3536
2020-11-17 18:00:00,1605636000,6.77,6.77,6.77,6.77,11,0,239
