datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-03-29 10:00:00,1617012000,17.44,17.45,17.05,17.38,150,0,2035
2021-03-29 10:30:00,1617013800,17.38,17.72,17.29,17.45,177,1,2348
2021-03-29 11:00:00,1617015600,17.45,17.45,17.36,17.36,118,1,1297
2021-03-29 11:30:00,1617017400,17.36,17.38,17.0,17.11,167,1,2168
2021-03-29 12:00:00,1617019200,17.11,17.29,16.9,16.99,160,1,1438
2021-03-29 12:30:00,1617021000,16.91,17.14,16.9,17.03,109,1,1195
2021-03-29 13:00:00,1617022800,17.05,17.1,16.95,16.97,101,1,1212
2021-03-29 13:30:00,1617024600,16.95,16.98,16.8,16.97,179,1,2095
2021-03-29 14:00:00,1617026400,16.92,16.97,16.6,16.88,177,1,2529
2021-03-29 14:30:00,1617028200,16.89,17.0,16.75,16.93,101,1,1173
2021-03-29 15:00:00,1617030000,16.99,17.0,16.9,16.93,73,1,746
2021-03-29 15:30:00,1617031800,16.96,17.0,16.92,17.0,81,1,967
2021-03-29 16:00:00,1617033600,17.0,17.08,16.88,17.0,102,1,885
2021-03-29 16:30:00,1617035400,17.07,17.08,16.91,16.91,72,1,629
2021-03-29 17:00:00,1617037200,17.03,17.03,17.03,17.03,7,5,22
2021-03-30 10:00:00,1617098400,16.92,17.29,16.85,17.24,184,0,2676
2021-03-30 10:30:00,1617100200,17.26,17.26,17.0,17.14,108,1,1223
2021-03-30 11:00:00,1617102000,17.17,17.29,17.17,17.28,136,1,1611
2021-03-30 11:30:00,1617103800,17.29,17.3,17.23,17.29,99,1,1389
2021-03-30 12:00:00,1617105600,17.28,17.38,17.26,17.36,156,1,2188
2021-03-30 12:30:00,1617107400,17.38,17.39,17.3,17.37,78,1,1215
2021-03-30 13:00:00,1617109200,17.38,17.49,17.37,17.49,129,1,1942
2021-03-30 13:30:00,1617111000,17.48,17.5,17.4,17.5,74,1,1087
2021-03-30 14:00:00,1617112800,17.44,17.49,17.39,17.41,79,1,1365
2021-03-30 14:30:00,1617114600,17.41,17.45,17.39,17.4,76,1,983
