datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-07-26 10:00:00,1627293600,12.08,12.08,11.51,11.56,136,0,2479
2021-07-26 10:30:00,1627295400,11.6,11.7,10.95,11.28,198,1,3265
2021-07-26 11:00:00,1627297200,11.28,11.35,10.5,10.54,194,1,2842
2021-07-26 11:30:00,1627299000,10.53,10.62,9.87,10.39,240,1,3128
2021-07-26 12:00:00,1627300800,10.39,10.79,10.3,10.47,137,2,2558
2021-07-26 12:30:00,1627302600,10.49,11.19,10.44,10.66,116,1,2334
2021-07-26 13:00:00,1627304400,10.52,10.65,10.4,10.55,67,2,1118
2021-07-26 13:30:00,1627306200,10.59,10.6,10.45,10.54,50,1,892
2021-07-26 14:00:00,1627308000,10.54,10.59,10.28,10.55,106,1,1723
2021-07-26 14:30:00,1627309800,10.54,10.6,10.19,10.4,88,1,1478
2021-07-26 15:00:00,1627311600,10.54,10.89,10.35,10.87,65,1,1198
2021-07-26 15:30:00,1627313400,10.65,10.85,10.52,10.73,68,2,1035
2021-07-26 16:00:00,1627315200,10.65,10.76,10.55,10.65,152,1,3121
2021-07-26 16:30:00,1627317000,10.65,10.8,10.58,10.59,91,1,1315
2021-07-26 17:00:00,1627318800,10.71,10.71,10.71,10.71,15,0,140
2021-07-26 17:30:00,1627320600,10.71,10.75,10.6,10.73,18,1,266
2021-07-27 10:00:00,1627380000,10.89,10.95,10.25,10.32,212,0,4389
2021-07-27 10:30:00,1627381800,10.31,10.41,10.19,10.37,69,1,1288
2021-07-27 11:00:00,1627383600,10.37,10.38,10.28,10.31,30,1,514
2021-07-27 11:30:00,1627385400,10.31,10.37,10.12,10.13,72,1,1340
2021-07-27 12:00:00,1627387200,10.19,10.29,10.12,10.19,43,1,706
2021-07-27 12:30:00,1627389000,10.17,10.2,10.14,10.17,24,1,325
2021-07-27 13:00:00,1627390800,10.15,10.15,9.91,9.98,116,1,1613
2021-07-27 13:30:00,1627392600,9.98,10.05,9.92,9.92,52,1,900
2021-07-27 14:00:00,1627394400,9.91,9.91,9.55,9.68,194,1,3042
2021-07-27 14:30:00,1627396200,9.67,9.69,9.54,9.62,90,1,1407
2021-07-27 15:00:00,1627398000,9.63,9.65,9.42,9.45,104,1,1277
2021-07-27 15:30:00,1627399800,9.45,9.59,9.37,9.58,100,1,1044
2021-07-27 16:00:00,1627401600,9.6,10.07,9.6,10.02,52,1,706
2021-07-27 16:30:00,1627403400,10.0,10.5,9.9,10.5,65,1,1014
2021-07-27 17:00:00,1627405200,10.5,10.5,10.5,10.5,8,14,185
2021-07-27 17:30:00,1627407000,10.35,10.5,10.32,10.5,11,2,95
2021-07-28 10:00:00,1627466400,10.5,10.58,10.01,10.27,51,0,1039
2021-07-28 10:30:00,1627468200,10.17,10.34,10.15,10.32,19,1,363
2021-07-28 11:00:00,1627470000,10.34,10.34,10.16,10.3,28,2,267
2021-07-28 11:30:00,1627471800,10.34,10.35,10.22,10.34,26,1,223
2021-07-28 12:00:00,1627473600,10.22,10.34,10.11,10.12,15,5,173
2021-07-28 12:30:00,1627475400,10.13,10.34,10.09,10.12,27,1,259
2021-07-28 13:00:00,1627477200,10.14,10.14,10.03,10.03,21,1,164
2021-07-28 13:30:00,1627479000,10.03,10.07,9.92,9.95,44,1,569
2021-07-28 14:00:00,1627480800,9.96,9.96,9.87,9.9,23,1,154
2021-07-28 14:30:00,1627482600,9.9,9.91,9.82,9.91,55,1,541
2021-07-28 15:00:00,1627484400,9.92,10.07,9.91,10.0,21,1,678
2021-07-28 15:30:00,1627486200,9.99,9.99,9.92,9.94,15,1,298
2021-07-28 16:00:00,1627488000,9.92,10.04,9.91,10.04,21,1,358
2021-07-28 16:30:00,1627489800,10.02,10.05,9.97,9.99,21,1,537
2021-07-28 17:30:00,1627493400,9.99,9.99,9.8,9.81,59,1,871
2021-07-29 10:00:00,1627552800,9.9,9.96,9.8,9.86,45,1,756
2021-07-29 10:30:00,1627554600,9.82,9.84,9.75,9.75,31,1,371
2021-07-29 11:00:00,1627556400,9.74,9.75,9.59,9.59,68,1,959
2021-07-29 11:30:00,1627558200,9.6,9.61,9.53,9.61,33,1,489
2021-07-29 12:00:00,1627560000,9.6,9.61,9.54,9.58,14,1,160
2021-07-29 12:30:00,1627561800,9.58,9.7,9.57,9.6,15,1,359
2021-07-29 13:00:00,1627563600,9.6,9.6,9.57,9.59,5,1,87
2021-07-29 13:30:00,1627565400,9.57,9.59,9.5,9.54,60,1,954
2021-07-29 14:00:00,1627567200,9.5,9.58,9.46,9.54,27,1,503
2021-07-29 14:30:00,1627569000,9.53,9.54,9.51,9.53,25,1,352
2021-07-29 15:00:00,1627570800,9.53,9.66,9.53,9.66,10,1,353
2021-07-29 15:30:00,1627572600,9.6,9.6,9.54,9.58,23,1,542
2021-07-29 16:00:00,1627574400,9.62,9.72,9.59,9.72,28,1,773
2021-07-29 16:30:00,1627576200,9.72,9.83,9.68,9.74,14,1,360
2021-07-29 17:00:00,1627578000,9.7,9.7,9.7,9.7,1,6,9
