datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-05-16 11:00:00,1147777200,4.8,4.8,4.8,4.8,1,0,2
2007-02-14 15:00:00,1171465200,6.0,6.0,6.0,6.0,2,0,30
2007-03-26 16:00:00,1174924800,6.0,6.0,6.0,6.0,1,0,27
2007-04-18 11:30:00,1176895800,4.5,4.5,4.5,4.5,2,0,32
2007-09-05 16:30:00,1189009800,4.5,4.5,4.5,4.5,2,0,10
2008-02-01 12:00:00,1201867200,6.0,6.0,6.0,6.0,2,0,5
2008-03-05 13:00:00,1204722000,4.5,4.5,4.5,4.5,1,0,3
2008-04-23 16:30:00,1208968200,6.6899999999999995,6.6899999999999995,6.6899999999999995,6.6899999999999995,1,0,2
2008-08-08 11:30:00,1218195000,10.0,10.0,10.0,10.0,8,0,45
2008-08-08 15:00:00,1218207600,12.9,12.9,12.9,12.9,1,0,2
2008-08-08 15:30:00,1218209400,11.0,11.0,11.0,11.0,1,0,10
2008-09-09 17:00:00,1220979600,12.0,12.0,12.0,12.0,1,0,2
2008-10-08 17:00:00,1223485200,20.0,20.0,20.0,20.0,1,0,12
2008-11-03 14:00:00,1225720800,9.01,9.01,9.01,9.01,1,0,1
2008-11-13 15:00:00,1226588400,9.2,9.2,9.2,9.2,1,0,1
2009-01-30 15:30:00,1233329400,10.0,10.0,10.0,10.0,1,0,6
2009-02-04 17:30:00,1233768600,9.21,9.21,9.21,9.21,1,0,8
2009-02-20 14:00:00,1235138400,9.2,9.2,9.2,9.2,1,0,10
2009-02-26 17:00:00,1235667600,9.2,9.2,9.2,9.2,1,0,10
2009-03-02 13:00:00,1235998800,9.28,9.28,9.28,9.28,1,0,1
2009-08-07 11:30:00,1249644600,9.2,9.2,9.2,9.2,3,0,29
2009-10-20 17:00:00,1256058000,10.0,10.0,10.0,10.0,2,0,10
2009-10-23 17:00:00,1256317200,9.2,9.2,9.2,9.2,3,0,20
2009-11-17 16:30:00,1258475400,9.2,9.2,9.2,9.2,3,0,10
2010-01-11 15:30:00,1263223800,9.2,9.2,9.2,9.2,3,0,25
2010-02-03 12:30:00,1265200200,10.23,10.23,10.23,10.23,1,0,9
2010-02-17 14:00:00,1266415200,9.2,9.2,9.2,9.2,4,0,14
2010-02-22 14:30:00,1266849000,9.2,9.2,9.2,9.2,2,0,12
2010-03-09 12:00:00,1268136000,30.0,30.0,30.0,30.0,1,0,5
2010-03-11 17:30:00,1268328600,31.99,31.99,31.99,31.99,1,0,5
2010-04-12 13:00:00,1271077200,20.0,20.0,20.0,20.0,3,0,26
2010-05-21 12:00:00,1274443200,24.99,24.99,24.99,24.99,1,0,1
2010-06-15 11:30:00,1276601400,15.02,15.02,15.02,15.02,1,0,1
2010-06-28 11:00:00,1277722800,24.99,24.99,24.99,24.99,1,0,8
2010-06-28 13:00:00,1277730000,25.0,25.0,25.0,25.0,2,0,5
2010-07-07 11:00:00,1278500400,20.0,20.0,20.0,20.0,2,0,8
2010-07-20 15:30:00,1279639800,20.0,20.0,20.0,20.0,1,0,5
2010-08-05 11:30:00,1281007800,20.0,20.0,20.0,20.0,1,0,1
2010-08-12 10:30:00,1281609000,20.0,20.0,20.0,20.0,1,0,1
2010-09-13 11:30:00,1284377400,20.01,20.01,20.01,20.01,2,0,18
2010-10-01 14:30:00,1285943400,20.09,20.09,20.09,20.09,3,0,10
2010-10-28 12:00:00,1288267200,20.21,20.21,20.21,20.21,1,0,7
2010-11-04 15:00:00,1288882800,20.0,20.0,20.0,20.0,2,0,21
2011-11-17 11:00:00,1321527600,30.08,30.08,30.08,30.08,1,0,10
2011-11-17 16:00:00,1321545600,31.0,31.0,31.0,31.0,1,0,2
2012-01-10 16:30:00,1326213000,29.01,29.01,29.01,29.01,2,0,9
2012-04-04 14:00:00,1333548000,30.0,30.0,30.0,30.0,1,0,5
2012-04-10 14:30:00,1334068200,35.0,35.0,35.0,35.0,3,0,62
2012-04-12 14:30:00,1334241000,35.02,35.02,35.02,35.02,1,0,40
2012-05-15 14:30:00,1337092200,25.01,25.01,25.01,25.01,1,0,1
2012-08-17 16:30:00,1345221000,25.01,25.01,25.01,25.01,2,0,5
2012-12-26 14:00:00,1356530400,25.0,25.0,25.0,25.0,2,0,5
2013-02-25 15:30:00,1361806200,25.0,25.0,25.0,25.0,2,0,42
2013-03-04 13:00:00,1362402000,25.0,25.0,25.0,25.0,1,0,40
2013-03-13 11:00:00,1363172400,20.0,20.0,20.0,20.0,1,0,8
2013-10-14 15:00:00,1381762800,18.0,18.0,18.0,18.0,1,0,10
2013-12-20 12:00:00,1387540800,15.05,15.05,15.05,15.05,2,0,13
2015-06-16 16:30:00,1434472200,19.5,19.5,19.5,19.5,2,1,9
2015-08-26 13:00:00,1440594000,10.01,10.01,10.01,10.01,1,1,1
2015-08-26 15:30:00,1440603000,10.0,10.0,10.0,10.0,1,1,1
2015-10-27 13:00:00,1445950800,8.0,8.0,8.0,8.0,2,1,10
2015-11-25 15:00:00,1448463600,8.01,8.01,8.01,8.01,2,1,2
2016-03-17 14:30:00,1458225000,10.0,10.0,10.0,10.0,1,1,8
2016-03-29 11:30:00,1459251000,10.0,10.0,10.0,10.0,1,1,15
2016-07-19 15:00:00,1468940400,20.0,20.0,20.0,20.0,2,1,50
2016-07-19 16:00:00,1468944000,20.0,20.0,20.0,20.0,2,1,25
2016-08-16 10:00:00,1471341600,30.01,30.01,30.01,30.01,1,1,20
2017-04-07 11:00:00,1491562800,85.0,85.0,85.0,85.0,1,1,3
2017-07-17 16:30:00,1500309000,41.0,41.0,41.0,41.0,2,1,7
2017-07-19 11:00:00,1500462000,85.0,85.0,85.0,85.0,1,1,2
2017-08-17 15:00:00,1502982000,75.0,75.0,75.0,75.0,1,1,6
2017-10-03 11:00:00,1507028400,85.0,85.0,85.0,85.0,1,1,33
2018-02-14 16:30:00,1518625800,80.0,80.0,80.0,80.0,1,1,2
2018-11-16 13:30:00,1542375000,60.0,60.0,60.0,60.0,2,8999,12
2018-12-10 14:30:00,1544452200,55.0,55.0,55.0,55.0,2,9985,12
2019-01-15 17:30:00,1547573400,45.45,45.45,45.45,45.45,1,1455,12
2019-05-10 11:30:00,1557487800,50.0,50.0,50.0,50.0,1,2150,1
2019-05-10 13:30:00,1557495000,28.5,28.5,28.5,28.5,1,0,29
