datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-05-30 11:00:00,1180522800,7.86,7.86,7.86,7.86,1,0,100
2007-05-30 11:15:00,1180523700,7.86,7.86,7.86,7.86,1,0,100
2010-03-08 18:00:00,1268071200,23.59,23.59,23.59,23.59,1,0,100
2010-07-07 11:15:00,1278501300,15.79,15.79,15.79,15.79,1,0,100
2011-10-31 16:00:00,1320076800,27.53,27.53,27.53,27.53,1,0,100
2012-04-13 12:45:00,1334321100,27.95,27.95,27.95,27.95,1,0,100
2015-09-22 13:45:00,1442929500,7.98,7.98,7.98,7.98,1,1,500
2016-05-20 16:30:00,1463761800,15.98,15.98,15.98,15.98,1,1,200
2016-05-24 12:30:00,1464093000,15.98,15.98,15.98,15.98,1,1,100
2016-05-30 11:15:00,1464606900,16.01,16.01,16.01,16.01,1,1,100
2016-07-14 11:00:00,1468494000,23.95,23.95,23.95,23.95,1,1,100
2016-10-13 16:30:00,1476376200,47.9,47.9,47.9,47.9,1,1,100
2017-01-30 17:45:00,1485798300,47.9,47.9,47.9,47.9,1,1,100
2017-02-01 17:00:00,1485968400,51.89,51.89,51.89,51.89,1,1,100
2017-03-06 14:00:00,1488808800,69.47,69.47,69.47,69.47,1,1,100
2017-03-08 16:15:00,1488989700,69.47,69.47,69.47,69.47,1,1,100
2017-03-29 13:45:00,1490795100,65.47,65.47,65.47,65.47,1,1,100
2017-04-05 17:00:00,1491411600,67.86,67.86,67.86,67.86,1,1,100
2017-07-27 16:45:00,1501173900,67.86,67.86,67.86,67.86,1,1,100
2017-08-17 15:45:00,1502984700,63.87,63.87,63.87,63.87,1,1,100
2018-02-02 11:30:00,1517571000,63.87,63.87,63.87,63.87,1,1,200
2020-06-08 15:00:00,1591628400,23.0,23.0,23.0,23.0,1,0,100
2020-06-08 16:00:00,1591632000,23.31,23.31,23.31,23.31,2,0,200
2020-06-08 17:00:00,1591635600,31.0,31.0,31.0,31.0,3,0,600
2020-06-09 14:45:00,1591713900,30.99,30.99,30.99,30.99,1,500,100
2020-07-02 15:00:00,1593702000,24.82,24.82,24.82,24.82,1,500,100
2020-08-03 11:45:00,1596455100,24.84,24.84,24.84,24.84,1,517,100
2020-08-10 14:30:00,1597069800,24.83,24.83,24.83,24.83,1,1500,100
2020-08-25 11:30:00,1598355000,29.79,29.79,29.79,29.79,1,0,100
2020-08-25 17:00:00,1598374800,25.0,25.0,25.0,25.0,1,0,100
2020-09-18 15:45:00,1600443900,26.49,26.49,26.49,26.49,1,0,100
2020-09-18 16:00:00,1600444800,26.49,26.49,26.49,26.49,1,0,100
2020-09-18 16:15:00,1600445700,25.99,25.99,25.99,25.99,1,350,100
2020-09-18 16:30:00,1600446600,23.0,23.0,23.0,23.0,1,399,100
2020-09-22 13:00:00,1600779600,25.63,25.63,25.63,25.63,2,0,200
2020-12-28 15:00:00,1609167600,21.79,21.79,21.79,21.79,1,0,100
2020-12-28 16:15:00,1609172100,21.79,21.79,21.79,21.79,1,0,100
2020-12-28 17:45:00,1609177500,20.79,20.79,20.79,20.79,1,226,300
2020-12-29 11:45:00,1609242300,19.61,19.61,19.61,19.61,3,0,300
2020-12-30 16:30:00,1609345800,19.61,19.61,19.61,19.61,1,771,100
2021-01-07 16:15:00,1610036100,22.95,22.95,22.95,22.95,2,0,200
2021-01-07 16:45:00,1610037900,22.95,22.95,22.95,22.95,1,921,100
2021-01-12 11:30:00,1610451000,20.01,20.01,20.01,20.01,1,499,100
2021-01-15 12:00:00,1610712000,24.01,24.01,24.0,24.0,2,100,200
2021-01-15 12:30:00,1610713800,25.0,25.0,25.0,25.0,1,400,100
2021-01-15 13:30:00,1610717400,25.0,25.0,25.0,25.0,1,0,100
2021-01-15 14:15:00,1610720100,23.01,23.01,23.01,23.01,1,383,100
2021-02-04 11:45:00,1612439100,27.0,27.0,27.0,27.0,2,0,200
2021-05-06 17:00:00,1620320400,22.0,22.0,22.0,22.0,3,0,800
2021-05-11 15:00:00,1620745200,26.0,26.0,26.0,26.0,1,1079,100
2021-05-14 16:15:00,1621008900,30.0,30.0,30.0,30.0,1,1579,100
2021-06-04 16:15:00,1622823300,35.99,35.99,35.99,35.99,1,0,100
2021-06-07 16:15:00,1623082500,36.0,43.19,36.0,43.19,2,0,200
2021-06-21 16:15:00,1624292100,51.5,51.5,51.5,51.5,1,0,100
2021-06-22 10:00:00,1624356000,51.5,51.5,51.5,51.5,1,3529,100
2021-06-22 16:30:00,1624379400,51.5,51.5,51.5,51.5,1,5529,100
