datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-04-12 10:00:00,1618221600,20.0,20.05,17.69,18.19,157,0,3351
2021-04-12 10:30:00,1618223400,18.2,18.38,17.3,17.3,119,1,2445
2021-04-12 11:00:00,1618225200,17.6,18.07,17.31,17.32,33,1,476
2021-04-12 11:30:00,1618227000,17.41,17.97,17.41,17.68,47,1,679
2021-04-12 12:00:00,1618228800,17.65,17.69,17.56,17.61,20,1,412
2021-04-12 12:30:00,1618230600,17.6,17.62,17.43,17.43,34,1,691
2021-04-12 13:00:00,1618232400,17.44,17.48,17.41,17.47,21,1,388
2021-04-12 13:30:00,1618234200,17.47,17.47,17.36,17.39,24,1,249
2021-04-12 14:00:00,1618236000,17.39,17.41,17.39,17.41,17,1,155
2021-04-12 14:30:00,1618237800,17.41,17.41,17.39,17.39,27,1,422
2021-04-12 15:00:00,1618239600,17.39,17.51,17.35,17.39,38,1,739
2021-04-12 15:30:00,1618241400,17.39,17.4,17.35,17.4,23,1,325
2021-04-12 16:00:00,1618243200,17.34,17.5,17.34,17.46,15,1,380
2021-04-12 16:30:00,1618245000,17.45,17.5,17.38,17.5,17,1,268
2021-04-12 17:00:00,1618246800,17.4,17.4,17.4,17.4,13,0,188
2021-04-13 10:00:00,1618308000,17.4,17.99,17.22,17.22,73,1,1528
2021-04-13 10:30:00,1618309800,17.22,17.28,17.15,17.16,40,1,602
2021-04-13 11:00:00,1618311600,17.12,17.26,17.12,17.26,21,1,298
2021-04-13 11:30:00,1618313400,17.25,17.25,17.15,17.15,5,1,18
2021-04-13 12:00:00,1618315200,17.16,17.23,17.15,17.23,6,1,72
2021-04-13 12:30:00,1618317000,17.22,17.27,17.22,17.23,13,1,223
2021-04-13 13:00:00,1618318800,17.23,17.24,17.22,17.24,6,1,90
2021-04-13 13:30:00,1618320600,17.24,17.35,17.24,17.35,10,1,109
2021-04-13 14:00:00,1618322400,17.34,17.34,17.34,17.34,6,4,75
2021-04-13 14:30:00,1618324200,17.28,17.3,17.27,17.28,8,1,119
2021-04-13 15:00:00,1618326000,17.3,17.31,17.3,17.31,6,2,47
2021-04-13 15:30:00,1618327800,17.31,17.31,17.28,17.3,4,2,19
2021-04-13 16:00:00,1618329600,17.28,17.3,17.26,17.29,8,1,113
2021-04-13 16:30:00,1618331400,17.29,17.44,17.25,17.44,16,1,224
2021-04-13 17:00:00,1618333200,17.31,17.31,17.31,17.31,1,6,40
2021-04-14 10:00:00,1618394400,17.03,17.37,16.91,17.33,41,1,477
2021-04-14 10:30:00,1618396200,17.3,17.3,17.15,17.21,14,2,248
2021-04-14 11:00:00,1618398000,17.24,17.24,17.15,17.23,6,2,81
2021-04-14 11:30:00,1618399800,17.15,17.15,17.15,17.15,6,1,45
2021-04-14 12:00:00,1618401600,17.15,17.21,17.15,17.21,5,1,30
2021-04-14 12:30:00,1618403400,17.2,17.22,17.14,17.15,7,1,98
2021-04-14 13:00:00,1618405200,17.15,17.15,17.1,17.1,8,3,120
2021-04-14 13:30:00,1618407000,17.1,17.1,17.03,17.03,10,1,190
2021-04-14 14:00:00,1618408800,17.01,17.01,16.97,17.0,15,1,211
2021-04-14 14:30:00,1618410600,16.98,16.98,16.9,16.9,29,1,337
2021-04-14 15:00:00,1618412400,17.09,17.09,16.93,16.94,4,5,86
2021-04-14 15:30:00,1618414200,16.94,16.94,16.94,16.94,1,4,17
2021-04-14 16:00:00,1618416000,16.99,17.19,16.94,16.94,9,1,140
2021-04-14 16:30:00,1618417800,16.94,17.16,16.93,17.16,8,12,70
2021-04-15 10:00:00,1618480800,16.93,17.16,16.85,17.13,13,10,269
2021-04-15 10:30:00,1618482600,17.12,17.12,16.98,16.98,6,2,74
2021-04-15 11:00:00,1618484400,16.95,16.98,16.95,16.97,6,2,21
2021-04-15 11:30:00,1618486200,16.92,17.05,16.9,17.04,13,4,102
2021-04-15 12:00:00,1618488000,16.89,16.95,16.85,16.95,9,3,28
2021-04-15 12:30:00,1618489800,16.9,16.9,16.9,16.9,3,2,50
2021-04-15 13:00:00,1618491600,16.97,16.97,16.97,16.97,3,7,17
2021-04-15 13:30:00,1618493400,16.9,16.97,16.9,16.97,4,7,93
2021-04-15 14:00:00,1618495200,16.97,16.97,16.9,16.9,8,5,49
2021-04-15 14:30:00,1618497000,16.96,16.96,16.89,16.89,10,6,201
2021-04-15 15:00:00,1618498800,16.88,16.88,16.88,16.88,3,7,27
2021-04-15 15:30:00,1618500600,16.95,16.95,16.88,16.88,4,6,12
2021-04-15 16:00:00,1618502400,16.88,16.88,16.85,16.85,18,1,184
2021-04-15 16:30:00,1618504200,16.84,16.86,16.8,16.83,8,3,228
2021-04-16 10:00:00,1618567200,16.95,16.95,16.75,16.75,8,4,61
2021-04-16 10:30:00,1618569000,16.71,16.75,16.65,16.75,9,3,75
2021-04-16 11:00:00,1618570800,16.75,16.75,16.68,16.75,4,7,25
2021-04-16 11:30:00,1618572600,16.71,16.71,16.71,16.71,3,22,31
2021-04-16 12:00:00,1618574400,16.71,16.84,16.6,16.6,21,3,201
2021-04-16 12:30:00,1618576200,16.62,16.62,16.58,16.58,6,9,45
2021-04-16 13:00:00,1618578000,16.57,16.7,16.5,16.5,24,5,264
2021-04-16 13:30:00,1618579800,16.7,16.7,16.25,16.25,21,5,198
2021-04-16 14:00:00,1618581600,16.27,16.43,16.27,16.43,7,13,75
2021-04-16 14:30:00,1618583400,16.3,16.43,16.3,16.3,5,13,9
2021-04-16 15:00:00,1618585200,16.43,16.43,16.26,16.26,13,14,70
2021-04-16 15:30:00,1618587000,16.43,16.43,16.43,16.43,2,14,5
2021-04-16 16:00:00,1618588800,16.43,16.43,16.35,16.35,2,8,7
2021-04-16 16:30:00,1618590600,16.43,16.43,16.32,16.36,5,8,44
2021-04-19 10:00:00,1618826400,16.84,16.97,16.6,16.97,8,29,226
2021-04-19 10:30:00,1618828200,16.6,16.9,16.6,16.9,11,2,115
2021-04-19 11:00:00,1618830000,16.7,16.83,16.63,16.83,14,1,154
2021-04-19 11:30:00,1618831800,16.83,16.89,16.77,16.89,7,4,27
2021-04-19 12:00:00,1618833600,16.76,16.89,16.76,16.89,6,6,10
2021-04-19 12:30:00,1618835400,16.69,16.69,16.69,16.69,1,6,1
2021-04-19 13:00:00,1618837200,16.63,16.63,16.63,16.63,4,2,9
2021-04-19 13:30:00,1618839000,16.62,16.62,16.61,16.61,2,4,8
2021-04-19 14:00:00,1618840800,16.61,16.69,16.61,16.69,5,4,36
2021-04-19 14:30:00,1618842600,16.69,16.69,16.69,16.69,2,5,22
2021-04-19 15:00:00,1618844400,16.7,16.7,16.62,16.62,3,6,20
2021-04-19 15:30:00,1618846200,16.77,16.8,16.77,16.8,4,10,30
2021-04-19 16:00:00,1618848000,16.73,16.73,16.73,16.73,1,21,1
2021-04-19 16:30:00,1618849800,16.64,16.85,16.64,16.85,3,1,108
2021-04-20 10:00:00,1618912800,16.55,16.99,16.35,16.99,4,30,9
2021-04-20 10:30:00,1618914600,16.9,16.9,16.9,16.9,3,4,12
2021-04-20 11:00:00,1618916400,16.9,16.9,16.9,16.9,1,9,38
2021-04-20 11:30:00,1618918200,16.86,16.86,16.72,16.72,3,15,5
2021-04-20 12:00:00,1618920000,16.72,16.9,16.5,16.9,15,2,260
2021-04-20 13:00:00,1618923600,16.63,16.63,16.45,16.45,6,7,17
2021-04-20 14:00:00,1618927200,16.8,16.8,16.8,16.8,1,29,15
2021-04-20 15:00:00,1618930800,16.66,16.66,16.66,16.66,1,29,1
2021-04-20 15:30:00,1618932600,16.66,16.66,16.66,16.66,1,23,2
2021-04-20 16:00:00,1618934400,16.86,16.87,16.83,16.83,3,12,69
