datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-05-15 10:00:00,1589536800,8.99,9.28,8.75,8.81,591,0,1491100
2020-05-15 10:30:00,1589538600,8.89,9.0,8.72,8.89,735,1,703000
2020-05-15 11:00:00,1589540400,8.89,8.98,8.73,8.75,426,1,319900
2020-05-15 11:30:00,1589542200,8.77,8.85,8.75,8.76,251,1,88000
2020-05-15 12:00:00,1589544000,8.77,8.77,8.5,8.65,605,1,388500
2020-05-15 12:30:00,1589545800,8.62,8.74,8.4,8.56,674,1,355300
2020-05-15 13:00:00,1589547600,8.56,8.6,8.45,8.55,564,1,519900
2020-05-15 13:30:00,1589549400,8.52,8.73,8.48,8.7,581,1,271200
2020-05-15 14:00:00,1589551200,8.7,8.85,8.7,8.8,456,1,203200
2020-05-15 14:30:00,1589553000,8.8,8.82,8.55,8.71,505,1,420100
2020-05-15 15:00:00,1589554800,8.72,8.72,8.56,8.65,786,1,383600
2020-05-15 15:30:00,1589556600,8.66,8.88,8.65,8.83,1370,1,624200
2020-05-15 16:00:00,1589558400,8.84,8.97,8.78,8.96,1588,1,656900
2020-05-15 16:30:00,1589560200,8.96,9.29,8.86,9.22,1248,1,729500
2020-05-15 17:00:00,1589562000,9.55,9.55,9.55,9.55,113,0,384100
2020-05-18 10:00:00,1589796000,9.95,9.95,9.8,9.85,222,0,267300
2020-05-18 10:30:00,1589797800,9.85,9.85,9.61,9.64,150,1,110800
2020-05-18 11:00:00,1589799600,9.64,9.68,9.62,9.65,53,1,20700
2020-05-18 11:30:00,1589801400,9.65,9.7,9.65,9.7,40,1,14300
2020-05-18 12:00:00,1589803200,9.68,9.7,9.68,9.7,55,1,43400
2020-05-18 12:30:00,1589805000,9.7,9.8,9.68,9.76,114,1,36300
2020-05-18 13:00:00,1589806800,9.74,9.8,9.63,9.65,86,1,29900
2020-05-18 13:30:00,1589808600,9.66,9.72,9.66,9.68,26,1,15700
2020-05-18 14:00:00,1589810400,9.71,9.75,9.7,9.73,54,1,51700
2020-05-18 14:30:00,1589812200,9.73,9.75,9.73,9.73,48,1,33500
2020-05-18 15:00:00,1589814000,9.75,9.83,9.72,9.82,206,1,258200
2020-05-18 15:30:00,1589815800,9.82,9.82,9.73,9.75,47,1,61000
2020-05-18 16:00:00,1589817600,9.75,9.82,9.73,9.79,108,1,77200
2020-05-18 16:30:00,1589819400,9.79,9.82,9.75,9.82,80,1,52200
2020-05-18 17:00:00,1589821200,9.8,9.8,9.8,9.8,48,0,193100
2020-05-19 10:00:00,1589882400,9.85,9.85,9.76,9.77,46,1,23100
2020-05-19 10:30:00,1589884200,9.77,9.79,9.72,9.72,51,1,30800
2020-05-19 11:00:00,1589886000,9.75,9.76,9.75,9.76,50,1,36200
2020-05-19 11:30:00,1589887800,9.76,9.92,9.75,9.89,85,1,40800
2020-05-19 12:00:00,1589889600,9.9,10.0,9.9,9.94,110,1,29800
2020-05-19 12:30:00,1589891400,9.94,9.99,9.85,9.9,53,1,27500
2020-05-19 13:00:00,1589893200,9.91,9.95,9.88,9.88,19,1,5100
2020-05-19 13:30:00,1589895000,9.88,9.89,9.75,9.75,82,1,142800
