datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-08-06 10:00:00,1565085600,35.0,35.0,35.0,35.0,9,0,44
2019-08-06 10:30:00,1565087400,34.71,35.29,34.71,35.29,9,2,75
2019-08-06 11:00:00,1565089200,35.01,35.01,35.0,35.0,4,9,26
2019-08-06 11:30:00,1565091000,34.99,34.99,34.81,34.99,11,5,163
2019-08-06 12:00:00,1565092800,34.81,34.9,34.81,34.89,4,9,37
2019-08-06 12:30:00,1565094600,34.88,34.98,34.7,34.74,10,10,146
2019-08-06 13:00:00,1565096400,34.91,34.91,34.91,34.91,2,19,27
2019-08-06 13:30:00,1565098200,34.7,34.89,34.68,34.68,9,1,124
2019-08-06 14:00:00,1565100000,34.69,34.69,34.51,34.51,7,1,139
2019-08-06 14:30:00,1565101800,34.57,34.61,34.55,34.55,6,2,95
2019-08-06 15:00:00,1565103600,34.55,34.72,34.41,34.72,16,3,420
2019-08-06 15:30:00,1565105400,34.41,35.3,34.41,35.3,14,19,505
2019-08-06 16:00:00,1565107200,35.5,35.69,34.45,35.55,8,10,128
2019-08-06 16:30:00,1565109000,35.6,35.81,34.51,34.51,10,2,200
2019-08-07 10:00:00,1565172000,35.1,35.13,34.43,35.12,24,0,580
2019-08-07 10:30:00,1565173800,35.15,35.32,35.15,35.2,9,1,169
2019-08-07 11:00:00,1565175600,35.15,35.3,35.14,35.3,8,0,183
2019-08-07 11:30:00,1565177400,35.6,35.75,35.18,35.7,11,0,254
2019-08-07 12:00:00,1565179200,35.7,36.0,35.68,35.78,20,0,423
2019-08-07 12:30:00,1565181000,36.2,37.0,35.87,36.64,13,0,529
2019-08-07 13:00:00,1565182800,37.15,37.15,36.79,36.9,6,0,169
2019-08-07 13:30:00,1565184600,37.0,37.07,36.86,37.0,10,0,361
2019-08-07 14:00:00,1565186400,37.0,37.05,36.24,37.0,11,0,156
2019-08-07 14:30:00,1565188200,37.0,37.0,36.79,36.84,3,0,124
2019-08-07 15:00:00,1565190000,36.94,36.94,36.8,36.94,13,0,438
2019-08-07 15:30:00,1565191800,36.94,36.94,36.79,36.79,13,0,126
2019-08-07 16:00:00,1565193600,36.73,36.79,36.69,36.7,17,0,34
2019-08-07 16:30:00,1565195400,36.7,36.74,36.7,36.7,30,0,133
2019-08-07 17:00:00,1565197200,36.21,36.21,36.21,36.21,2,0,17
2019-08-08 10:00:00,1565258400,37.0,37.67,36.93,36.93,25,0,473
2019-08-08 10:30:00,1565260200,36.93,37.0,36.93,36.93,4,1,61
2019-08-08 11:00:00,1565262000,36.95,37.02,36.95,36.95,7,1,296
2019-08-08 11:30:00,1565263800,36.97,37.0,36.95,37.0,4,1,82
2019-08-08 12:00:00,1565265600,37.01,37.15,37.0,37.15,11,2,214
2019-08-08 12:30:00,1565267400,37.15,37.15,37.0,37.0,2,6,8
2019-08-08 13:00:00,1565269200,37.0,37.01,37.0,37.01,2,7,35
2019-08-08 13:30:00,1565271000,37.14,37.14,36.8,36.8,10,1,212
2019-08-08 14:30:00,1565274600,36.6,36.79,36.6,36.65,8,4,159
2019-08-08 15:00:00,1565276400,36.61,37.06,36.61,36.93,11,1,244
2019-08-08 15:30:00,1565278200,36.91,36.96,36.85,36.88,4,7,130
2019-08-08 16:00:00,1565280000,36.96,36.96,36.38,36.7,12,2,349
2019-08-08 16:30:00,1565281800,36.7,36.9,36.7,36.72,6,11,171
2019-08-08 17:00:00,1565283600,36.9,36.9,36.9,36.9,2,32,31
2019-08-09 10:00:00,1565344800,37.0,37.0,36.67,36.9,10,0,143
2019-08-09 10:30:00,1565346600,37.29,37.56,37.29,37.33,11,6,328
2019-08-09 11:00:00,1565348400,37.28,37.4,37.13,37.13,6,2,226
2019-08-09 11:30:00,1565350200,37.21,37.21,37.2,37.2,3,3,50
2019-08-09 12:30:00,1565353800,37.17,37.17,36.83,36.83,10,7,298
2019-08-09 13:00:00,1565355600,36.84,37.05,36.73,37.05,11,2,275
2019-08-09 13:30:00,1565357400,37.11,37.11,36.99,36.99,6,8,119
2019-08-09 14:00:00,1565359200,36.95,36.95,36.9,36.9,2,25,33
2019-08-09 14:30:00,1565361000,36.8,36.8,36.8,36.8,2,32,24
2019-08-09 15:00:00,1565362800,36.83,36.99,36.83,36.99,3,16,66
2019-08-09 15:30:00,1565364600,37.15,37.15,37.0,37.0,5,3,44
2019-08-09 16:00:00,1565366400,37.1,37.1,36.89,36.89,2,8,114
2019-08-09 16:30:00,1565368200,37.01,37.09,36.95,37.09,4,6,65
2019-08-09 17:00:00,1565370000,37.09,37.09,37.09,37.09,1,145,66
2019-08-12 10:00:00,1565604000,37.87,37.87,36.45,36.61,9,0,123
2019-08-12 10:30:00,1565605800,36.62,36.67,36.45,36.59,9,2,160
2019-08-12 11:00:00,1565607600,36.59,36.66,36.59,36.66,2,12,82
2019-08-12 11:30:00,1565609400,36.69,36.69,36.69,36.69,3,8,67
2019-08-12 12:00:00,1565611200,36.75,36.75,36.5,36.5,4,22,53
2019-08-12 12:30:00,1565613000,36.5,36.92,36.5,36.92,4,42,51
2019-08-12 13:00:00,1565614800,36.9,36.9,36.9,36.9,1,14,22
2019-08-12 13:30:00,1565616600,36.61,36.61,36.4,36.51,7,3,50
2019-08-12 14:00:00,1565618400,36.48,36.48,36.48,36.48,1,7,20
2019-08-12 14:30:00,1565620200,36.43,36.52,36.43,36.52,9,3,241
2019-08-12 15:00:00,1565622000,36.52,36.6,36.52,36.6,2,10,93
2019-08-12 15:30:00,1565623800,36.6,36.6,36.6,36.6,4,8,64
2019-08-12 16:00:00,1565625600,36.46,36.46,36.46,36.46,2,1,78
2019-08-12 16:30:00,1565627400,36.48,36.99,36.48,36.99,12,3,253
2019-08-12 17:00:00,1565629200,36.99,36.99,36.99,36.99,3,59,70
2019-08-13 10:00:00,1565690400,36.59,36.59,36.32,36.32,5,1,145
2019-08-13 10:30:00,1565692200,36.24,36.49,36.16,36.17,16,0,598
2019-08-13 11:00:00,1565694000,36.44,36.69,36.39,36.52,12,0,364
2019-08-13 11:30:00,1565695800,36.45,36.53,36.45,36.53,2,1,37
2019-08-13 12:00:00,1565697600,36.45,36.52,36.4,36.52,5,2,82
2019-08-13 12:30:00,1565699400,36.51,36.51,36.51,36.51,1,3,3
2019-08-13 13:00:00,1565701200,36.46,36.46,36.45,36.45,4,1,104
2019-08-13 13:30:00,1565703000,36.51,36.55,36.48,36.48,7,2,65
2019-08-13 14:00:00,1565704800,36.6,36.65,36.6,36.65,2,0,75
2019-08-13 14:30:00,1565706600,36.52,36.54,36.52,36.54,2,3,8
2019-08-13 15:00:00,1565708400,36.6,36.7,36.6,36.7,7,1,212
2019-08-13 16:00:00,1565712000,36.56,36.62,36.56,36.61,6,3,114
2019-08-13 16:30:00,1565713800,36.71,36.71,36.63,36.66,6,1,127
2019-08-13 17:00:00,1565715600,37.2,37.2,37.2,37.2,2,169,34
2019-08-14 10:00:00,1565776800,36.52,36.52,36.15,36.43,6,5,165
2019-08-14 10:30:00,1565778600,36.6,36.74,36.47,36.73,4,4,53
2019-08-14 11:00:00,1565780400,36.59,36.59,36.49,36.54,7,1,247
2019-08-14 11:30:00,1565782200,36.6,36.6,36.33,36.45,6,1,136
2019-08-14 12:00:00,1565784000,36.45,36.45,36.45,36.45,1,1,78
2019-08-14 12:30:00,1565785800,36.5,36.5,36.34,36.45,12,1,105
2019-08-14 13:00:00,1565787600,36.5,36.5,36.46,36.46,7,1,142
2019-08-14 13:30:00,1565789400,36.51,36.54,36.46,36.46,4,2,40
2019-08-14 14:00:00,1565791200,36.39,36.42,36.3,36.3,5,1,117
2019-08-14 14:30:00,1565793000,36.4,36.4,36.33,36.33,2,4,15
2019-08-14 15:00:00,1565794800,36.43,36.43,36.43,36.43,2,2,37
2019-08-14 15:30:00,1565796600,36.48,36.48,36.25,36.43,7,2,115
2019-08-14 16:00:00,1565798400,36.45,36.45,36.34,36.34,9,1,215
2019-08-14 16:30:00,1565800200,36.32,36.43,36.29,36.43,5,2,124
2019-08-14 17:00:00,1565802000,36.27,36.27,36.27,36.27,1,251,41
2019-08-15 10:00:00,1565863200,36.49,36.49,36.03,36.03,2,20,38
2019-08-15 10:30:00,1565865000,36.23,36.23,34.27,35.5,31,7,864
2019-08-15 11:00:00,1565866800,35.51,35.94,35.51,35.94,3,1,103
2019-08-15 11:30:00,1565868600,35.9,35.9,35.81,35.88,5,1,104
2019-08-15 12:00:00,1565870400,35.9,36.0,35.9,36.0,6,1,113
2019-08-15 12:30:00,1565872200,36.0,36.0,35.91,35.95,5,2,130
2019-08-15 13:00:00,1565874000,36.01,36.02,35.87,35.87,4,1,91
2019-08-15 13:30:00,1565875800,35.84,35.94,35.84,35.94,3,1,49
2019-08-15 14:30:00,1565879400,35.78,35.78,35.49,35.49,5,2,221
2019-08-15 15:00:00,1565881200,35.38,35.46,35.35,35.44,5,8,137
2019-08-15 15:30:00,1565883000,35.42,35.6,35.4,35.4,4,2,120
2019-08-15 16:00:00,1565884800,35.46,35.7,35.43,35.43,7,1,244
2019-08-15 16:30:00,1565886600,35.4,35.46,35.4,35.46,5,1,44
2019-08-15 17:00:00,1565888400,36.49,36.49,36.49,36.49,2,59,49
2019-08-16 10:30:00,1565951400,36.0,36.0,35.82,36.0,4,2,41
2019-08-16 11:00:00,1565953200,35.72,35.85,35.64,35.64,5,2,261
2019-08-16 11:30:00,1565955000,35.43,35.58,35.42,35.58,6,1,274
2019-08-16 12:00:00,1565956800,35.6,36.1,35.6,36.1,9,1,355
2019-08-16 12:30:00,1565958600,36.28,36.28,35.92,36.15,4,2,111
2019-08-16 13:00:00,1565960400,36.26,36.4,36.0,36.4,5,1,54
2019-08-16 13:30:00,1565962200,36.37,36.37,36.34,36.34,2,1,74
2019-08-16 14:00:00,1565964000,36.35,36.35,36.35,36.35,2,1,40
2019-08-16 14:30:00,1565965800,36.28,36.28,36.25,36.25,2,2,49
2019-08-16 15:00:00,1565967600,36.22,36.22,36.2,36.2,2,3,32
2019-08-16 15:30:00,1565969400,36.14,36.22,36.14,36.22,7,3,228
2019-08-16 16:00:00,1565971200,36.19,36.22,36.19,36.22,3,5,82
2019-08-16 16:30:00,1565973000,36.35,36.49,36.3,36.49,6,1,220
2019-08-16 17:00:00,1565974800,36.49,36.49,36.49,36.49,1,133,29
2019-08-19 10:00:00,1566208800,35.96,36.72,35.96,36.71,11,2,234
2019-08-19 10:30:00,1566210600,36.48,36.48,36.28,36.28,3,1,89
2019-08-19 11:00:00,1566212400,36.37,36.37,36.0,36.0,10,2,249
2019-08-19 11:30:00,1566214200,36.18,37.23,36.18,36.54,40,1,1117
2019-08-19 12:00:00,1566216000,36.94,36.99,36.61,36.81,15,1,406
2019-08-19 12:30:00,1566217800,36.93,36.93,36.51,36.56,17,1,410
2019-08-19 13:00:00,1566219600,36.56,36.59,36.45,36.45,7,1,261
2019-08-19 13:30:00,1566221400,36.46,36.46,36.46,36.46,1,5,42
2019-08-19 14:00:00,1566223200,36.5,36.51,36.49,36.5,4,1,92
2019-08-19 14:30:00,1566225000,36.52,36.52,36.52,36.52,1,2,3
2019-08-19 15:00:00,1566226800,36.7,36.7,36.46,36.46,7,1,153
2019-08-19 15:30:00,1566228600,36.3,36.41,36.2,36.41,10,1,207
2019-08-19 16:00:00,1566230400,36.45,36.46,35.99,36.14,10,1,248
2019-08-19 16:30:00,1566232200,35.95,35.95,35.57,35.63,17,1,341
2019-08-19 17:00:00,1566234000,37.29,37.29,37.29,37.29,1,218,36
2019-08-20 10:00:00,1566295200,35.18,36.39,35.18,35.58,11,0,255
2019-08-20 10:30:00,1566297000,35.56,35.56,35.29,35.29,15,1,42
2019-08-20 11:00:00,1566298800,35.24,35.83,35.24,35.78,27,1,353
2019-08-20 11:30:00,1566300600,35.95,36.01,35.95,36.0,5,1,83
2019-08-20 12:00:00,1566302400,35.86,35.86,35.7,35.77,8,1,162
2019-08-20 13:00:00,1566306000,36.0,36.0,36.0,36.0,1,1,1
2019-08-20 13:30:00,1566307800,36.1,36.1,36.1,36.1,4,1,80
2019-08-20 14:00:00,1566309600,36.18,36.2,36.1,36.1,5,1,81
2019-08-20 14:30:00,1566311400,36.48,36.48,36.48,36.48,1,3,3
2019-08-20 15:00:00,1566313200,36.44,36.44,36.38,36.39,6,1,80
2019-08-20 15:30:00,1566315000,36.53,36.83,36.53,36.83,8,1,143
2019-08-20 16:00:00,1566316800,36.79,37.04,36.79,36.94,18,1,204
2019-08-20 16:30:00,1566318600,37.04,37.04,36.97,37.04,9,1,178
2019-08-20 17:00:00,1566320400,36.31,36.31,36.31,36.31,6,32,118
2019-08-21 10:00:00,1566381600,36.89,36.89,36.77,36.77,2,2,25
2019-08-21 10:30:00,1566383400,36.75,37.13,36.75,36.99,10,1,272
2019-08-21 11:00:00,1566385200,36.85,36.85,36.59,36.59,2,3,27
2019-08-21 11:30:00,1566387000,36.49,36.49,36.44,36.44,2,3,49
2019-08-21 12:00:00,1566388800,36.6,36.6,36.58,36.58,4,1,62
2019-08-21 12:30:00,1566390600,36.61,36.61,36.52,36.52,4,1,86
2019-08-21 13:00:00,1566392400,36.55,36.56,36.55,36.56,5,1,81
2019-08-21 13:30:00,1566394200,36.54,36.54,36.51,36.51,7,1,102
2019-08-21 14:00:00,1566396000,36.46,36.46,36.46,36.46,1,1,5
2019-08-21 14:30:00,1566397800,36.4,36.45,36.4,36.45,9,1,106
2019-08-21 15:00:00,1566399600,36.4,36.5,36.39,36.5,12,1,218
2019-08-21 15:30:00,1566401400,36.5,36.64,36.45,36.64,10,1,175
2019-08-21 16:00:00,1566403200,36.67,36.7,36.65,36.68,7,1,97
2019-08-21 16:30:00,1566405000,36.78,36.79,36.65,36.65,10,1,226
