datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-08-06 10:00:00,1565085600,34.64,35.0,34.64,34.73,17,0,7000
2019-08-06 10:30:00,1565087400,34.87,35.06,34.82,35.01,44,1,11900
2019-08-06 11:00:00,1565089200,35.01,35.01,34.78,34.8,28,1,3300
2019-08-06 11:30:00,1565091000,34.83,34.99,34.83,34.94,34,1,3600
2019-08-06 12:00:00,1565092800,34.92,34.95,34.82,34.89,47,1,4700
2019-08-06 12:30:00,1565094600,34.9,34.91,34.63,34.83,45,1,5900
2019-08-06 13:00:00,1565096400,34.8,34.84,34.68,34.78,68,1,9700
2019-08-06 13:30:00,1565098200,34.79,34.84,34.58,34.67,124,1,21000
2019-08-06 14:00:00,1565100000,34.67,34.74,34.55,34.61,125,1,21700
2019-08-06 14:30:00,1565101800,34.64,34.74,34.54,34.59,125,1,24400
2019-08-06 15:00:00,1565103600,34.62,34.83,34.4,34.69,153,1,124800
2019-08-06 15:30:00,1565105400,34.69,35.7,34.63,35.4,286,0,196800
2019-08-06 16:00:00,1565107200,35.4,36.15,34.68,35.6,1026,1,292400
2019-08-06 16:30:00,1565109000,35.65,35.89,35.33,35.33,981,1,256200
2019-08-06 17:00:00,1565110800,35.0,35.0,35.0,35.0,29,0,62400
2019-08-07 10:00:00,1565172000,35.39,35.39,34.21,35.1,65,0,76200
2019-08-07 10:30:00,1565173800,35.09,35.35,35.0,35.06,134,1,18800
2019-08-07 11:00:00,1565175600,35.1,35.41,35.09,35.35,78,0,9300
2019-08-07 11:30:00,1565177400,35.37,35.8,35.3,35.69,192,0,101500
2019-08-07 12:00:00,1565179200,35.68,36.15,35.63,36.0,360,0,132000
2019-08-07 12:30:00,1565181000,36.0,37.58,36.0,37.0,413,0,82800
2019-08-07 13:00:00,1565182800,37.0,37.25,36.93,37.04,454,0,82400
2019-08-07 13:30:00,1565184600,37.04,37.1,36.87,36.95,419,0,81400
2019-08-07 14:00:00,1565186400,37.04,37.06,36.35,36.94,624,0,166100
2019-08-07 14:30:00,1565188200,36.95,36.95,36.86,36.9,716,0,100200
2019-08-07 15:00:00,1565190000,36.9,36.98,36.77,36.89,799,0,1319100
2019-08-07 15:30:00,1565191800,36.89,36.9,36.77,36.82,144,0,702200
2019-08-07 16:00:00,1565193600,36.82,36.82,36.71,36.71,214,0,248600
2019-08-07 16:30:00,1565195400,36.72,36.8,36.69,36.78,151,0,24100
2019-08-07 17:00:00,1565197200,36.82,36.82,36.82,36.82,31,0,51100
2019-08-08 10:00:00,1565258400,38.08,38.08,36.95,36.98,82,0,151000
2019-08-08 10:30:00,1565260200,36.98,37.05,36.96,37.0,61,1,10200
2019-08-08 11:00:00,1565262000,36.99,37.0,36.88,37.0,73,1,13900
2019-08-08 11:30:00,1565263800,36.99,37.0,36.96,37.0,129,1,16200
2019-08-08 12:00:00,1565265600,36.99,37.14,36.99,37.07,164,1,21600
2019-08-08 12:30:00,1565267400,37.06,37.07,36.92,37.0,196,1,85000
2019-08-08 13:00:00,1565269200,37.0,37.13,36.92,37.08,180,1,25400
2019-08-08 13:30:00,1565271000,37.08,37.1,36.65,36.8,242,1,136400
2019-08-08 14:00:00,1565272800,36.81,36.92,36.64,36.64,151,1,18900
2019-08-08 14:30:00,1565274600,36.62,36.87,36.46,36.83,190,1,22800
2019-08-08 15:00:00,1565276400,36.84,37.11,36.77,36.9,241,1,319600
2019-08-08 15:30:00,1565278200,36.86,37.07,36.82,36.83,186,1,23300
