datetime,time,open,high,low,close,tick_volume,spread,real_volume
2016-06-03 17:00:00,1464973200,4.27,4.27,4.27,4.27,1,1,1
2016-08-24 12:30:00,1472041800,5.5,5.5,5.5,5.5,2,1,10
2016-08-24 13:30:00,1472045400,5.5,5.5,5.5,5.5,1,1,1
2016-09-12 17:00:00,1473699600,4.5,4.5,4.5,4.5,1,1,4
2016-09-13 12:00:00,1473768000,4.8,4.8,4.8,4.8,1,1,2
2016-09-20 11:00:00,1474369200,5.0,5.0,5.0,5.0,1,1,2
2016-09-22 16:00:00,1474560000,4.3,4.3,4.3,4.3,3,1,71
2016-09-23 11:00:00,1474628400,4.52,4.52,4.52,4.52,1,1,31
2016-09-26 17:00:00,1474909200,5.01,5.01,5.01,5.01,1,1,98
2016-10-03 14:00:00,1475503200,6.0,6.0,6.0,6.0,2,1,38
2016-10-07 10:00:00,1475834400,6.0,6.0,6.0,6.0,1,1,17
2016-10-07 17:00:00,1475859600,6.1,6.1,6.1,6.1,1,0,6
2016-10-11 10:30:00,1476181800,6.25,6.25,6.25,6.25,1,1,1
2016-10-11 13:00:00,1476190800,6.25,6.25,6.25,6.25,1,1,1
2016-10-18 10:30:00,1476786600,6.01,6.01,6.01,6.01,1,1,3
2016-10-18 11:00:00,1476788400,5.0,5.0,5.0,5.0,2,1,78
2016-10-18 11:30:00,1476790200,5.0,5.0,5.0,5.0,1,1,12
2016-10-18 15:00:00,1476802800,5.0,5.0,5.0,5.0,1,1,4
2016-10-18 16:00:00,1476806400,6.0,6.0,6.0,6.0,1,1,1
2016-10-18 16:30:00,1476808200,6.5,6.5,6.5,6.5,1,1,1
2016-10-26 10:00:00,1477476000,6.8,6.8,6.0,6.0,3,1,74
2016-10-26 10:30:00,1477477800,6.0,6.0,6.0,6.0,1,1,2
2016-11-07 12:00:00,1478520000,6.5,6.5,6.5,6.5,1,1,28
2016-11-07 14:30:00,1478529000,6.0,6.0,6.0,6.0,1,1,26
2016-11-10 13:30:00,1478784600,6.0,6.0,6.0,6.0,1,1,63
2016-11-17 10:00:00,1479376800,6.9,6.9,6.9,6.9,1,1,5
2016-11-18 14:30:00,1479479400,5.0,5.0,4.5,4.5,3,1,21
2016-11-22 14:00:00,1479823200,5.75,5.75,5.75,5.75,2,1,17
2016-11-22 17:00:00,1479834000,6.48,6.48,6.48,6.48,1,1,1
2016-11-22 18:00:00,1479837600,5.5,5.5,5.5,5.5,1,0,24
2016-11-23 18:00:00,1479924000,5.0,5.0,5.0,5.0,2,1,51
2016-11-24 10:00:00,1479981600,6.48,6.48,6.48,6.48,1,1,1
2016-11-24 12:30:00,1479990600,6.35,6.35,6.35,6.35,1,1,30
2016-11-24 15:30:00,1480001400,6.35,6.35,6.35,6.35,1,1,5
2016-11-24 16:00:00,1480003200,6.48,6.48,6.48,6.48,1,1,3
2016-12-26 18:00:00,1482775200,5.0,5.0,5.0,5.0,2,1,4
2017-01-06 18:00:00,1483725600,5.0,5.0,5.0,5.0,2,1,146
2017-01-09 10:00:00,1483956000,6.0,6.0,6.0,6.0,1,1,10
2017-01-10 12:30:00,1484051400,7.25,7.3,7.25,7.3,2,1,5
2017-01-10 16:00:00,1484064000,8.0,8.0,8.0,8.0,1,1,1
2017-01-10 16:30:00,1484065800,7.8,7.8,7.75,7.75,3,1,16
2017-01-10 17:00:00,1484067600,7.6899999999999995,7.6899999999999995,7.6899999999999995,7.6899999999999995,1,1,1
2017-01-10 17:30:00,1484069400,7.4,7.4,7.0,7.0,2,1,61
2017-01-13 13:00:00,1484312400,9.0,9.0,9.0,9.0,1,1,1
2017-01-17 13:00:00,1484658000,9.0,9.0,9.0,9.0,1,1,8
2017-01-17 14:00:00,1484661600,9.0,9.0,9.0,9.0,1,1,2
2017-01-20 15:30:00,1484926200,6.16,6.16,6.16,6.16,2,1,7
2017-02-01 17:00:00,1485968400,7.89,7.99,7.89,7.99,3,1,62
