datetime,time,open,high,low,close,tick_volume,spread,real_volume
2016-09-09 12:30:00,1473424200,4.42,4.42,4.42,4.42,1,1,100
2016-09-21 14:00:00,1474466400,4.23,4.23,4.23,4.23,1,1,100
2016-09-22 14:00:00,1474552800,4.13,4.13,4.13,4.13,1,1,100
2016-09-23 13:00:00,1474635600,3.95,3.95,3.95,3.95,1,1,100
2016-09-23 13:30:00,1474637400,4.05,4.05,4.05,4.05,1,1,100
2016-09-23 15:30:00,1474644600,3.76,3.76,3.76,3.76,1,1,200
2016-09-26 16:00:00,1474905600,3.3,3.3,3.3,3.3,1,1,500
2016-09-27 10:00:00,1474970400,3.2,3.2,3.2,3.2,2,1,300
2016-09-27 11:00:00,1474974000,3.15,3.15,3.15,3.15,6,1,4000
2016-10-03 13:00:00,1475499600,2.91,2.91,2.91,2.91,1,1,200
2016-10-04 11:00:00,1475578800,3.4699999999999998,3.4699999999999998,3.4699999999999998,3.4699999999999998,1,1,1000
2016-10-04 12:30:00,1475584200,3.4699999999999998,3.4699999999999998,3.4699999999999998,3.4699999999999998,1,1,100
2016-10-05 13:00:00,1475672400,3.57,3.57,3.57,3.57,2,1,200
2016-10-05 16:00:00,1475683200,3.27,3.57,3.27,3.57,2,1,400
2016-10-05 16:30:00,1475685000,3.57,3.57,3.57,3.57,1,1,1900
2016-10-06 14:30:00,1475764200,3.3,3.3,3.3,3.3,1,1,100
2016-10-06 17:00:00,1475773200,3.57,3.57,3.57,3.57,1,0,300
2016-10-13 10:30:00,1476354600,4.23,4.23,4.23,4.23,1,1,100
2016-10-13 12:00:00,1476360000,4.23,4.23,4.23,4.23,2,1,1000
2016-10-14 13:00:00,1476450000,4.42,4.42,4.42,4.42,2,1,2900
2016-10-14 16:00:00,1476460800,4.51,4.51,4.51,4.51,1,1,300
2016-10-14 16:30:00,1476462600,4.61,4.61,4.61,4.61,1,1,200
2016-10-14 17:00:00,1476464400,4.71,4.71,4.71,4.71,6,0,700
2016-10-17 12:00:00,1476705600,4.71,4.71,4.71,4.71,3,1,2900
2016-10-17 13:00:00,1476709200,4.52,4.52,4.52,4.52,7,1,17700
2016-10-17 15:00:00,1476716400,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,1,1,2000
2016-10-17 15:30:00,1476718200,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,1,1,500
2016-10-17 16:30:00,1476721800,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,1,1,400
2016-10-17 18:00:00,1476727200,4.51,4.51,4.51,4.51,2,0,900
2016-10-18 10:00:00,1476784800,4.52,4.88,4.52,4.88,11,1,7100
2016-10-18 11:00:00,1476788400,4.57,4.57,4.57,4.57,11,1,11100
2016-10-18 11:30:00,1476790200,4.58,4.58,4.58,4.58,1,1,500
2016-10-18 12:30:00,1476793800,4.58,4.58,4.58,4.58,1,1,500
2016-10-18 13:00:00,1476795600,4.57,4.57,4.57,4.57,1,1,200
2016-10-18 14:00:00,1476799200,4.57,4.57,4.57,4.57,1,1,600
2016-10-18 18:00:00,1476813600,4.42,4.42,4.42,4.42,2,0,300
2016-10-19 10:00:00,1476871200,4.71,4.71,4.62,4.71,6,1,1800
2016-10-19 10:30:00,1476873000,4.71,4.71,4.71,4.71,1,1,200
2016-10-19 12:30:00,1476880200,4.71,4.71,4.71,4.71,1,1,200
2016-10-19 14:00:00,1476885600,4.71,4.71,4.71,4.71,1,1,100
2016-10-20 18:00:00,1476986400,4.88,4.88,4.88,4.88,1,1,100
2016-10-21 12:00:00,1477051200,5.03,5.03,5.03,5.03,1,1,3800
2016-10-21 13:30:00,1477056600,5.07,5.07,5.07,5.07,2,1,400
2016-10-26 16:00:00,1477497600,6.57,6.57,6.57,6.57,9,1,3100
2016-10-26 17:00:00,1477501200,5.9399999999999995,5.9399999999999995,5.9399999999999995,5.9399999999999995,1,1,200
2016-10-27 12:00:00,1477569600,5.9399999999999995,5.95,5.9399999999999995,5.95,2,1,500
2016-10-28 10:30:00,1477650600,5.97,5.97,5.97,5.97,1,1,200
2016-10-28 11:00:00,1477652400,5.97,6.55,5.97,6.55,2,1,1800
2016-10-28 11:30:00,1477654200,5.92,5.92,5.48,5.48,20,1,5400
2016-10-28 12:30:00,1477657800,5.63,5.63,5.63,5.63,2,1,200
2016-10-28 13:00:00,1477659600,5.63,5.63,5.62,5.62,3,1,600
2016-10-28 13:30:00,1477661400,5.62,5.62,5.62,5.62,1,1,100
2016-10-28 14:00:00,1477663200,5.6,5.6,5.6,5.6,1,1,300
2016-10-28 14:30:00,1477665000,5.6,5.6,5.5600000000000005,5.5600000000000005,2,1,300
2016-10-28 15:00:00,1477666800,5.5600000000000005,5.5600000000000005,5.5600000000000005,5.5600000000000005,1,1,100
2016-10-28 16:00:00,1477670400,5.6,5.62,5.55,5.55,3,1,400
2016-10-28 16:30:00,1477672200,5.55,5.55,5.46,5.46,3,1,500
2016-10-28 18:00:00,1477677600,5.37,5.37,5.37,5.37,5,0,700
2016-10-31 11:00:00,1477911600,5.33,5.33,5.33,5.33,2,1,200
2016-10-31 15:00:00,1477926000,5.36,5.36,5.36,5.36,2,1,200
2016-10-31 15:30:00,1477927800,5.44,5.44,5.44,5.44,1,1,200
2016-10-31 16:30:00,1477931400,5.54,5.54,5.54,5.54,2,1,700
2016-11-01 10:00:00,1477994400,5.55,5.55,5.55,5.55,1,1,400
2016-11-01 13:30:00,1478007000,5.38,5.38,5.38,5.38,3,1,500
2016-11-01 18:00:00,1478023200,5.15,5.15,5.15,5.15,1,0,100
2016-11-03 10:00:00,1478167200,5.09,5.09,5.08,5.08,4,1,1200
2016-11-03 10:30:00,1478169000,5.08,5.08,5.08,5.08,1,1,300
2016-11-03 11:00:00,1478170800,5.15,5.15,5.15,5.15,3,1,800
2016-11-03 16:00:00,1478188800,5.15,5.15,5.15,5.15,1,1,200
2016-11-04 10:00:00,1478253600,5.62,5.62,5.62,5.62,1,1,100
2016-11-04 12:30:00,1478262600,5.32,5.32,5.32,5.32,2,1,200
2016-11-04 13:00:00,1478264400,5.32,5.32,5.32,5.32,1,1,100
2016-11-07 10:30:00,1478514600,5.09,5.09,5.09,5.09,3,1,400
2016-11-07 11:00:00,1478516400,5.1,5.1,5.1,5.1,1,1,100
2016-11-07 15:00:00,1478530800,5.08,5.08,5.08,5.08,1,1,100
2016-11-07 16:30:00,1478536200,5.07,5.07,5.07,5.07,1,1,100
2016-11-07 17:30:00,1478539800,5.07,5.07,5.07,5.07,1,1,100
