datetime,time,open,high,low,close,tick_volume,spread,real_volume
2010-06-28 13:30:00,1277731800,21.5,21.5,21.5,21.5,1,0,20
2010-06-28 14:00:00,1277733600,21.5,21.5,21.5,21.5,1,0,30
2010-06-28 14:30:00,1277735400,21.0,21.0,21.0,21.0,1,0,30
2010-06-29 10:30:00,1277807400,21.0,21.0,21.0,21.0,1,0,13
2010-06-29 11:30:00,1277811000,20.75,20.75,20.16,20.16,3,0,108
2010-06-29 12:00:00,1277812800,20.6,20.65,20.6,20.65,3,0,114
2010-06-29 13:00:00,1277816400,20.65,20.65,20.3,20.3,3,0,61
2010-06-29 15:30:00,1277825400,20.65,20.65,20.65,20.65,1,0,15
2010-06-29 16:00:00,1277827200,20.6,20.6,20.6,20.6,1,0,27
2010-06-30 10:00:00,1277892000,20.71,20.71,20.71,20.71,2,0,69
2010-06-30 12:30:00,1277901000,20.9,20.9,20.9,20.9,1,0,4
2010-06-30 13:30:00,1277904600,20.9,20.9,20.9,20.9,1,0,14
2010-06-30 14:00:00,1277906400,20.85,21.39,20.85,21.39,3,0,71
2010-06-30 16:00:00,1277913600,20.89,20.89,20.83,20.83,3,0,42
2010-06-30 16:30:00,1277915400,20.83,20.83,20.71,20.71,4,0,142
2010-07-01 10:00:00,1277978400,20.8,20.8,20.8,20.8,1,0,6
2010-07-01 11:00:00,1277982000,20.8,20.8,20.8,20.8,3,0,69
2010-07-01 11:30:00,1277983800,20.72,20.72,20.72,20.72,1,0,4
2010-07-01 12:30:00,1277987400,20.71,20.71,20.65,20.65,2,0,54
2010-07-01 13:30:00,1277991000,20.25,20.25,20.25,20.25,2,0,92
2010-07-01 14:00:00,1277992800,20.25,20.25,20.1,20.1,3,0,81
2010-07-01 16:30:00,1278001800,20.59,20.6,20.59,20.6,2,0,97
2010-07-02 11:00:00,1278068400,20.6,20.6,20.6,20.6,1,0,17
2010-07-02 11:30:00,1278070200,20.6,20.6,20.6,20.6,1,0,40
2010-07-02 12:00:00,1278072000,20.6,20.6,20.6,20.6,1,0,3
2010-07-02 16:00:00,1278086400,20.8,20.8,20.8,20.8,1,0,4
2010-07-02 16:30:00,1278088200,20.6,20.6,20.6,20.6,1,0,28
2010-07-02 17:30:00,1278091800,20.53,20.53,20.53,20.53,1,0,50
2010-07-05 11:30:00,1278329400,20.53,20.53,20.3,20.3,3,0,100
2010-07-05 13:00:00,1278334800,20.3,20.3,19.96,19.96,9,0,200
2010-07-05 13:30:00,1278336600,19.96,19.96,19.95,19.95,2,0,50
2010-07-05 16:00:00,1278345600,20.0,20.0,20.0,20.0,2,0,42
2010-07-05 16:30:00,1278347400,20.99,20.99,20.99,20.99,1,0,34
2010-07-06 10:00:00,1278410400,20.19,20.19,20.19,20.19,2,0,20
2010-07-06 11:00:00,1278414000,20.3,20.3,20.18,20.18,2,0,26
2010-07-06 11:30:00,1278415800,20.9,20.9,20.9,20.9,1,0,10
2010-07-06 12:30:00,1278419400,20.0,20.0,20.0,20.0,1,0,10
2010-07-06 13:30:00,1278423000,20.1,20.1,20.1,20.1,1,0,8
2010-07-06 14:00:00,1278424800,20.87,20.87,20.87,20.87,1,0,5
2010-07-06 15:30:00,1278430200,20.97,20.97,20.97,20.97,1,0,35
2010-07-06 16:30:00,1278433800,20.6,20.6,20.6,20.6,1,0,5
2010-07-07 10:00:00,1278496800,20.6,20.6,20.6,20.6,2,0,101
2010-07-07 10:30:00,1278498600,20.6,20.6,20.47,20.47,5,0,183
2010-07-07 11:30:00,1278502200,20.47,20.47,20.4,20.4,2,0,17
2010-07-07 12:30:00,1278505800,20.7,20.7,20.7,20.7,1,0,19
2010-07-07 15:30:00,1278516600,20.45,20.45,20.45,20.45,1,0,4
2010-07-07 16:00:00,1278518400,20.45,20.45,19.95,20.0,6,0,165
2010-07-07 16:30:00,1278520200,20.69,20.69,20.69,20.69,2,0,62
2010-07-08 10:00:00,1278583200,20.75,20.75,20.75,20.75,2,0,24
2010-07-08 12:00:00,1278590400,20.18,20.18,20.18,20.18,1,0,40
2010-07-08 12:30:00,1278592200,20.02,20.02,20.02,20.02,1,0,40
2010-07-08 14:00:00,1278597600,20.25,20.25,20.25,20.25,1,0,10
2010-07-08 17:30:00,1278610200,20.1,20.1,20.1,20.1,2,0,10
2010-07-12 10:00:00,1278928800,19.52,19.94,19.52,19.94,3,0,141
2010-07-12 12:00:00,1278936000,19.9,19.9,19.26,19.26,3,0,99
2010-07-12 14:00:00,1278943200,20.0,20.0,19.27,19.27,3,0,138
2010-07-12 15:00:00,1278946800,19.3,19.3,19.3,19.3,1,0,20
2010-07-12 15:30:00,1278948600,19.89,19.89,19.89,19.89,1,0,11
2010-07-13 10:00:00,1279015200,20.46,20.46,20.3,20.3,4,0,161
2010-07-13 12:30:00,1279024200,19.81,19.81,19.81,19.81,1,0,70
2010-07-13 14:30:00,1279031400,19.8,19.8,19.8,19.8,1,0,17
2010-07-13 15:00:00,1279033200,19.7,19.7,19.5,19.5,2,0,90
2010-07-13 16:30:00,1279038600,19.5,19.5,19.5,19.5,2,0,24
2010-07-14 10:00:00,1279101600,19.6,19.6,19.6,19.6,2,0,89
2010-07-14 12:00:00,1279108800,20.24,20.25,20.24,20.25,2,0,68
2010-07-14 13:00:00,1279112400,20.78,20.78,20.5,20.78,4,0,49
2010-07-15 10:30:00,1279189800,20.6,20.6,20.6,20.6,1,0,50
2010-07-15 13:00:00,1279198800,20.39,20.39,20.39,20.39,1,0,49
2010-07-15 14:00:00,1279202400,20.39,20.39,20.39,20.39,1,0,1
2010-07-15 14:30:00,1279204200,20.18,20.18,20.18,20.18,1,0,10
2010-07-15 15:00:00,1279206000,20.28,20.28,20.28,20.28,2,0,69
2010-07-16 12:30:00,1279283400,20.02,20.02,19.96,19.96,3,0,75
2010-07-16 16:30:00,1279297800,20.38,20.38,20.38,20.38,1,0,15
2010-07-19 10:00:00,1279533600,21.88,21.88,21.88,21.88,4,0,47
2010-07-19 11:00:00,1279537200,20.5,20.5,20.5,20.5,1,0,3
2010-07-19 11:30:00,1279539000,20.49,20.49,20.49,20.49,1,0,30
2010-07-19 12:00:00,1279540800,20.88,20.96,20.88,20.96,2,0,7
2010-07-19 12:30:00,1279542600,20.59,20.59,20.59,20.59,1,0,40
2010-07-19 15:30:00,1279553400,20.93,20.93,20.89,20.89,3,0,98
2010-07-19 16:00:00,1279555200,20.99,20.99,20.99,20.99,2,0,25
2010-07-19 16:30:00,1279557000,21.05,21.05,21.05,21.05,2,0,85
2010-07-19 17:30:00,1279560600,20.96,20.96,20.96,20.96,2,0,80
2010-07-20 10:00:00,1279620000,21.0,21.0,21.0,21.0,2,0,26
2010-07-20 10:30:00,1279621800,21.52,21.52,21.5,21.5,2,0,35
2010-07-20 11:00:00,1279623600,21.52,21.63,21.52,21.63,2,0,75
2010-07-20 12:30:00,1279629000,21.79,21.79,21.79,21.79,2,0,32
2010-07-20 13:00:00,1279630800,21.79,21.79,21.75,21.75,2,0,68
2010-07-20 14:30:00,1279636200,21.65,21.65,21.6,21.6,2,0,40
2010-07-20 15:00:00,1279638000,21.65,21.65,21.65,21.65,1,0,38
2010-07-20 15:30:00,1279639800,21.51,21.51,21.51,21.51,1,0,2
2010-07-20 16:30:00,1279643400,21.58,21.65,21.58,21.65,4,0,28
2010-07-20 17:30:00,1279647000,21.76,21.76,21.76,21.76,1,0,40
2010-07-20 18:00:00,1279648800,21.51,21.83,21.51,21.83,5,0,113
2010-07-21 10:00:00,1279706400,22.0,22.0,22.0,22.0,2,0,39
2010-07-21 12:00:00,1279713600,21.58,21.58,21.11,21.11,9,0,39
2010-07-22 10:00:00,1279792800,21.58,21.58,21.58,21.58,1,0,20
2010-07-22 10:30:00,1279794600,22.4,22.4,22.4,22.4,1,0,80
2010-07-22 11:30:00,1279798200,22.5,22.5,22.5,22.5,1,0,15
2010-07-22 12:00:00,1279800000,22.19,22.19,22.19,22.19,1,0,50
2010-07-22 13:00:00,1279803600,22.48,22.48,22.1,22.1,2,0,50
2010-07-22 14:30:00,1279809000,22.1,22.1,22.1,22.1,4,0,70
2010-07-22 15:00:00,1279810800,22.07,22.07,22.07,22.07,1,0,6
2010-07-22 15:30:00,1279812600,21.99,21.99,21.99,21.99,1,0,20
2010-07-22 16:30:00,1279816200,21.62,21.8,21.55,21.8,9,0,306
2010-07-22 18:30:00,1279823400,21.5,21.5,21.5,21.5,1,0,20
2010-07-23 11:30:00,1279884600,21.7,21.8,21.7,21.8,2,0,45
2010-07-23 13:00:00,1279890000,21.88,21.88,21.88,21.88,1,0,60
2010-07-23 15:00:00,1279897200,21.88,21.9,21.88,21.9,2,0,53
2010-07-23 16:30:00,1279902600,21.6,21.6,21.6,21.6,1,0,50
2010-07-26 11:30:00,1280143800,22.09,22.09,22.09,22.09,1,0,50
2010-07-26 15:30:00,1280158200,22.08,22.08,22.08,22.08,1,0,40
2010-07-26 16:30:00,1280161800,22.0,22.0,21.99,21.99,2,0,18
2010-07-27 10:30:00,1280226600,22.2,22.2,22.17,22.17,3,0,75
2010-07-27 11:00:00,1280228400,22.05,22.05,21.95,21.95,2,0,25
2010-07-27 15:30:00,1280244600,22.1,22.1,22.1,22.1,1,0,3
2010-07-27 16:00:00,1280246400,22.1,22.1,21.95,21.95,3,0,100
2010-07-28 11:30:00,1280316600,22.12,22.12,22.12,22.12,1,0,26
2010-07-28 14:00:00,1280325600,22.0,22.0,22.0,22.0,1,0,26
