datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-07-19 10:00:00,1626688800,68.0,68.0,66.0,66.73,507,0,7251
2021-07-19 10:30:00,1626690600,66.5,66.79,64.12,64.98,814,1,12001
2021-07-19 11:00:00,1626692400,64.98,65.08,63.8,63.99,768,1,10538
2021-07-19 11:30:00,1626694200,63.97,64.14,63.0,63.29,874,1,12085
2021-07-19 12:00:00,1626696000,63.3,64.0,63.0,63.7,567,1,7311
2021-07-19 12:30:00,1626697800,63.7,64.35,63.65,64.02,388,1,4635
2021-07-19 13:00:00,1626699600,64.01,65.89,64.01,65.18,359,1,4621
2021-07-19 13:30:00,1626701400,65.02,65.24,64.17,64.28,349,1,3999
2021-07-19 14:00:00,1626703200,64.34,64.5,63.95,64.18,330,1,4306
2021-07-19 14:30:00,1626705000,64.17,64.34,63.2,63.55,445,1,6079
2021-07-19 15:00:00,1626706800,63.46,63.8,63.21,63.34,317,1,4384
2021-07-19 15:30:00,1626708600,63.45,63.5,62.8,62.97,587,1,7804
2021-07-19 16:00:00,1626710400,62.97,63.29,62.9,63.05,297,1,3789
2021-07-19 16:30:00,1626712200,63.02,63.7,63.02,63.36,293,1,3734
2021-07-19 17:00:00,1626714000,62.8,62.8,62.8,62.8,223,0,4094
2021-07-19 17:30:00,1626715800,62.79,63.0,62.06,63.0,265,1,3980
2021-07-20 10:00:00,1626775200,62.5,63.0,61.0,62.5,633,0,9162
2021-07-20 10:30:00,1626777000,62.73,63.0,60.3,60.66,658,1,8816
2021-07-20 11:00:00,1626778800,60.66,61.5,60.51,61.46,457,1,6026
2021-07-20 11:30:00,1626780600,61.25,61.55,60.74,61.0,286,1,3477
2021-07-20 12:00:00,1626782400,61.06,61.51,61.0,61.35,158,1,1959
2021-07-20 12:30:00,1626784200,61.31,61.87,61.3,61.65,163,1,2196
2021-07-20 13:00:00,1626786000,61.68,61.85,61.37,61.8,158,1,2732
2021-07-20 13:30:00,1626787800,61.8,62.24,61.8,62.03,276,1,2402
2021-07-20 14:00:00,1626789600,62.03,62.14,61.68,61.79,149,1,2023
2021-07-20 14:30:00,1626791400,61.75,61.98,61.2,61.29,192,1,2389
2021-07-20 15:00:00,1626793200,61.3,62.11,61.2,61.94,143,1,2382
2021-07-20 15:30:00,1626795000,61.94,62.1,61.8,62.01,111,1,1483
2021-07-20 16:00:00,1626796800,61.91,62.0,61.56,61.8,129,1,2106
2021-07-20 16:30:00,1626798600,61.82,61.85,61.21,61.3,161,1,2644
2021-07-20 17:00:00,1626800400,61.3,61.3,61.3,61.3,35,0,536
2021-07-20 17:30:00,1626802200,61.33,61.35,61.08,61.08,90,1,1238
2021-07-21 10:00:00,1626861600,61.6,62.02,60.3,60.35,537,0,8118
2021-07-21 10:30:00,1626863400,60.3,60.35,59.69,59.75,629,1,9056
2021-07-21 11:00:00,1626865200,59.79,60.0,58.56,58.88,726,1,8318
2021-07-21 11:30:00,1626867000,58.87,58.98,57.7,57.72,656,1,9445
2021-07-21 12:00:00,1626868800,57.82,57.9,57.38,57.4,511,1,7925
2021-07-21 12:30:00,1626870600,57.44,57.5,57.05,57.3,470,1,6237
2021-07-21 13:00:00,1626872400,57.3,57.67,57.16,57.31,256,1,3655
2021-07-21 13:30:00,1626874200,57.31,57.39,56.74,56.75,604,1,9065
2021-07-21 14:00:00,1626876000,56.74,57.27,56.27,56.91,577,1,8447
2021-07-21 14:30:00,1626877800,56.85,57.31,56.43,57.31,386,1,4656
2021-07-21 15:00:00,1626879600,57.31,57.58,57.15,57.45,286,1,4190
2021-07-21 15:30:00,1626881400,57.4,57.82,57.18,57.81,312,1,3757
2021-07-21 16:00:00,1626883200,57.78,58.74,57.7,58.4,361,1,4480
2021-07-21 16:30:00,1626885000,58.48,58.62,58.35,58.58,276,1,3681
2021-07-21 17:00:00,1626886800,57.88,57.88,57.88,57.88,98,0,1692
2021-07-21 17:30:00,1626888600,58.33,58.33,57.23,57.69,150,1,2051
2021-07-22 10:00:00,1626948000,58.24,58.88,57.69,58.05,335,0,5113
2021-07-22 10:30:00,1626949800,58.01,58.01,57.45,57.45,266,1,3639
2021-07-22 11:00:00,1626951600,57.45,58.15,57.4,57.64,197,1,2871
2021-07-22 11:30:00,1626953400,57.55,57.72,57.02,57.17,230,1,3276
2021-07-22 12:00:00,1626955200,57.2,57.43,57.05,57.16,138,1,2008
2021-07-22 12:30:00,1626957000,57.17,57.45,57.11,57.38,97,1,1225
2021-07-22 13:00:00,1626958800,57.38,57.38,57.07,57.16,54,1,692
2021-07-22 13:30:00,1626960600,57.1,57.5,57.1,57.1,169,1,2012
2021-07-22 14:00:00,1626962400,57.1,57.2,57.0,57.05,155,1,1555
2021-07-22 14:30:00,1626964200,57.08,57.14,56.64,57.14,265,1,3033
2021-07-22 15:00:00,1626966000,57.15,57.21,56.84,56.86,124,1,1993
2021-07-22 15:30:00,1626967800,56.87,56.93,56.8,56.82,198,1,2552
2021-07-22 16:00:00,1626969600,56.88,56.9,56.76,56.8,145,1,2166
2021-07-22 16:30:00,1626971400,56.8,57.3,56.8,57.0,159,1,3272
2021-07-22 17:00:00,1626973200,57.5,57.5,57.5,57.5,66,0,1113
2021-07-22 17:30:00,1626975000,57.36,57.58,57.1,57.4,60,3,734
2021-07-23 10:00:00,1627034400,57.5,57.5,56.35,56.48,374,0,5740
2021-07-23 10:30:00,1627036200,56.5,56.6,56.25,56.3,268,1,4660
2021-07-23 11:00:00,1627038000,56.26,56.33,55.81,55.9,444,1,6530
2021-07-23 11:30:00,1627039800,55.89,56.09,55.86,56.0,218,1,3764
2021-07-23 12:00:00,1627041600,56.0,56.0,55.63,55.75,338,1,4299
2021-07-23 12:30:00,1627043400,55.75,55.85,55.56,55.56,217,1,2827
2021-07-23 13:00:00,1627045200,55.59,55.88,55.51,55.82,196,1,2525
2021-07-23 13:30:00,1627047000,55.7,56.0,55.61,55.91,140,1,1856
2021-07-23 14:00:00,1627048800,55.86,56.01,55.86,55.87,146,1,1825
2021-07-23 14:30:00,1627050600,55.95,56.09,55.8,55.92,157,1,1889
2021-07-23 15:00:00,1627052400,55.99,56.4,55.91,56.1,123,1,1855
2021-07-23 15:30:00,1627054200,56.11,56.21,55.9,56.03,129,1,1827
2021-07-23 16:00:00,1627056000,56.0,56.28,55.91,56.14,91,1,1228
2021-07-23 16:30:00,1627057800,56.13,56.46,56.12,56.33,102,1,1650
2021-07-23 17:00:00,1627059600,56.01,56.01,56.01,56.01,38,0,634
2021-07-23 17:30:00,1627061400,56.01,56.3,55.72,55.72,114,1,1594
2021-07-26 10:00:00,1627293600,56.24,56.24,55.0,55.23,353,0,5900
2021-07-26 10:30:00,1627295400,55.22,55.35,54.69,54.88,417,1,5533
2021-07-26 11:00:00,1627297200,54.88,55.25,54.7,55.18,224,1,3100
2021-07-26 11:30:00,1627299000,55.22,55.27,54.91,55.11,171,1,1972
2021-07-26 12:00:00,1627300800,55.09,55.15,54.95,54.97,204,1,2026
