datetime,time,open,high,low,close,tick_volume,spread,real_volume
2013-10-28 10:00:00,1382954400,19.47,19.5,19.1,19.28,684,0,23608
2013-10-28 10:30:00,1382956200,19.3,19.3,19.22,19.23,604,0,18938
2013-10-28 11:00:00,1382958000,19.23,19.28,19.15,19.16,91,0,3338
2013-10-28 11:30:00,1382959800,19.16,19.25,19.14,19.15,47,0,1497
2013-10-28 12:00:00,1382961600,19.15,19.35,19.15,19.25,54,0,1764
2013-10-28 12:30:00,1382963400,19.27,19.37,19.21,19.25,18,0,615
2013-10-28 13:00:00,1382965200,19.26,19.3,19.25,19.3,18,0,245
2013-10-28 13:30:00,1382967000,19.31,19.31,19.29,19.29,2,0,132
2013-10-28 14:30:00,1382970600,19.22,19.22,19.21,19.21,2,0,81
2013-10-28 15:00:00,1382972400,19.21,19.22,19.15,19.17,26,0,873
2013-10-28 15:30:00,1382974200,19.16,19.21,19.15,19.17,30,0,772
2013-10-28 16:00:00,1382976000,19.19,19.21,19.09,19.09,15,0,575
2013-10-28 16:30:00,1382977800,19.09,19.1,19.08,19.08,16,0,582
2013-10-28 17:00:00,1382979600,19.1,19.1,19.1,19.1,4,0,59
2013-10-29 10:00:00,1383040800,18.5,19.1,18.5,19.1,8,0,202
2013-10-29 10:30:00,1383042600,19.07,19.15,19.07,19.15,4,0,45
2013-10-29 11:00:00,1383044400,19.09,19.09,19.09,19.09,2,0,50
2013-10-29 11:30:00,1383046200,19.1,19.19,19.1,19.18,10,0,342
2013-10-29 12:00:00,1383048000,19.15,19.2,19.1,19.12,11,0,331
2013-10-29 12:30:00,1383049800,19.17,19.17,19.17,19.17,1,0,60
2013-10-29 14:00:00,1383055200,19.06,19.06,19.06,19.06,1,0,40
2013-10-29 14:30:00,1383057000,19.04,19.04,19.04,19.04,1,0,22
2013-10-29 15:00:00,1383058800,19.04,19.04,18.96,18.96,5,0,240
2013-10-29 15:30:00,1383060600,19.0,19.0,19.0,19.0,2,0,25
2013-10-29 16:00:00,1383062400,19.02,19.02,19.02,19.02,1,0,35
2013-10-29 16:30:00,1383064200,18.9,18.98,18.9,18.98,4,0,162
2013-10-30 13:30:00,1383139800,18.61,18.61,18.61,18.61,1,0,32
2013-10-30 14:30:00,1383143400,18.68,18.68,18.68,18.68,1,0,54
2013-10-30 15:00:00,1383145200,18.52,18.52,18.52,18.52,1,0,16
2013-10-30 16:00:00,1383148800,18.64,18.64,18.6,18.6,2,0,56
2013-10-30 16:30:00,1383150600,18.54,18.63,18.54,18.63,3,0,60
2013-10-30 17:00:00,1383152400,18.64,18.64,18.64,18.64,1,0,26
2013-10-31 10:00:00,1383213600,18.5,18.69,18.35,18.69,3,0,83
2013-10-31 10:30:00,1383215400,18.7,18.7,18.7,18.7,1,0,5
2013-10-31 12:00:00,1383220800,18.7,18.7,18.7,18.7,1,0,37
2013-10-31 12:30:00,1383222600,18.6,18.6,18.6,18.6,1,0,5
2013-10-31 13:00:00,1383224400,18.68,18.68,18.68,18.68,1,0,55
2013-10-31 14:00:00,1383228000,18.61,18.61,18.61,18.61,1,0,65
2013-10-31 16:00:00,1383235200,19.24,19.25,19.08,19.08,13,0,414
2013-10-31 16:30:00,1383237000,19.09,19.28,19.09,19.17,5,0,151
2013-11-01 11:00:00,1383303600,19.0,19.0,19.0,19.0,2,0,81
2013-11-01 11:30:00,1383305400,19.4,19.41,19.4,19.41,2,0,18
2013-11-01 12:00:00,1383307200,19.41,19.73,19.41,19.73,11,0,483
2013-11-01 12:30:00,1383309000,19.6,19.6,19.6,19.6,1,0,81
2013-11-01 13:30:00,1383312600,19.81,19.81,19.81,19.81,2,0,75
2013-11-01 15:00:00,1383318000,19.66,19.8,19.66,19.8,2,0,11
2013-11-01 16:00:00,1383321600,19.66,19.74,19.66,19.74,2,0,75
2013-11-01 16:30:00,1383323400,19.99,19.99,19.99,19.99,1,0,1
2013-11-01 17:00:00,1383325200,19.89,19.89,19.89,19.89,1,0,6
2013-11-04 10:00:00,1383559200,20.0,20.0,20.0,20.0,2,0,71
2013-11-04 11:00:00,1383562800,20.22,20.6,20.22,20.6,5,0,171
2013-11-04 11:30:00,1383564600,20.5,20.9,20.5,20.9,2,0,70
2013-11-04 12:00:00,1383566400,20.6,20.6,20.6,20.6,1,0,16
2013-11-04 14:30:00,1383575400,20.7,20.7,20.7,20.7,1,0,40
2013-11-04 15:00:00,1383577200,20.77,21.0,20.77,20.9,19,0,555
2013-11-04 15:30:00,1383579000,20.9,20.9,20.9,20.9,2,0,8
2013-11-04 16:00:00,1383580800,20.7,20.7,20.02,20.02,2,0,28
2013-11-05 11:00:00,1383649200,20.85,20.85,20.85,20.85,1,0,1
2013-11-05 11:30:00,1383651000,20.85,20.85,20.85,20.85,2,0,87
2013-11-05 12:00:00,1383652800,20.9,21.0,20.9,21.0,2,0,26
2013-11-05 14:00:00,1383660000,21.5,21.5,21.5,21.5,1,0,40
2013-11-05 16:30:00,1383669000,21.99,21.99,21.99,21.99,3,0,87
2013-11-06 10:00:00,1383732000,21.5,21.5,21.0,21.0,5,0,94
2013-11-06 14:00:00,1383746400,21.12,21.12,21.05,21.05,4,0,127
2013-11-06 15:30:00,1383751800,21.0,21.0,21.0,21.0,1,0,47
2013-11-07 10:00:00,1383818400,20.01,20.01,20.01,20.01,1,0,71
2013-11-07 12:30:00,1383827400,20.71,20.71,20.71,20.71,1,0,16
2013-11-07 14:30:00,1383834600,21.35,21.35,21.35,21.35,1,0,85
2013-11-07 15:00:00,1383836400,21.4,21.4,21.4,21.4,1,0,54
2013-11-07 15:30:00,1383838200,21.44,21.44,21.44,21.44,1,0,1
2013-11-07 17:00:00,1383843600,21.68,21.68,21.68,21.68,2,0,25
2013-11-08 12:30:00,1383913800,21.4,21.4,21.4,21.4,1,0,50
2013-11-08 13:30:00,1383917400,21.25,21.25,21.25,21.25,1,0,13
2013-11-08 16:30:00,1383928200,21.42,21.42,20.02,20.02,4,0,115
2013-11-11 10:30:00,1384165800,21.49,21.49,21.49,21.49,1,0,31
2013-11-11 11:00:00,1384167600,21.49,21.49,21.49,21.49,1,0,48
2013-11-11 14:00:00,1384178400,21.4,21.4,21.4,21.4,1,0,54
2013-11-12 13:30:00,1384263000,21.43,21.43,21.43,21.43,1,0,2
2013-11-12 15:30:00,1384270200,21.3,21.3,21.3,21.3,1,0,47
2013-11-13 11:00:00,1384340400,21.25,21.46,21.25,21.46,3,0,100
2013-11-13 13:00:00,1384347600,21.46,21.46,21.46,21.46,1,0,68
2013-11-13 14:30:00,1384353000,21.65,21.65,21.65,21.65,1,0,50
2013-11-14 10:00:00,1384423200,21.68,21.68,21.68,21.68,1,0,72
2013-11-14 10:30:00,1384425000,20.02,20.02,20.02,20.02,2,0,99
2013-11-14 15:30:00,1384443000,21.13,21.13,21.13,21.13,8,0,30
2013-11-14 16:30:00,1384446600,21.13,21.13,21.13,21.13,1,0,2
2013-11-18 10:00:00,1384768800,21.5,22.0,21.5,22.0,3,0,88
2013-11-18 10:30:00,1384770600,21.91,21.91,21.91,21.91,1,0,71
2013-11-18 12:30:00,1384777800,22.0,22.0,22.0,22.0,2,0,90
2013-11-18 16:00:00,1384790400,20.02,20.02,20.02,20.02,1,0,35
2013-11-18 16:30:00,1384792200,21.88,21.88,21.88,21.88,1,0,19
2013-11-19 12:30:00,1384864200,21.55,21.55,21.55,21.55,1,0,63
2013-11-19 16:30:00,1384878600,21.22,21.22,21.22,21.22,1,0,37
2013-11-22 10:30:00,1385116200,21.07,21.07,21.0,21.0,10,0,360
2013-11-25 13:00:00,1385384400,20.5,20.5,20.5,20.5,1,0,47
2013-11-25 14:00:00,1385388000,20.02,20.02,20.02,20.02,1,0,70
2013-11-25 16:00:00,1385395200,20.99,20.99,20.99,20.99,1,0,65
2013-11-26 12:00:00,1385467200,20.4,20.4,20.4,20.4,1,0,45
2013-11-27 10:00:00,1385546400,21.0,21.0,21.0,21.0,2,0,86
2013-11-27 12:00:00,1385553600,21.4,21.4,21.4,21.4,1,0,25
2013-11-27 15:00:00,1385564400,20.07,20.07,20.07,20.07,1,0,44
2013-11-28 10:00:00,1385632800,21.06,21.06,21.06,21.06,1,0,24
2013-11-28 12:30:00,1385641800,21.06,21.06,21.06,21.06,1,0,16
2013-11-29 17:00:00,1385744400,21.1,21.1,21.1,21.1,1,0,9
2013-12-02 10:00:00,1385978400,21.1,21.1,21.1,21.1,1,0,42
2013-12-02 14:30:00,1385994600,21.2,21.2,21.2,21.2,1,0,27
2013-12-02 16:30:00,1386001800,21.0,21.0,20.5,20.5,2,0,37
2013-12-03 10:30:00,1386066600,20.02,20.02,20.02,20.02,1,0,2
2013-12-03 16:00:00,1386086400,20.57,20.57,20.57,20.57,1,0,32
2013-12-04 10:30:00,1386153000,20.7,20.7,20.7,20.7,1,0,77
2013-12-04 16:30:00,1386174600,20.56,20.56,20.56,20.56,1,0,16
2013-12-06 14:30:00,1386340200,20.21,20.21,20.21,20.21,1,0,25
2013-12-09 16:00:00,1386604800,20.4,20.4,20.4,20.4,1,0,5
2013-12-10 12:00:00,1386676800,20.19,20.19,20.0,20.0,2,0,116
2013-12-10 15:00:00,1386687600,19.7,19.7,19.7,19.7,1,0,26
2013-12-10 16:30:00,1386693000,19.8,19.8,19.8,19.8,1,0,10
2013-12-11 10:00:00,1386756000,20.05,20.05,20.05,20.05,1,0,62
2013-12-11 10:30:00,1386757800,20.0,20.0,20.0,20.0,1,0,54
2013-12-11 15:00:00,1386774000,20.1,20.1,20.1,20.1,1,0,81
2013-12-11 15:30:00,1386775800,20.99,20.99,20.99,20.99,1,0,1
2013-12-12 15:00:00,1386860400,20.05,20.05,20.05,20.05,1,0,62
2013-12-12 15:30:00,1386862200,19.52,19.52,19.52,19.52,1,0,8
2013-12-12 17:00:00,1386867600,19.52,19.52,19.52,19.52,1,0,2
2013-12-13 10:30:00,1386930600,20.18,20.18,20.18,20.18,1,0,43
2013-12-13 12:00:00,1386936000,20.19,20.19,20.19,20.19,1,0,2
2013-12-13 16:30:00,1386952200,20.09,20.09,20.09,20.09,1,0,71
2013-12-16 16:00:00,1387209600,20.0,20.0,20.0,20.0,1,0,38
2013-12-17 10:30:00,1387276200,20.84,20.84,20.84,20.84,1,0,10
2013-12-17 11:00:00,1387278000,20.03,20.8,20.03,20.8,2,0,108
2013-12-17 12:00:00,1387281600,20.99,20.99,20.99,20.99,1,0,49
2013-12-17 12:30:00,1387283400,20.87,20.87,20.86,20.86,4,0,200
2013-12-17 15:00:00,1387292400,20.85,20.85,20.85,20.85,1,0,25
2013-12-17 16:30:00,1387297800,20.81,20.81,20.81,20.81,1,0,11
2013-12-18 15:30:00,1387380600,21.0,21.0,21.0,21.0,1,0,33
2013-12-18 16:00:00,1387382400,20.96,20.96,20.96,20.96,1,0,29
2013-12-19 11:00:00,1387450800,21.3,21.3,21.3,21.3,1,0,69
2013-12-19 15:00:00,1387465200,21.68,21.68,21.68,21.68,2,0,47
2013-12-20 11:00:00,1387537200,21.78,21.78,21.78,21.78,1,0,20
2013-12-20 12:00:00,1387540800,21.4,21.4,21.4,21.4,1,0,95
2013-12-20 13:00:00,1387544400,21.4,21.4,21.4,21.4,1,0,76
2013-12-20 14:00:00,1387548000,20.03,20.03,20.03,20.03,1,0,22
2013-12-20 16:30:00,1387557000,21.3,21.3,21.3,21.3,1,0,76
2013-12-20 17:00:00,1387558800,21.21,21.21,21.21,21.21,2,0,96
2013-12-23 10:00:00,1387792800,21.47,21.47,21.47,21.47,1,0,6
2013-12-23 11:00:00,1387796400,21.55,21.55,21.55,21.55,1,0,78
2013-12-23 15:30:00,1387812600,21.75,21.75,21.75,21.75,1,0,22
2013-12-23 17:00:00,1387818000,21.98,21.98,21.98,21.98,1,0,22
2013-12-26 10:00:00,1388052000,21.72,21.72,21.72,21.72,1,0,81
2013-12-26 10:30:00,1388053800,21.65,21.65,21.65,21.65,1,0,16
2013-12-26 17:00:00,1388077200,21.47,21.47,21.47,21.47,1,0,13
2013-12-27 10:30:00,1388140200,21.47,21.47,21.47,21.47,1,0,31
2013-12-30 10:30:00,1388399400,21.12,21.12,21.12,21.12,1,0,15
2014-01-02 12:00:00,1388664000,20.8,20.8,20.8,20.8,2,0,85
2014-01-02 16:00:00,1388678400,20.55,20.55,20.55,20.55,1,0,15
2014-01-03 11:00:00,1388746800,20.75,20.75,20.75,20.75,2,0,91
2014-01-03 12:00:00,1388750400,20.62,20.62,20.62,20.62,1,0,40
2014-01-03 17:00:00,1388768400,20.02,20.02,20.02,20.02,2,0,50
2014-01-06 15:00:00,1389020400,20.55,20.55,20.55,20.55,1,0,19
2014-01-06 16:00:00,1389024000,20.75,20.75,20.75,20.75,1,0,19
2014-01-06 17:00:00,1389027600,20.01,20.01,20.01,20.01,3,0,50
2014-01-08 12:30:00,1389184200,20.11,20.11,20.11,20.11,1,0,18
2014-01-08 13:30:00,1389187800,20.04,20.04,20.04,20.04,1,0,82
2014-01-09 11:30:00,1389267000,20.27,20.27,20.27,20.27,1,0,8
2014-01-09 12:00:00,1389268800,20.41,20.41,20.41,20.41,1,0,27
2014-01-09 12:30:00,1389270600,20.02,20.02,20.02,20.02,1,0,62
2014-01-09 14:00:00,1389276000,20.01,20.01,20.01,20.01,1,0,11
2014-01-09 15:30:00,1389281400,20.0,20.0,20.0,20.0,1,0,6
2014-01-09 17:00:00,1389286800,19.99,19.99,19.99,19.99,1,0,1
2014-01-10 11:30:00,1389353400,19.02,19.02,19.02,19.02,1,0,49
2014-01-13 10:30:00,1389609000,19.35,19.35,19.35,19.35,1,0,18
2014-01-13 15:00:00,1389625200,19.4,19.4,19.4,19.4,1,0,83
2014-01-13 15:30:00,1389627000,19.36,19.36,19.35,19.35,2,0,88
2014-01-13 16:00:00,1389628800,19.31,19.31,19.31,19.31,1,0,55
2014-01-13 16:30:00,1389630600,19.33,19.33,19.33,19.33,1,0,29
2014-01-13 17:00:00,1389632400,18.9,18.9,18.9,18.9,3,0,50
2014-01-14 10:00:00,1389693600,19.3,19.3,19.3,19.3,1,0,2
2014-01-14 16:30:00,1389717000,19.5,19.5,19.5,19.5,1,0,22
2014-01-15 16:00:00,1389801600,19.97,20.0,19.97,19.97,10,0,312
2014-01-15 17:00:00,1389805200,18.01,18.01,18.01,18.01,2,0,50
2014-01-16 10:30:00,1389868200,19.95,19.95,19.95,19.95,3,0,35
2014-01-16 11:30:00,1389871800,20.05,20.05,20.05,20.05,1,0,20
2014-01-16 13:30:00,1389879000,20.08,20.08,20.08,20.08,1,0,25
2014-01-16 14:30:00,1389882600,20.08,20.08,20.08,20.08,1,0,30
2014-01-16 15:00:00,1389884400,20.08,20.08,20.08,20.08,1,0,20
2014-01-16 15:30:00,1389886200,20.03,20.03,20.03,20.03,1,0,20
2014-01-17 10:30:00,1389954600,20.05,20.05,20.05,20.05,1,0,50
2014-01-17 17:00:00,1389978000,19.04,19.04,19.04,19.04,2,0,50
2014-01-20 16:00:00,1390233600,19.88,19.88,19.88,19.88,1,0,35
2014-01-20 16:30:00,1390235400,19.89,19.92,19.89,19.92,2,0,35
2014-01-21 13:00:00,1390309200,19.6,19.6,19.6,19.6,1,0,25
2014-01-21 14:00:00,1390312800,19.57,19.57,19.57,19.57,1,0,25
2014-01-21 17:00:00,1390323600,19.15,19.15,19.15,19.15,2,0,50
2014-01-22 15:00:00,1390402800,19.01,19.01,19.01,19.01,1,0,60
2014-01-22 15:30:00,1390404600,19.12,19.12,19.12,19.12,1,0,7
2014-01-23 13:00:00,1390482000,19.0,19.0,19.0,19.0,2,0,65
2014-01-23 17:00:00,1390496400,18.55,18.55,18.55,18.55,2,0,50
2014-01-24 12:00:00,1390564800,18.65,18.65,18.65,18.65,1,0,10
2014-01-24 14:30:00,1390573800,18.6,18.6,18.6,18.6,1,0,50
2014-01-27 11:30:00,1390822200,18.95,18.95,18.95,18.95,1,0,54
2014-01-27 15:30:00,1390836600,18.03,18.03,18.03,18.03,1,0,50
