datetime,time,open,high,low,close,tick_volume,spread,real_volume
2018-12-26 17:00:00,1545843600,18.99,18.99,18.99,18.99,1,179,1
2018-12-27 11:00:00,1545908400,18.7,18.7,18.7,18.7,1,15,1
2018-12-27 12:00:00,1545912000,18.2,18.2,18.2,18.2,1,15,1
2018-12-27 12:30:00,1545913800,18.05,18.05,18.05,18.05,1,15,25
2018-12-27 13:30:00,1545917400,18.05,18.05,18.05,18.05,1,69,56
2018-12-27 17:30:00,1545931800,18.2,18.2,18.2,18.2,1,330,5
2019-01-03 13:00:00,1546520400,18.59,18.59,18.59,18.59,1,40,4
2019-01-03 13:30:00,1546522200,18.59,18.59,18.56,18.56,2,5,55
2019-01-03 14:30:00,1546525800,18.56,18.56,18.56,18.56,1,48,15
2019-01-03 15:00:00,1546527600,18.51,18.51,18.51,18.51,1,41,24
2019-01-03 16:30:00,1546533000,18.58,18.58,18.58,18.58,1,139,5
2019-01-04 17:30:00,1546623000,18.55,18.55,18.55,18.55,1,90,5
2019-01-07 10:00:00,1546855200,18.6,19.0,18.6,19.0,2,90,59
2019-01-07 11:30:00,1546860600,18.1,18.1,17.15,17.15,2,95,10
2019-01-07 13:30:00,1546867800,17.8,17.8,17.8,17.8,1,44,5
2019-01-07 15:30:00,1546875000,17.75,17.75,17.75,17.75,1,24,5
2019-01-07 17:00:00,1546880400,17.75,17.75,17.75,17.75,1,105,38
2019-01-08 10:00:00,1546941600,18.2,18.2,18.2,18.2,1,20,5
2019-01-08 14:00:00,1546956000,18.0,18.0,18.0,18.0,1,20,5
2019-01-08 15:00:00,1546959600,17.6,17.6,17.6,17.6,1,20,5
2019-01-08 15:30:00,1546961400,17.6,17.6,17.6,17.6,1,10,3
2019-01-08 16:00:00,1546963200,17.6,17.6,17.6,17.6,1,80,30
2019-01-09 11:30:00,1547033400,18.2,18.2,18.2,18.2,1,50,5
2019-01-09 14:00:00,1547042400,18.5,18.5,18.42,18.42,2,10,10
2019-01-09 15:30:00,1547047800,17.6,17.6,17.6,17.6,1,160,5
2019-01-10 12:00:00,1547121600,17.5,17.5,17.5,17.5,1,27,5
2019-01-10 15:00:00,1547132400,17.42,17.42,17.4,17.4,2,27,18
2019-01-10 17:00:00,1547139600,17.7,17.7,17.7,17.7,1,159,9
2019-01-10 17:30:00,1547141400,17.41,17.41,17.4,17.4,3,0,50
2019-01-10 18:00:00,1547143200,17.15,17.15,17.15,17.15,3,185,29
2019-01-11 16:30:00,1547224200,17.91,17.91,17.91,17.91,1,97,5
2019-01-14 10:00:00,1547460000,17.71,17.71,17.71,17.71,1,49,1
2019-01-14 12:00:00,1547467200,18.18,18.18,18.18,18.18,1,50,3
2019-01-14 12:30:00,1547469000,17.68,17.68,17.61,17.61,2,15,10
2019-01-14 16:30:00,1547483400,18.03,18.03,18.01,18.01,2,15,5
2019-01-15 11:30:00,1547551800,18.19,18.19,18.19,18.19,1,15,75
2019-01-15 12:30:00,1547555400,18.19,18.19,18.19,18.19,1,9,10
2019-01-15 13:00:00,1547557200,18.19,18.2,18.19,18.2,2,3,151
2019-01-15 15:30:00,1547566200,18.24,18.24,18.24,18.24,1,86,4
2019-01-15 16:30:00,1547569800,18.23,18.23,18.23,18.23,1,98,5
2019-01-15 17:30:00,1547573400,18.12,18.12,18.12,18.12,2,71,17
2019-01-16 11:00:00,1547636400,17.85,17.85,17.85,17.85,1,129,5
2019-01-16 11:30:00,1547638200,17.8,17.8,17.8,17.8,1,18,1
2019-01-16 12:30:00,1547641800,18.0,18.0,18.0,18.0,1,24,1
2019-01-16 17:00:00,1547658000,19.1,19.1,19.1,19.1,1,88,10
2019-01-16 17:30:00,1547659800,19.0,19.0,18.86,18.86,2,88,100
2019-01-17 10:00:00,1547719200,18.94,18.94,18.94,18.94,2,10,4
2019-01-17 13:00:00,1547730000,18.9,19.0,18.9,19.0,4,15,8
2019-01-17 13:30:00,1547731800,19.15,19.15,19.15,19.15,1,1,92
2019-01-17 17:30:00,1547746200,18.97,18.97,18.97,18.97,2,77,64
2019-01-18 11:00:00,1547809200,19.0,19.0,19.0,19.0,1,98,1
2019-01-18 14:00:00,1547820000,19.74,19.74,19.74,19.74,1,100,30
2019-01-18 15:00:00,1547823600,18.75,18.75,18.7,18.7,2,5,2
2019-01-18 15:30:00,1547825400,18.77,18.77,18.76,18.76,3,1,29
2019-01-18 16:00:00,1547827200,18.71,18.72,18.7,18.7,3,1,150
2019-01-18 17:30:00,1547832600,18.5,18.5,18.5,18.5,1,21,1
2019-01-18 18:00:00,1547834400,18.21,18.21,18.21,18.21,3,21,17
2019-01-21 14:30:00,1548081000,18.22,18.22,18.22,18.22,3,87,25
2019-01-22 15:00:00,1548169200,18.97,18.98,18.97,18.98,2,75,10
2019-01-23 12:30:00,1548246600,18.85,18.85,18.85,18.85,1,35,1
2019-01-23 16:00:00,1548259200,18.85,18.85,18.5,18.5,3,1,16
2019-01-23 17:30:00,1548264600,18.55,18.84,18.55,18.84,2,30,11
2019-01-28 10:30:00,1548671400,18.22,18.22,18.2,18.2,2,1,25
2019-01-28 17:30:00,1548696600,18.19,18.3,18.19,18.3,7,1,51
2019-01-30 11:00:00,1548846000,18.5,18.5,18.5,18.5,1,81,2
2019-01-30 11:30:00,1548847800,19.1,19.1,19.1,19.1,1,27,70
2019-01-30 12:00:00,1548849600,19.48,21.0,19.48,21.0,12,1,311
2019-01-30 12:30:00,1548851400,21.0,24.0,20.21,24.0,11,0,229
2019-01-30 13:00:00,1548853200,25.99,25.99,23.05,23.05,5,34,57
2019-01-30 13:30:00,1548855000,24.0,25.89,24.0,25.89,7,32,172
2019-01-30 14:00:00,1548856800,25.89,25.9,23.0,23.0,8,6,150
2019-01-30 14:30:00,1548858600,23.01,23.01,23.01,23.01,1,19,10
2019-01-30 15:30:00,1548862200,24.8,24.8,24.8,24.8,3,1,80
2019-01-30 16:00:00,1548864000,24.79,24.79,24.79,24.79,3,21,140
2019-01-30 16:30:00,1548865800,25.0,25.0,24.95,24.95,3,1,15
2019-01-30 17:00:00,1548867600,24.95,24.95,24.08,24.08,3,121,140
2019-01-30 17:30:00,1548869400,24.09,24.73,24.09,24.73,2,126,67
2019-01-30 18:00:00,1548871200,24.08,24.08,24.08,24.08,1,777,12
2019-01-31 10:00:00,1548928800,25.0,25.0,25.0,25.0,2,199,100
2019-01-31 10:30:00,1548930600,25.0,25.0,25.0,25.0,4,88,82
2019-01-31 11:30:00,1548934200,26.62,26.62,26.0,26.0,2,169,5
2019-01-31 12:30:00,1548937800,26.3,26.3,26.3,26.3,4,11,19
2019-01-31 13:00:00,1548939600,26.5,26.5,26.3,26.3,7,7,213
2019-01-31 13:30:00,1548941400,27.7,27.99,27.0,27.0,10,98,240
2019-01-31 14:00:00,1548943200,27.7,27.7,26.86,26.86,3,113,70
2019-01-31 14:30:00,1548945000,26.45,26.45,26.45,26.45,1,1,20
2019-01-31 15:30:00,1548948600,26.91,27.15,26.91,27.15,2,84,19
2019-01-31 16:00:00,1548950400,27.06,27.06,26.32,26.32,6,3,125
2019-01-31 16:30:00,1548952200,26.0,26.0,26.0,26.0,1,199,1
2019-01-31 17:30:00,1548955800,26.0,26.0,25.81,25.81,2,30,20
2019-02-01 10:00:00,1549015200,25.6,25.62,25.6,25.62,5,0,152
2019-02-01 10:30:00,1549017000,27.99,27.99,27.99,27.99,1,71,50
2019-02-01 11:00:00,1549018800,26.35,27.1,26.35,27.1,3,14,111
2019-02-01 11:30:00,1549020600,26.5,26.5,26.01,26.01,2,191,32
2019-02-01 13:00:00,1549026000,27.99,27.99,27.99,27.99,1,52,35
2019-02-01 13:30:00,1549027800,26.6,26.6,26.6,26.6,1,138,5
2019-02-01 17:00:00,1549040400,26.61,26.61,26.61,26.61,1,139,5
2019-02-04 10:00:00,1549274400,26.89,26.89,26.61,26.61,4,0,125
2019-02-04 10:30:00,1549276200,23.47,27.99,23.47,27.99,5,0,29
2019-02-04 11:00:00,1549278000,27.99,27.99,27.99,27.99,2,150,60
2019-02-04 11:30:00,1549279800,28.0,28.0,28.0,28.0,1,100,1
2019-02-04 12:00:00,1549281600,28.0,28.0,28.0,28.0,3,100,64
2019-02-04 12:30:00,1549283400,28.0,28.0,23.48,23.48,4,0,46
2019-02-04 13:30:00,1549287000,27.0,27.6,27.0,27.6,5,0,15
2019-02-04 14:30:00,1549290600,27.8,27.95,27.8,27.95,3,5,8
2019-02-04 17:30:00,1549301400,29.0,29.0,27.97,27.97,2,0,14
2019-02-05 11:00:00,1549364400,28.4,28.4,28.38,28.38,3,10,30
2019-02-05 12:00:00,1549368000,28.41,28.41,28.2,28.2,4,14,100
2019-02-05 12:30:00,1549369800,28.34,28.34,28.34,28.34,1,378,2
2019-02-05 13:00:00,1549371600,28.21,28.21,28.21,28.21,1,8,1
2019-02-05 14:00:00,1549375200,28.2,28.2,27.51,27.51,8,1,328
2019-02-05 14:30:00,1549377000,27.69,27.69,26.9,26.9,4,10,158
2019-02-05 17:00:00,1549386000,28.0,28.0,28.0,28.0,1,31,1
2019-02-05 17:30:00,1549387800,27.7,28.01,27.7,28.01,2,27,43
2019-02-06 10:00:00,1549447200,28.5,28.5,27.75,27.75,4,0,45
2019-02-06 12:00:00,1549454400,27.6,27.6,27.6,27.6,1,548,9
2019-02-06 12:30:00,1549456200,26.51,26.51,26.51,26.51,1,1277,10
2019-02-07 10:30:00,1549535400,27.99,27.99,27.99,27.99,1,200,1
2019-02-07 11:00:00,1549537200,27.99,27.99,27.99,27.99,1,71,8
2019-02-07 12:00:00,1549540800,27.92,28.37,27.92,28.37,11,62,500
2019-02-07 12:30:00,1549542600,28.37,28.37,28.37,28.37,1,30,1
2019-02-07 13:30:00,1549546200,28.76,28.76,28.76,28.76,1,1,50
2019-02-07 14:30:00,1549549800,28.46,28.46,27.9,27.9,5,1,58
2019-02-07 16:30:00,1549557000,27.92,27.92,27.2,27.2,2,105,4
2019-02-07 17:30:00,1549560600,27.71,27.71,27.71,27.71,1,1277,47
2019-02-08 10:30:00,1549621800,27.76,27.76,27.21,27.21,2,79,25
2019-02-08 11:30:00,1549625400,27.5,27.5,27.5,27.5,1,48,50
2019-02-08 14:00:00,1549634400,27.51,27.51,27.51,27.51,1,49,12
2019-02-08 16:30:00,1549643400,28.0,28.0,28.0,28.0,1,248,50
2019-02-08 17:00:00,1549645200,27.51,27.51,27.51,27.51,1,44,20
2019-02-08 17:30:00,1549647000,27.95,27.95,27.95,27.95,1,261,5
2019-02-11 10:00:00,1549879200,27.99,27.99,27.99,27.99,1,29,25
2019-02-11 12:00:00,1549886400,27.8,27.82,27.8,27.82,3,1,49
2019-02-11 12:30:00,1549888200,27.6,27.6,27.6,27.6,1,49,2
2019-02-11 13:00:00,1549890000,27.5,27.5,27.5,27.5,1,3,1
2019-02-11 13:30:00,1549891800,27.4,27.4,27.4,27.4,1,49,1
2019-02-11 15:30:00,1549899000,27.5,27.5,27.41,27.41,3,49,50
2019-02-11 17:00:00,1549904400,27.99,27.99,27.99,27.99,1,59,1
2019-02-11 17:30:00,1549906200,28.0,28.0,28.0,28.0,1,89,22
2019-02-11 18:00:00,1549908000,28.9,28.9,28.9,28.9,1,350,7
2019-02-12 15:00:00,1549983600,27.5,27.5,27.5,27.5,1,298,8
2019-02-12 15:30:00,1549985400,27.01,27.01,27.01,27.01,1,350,1
2019-02-13 15:30:00,1550071800,29.98,29.98,29.98,29.98,2,0,33
2019-02-13 16:00:00,1550073600,27.69,27.69,27.64,27.68,3,49,38
2019-02-14 15:00:00,1550156400,27.4,27.47,27.4,27.47,2,6,128
2019-02-14 15:30:00,1550158200,27.0,27.0,27.0,27.0,1,6,15
2019-02-14 16:00:00,1550160000,27.0,27.0,26.51,26.51,2,1,58
2019-02-14 17:30:00,1550165400,26.71,26.72,26.3,26.3,5,76,64
2019-02-15 10:30:00,1550226600,26.5,26.5,26.5,26.5,1,350,1
2019-02-15 13:30:00,1550237400,26.5,26.5,26.29,26.29,2,21,14
2019-02-15 14:00:00,1550239200,25.71,25.71,24.2,24.2,6,1,110
2019-02-15 15:00:00,1550242800,25.0,25.05,25.0,25.05,2,4,2
2019-02-15 16:30:00,1550248200,25.16,25.16,25.16,25.16,1,150,1
2019-02-15 17:30:00,1550251800,25.5,25.5,25.37,25.37,2,150,57
2019-02-18 11:30:00,1550489400,21.51,24.29,21.51,24.29,15,0,136
