datetime,time,open,high,low,close,tick_volume,spread,real_volume
2018-12-26 10:00:00,1545818400,18.2,18.25,17.5,18.25,11,0,4100
2018-12-26 10:30:00,1545820200,18.4,18.85,17.7,18.16,10,0,8700
2018-12-26 11:00:00,1545822000,17.71,17.71,17.7,17.7,4,1,400
2018-12-26 11:30:00,1545823800,17.8,18.8,17.74,18.73,15,0,7100
2018-12-26 12:00:00,1545825600,18.5,18.89,18.03,18.24,26,0,3800
2018-12-26 12:30:00,1545827400,18.5,18.5,18.5,18.5,1,50,100
2018-12-26 13:30:00,1545831000,18.3,18.3,18.3,18.3,1,33,100
2018-12-26 14:00:00,1545832800,18.27,18.27,18.18,18.18,5,1,4000
2018-12-26 15:00:00,1545836400,18.6,18.84,18.6,18.84,7,0,1600
2018-12-26 15:30:00,1545838200,18.78,18.78,18.78,18.78,1,28,100
2018-12-26 16:30:00,1545841800,18.5,18.5,18.3,18.32,6,0,1600
2018-12-26 17:00:00,1545843600,18.78,18.95,18.3,18.79,23,0,2900
2018-12-26 17:30:00,1545845400,18.5,18.9,18.26,18.3,28,0,3800
2018-12-26 18:00:00,1545847200,18.75,18.75,18.75,18.75,14,0,1900
2018-12-27 10:00:00,1545904800,18.75,19.0,18.47,18.85,25,1,18300
2018-12-27 10:30:00,1545906600,18.91,18.91,18.1,18.3,9,10,3400
2018-12-27 11:30:00,1545910200,18.2,18.2,18.2,18.2,3,8,500
2018-12-27 12:30:00,1545913800,18.2,18.2,17.6,17.6,16,0,6400
2018-12-27 13:00:00,1545915600,17.99,18.55,17.99,18.55,14,8,6100
2018-12-27 14:30:00,1545921000,18.35,18.35,18.3,18.3,2,19,200
2018-12-27 15:00:00,1545922800,18.3,18.3,18.11,18.11,7,22,700
2018-12-27 15:30:00,1545924600,18.11,18.11,18.01,18.02,6,24,600
2018-12-27 16:00:00,1545926400,18.05,18.28,17.61,17.8,14,8,4600
2018-12-27 16:30:00,1545928200,17.55,17.89,17.55,17.85,13,7,1600
