datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-07-28 10:00:00,1627466400,18.53,19.25,18.53,19.18,4459,0,74962
2021-07-28 10:30:00,1627468200,19.18,20.27,19.1,19.82,4069,1,65398
2021-07-28 11:00:00,1627470000,19.82,20.05,19.56,19.91,2000,1,13520
2021-07-28 11:30:00,1627471800,19.92,20.59,19.91,20.44,1841,1,10697
2021-07-28 12:00:00,1627473600,20.35,20.69,20.21,20.54,1741,1,8239
2021-07-28 12:30:00,1627475400,20.55,20.72,20.2,20.25,1583,1,5794
2021-07-28 13:00:00,1627477200,20.29,20.62,20.19,20.59,1532,1,5362
2021-07-28 13:30:00,1627479000,20.5,20.7,20.39,20.39,1501,1,4660
2021-07-28 14:00:00,1627480800,20.39,20.39,20.21,20.21,1439,1,3133
2021-07-28 14:30:00,1627482600,20.2,20.3,19.99,20.09,1501,1,3916
2021-07-28 15:00:00,1627484400,20.04,20.3,20.03,20.12,1442,1,2814
2021-07-28 15:30:00,1627486200,20.13,20.38,20.11,20.24,1419,1,3426
2021-07-28 16:00:00,1627488000,20.24,22.0,20.2,21.6,1808,1,13946
2021-07-28 16:30:00,1627489800,21.6,23.6,21.48,22.49,1137,1,9080
2021-07-28 17:00:00,1627491600,22.16,22.16,22.16,22.16,22,0,345
2021-07-28 17:30:00,1627493400,22.16,22.49,21.83,22.2,88,1,1377
2021-07-29 10:00:00,1627552800,21.49,22.21,20.5,22.18,303,0,6674
2021-07-29 10:30:00,1627554600,22.16,22.16,21.29,21.72,276,1,4810
2021-07-29 11:00:00,1627556400,21.73,21.73,21.28,21.44,210,1,1962
2021-07-29 11:30:00,1627558200,21.5,21.68,21.05,21.06,329,1,3060
2021-07-29 12:00:00,1627560000,21.07,21.18,20.6,20.6,636,1,5093
2021-07-29 12:30:00,1627561800,20.99,21.18,20.96,21.14,472,1,1833
2021-07-29 13:00:00,1627563600,21.14,21.5,21.11,21.38,183,1,1362
2021-07-29 13:30:00,1627565400,21.37,21.47,21.26,21.33,168,1,1042
2021-07-29 14:00:00,1627567200,21.3,21.5,21.13,21.44,160,1,1246
2021-07-29 14:30:00,1627569000,21.44,21.6,21.25,21.51,212,1,1501
2021-07-29 15:00:00,1627570800,21.5,21.84,21.32,21.6,283,1,1434
2021-07-29 15:30:00,1627572600,21.57,21.75,21.52,21.74,152,1,781
2021-07-29 16:00:00,1627574400,21.8,21.82,21.05,21.47,146,1,1048
2021-07-29 16:30:00,1627576200,21.48,21.8,21.22,21.8,162,1,2044
2021-07-29 17:00:00,1627578000,21.8,21.8,21.8,21.8,22,0,446
2021-07-29 17:30:00,1627579800,21.8,22.0,21.79,22.0,30,1,354
2021-07-30 10:00:00,1627639200,20.92,21.77,20.92,21.56,49,1,839
