datetime,time,open,high,low,close,tick_volume,spread,real_volume
2011-02-02 11:30:00,1296646200,21.44,21.44,20.72,21.07,2699,0,92770
2011-02-02 12:00:00,1296648000,21.07,21.59,21.05,21.36,1050,0,38102
2011-02-02 12:30:00,1296649800,21.35,21.83,21.34,21.7,426,0,15052
2011-02-02 13:00:00,1296651600,21.71,21.98,21.57,21.59,233,0,8779
2011-02-02 13:30:00,1296653400,21.47,21.55,21.14,21.42,207,0,6771
2011-02-02 14:00:00,1296655200,21.31,21.37,21.28,21.36,120,0,4630
2011-02-02 14:30:00,1296657000,21.33,21.33,21.14,21.14,70,0,2896
2011-02-02 15:00:00,1296658800,21.14,21.17,21.05,21.11,95,0,3686
2011-02-02 15:30:00,1296660600,21.1,21.14,21.05,21.09,319,0,11107
2011-02-02 16:00:00,1296662400,21.09,21.21,21.09,21.16,91,0,3476
2011-02-02 16:30:00,1296664200,21.15,21.18,21.11,21.16,74,0,2811
2011-02-02 17:00:00,1296666000,21.17,21.3,21.17,21.24,105,0,4293
2011-02-02 17:30:00,1296667800,21.24,21.26,20.99,21.1,210,0,6937
2011-02-03 11:00:00,1296730800,21.0,21.07,20.8,20.9,115,0,3925
2011-02-03 11:30:00,1296732600,20.9,20.99,20.9,20.99,43,0,1465
2011-02-03 12:00:00,1296734400,20.95,20.95,20.8,20.89,35,0,1111
2011-02-03 12:30:00,1296736200,20.96,21.01,20.9,20.91,50,0,1559
2011-02-03 13:00:00,1296738000,20.93,20.97,20.89,20.97,22,0,811
2011-02-03 13:30:00,1296739800,20.91,20.91,20.89,20.91,15,0,468
2011-02-03 14:00:00,1296741600,20.9,20.9,20.89,20.89,13,0,455
2011-02-03 14:30:00,1296743400,20.89,20.9,20.89,20.89,18,0,615
2011-02-03 15:00:00,1296745200,20.89,20.93,20.89,20.93,19,0,624
2011-02-03 15:30:00,1296747000,20.91,20.95,20.89,20.92,11,0,363
2011-02-03 16:00:00,1296748800,20.93,21.0,20.93,20.95,22,0,672
2011-02-03 16:30:00,1296750600,20.92,20.97,20.89,20.9,28,0,984
2011-02-03 17:00:00,1296752400,20.9,20.9,20.89,20.9,14,0,404
2011-02-03 17:30:00,1296754200,20.9,20.93,20.62,20.9,33,0,997
2011-02-03 18:30:00,1296757800,20.93,21.0,20.93,21.0,23,0,525
2011-02-03 19:00:00,1296759600,21.0,21.0,21.0,21.0,3,0,100
2011-02-04 11:00:00,1296817200,20.9,20.9,20.9,20.9,13,0,486
2011-02-04 11:30:00,1296819000,20.99,21.2,20.99,21.02,44,0,1287
2011-02-04 12:00:00,1296820800,20.9,20.9,20.9,20.9,5,0,162
2011-02-04 12:30:00,1296822600,20.9,20.96,20.9,20.95,9,0,279
2011-02-04 13:00:00,1296824400,20.9,20.9,20.89,20.89,6,0,216
