datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-03-01 11:00:00,1614596400,72.01,74.41,72.0,72.0,2236,0,1942800
2021-03-01 11:30:00,1614598200,73.0,73.4,72.0,73.1,2336,0,1354000
2021-03-01 12:00:00,1614600000,73.07,73.13,69.38,70.1,2174,1,869400
2021-03-01 12:30:00,1614601800,70.1,71.61,69.68,70.86,1870,1,857600
2021-03-01 13:00:00,1614603600,70.79,76.03,70.46,74.0,2591,0,820000
2021-03-01 13:30:00,1614605400,74.0,74.01,71.05,71.32,2351,1,2090300
2021-03-01 14:00:00,1614607200,71.39,72.17,70.82,71.15,1155,1,337100
2021-03-01 14:30:00,1614609000,71.2,71.43,70.82,71.0,1757,1,631700
2021-03-01 15:00:00,1614610800,71.0,71.35,70.82,70.9,1841,1,500800
2021-03-01 15:30:00,1614612600,70.99,71.21,70.61,71.02,1987,1,538000
2021-03-01 16:00:00,1614614400,71.06,72.4,71.02,71.85,2034,1,457700
2021-03-01 16:30:00,1614616200,71.87,71.9,71.21,71.34,1710,1,375800
2021-03-01 17:00:00,1614618000,71.33,71.75,71.21,71.5,2361,1,748700
2021-03-01 17:30:00,1614619800,71.49,71.75,71.24,71.53,2004,1,463700
2021-03-01 18:00:00,1614621600,71.4,71.4,71.4,71.4,185,0,830000
2021-03-02 10:00:00,1614679200,70.41,70.41,68.48,69.7,522,0,173000
2021-03-02 10:30:00,1614681000,69.63,71.05,69.0,70.85,624,1,118600
2021-03-02 11:00:00,1614682800,70.65,70.74,69.4,70.05,1410,1,228700
2021-03-02 11:30:00,1614684600,70.05,70.33,69.51,69.71,1070,1,174500
2021-03-02 12:00:00,1614686400,69.7,70.3,69.59,69.84,694,1,94400
2021-03-02 12:30:00,1614688200,69.98,70.7,69.85,70.5,683,1,113100
2021-03-02 13:00:00,1614690000,70.6,70.6,69.69,69.99,846,1,147700
2021-03-02 13:30:00,1614691800,70.0,70.56,69.89,70.22,887,1,133300
2021-03-02 14:00:00,1614693600,70.22,70.41,69.6,70.05,847,1,129600
2021-03-02 14:30:00,1614695400,70.05,70.3,69.94,70.29,1206,1,158100
2021-03-02 15:00:00,1614697200,70.27,70.52,70.1,70.45,1274,1,199800
2021-03-02 15:30:00,1614699000,70.44,71.44,70.0,71.31,992,1,126400
2021-03-02 16:00:00,1614700800,71.34,72.32,70.61,71.95,1462,1,195100
2021-03-02 16:30:00,1614702600,72.07,73.5,71.6,73.14,1904,1,261300
2021-03-02 17:00:00,1614704400,73.13,74.0,72.67,73.89,1983,1,303000
2021-03-02 17:30:00,1614706200,73.87,73.89,71.83,72.3,1547,1,235800
2021-03-02 18:00:00,1614708000,72.5,72.5,72.5,72.5,97,0,148700
2021-03-03 10:00:00,1614765600,71.79,72.2,71.29,71.97,347,0,284500
2021-03-03 10:30:00,1614767400,71.69,71.87,69.82,70.12,845,1,120500
2021-03-03 11:00:00,1614769200,70.2,70.69,69.9,70.05,881,1,125300
2021-03-03 11:30:00,1614771000,69.96,71.31,69.95,70.14,1366,1,245900
2021-03-03 12:00:00,1614772800,70.05,70.43,69.91,70.12,987,1,134100
2021-03-03 12:30:00,1614774600,70.13,70.44,69.74,69.86,1115,1,187100
2021-03-03 13:00:00,1614776400,69.86,70.32,69.86,70.14,520,1,63300
2021-03-03 13:30:00,1614778200,70.15,70.28,69.55,69.57,738,1,170300
2021-03-03 14:00:00,1614780000,69.59,69.64,69.55,69.6,735,1,163900
2021-03-03 14:30:00,1614781800,69.61,70.5,69.4,70.22,1033,1,309400
2021-03-03 15:00:00,1614783600,70.23,70.3,69.5,70.28,911,1,124100
2021-03-03 15:30:00,1614785400,70.28,70.3,70.0,70.14,756,1,121500
