datetime,time,open,high,low,close,tick_volume,spread,real_volume
2018-03-06 12:30:00,1520339400,4.1,4.1,4.1,4.1,1,1,1
2018-03-09 10:00:00,1520589600,3.95,4.1,3.95,4.1,3,1,85
2018-03-09 16:00:00,1520611200,4.48,4.5,4.48,4.5,4,1,45
2018-03-12 13:00:00,1520859600,4.18,4.18,4.18,4.18,1,1,25
2018-03-13 11:00:00,1520938800,4.15,4.15,4.15,4.15,1,1,50
2018-03-13 16:00:00,1520956800,4.48,4.48,4.48,4.48,1,1,10
2018-03-14 10:30:00,1521023400,4.61,4.61,4.61,4.61,1,1,50
2018-03-15 12:00:00,1521115200,4.51,4.51,4.51,4.51,1,1,15
2018-03-15 15:30:00,1521127800,4.55,4.65,4.55,4.65,4,1,99
2018-03-15 16:00:00,1521129600,4.62,4.62,4.62,4.62,1,1,1
2018-03-16 15:30:00,1521214200,4.6,4.6,4.6,4.6,1,1,5
2018-03-16 16:00:00,1521216000,4.6,5.0,4.6,5.0,7,1,91
2018-03-16 16:30:00,1521217800,5.0,5.0,5.0,5.0,1,1,6
2018-03-19 10:00:00,1521453600,4.55,4.55,4.55,4.55,1,1,45
2018-03-19 15:30:00,1521473400,4.7,4.7,4.7,4.7,1,1,20
2018-03-20 14:30:00,1521556200,4.38,4.38,4.38,4.38,1,1,31
2018-03-20 15:00:00,1521558000,4.38,4.38,4.38,4.38,1,1,5
2018-03-21 10:00:00,1521626400,4.3,4.3,4.3,4.3,1,1,50
2018-03-21 11:30:00,1521631800,4.2,4.2,4.2,4.2,2,1,50
2018-03-21 13:30:00,1521639000,4.48,4.48,4.48,4.48,1,1,5
2018-03-22 16:00:00,1521734400,4.25,4.25,4.25,4.25,1,1,50
2018-03-23 12:30:00,1521808200,4.55,4.55,4.55,4.55,2,1,75
2018-03-23 15:30:00,1521819000,4.6,4.6,4.6,4.6,1,1,15
2018-03-23 16:30:00,1521822600,4.61,4.61,4.61,4.61,1,1,15
2018-03-26 10:00:00,1522058400,4.8,4.95,4.8,4.95,2,1,92
