datetime,time,open,high,low,close,tick_volume,spread,real_volume
2015-10-14 13:00:00,1444827600,0.16,0.16,0.16,0.16,2,1,49
2015-10-14 16:30:00,1444840200,0.16,0.16,0.16,0.16,1,1,17
2015-10-15 10:30:00,1444905000,0.29,0.29,0.19,0.19,5,1,180
2015-10-15 12:00:00,1444910400,0.19,0.19,0.18,0.18,3,1,100
2015-10-15 12:30:00,1444912200,0.18,0.18,0.18,0.18,1,1,62
2015-10-15 14:00:00,1444917600,0.17,0.17,0.17,0.17,1,1,10
2015-10-15 15:00:00,1444921200,0.21,0.21,0.21,0.21,2,1,50
2015-10-16 17:00:00,1445014800,0.17,0.17,0.17,0.17,2,1,100
2015-10-19 11:30:00,1445254200,0.14,0.14,0.14,0.14,2,1,32
2015-10-19 13:30:00,1445261400,0.15,0.15,0.15,0.15,1,1,50
2015-10-20 13:30:00,1445347800,0.14,0.14,0.14,0.14,1,1,67
2015-10-20 15:00:00,1445353200,0.14,0.14,0.14,0.14,3,1,100
2015-10-20 16:30:00,1445358600,0.13,0.13,0.13,0.13,1,1,30
2015-10-22 12:30:00,1445517000,0.19,0.19,0.19,0.19,1,1,99
2015-10-23 14:30:00,1445610600,0.17,0.17,0.17,0.17,1,1,20
2015-10-23 15:00:00,1445612400,0.19,0.22,0.19,0.22,2,1,198
2015-10-27 15:30:00,1445959800,0.16,0.16,0.16,0.16,1,1,54
2015-10-28 12:00:00,1446033600,0.16,0.16,0.16,0.16,4,1,194
2015-10-29 12:30:00,1446121800,0.17,0.17,0.17,0.17,1,1,50
2015-10-30 12:00:00,1446206400,0.16,0.16,0.16,0.16,2,1,99
2015-11-03 12:30:00,1446553800,0.17,0.17,0.17,0.17,2,1,50
2015-11-05 11:00:00,1446721200,0.18,0.18,0.18,0.18,2,1,50
2015-11-09 13:00:00,1447074000,0.15,0.15,0.15,0.15,1,1,30
2015-11-10 12:00:00,1447156800,0.14,0.14,0.14,0.14,1,1,76
2015-11-13 15:00:00,1447426800,0.17,0.17,0.17,0.17,1,1,16
2015-11-13 17:00:00,1447434000,0.17,0.17,0.17,0.17,1,0,37
2015-11-17 16:30:00,1447777800,0.18,0.18,0.18,0.18,2,1,35
2015-11-18 11:30:00,1447846200,0.14,0.14,0.14,0.14,1,1,23
2015-11-18 14:00:00,1447855200,0.14,0.14,0.14,0.14,1,1,73
2015-11-19 16:00:00,1447948800,0.17,0.17,0.17,0.17,1,1,99
2015-11-23 11:00:00,1448276400,0.18,0.18,0.18,0.18,1,1,50
2015-11-23 11:30:00,1448278200,0.18,0.18,0.18,0.18,2,1,50
2015-11-23 12:00:00,1448280000,0.14,0.14,0.14,0.14,1,1,51
2015-11-24 12:30:00,1448368200,0.17,0.17,0.17,0.17,1,1,4
2015-11-26 10:30:00,1448533800,0.17,0.17,0.17,0.17,2,1,99
2015-12-11 10:00:00,1449828000,0.19,0.19,0.19,0.19,1,1,71
2015-12-11 12:00:00,1449835200,0.22,0.22,0.22,0.22,1,1,50
2015-12-11 12:30:00,1449837000,0.22,0.22,0.22,0.22,1,1,22
2015-12-11 14:00:00,1449842400,0.21,0.22,0.21,0.22,2,1,117
2015-12-11 14:30:00,1449844200,0.3,0.3,0.3,0.3,2,1,55
2015-12-11 15:00:00,1449846000,0.2,0.2,0.2,0.2,1,1,36
2015-12-14 11:30:00,1450092600,0.22,0.22,0.22,0.22,1,1,90
2015-12-14 16:30:00,1450110600,0.22,0.22,0.22,0.22,1,1,20
2015-12-15 11:00:00,1450177200,0.22,0.22,0.22,0.22,2,1,68
2015-12-15 12:00:00,1450180800,0.23,0.23,0.23,0.23,1,1,99
2015-12-18 10:00:00,1450432800,0.3,0.3,0.3,0.3,2,1,30
2015-12-18 10:30:00,1450434600,0.22,0.22,0.22,0.22,2,1,63
2015-12-18 11:30:00,1450438200,0.21,0.21,0.21,0.21,1,1,99
2015-12-18 16:00:00,1450454400,0.21,0.21,0.21,0.21,1,1,30
2015-12-18 16:30:00,1450456200,0.21,0.21,0.21,0.21,1,1,69
2015-12-21 13:00:00,1450702800,0.23,0.23,0.23,0.23,1,1,40
2015-12-22 12:30:00,1450787400,0.23,0.23,0.23,0.23,2,1,99
2015-12-22 17:00:00,1450803600,0.24,0.24,0.24,0.24,2,1,80
2015-12-23 13:30:00,1450877400,0.28,0.28,0.28,0.28,2,1,80
2015-12-23 15:00:00,1450882800,0.29,0.29,0.28,0.28,3,1,126
2015-12-23 16:00:00,1450886400,0.29,0.29,0.28,0.28,3,1,12
2015-12-28 12:00:00,1451304000,0.25,0.25,0.25,0.25,2,1,99
2015-12-28 13:00:00,1451307600,0.28,0.28,0.28,0.28,2,1,74
2015-12-28 13:30:00,1451309400,0.28,0.28,0.28,0.28,1,1,42
2015-12-28 16:30:00,1451320200,0.26,0.26,0.26,0.26,1,1,70
2015-12-28 17:00:00,1451322000,0.26,0.26,0.26,0.26,1,1,29
2015-12-28 18:00:00,1451325600,0.28,0.28,0.28,0.28,1,0,13
2015-12-29 11:30:00,1451388600,0.3,0.3,0.3,0.3,1,1,21
2015-12-29 14:30:00,1451399400,0.29,0.29,0.29,0.29,1,1,76
2015-12-29 15:00:00,1451401200,0.29,0.29,0.29,0.29,1,1,16
2015-12-29 15:30:00,1451403000,0.32,0.32,0.32,0.32,1,1,24
2015-12-29 17:00:00,1451408400,0.33,0.33,0.33,0.33,1,1,20
2015-12-30 11:30:00,1451475000,0.28,0.28,0.28,0.28,1,1,20
2015-12-30 13:00:00,1451480400,0.28,0.28,0.28,0.28,2,1,65
2015-12-30 14:00:00,1451484000,0.28,0.28,0.28,0.28,1,1,15
2015-12-30 16:30:00,1451493000,0.28,0.28,0.28,0.28,1,1,1
2015-12-30 17:00:00,1451494800,0.28,0.28,0.28,0.28,1,1,5
2016-01-04 11:30:00,1451907000,0.3,0.3,0.3,0.3,1,1,99
2016-01-04 17:00:00,1451926800,0.28,0.28,0.28,0.28,1,1,5
2016-01-05 10:30:00,1451989800,0.3,0.3,0.3,0.3,1,1,14
2016-01-05 11:00:00,1451991600,0.3,0.3,0.3,0.3,3,1,100
2016-01-05 12:00:00,1451995200,0.3,0.3,0.28,0.28,2,1,85
2016-01-05 17:00:00,1452013200,0.3,0.3,0.3,0.3,1,1,40
2016-01-06 11:30:00,1452079800,0.31,0.31,0.31,0.31,1,1,50
2016-01-06 12:00:00,1452081600,0.31,0.31,0.31,0.31,1,1,49
2016-01-07 10:30:00,1452162600,0.32,0.32,0.32,0.32,4,1,180
2016-01-07 11:30:00,1452166200,0.32,0.32,0.32,0.32,1,1,25
2016-01-07 12:00:00,1452168000,0.3,0.3,0.3,0.3,1,1,74
2016-01-07 14:30:00,1452177000,0.3,0.3,0.3,0.3,2,1,32
2016-01-07 17:30:00,1452187800,0.29,0.29,0.29,0.29,3,1,198
2016-01-12 17:30:00,1452619800,0.29,0.29,0.29,0.29,2,1,71
2016-01-14 12:30:00,1452774600,0.26,0.26,0.26,0.26,1,1,85
2016-01-15 10:30:00,1452853800,0.27,0.27,0.27,0.27,1,1,17
2016-01-19 11:30:00,1453203000,0.34,0.34,0.34,0.34,2,1,40
2016-01-19 13:00:00,1453208400,0.31,0.31,0.31,0.31,2,1,8
2016-01-20 11:00:00,1453287600,0.23,0.23,0.23,0.23,2,1,47
2016-01-20 11:30:00,1453289400,0.22,0.22,0.22,0.22,3,1,151
2016-01-20 16:00:00,1453305600,0.22,0.22,0.22,0.22,1,1,10
2016-01-20 16:30:00,1453307400,0.22,0.22,0.22,0.22,1,1,10
2016-01-21 14:00:00,1453384800,0.2,0.2,0.2,0.2,1,1,8
2016-01-21 15:30:00,1453390200,0.22,0.22,0.22,0.22,1,1,10
2016-01-22 12:00:00,1453464000,0.22,0.22,0.22,0.22,1,1,37
2016-01-26 13:00:00,1453813200,0.24,0.24,0.24,0.24,1,1,32
2016-01-26 13:30:00,1453815000,0.24,0.24,0.24,0.24,1,1,35
2016-01-26 14:00:00,1453816800,0.24,0.24,0.24,0.24,2,1,33
2016-01-29 13:00:00,1454072400,0.23,0.23,0.23,0.23,1,1,2
2016-01-29 14:30:00,1454077800,0.23,0.23,0.23,0.23,1,1,5
2016-02-01 12:00:00,1454328000,0.23,0.23,0.23,0.23,1,1,20
2016-02-02 15:00:00,1454425200,0.29,0.29,0.29,0.29,2,1,45
2016-02-02 15:30:00,1454427000,0.21,0.21,0.19,0.19,2,1,56
2016-02-02 16:30:00,1454430600,0.19,0.19,0.19,0.19,1,1,50
