datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-12-11 10:30:00,1607682600,31.0,31.0,29.49,29.49,6,0,77
2020-12-11 14:30:00,1607697000,33.0,33.0,32.7,32.7,7,0,70
2020-12-11 15:00:00,1607698800,33.09,33.09,30.5,30.5,23,0,200
2020-12-11 15:30:00,1607700600,31.22,31.49,31.16,31.48,5,29,48
2020-12-11 16:00:00,1607702400,31.47,33.0,30.87,30.87,11,0,137
2020-12-11 16:30:00,1607704200,30.85,30.87,30.5,30.5,15,3,159
2020-12-11 17:00:00,1607706000,30.5,30.5,29.7,29.7,16,10,204
2020-12-11 17:30:00,1607707800,30.0,30.0,29.51,29.51,5,2,33
2020-12-11 18:00:00,1607709600,29.49,29.49,29.49,29.49,18,0,219
2020-12-14 10:00:00,1607940000,29.56,30.0,29.56,30.0,3,8,13
2020-12-14 10:30:00,1607941800,31.99,31.99,30.0,30.0,8,1,23
2020-12-14 11:00:00,1607943600,30.0,30.0,30.0,30.0,2,1,8
2020-12-14 11:30:00,1607945400,29.99,29.99,29.83,29.83,5,1,18
2020-12-14 12:00:00,1607947200,29.57,29.99,28.5,29.8,11,42,106
2020-12-14 12:30:00,1607949000,29.8,29.8,29.8,29.8,1,99,1
2020-12-14 13:00:00,1607950800,29.99,29.99,29.99,29.99,1,97,2
2020-12-14 13:30:00,1607952600,29.63,29.63,29.0,29.0,2,98,21
2020-12-14 15:00:00,1607958000,29.0,29.0,29.0,29.0,1,98,1
2020-12-14 16:00:00,1607961600,29.98,29.98,29.98,29.98,1,86,4
2020-12-14 16:30:00,1607963400,29.49,29.99,29.0,29.99,8,45,55
2020-12-14 17:00:00,1607965200,29.9,29.9,28.71,28.71,2,73,3
2020-12-14 17:30:00,1607967000,29.99,30.0,29.99,30.0,3,73,10
2020-12-15 10:00:00,1608026400,28.92,28.92,28.92,28.92,2,2,51
2020-12-15 10:30:00,1608028200,29.27,29.27,29.14,29.14,2,10,7
2020-12-15 11:00:00,1608030000,28.92,29.02,28.92,29.02,2,10,21
2020-12-15 11:30:00,1608031800,29.02,29.02,29.01,29.01,2,8,70
2020-12-15 12:00:00,1608033600,29.0,29.0,29.0,29.0,3,8,3
2020-12-15 12:30:00,1608035400,29.0,29.0,29.0,29.0,2,8,15
2020-12-15 13:00:00,1608037200,31.72,31.72,31.72,31.72,1,269,15
2020-12-15 13:30:00,1608039000,29.1,29.1,29.07,29.07,2,4,6
2020-12-15 14:30:00,1608042600,29.0,29.0,28.92,28.92,4,4,55
2020-12-15 15:00:00,1608044400,28.97,28.97,28.97,28.97,1,2,1
2020-12-15 15:30:00,1608046200,28.92,28.92,28.92,28.92,1,281,1
2020-12-15 16:00:00,1608048000,28.9,28.9,28.65,28.65,5,1,43
2020-12-15 16:30:00,1608049800,28.68,28.88,28.68,28.88,2,19,13
2020-12-15 17:30:00,1608053400,28.88,28.88,28.62,28.62,2,203,11
2020-12-16 10:00:00,1608112800,28.84,28.84,28.84,28.84,1,46,1
2020-12-16 11:30:00,1608118200,29.19,29.65,29.19,29.65,3,46,94
2020-12-16 12:00:00,1608120000,29.5,29.5,29.0,29.0,2,2,12
2020-12-16 13:00:00,1608123600,28.84,28.84,28.84,28.84,1,23,12
2020-12-16 14:00:00,1608127200,28.61,28.61,28.5,28.5,3,1,31
2020-12-16 14:30:00,1608129000,28.5,28.5,28.5,28.5,2,1,2
2020-12-16 15:00:00,1608130800,28.5,28.5,28.5,28.5,1,81,2
2020-12-16 16:30:00,1608136200,28.84,28.84,28.84,28.84,2,29,3
2020-12-16 17:00:00,1608138000,28.83,30.99,28.69,30.99,3,13,39
2020-12-16 17:30:00,1608139800,28.5,31.0,28.5,31.0,7,99,35
2020-12-17 10:00:00,1608199200,29.7,29.7,28.84,28.84,3,50,10
2020-12-17 10:30:00,1608201000,29.69,29.69,29.0,29.0,4,6,33
2020-12-17 11:30:00,1608204600,29.31,29.31,29.31,29.31,1,166,4
2020-12-17 12:00:00,1608206400,29.31,29.31,29.0,29.0,5,16,38
2020-12-17 12:30:00,1608208200,29.0,29.0,29.0,29.0,1,196,4
2020-12-17 13:00:00,1608210000,29.01,29.01,29.01,29.01,1,196,1
2020-12-17 14:30:00,1608215400,29.01,29.01,29.01,29.01,1,197,1
2020-12-17 15:00:00,1608217200,29.0,29.0,28.55,28.55,5,34,29
2020-12-17 16:00:00,1608220800,29.2,29.2,29.2,29.2,1,29,1
2020-12-17 16:30:00,1608222600,28.9,28.9,28.9,28.9,1,112,20
