datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-05-02 12:00:00,1178107200,750.01,750.01,750.01,750.01,1,0,1
2007-07-20 16:00:00,1184947200,90.0,90.0,90.0,90.0,1,0,3
2009-12-15 17:00:00,1260896400,581.02,581.02,581.02,581.02,1,0,1
2009-12-16 13:00:00,1260968400,900.0,900.0,900.0,900.0,2,0,40
2011-03-04 17:30:00,1299259800,1900.0,1900.0,1900.0,1900.0,2,0,2
2011-05-25 11:30:00,1306323000,50.01,50.01,50.01,50.01,1,0,2
2011-06-07 16:00:00,1307462400,16.0,16.0,16.0,16.0,1,0,1
2012-07-05 16:00:00,1341504000,3.01,3.01,3.01,3.01,1,0,2
2018-10-23 17:00:00,1540314000,16.0,16.0,16.0,16.0,4,547,110
2018-10-24 10:30:00,1540377000,26.3,26.3,26.3,26.3,5,0,67
2018-10-24 11:30:00,1540380600,31.5,32.0,31.5,32.0,2,0,40
2018-10-24 14:00:00,1540389600,32.0,32.0,32.0,32.0,3,0,100
2018-10-24 16:00:00,1540396800,32.0,32.0,31.5,31.5,5,0,46
2018-10-24 16:30:00,1540398600,26.0,26.0,26.0,26.0,4,0,35
2018-10-25 10:30:00,1540463400,28.99,28.99,28.99,28.99,5,90,39
2018-10-25 11:00:00,1540465200,28.9,28.9,28.9,28.9,1,88,9
2018-10-25 16:30:00,1540485000,23.5,23.5,23.5,23.5,2,1740,2
2018-10-29 16:00:00,1540828800,12.4,12.4,12.4,12.4,2,0,20
2018-11-01 10:30:00,1541068200,12.4,12.4,12.4,12.4,4,0,50
2018-11-05 12:00:00,1541419200,8.75,8.75,8.75,8.75,3,125,40
2018-11-06 11:00:00,1541502000,10.0,10.0,10.0,10.0,2,175,5
2018-11-09 12:00:00,1541764800,9.0,9.0,9.0,9.0,1,100,5
2018-11-14 10:30:00,1542191400,7.31,7.31,7.31,7.31,1,200,10
2018-12-03 10:30:00,1543833000,9.0,9.0,9.0,9.0,1,250,5
2018-12-13 15:00:00,1544713200,9.0,9.0,9.0,9.0,2,0,45
2018-12-26 11:00:00,1545822000,9.0,9.0,9.0,9.0,3,0,34
2018-12-26 12:00:00,1545825600,9.0,9.0,9.0,9.0,1,0,1
2018-12-26 15:30:00,1545838200,9.0,9.0,9.0,9.0,1,0,16
2019-01-16 15:30:00,1547652600,4.0,4.0,4.0,4.0,2,0,4
2019-01-17 15:30:00,1547739000,4.5,4.5,4.5,4.5,1,800,2
2019-01-23 13:30:00,1548250200,6.5,6.5,6.5,6.5,1,0,1
2019-01-23 16:00:00,1548259200,6.5,6.5,6.5,6.5,1,449,1
2019-02-06 15:30:00,1549467000,6.0,6.0,6.0,6.0,1,3150,2
2019-02-08 10:30:00,1549621800,4.99,4.99,4.99,4.99,1,300,6
2019-02-12 12:30:00,1549974600,5.27,5.27,5.27,5.27,1,395,1
2019-02-13 15:30:00,1550071800,5.05,5.05,5.05,5.05,2,0,20
2019-02-15 10:30:00,1550226600,5.5,5.5,5.5,5.5,1,50,1
2019-02-15 11:30:00,1550230200,5.5,5.5,5.5,5.5,1,550,1
2019-02-18 14:30:00,1550500200,5.0,5.0,5.0,5.0,2,0,12
2019-03-08 10:30:00,1552041000,3.99,3.99,3.99,3.99,1,169,20
2019-03-11 13:30:00,1552311000,3.0,3.0,3.0,3.0,2,0,3
2019-03-14 11:30:00,1552563000,3.0,3.0,3.0,3.0,2,0,34
2019-03-14 13:00:00,1552568400,3.36,3.36,3.36,3.36,2,6,4
2019-03-14 13:30:00,1552570200,3.36,3.36,3.36,3.36,1,36,10
2019-03-14 14:00:00,1552572000,3.36,3.45,3.36,3.45,2,36,26
2019-03-15 10:30:00,1552645800,5.6,5.6,5.6,5.6,2,0,88
2019-03-15 14:00:00,1552658400,6.65,6.7,6.6,6.7,9,0,102
2019-03-15 14:30:00,1552660200,6.0,6.0,6.0,6.0,4,0,78
2019-03-15 16:00:00,1552665600,6.7,6.75,6.7,6.75,8,0,96
2019-03-15 16:30:00,1552667400,6.73,6.73,6.73,6.73,2,0,19
