datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-11-23 13:15:00,1164287700,0.06,0.06,0.06,0.06,1,0,100
2008-05-14 14:45:00,1210776300,0.1,0.1,0.1,0.1,2,0,200
2008-06-02 12:45:00,1212410700,0.26,0.26,0.26,0.26,1,0,100
2008-06-18 13:15:00,1213794900,0.84,0.84,0.84,0.84,1,0,2200
2011-05-02 11:30:00,1304335800,2.79,2.79,2.79,2.79,5,0,500
2011-05-02 12:45:00,1304340300,2.79,2.79,2.79,2.79,18,0,103800
2011-05-02 14:30:00,1304346600,2.79,2.79,2.79,2.79,8,0,4000
2011-05-02 14:45:00,1304347500,2.79,2.79,2.79,2.79,1,0,200
2011-05-02 15:00:00,1304348400,2.89,2.89,2.89,2.89,8,0,1700
2011-05-02 15:15:00,1304349300,3.08,3.08,3.08,3.08,2,0,400
2011-05-02 15:30:00,1304350200,3.07,3.07,3.07,3.07,1,0,100
2011-05-02 16:15:00,1304352900,2.79,2.79,2.79,2.79,1,0,100
2011-05-03 10:00:00,1304416800,3.07,3.26,3.07,3.26,8,0,1500
2011-05-03 10:15:00,1304417700,3.25,3.26,3.25,3.26,3,0,500
2011-05-03 10:30:00,1304418600,3.26,4.01,3.26,3.73,47,0,13900
2011-05-03 10:45:00,1304419500,3.73,3.82,3.73,3.82,3,0,300
2011-05-03 11:00:00,1304420400,3.82,4.19,3.73,3.9699999999999998,33,0,7200
2011-05-03 11:15:00,1304421300,3.73,3.73,3.73,3.73,1,0,100
2011-05-03 11:30:00,1304422200,3.63,3.63,3.56,3.56,2,0,600
2011-05-03 11:45:00,1304423100,3.58,3.69,3.58,3.69,2,0,200
2011-05-03 12:15:00,1304424900,3.68,3.69,3.68,3.69,2,0,300
2011-05-03 12:30:00,1304425800,3.58,3.58,3.17,3.55,18,0,7800
2011-05-03 12:45:00,1304426700,3.46,3.4699999999999998,3.36,3.36,5,0,700
2011-05-03 13:15:00,1304428500,3.62,3.62,3.62,3.62,1,0,100
2011-05-03 13:45:00,1304430300,3.45,3.45,3.36,3.45,6,0,3500
2011-05-03 14:15:00,1304432100,3.44,3.44,3.44,3.44,1,0,100
2011-05-03 14:30:00,1304433000,3.37,3.37,3.36,3.36,2,0,700
2011-05-03 15:15:00,1304435700,3.36,3.36,3.17,3.17,6,0,3600
2011-05-03 15:30:00,1304436600,3.09,3.21,3.09,3.17,6,0,1000
2011-05-03 15:45:00,1304437500,3.21,3.21,3.2,3.21,4,0,1100
2011-05-03 16:00:00,1304438400,3.21,3.21,3.21,3.21,1,0,100
2011-05-03 16:15:00,1304439300,3.21,3.21,3.21,3.21,1,0,100
2011-05-03 16:45:00,1304441100,3.17,3.17,3.1,3.1,3,0,1100
2011-05-03 17:00:00,1304442000,3.0,3.0,3.0,3.0,11,0,2700
2011-05-04 10:15:00,1304504100,3.55,3.62,3.55,3.62,8,0,2300
2011-05-04 10:30:00,1304505000,3.73,3.73,3.69,3.73,8,0,1600
2011-05-04 11:00:00,1304506800,3.67,3.68,3.67,3.68,2,0,300
2011-05-04 11:30:00,1304508600,3.59,3.62,3.59,3.62,4,0,1000
2011-05-04 12:00:00,1304510400,3.59,3.59,3.59,3.59,1,0,100
2011-05-04 12:15:00,1304511300,3.59,3.62,3.59,3.62,4,0,800
2011-05-04 12:30:00,1304512200,3.63,3.63,3.63,3.63,1,0,500
2011-05-04 12:45:00,1304513100,3.55,3.55,3.36,3.41,6,0,3100
2011-05-04 13:00:00,1304514000,3.35,3.35,3.35,3.35,1,0,100
2011-05-04 13:15:00,1304514900,3.27,3.27,3.17,3.17,4,0,1500
2011-05-04 13:30:00,1304515800,3.26,3.26,3.21,3.21,2,0,700
2011-05-04 14:00:00,1304517600,3.21,3.26,3.15,3.17,7,0,5400
2011-05-04 14:15:00,1304518500,3.15,3.15,3.13,3.13,2,0,600
2011-05-04 14:30:00,1304519400,2.99,3.01,2.99,3.01,4,0,400
2011-05-04 15:00:00,1304521200,3.01,3.01,2.79,2.79,3,0,400
2011-05-04 15:30:00,1304523000,3.08,3.17,3.08,3.17,3,0,300
2011-05-04 16:00:00,1304524800,3.08,3.08,3.08,3.08,1,0,100
2011-05-04 16:15:00,1304525700,3.08,3.08,2.89,2.89,2,0,1100
2011-05-04 16:30:00,1304526600,2.74,2.84,2.74,2.84,3,0,800
2011-05-04 16:45:00,1304527500,2.81,2.81,2.81,2.81,1,0,500
2011-05-05 10:15:00,1304590500,3.17,3.17,3.17,3.17,4,0,800
2011-05-05 11:30:00,1304595000,3.17,3.17,3.17,3.17,1,0,300
2011-05-05 12:00:00,1304596800,3.26,3.26,3.26,3.26,1,0,100
2011-05-05 13:00:00,1304600400,2.9,2.9,2.81,2.9,7,0,6300
2011-05-05 14:00:00,1304604000,3.15,3.15,3.15,3.15,1,0,100
2011-05-05 14:45:00,1304606700,2.89,2.89,2.89,2.89,1,0,100
2011-05-05 15:00:00,1304607600,2.79,3.07,2.76,3.07,9,0,3800
2011-05-05 15:15:00,1304608500,3.13,3.13,3.13,3.13,7,0,800
2011-05-05 15:45:00,1304610300,2.99,2.99,2.89,2.89,2,0,200
2011-05-05 16:00:00,1304611200,3.08,3.08,3.08,3.08,2,0,2000
2011-05-05 16:15:00,1304612100,3.08,3.08,3.08,3.08,1,0,100
2011-05-05 16:45:00,1304613900,3.08,3.08,3.08,3.08,2,0,600
2011-05-05 17:00:00,1304614800,3.07,3.07,3.07,3.07,2,0,1400
2011-05-06 10:00:00,1304676000,3.24,3.24,3.24,3.24,1,0,100
2011-05-06 12:00:00,1304683200,2.94,2.94,2.94,2.94,1,0,1000
2011-05-06 15:15:00,1304694900,3.13,3.13,3.13,3.13,2,0,300
2011-05-06 15:45:00,1304696700,3.13,3.13,3.13,3.13,3,0,800
2011-05-06 16:15:00,1304698500,3.08,3.08,3.08,3.08,1,0,400
2011-05-06 16:30:00,1304699400,3.08,3.08,3.08,3.08,1,0,400
2011-05-06 16:45:00,1304700300,3.22,3.22,3.22,3.22,1,0,100
2011-05-09 12:15:00,1304943300,3.17,3.17,3.17,3.17,4,0,900
2011-05-09 12:45:00,1304945100,3.3,3.31,3.3,3.31,2,0,400
2011-05-09 13:15:00,1304946900,3.31,3.31,3.31,3.31,1,0,300
2011-05-09 14:30:00,1304951400,3.36,3.36,3.36,3.36,1,0,100
2011-05-09 14:45:00,1304952300,3.36,3.44,3.36,3.44,4,0,800
2011-05-09 15:00:00,1304953200,3.37,3.37,3.36,3.36,2,0,400
2011-05-09 15:45:00,1304955900,3.2800000000000002,3.2800000000000002,3.2800000000000002,3.2800000000000002,3,0,400
2011-05-10 11:30:00,1305027000,3.36,3.36,3.36,3.36,1,0,100
2011-05-10 11:45:00,1305027900,3.35,3.35,3.35,3.35,1,0,100
2011-05-10 12:30:00,1305030600,3.35,3.35,3.35,3.35,1,0,200
2011-05-10 14:00:00,1305036000,3.34,3.34,3.34,3.34,1,0,200
2011-05-10 15:00:00,1305039600,3.34,3.36,3.34,3.36,2,0,1300
2011-05-10 16:30:00,1305045000,3.29,3.29,3.29,3.29,1,0,100
2011-05-10 16:45:00,1305045900,3.35,3.36,3.35,3.36,5,0,2600
2011-05-11 12:15:00,1305116100,3.36,3.36,3.36,3.36,4,0,400
2011-05-11 12:30:00,1305117000,3.62,3.62,3.62,3.62,1,0,100
2011-05-11 12:45:00,1305117900,3.42,3.42,3.42,3.42,1,0,100
2011-05-11 15:45:00,1305128700,3.3,3.3,3.26,3.26,2,0,500
2011-05-11 16:30:00,1305131400,3.17,3.31,3.17,3.31,2,0,600
2011-05-11 17:00:00,1305133200,3.17,3.17,3.17,3.17,3,0,300
2011-05-12 11:15:00,1305198900,3.45,3.62,3.45,3.62,5,0,500
2011-05-12 11:45:00,1305200700,3.44,3.45,3.44,3.45,5,0,1200
2011-05-12 12:15:00,1305202500,3.62,3.82,3.62,3.82,17,0,3700
2011-05-12 12:45:00,1305204300,3.7800000000000002,3.91,3.7800000000000002,3.91,3,0,700
2011-05-12 13:30:00,1305207000,4.2,4.2,4.2,4.2,12,0,3400
2011-05-12 13:45:00,1305207900,4.4,4.4,4.4,4.4,9,0,2300
2011-05-12 14:15:00,1305209700,4.47,4.52,4.47,4.52,5,0,3100
2011-05-12 14:45:00,1305211500,3.83,4.01,3.83,4.01,9,0,2400
2011-05-12 15:30:00,1305214200,3.85,3.85,3.85,3.85,6,0,1200
2011-05-12 16:15:00,1305216900,4.0,4.0,4.0,4.0,1,0,100
2011-05-12 16:45:00,1305218700,4.01,4.01,4.01,4.01,2,0,300
2011-05-13 11:00:00,1305284400,4.21,4.21,4.21,4.21,2,0,200
2011-05-13 11:30:00,1305286200,4.66,4.76,4.66,4.66,9,0,1100
2011-05-13 11:45:00,1305287100,4.85,4.85,4.8100000000000005,4.8100000000000005,8,0,2400
2011-05-13 12:15:00,1305288900,4.4,4.4,4.4,4.4,7,0,1000
2011-05-13 13:00:00,1305291600,4.24,4.24,4.24,4.24,1,0,200
2011-05-13 13:30:00,1305293400,4.24,4.24,4.24,4.24,4,0,1000
2011-05-13 13:45:00,1305294300,4.22,4.22,4.2,4.2,3,0,2500
2011-05-13 14:00:00,1305295200,4.1,4.1,4.1,4.1,1,0,200
2011-05-13 14:15:00,1305296100,4.2,4.29,4.2,4.29,4,0,1100
2011-05-13 14:45:00,1305297900,4.29,4.29,4.29,4.29,2,0,500
2011-05-13 15:00:00,1305298800,4.29,4.29,4.29,4.29,2,0,400
2011-05-13 15:15:00,1305299700,4.47,4.52,4.47,4.52,4,0,400
2011-05-13 15:30:00,1305300600,4.52,4.65,4.52,4.65,5,0,800
2011-05-13 15:45:00,1305301500,4.62,4.62,4.62,4.62,1,0,200
2011-05-13 16:00:00,1305302400,4.47,4.47,4.39,4.39,4,0,3000
2011-05-13 16:30:00,1305304200,4.39,4.39,4.39,4.39,3,0,500
2011-05-13 16:45:00,1305305100,4.47,4.61,4.47,4.61,2,0,300
2011-05-13 17:00:00,1305306000,4.57,4.57,4.57,4.57,3,0,500
2011-05-16 11:15:00,1305544500,4.58,4.66,4.58,4.66,10,0,2000
2011-05-16 11:45:00,1305546300,4.84,4.84,4.84,4.84,1,0,100
2011-05-16 12:00:00,1305547200,4.65,4.65,4.65,4.65,1,0,100
2011-05-16 12:30:00,1305549000,4.57,4.57,4.57,4.57,2,0,500
2011-05-16 12:45:00,1305549900,4.48,4.48,4.48,4.48,1,0,200
2011-05-16 13:00:00,1305550800,4.57,4.57,4.57,4.57,2,0,1000
2011-05-16 13:15:00,1305551700,4.57,4.57,4.57,4.57,1,0,400
2011-05-16 13:45:00,1305553500,4.66,4.66,4.66,4.66,1,0,6400
2011-05-16 14:00:00,1305554400,4.85,4.93,4.85,4.93,4,0,400
2011-05-16 14:15:00,1305555300,4.93,4.99,4.93,4.99,5,0,1300
2011-05-16 14:30:00,1305556200,4.98,5.04,4.9399999999999995,5.02,15,0,6200
2011-05-16 15:00:00,1305558000,5.02,5.23,5.02,5.23,14,0,15600
2011-05-16 15:30:00,1305559800,5.02,5.02,5.02,5.02,7,0,1400
2011-05-16 15:45:00,1305560700,5.02,5.02,5.02,5.02,4,0,1000
2011-05-16 16:00:00,1305561600,5.23,5.23,5.23,5.23,1,0,100
2011-05-16 16:15:00,1305562500,5.22,5.23,5.22,5.22,6,0,5300
2011-05-16 16:30:00,1305563400,5.22,5.23,5.22,5.23,10,0,2400
2011-05-16 16:45:00,1305564300,5.23,5.23,5.13,5.13,3,0,2500
2011-05-16 17:00:00,1305565200,4.99,4.99,4.99,4.99,5,0,1900
2011-05-17 11:00:00,1305630000,5.13,5.23,5.13,5.23,10,0,3900
2011-05-17 11:15:00,1305630900,5.4,5.48,5.4,5.41,15,0,3700
2011-05-17 11:30:00,1305631800,5.41,5.41,5.41,5.41,1,0,500
2011-05-17 11:45:00,1305632700,5.41,5.41,5.27,5.27,6,0,3000
2011-05-17 12:00:00,1305633600,5.27,5.27,5.27,5.27,1,0,400
2011-05-17 12:15:00,1305634500,5.08,5.08,5.08,5.08,2,0,300
2011-05-17 12:30:00,1305635400,5.04,5.04,5.04,5.04,1,0,100
2011-05-17 12:45:00,1305636300,5.18,5.35,5.18,5.35,3,0,1000
2011-05-17 13:30:00,1305639000,5.3,5.36,5.3,5.36,4,0,1600
2011-05-17 13:45:00,1305639900,5.36,5.36,5.36,5.36,1,0,500
2011-05-17 14:00:00,1305640800,5.36,5.36,5.23,5.23,3,0,2300
2011-05-17 14:30:00,1305642600,5.23,5.23,5.23,5.23,3,0,2300
2011-05-17 14:45:00,1305643500,5.3,5.3,5.3,5.3,1,0,200
2011-05-17 15:45:00,1305647100,5.23,5.23,5.18,5.18,2,0,700
2011-05-17 16:00:00,1305648000,5.13,5.13,5.13,5.13,5,0,800
2011-05-17 17:00:00,1305651600,5.1,5.1,5.1,5.1,5,0,1500
2011-05-18 11:00:00,1305716400,5.3,5.3,5.3,5.3,1,0,100
2011-05-18 11:30:00,1305718200,5.3,5.31,5.3,5.31,3,0,1500
2011-05-18 11:45:00,1305719100,5.19,5.19,5.18,5.18,2,0,600
2011-05-18 12:00:00,1305720000,4.91,4.91,4.91,4.91,8,0,2200
2011-05-18 12:15:00,1305720900,4.9399999999999995,4.9399999999999995,4.66,4.66,10,0,3900
2011-05-18 12:30:00,1305721800,4.67,4.67,4.66,4.66,5,0,1000
2011-05-18 13:00:00,1305723600,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,1,0,100
2011-05-18 13:15:00,1305724500,4.99,4.99,4.99,4.99,1,0,100
2011-05-18 13:45:00,1305726300,4.8100000000000005,4.8100000000000005,4.8100000000000005,4.8100000000000005,13,0,5700
2011-05-18 14:00:00,1305727200,4.8100000000000005,4.8100000000000005,4.76,4.76,3,0,1400
2011-05-18 15:00:00,1305730800,4.67,4.67,4.67,4.67,2,0,1000
2011-05-18 16:00:00,1305734400,4.64,4.64,4.59,4.59,6,0,1400
2011-05-18 16:15:00,1305735300,4.59,4.59,4.5600000000000005,4.57,14,0,4700
2011-05-18 16:30:00,1305736200,4.5600000000000005,4.57,4.5600000000000005,4.57,9,0,1900
2011-05-18 16:45:00,1305737100,4.51,4.51,4.51,4.51,1,0,200
2011-05-18 17:00:00,1305738000,4.57,4.57,4.57,4.57,5,0,1300
2011-05-19 11:00:00,1305802800,4.67,4.85,4.67,4.85,3,0,300
2011-05-19 11:30:00,1305804600,4.63,4.63,4.62,4.62,2,0,200
2011-05-19 12:00:00,1305806400,4.52,4.52,4.48,4.48,3,0,1300
2011-05-19 12:45:00,1305809100,4.51,4.51,4.51,4.51,1,0,100
2011-05-19 13:00:00,1305810000,4.49,4.49,4.47,4.47,2,0,200
2011-05-19 13:15:00,1305810900,4.41,4.41,4.41,4.41,1,0,100
2011-05-19 14:45:00,1305816300,4.44,4.44,4.39,4.39,2,0,300
2011-05-19 15:00:00,1305817200,4.12,4.15,4.12,4.15,7,0,1000
2011-05-19 15:15:00,1305818100,4.2,4.2,4.2,4.2,1,0,100
2011-05-19 15:45:00,1305819900,4.15,4.15,4.1,4.1,5,0,2100
2011-05-19 16:00:00,1305820800,4.2,4.2,4.2,4.2,1,0,100
2011-05-19 16:30:00,1305822600,4.2,4.29,4.2,4.29,4,0,600
2011-05-19 16:45:00,1305823500,4.36,4.36,4.34,4.34,2,0,300
2011-05-19 17:00:00,1305824400,4.12,4.12,4.12,4.12,5,0,600
