datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-06-09 12:00:00,1149854400,26.9,26.9,26.9,26.9,3,0,63
2006-08-07 11:00:00,1154948400,29.35,29.35,29.35,29.35,1,0,44
2006-10-18 16:30:00,1161189000,32.77,32.77,32.77,32.77,1,0,51
2006-11-16 17:30:00,1163698200,31.33,31.33,31.33,31.33,1,0,19
2006-12-27 12:30:00,1167222600,48.91,48.91,48.91,48.91,1,0,17
2007-07-05 15:30:00,1183649400,76.86,76.86,76.86,76.86,1,0,33
2007-08-08 11:30:00,1186572600,99.18,99.18,99.18,99.18,1,0,51
2007-09-03 12:00:00,1188820800,102.16,104.14,102.16,104.14,2,0,48
2007-09-20 12:30:00,1190291400,104.13,104.14,104.13,104.14,2,0,24
2007-10-01 11:00:00,1191236400,109.1,109.1,109.1,109.1,1,0,22
2007-10-09 11:30:00,1191929400,109.1,109.1,109.1,109.1,1,0,16
2008-02-22 17:00:00,1203699600,84.3,84.3,84.3,84.3,1,0,1
2008-02-26 17:30:00,1204047000,97.94,97.94,97.94,97.94,1,0,80
2008-03-10 14:30:00,1205159400,99.18,99.18,99.18,99.18,1,0,25
2008-03-31 11:30:00,1206963000,82.5,82.5,82.5,82.5,1,0,16
2008-05-29 14:00:00,1212069600,83.26,83.26,83.26,83.26,1,0,4
2008-05-30 12:30:00,1212150600,83.26,83.26,83.26,83.26,1,0,10
2008-05-30 13:00:00,1212152400,83.26,83.26,83.26,83.26,1,0,20
2008-05-30 15:00:00,1212159600,83.26,83.26,83.26,83.26,2,0,93
2008-06-03 10:30:00,1212489000,83.0,83.0,83.0,83.0,2,0,94
2008-06-03 11:30:00,1212492600,83.0,83.0,83.0,83.0,1,0,12
2008-06-09 16:00:00,1213027200,83.26,83.26,83.26,83.26,1,0,77
2008-06-24 15:00:00,1214319600,75.01,75.01,75.01,75.01,1,0,46
2008-07-30 10:30:00,1217413800,82.0,82.0,82.0,82.0,1,0,2
2008-08-29 13:00:00,1220014800,82.0,82.0,82.0,82.0,1,0,97
2008-09-18 16:30:00,1221755400,73.01,73.01,73.01,73.01,1,0,77
2009-03-26 16:00:00,1238083200,90.0,90.0,90.0,90.0,3,0,62
2009-07-03 12:30:00,1246624200,78.49,78.49,78.49,78.49,1,0,15
2009-07-07 15:30:00,1246980600,74.0,74.0,74.0,74.0,1,0,15
2009-07-07 16:30:00,1246984200,72.0,72.0,72.0,72.0,1,0,25
2009-07-10 11:00:00,1247223600,73.0,73.0,73.0,73.0,2,0,17
2009-07-10 15:30:00,1247239800,70.15,70.2,70.15,70.2,2,0,16
2009-07-10 16:30:00,1247243400,70.2,70.2,70.0,70.0,6,0,50
2009-07-13 10:00:00,1247479200,70.5,70.5,70.5,70.5,1,0,2
2009-07-14 14:30:00,1247581800,70.0,70.0,70.0,70.0,1,0,7
2009-07-15 16:30:00,1247675400,69.0,69.0,66.0,66.0,3,0,50
2009-07-17 11:00:00,1247828400,67.0,67.0,67.0,67.0,1,0,1
2009-07-17 11:30:00,1247830200,67.0,67.0,67.0,67.0,1,0,41
2009-07-17 12:30:00,1247833800,61.0,61.0,61.0,61.0,1,0,8
2009-07-22 16:30:00,1248280200,70.5,70.5,70.5,70.5,1,0,2
2009-07-23 13:00:00,1248354000,70.5,70.5,70.5,70.5,2,0,4
2009-07-24 11:30:00,1248435000,69.8,70.0,69.8,70.0,2,0,26
2009-07-24 13:00:00,1248440400,70.0,70.0,70.0,70.0,1,0,5
2009-07-24 14:00:00,1248444000,70.0,70.0,70.0,70.0,1,0,10
2009-07-24 15:30:00,1248449400,69.8,69.8,69.8,69.8,1,0,3
2009-07-27 10:30:00,1248690600,69.5,69.5,69.5,69.5,1,0,82
2009-07-27 12:00:00,1248696000,70.0,70.0,70.0,70.0,2,0,38
2009-07-27 16:00:00,1248710400,70.0,70.0,69.0,69.0,3,0,25
2009-08-06 14:00:00,1249567200,71.38,71.38,71.38,71.38,1,0,59
2009-08-10 16:00:00,1249920000,70.1,70.1,69.0,69.0,3,0,70
2009-08-14 11:30:00,1250249400,69.01,69.01,69.01,69.01,1,0,1
2009-08-17 15:30:00,1250523000,78.0,78.0,78.0,78.0,1,0,1
2009-08-20 16:00:00,1250784000,78.0,78.0,78.0,78.0,1,0,10
2009-08-21 12:00:00,1250856000,78.0,78.0,78.0,78.0,1,0,5
2009-08-21 15:00:00,1250866800,78.0,78.0,78.0,78.0,1,0,4
2009-08-27 10:00:00,1251367200,79.99,79.99,79.99,79.99,1,0,1
2009-09-02 10:30:00,1251887400,81.0,81.0,81.0,81.0,1,0,1
2009-09-04 14:30:00,1252074600,77.9,77.9,77.9,77.9,2,0,11
2009-09-04 16:00:00,1252080000,77.9,77.9,77.9,77.9,1,0,6
2009-09-04 16:30:00,1252081800,77.9,77.9,77.9,77.9,1,0,15
2009-09-08 12:00:00,1252411200,77.9,77.9,77.9,77.9,2,0,14
2009-09-08 16:30:00,1252427400,77.9,77.9,77.9,77.9,1,0,5
2009-09-09 12:00:00,1252497600,77.9,77.9,77.9,77.9,1,0,30
2009-09-09 12:30:00,1252499400,77.9,77.9,77.9,77.9,2,0,15
2009-09-09 15:00:00,1252508400,77.9,77.9,77.9,77.9,1,0,2
2009-09-11 15:00:00,1252681200,77.5,77.5,77.5,77.5,1,0,5
2009-09-14 12:00:00,1252929600,77.5,77.5,77.5,77.5,1,0,4
2009-09-14 15:30:00,1252942200,77.5,77.5,77.5,77.5,1,0,3
2009-09-15 12:30:00,1253017800,70.01,70.01,70.01,70.01,1,0,11
2009-09-16 10:30:00,1253097000,70.5,70.5,70.5,70.5,1,0,14
2009-09-16 13:30:00,1253107800,77.5,77.5,77.5,77.5,1,0,2
2009-09-17 11:00:00,1253185200,79.0,79.0,79.0,79.0,1,0,3
2009-09-17 12:00:00,1253188800,79.0,79.0,79.0,79.0,2,0,8
2009-09-17 13:00:00,1253192400,77.1,77.1,77.1,77.1,1,0,1
2009-09-18 15:30:00,1253287800,79.99,79.99,79.99,79.99,1,0,3
2009-09-22 14:00:00,1253628000,79.99,79.99,79.99,79.99,1,0,3
2009-09-22 14:30:00,1253629800,79.99,80.0,79.99,80.0,2,0,58
2009-09-28 15:00:00,1254150000,82.0,82.0,82.0,82.0,1,0,42
2009-09-28 15:30:00,1254151800,75.0,75.0,75.0,75.0,1,0,9
2009-09-30 14:00:00,1254319200,80.0,80.0,80.0,80.0,1,0,9
2009-10-05 15:30:00,1254756600,78.0,78.0,78.0,78.0,1,0,7
2009-10-06 15:30:00,1254843000,81.0,81.0,81.0,81.0,2,0,69
2009-10-06 16:30:00,1254846600,82.0,82.0,82.0,82.0,1,0,2
2009-10-08 10:30:00,1254997800,80.0,80.0,80.0,80.0,1,0,1
2009-10-08 14:30:00,1255012200,82.0,82.0,82.0,82.0,1,0,2
2009-10-09 16:30:00,1255105800,82.0,82.0,82.0,82.0,1,0,1
2009-10-13 14:30:00,1255444200,82.0,82.0,82.0,82.0,1,0,4
2009-10-13 15:30:00,1255447800,82.0,82.0,82.0,82.0,1,0,3
2009-10-13 16:00:00,1255449600,82.0,82.0,82.0,82.0,1,0,10
2009-10-14 11:00:00,1255518000,82.0,82.0,82.0,82.0,1,0,68
2009-10-15 16:30:00,1255624200,88.0,88.0,88.0,88.0,1,0,32
2009-10-19 15:00:00,1255964400,80.0,80.0,80.0,80.0,2,0,18
2009-10-19 15:30:00,1255966200,77.0,77.0,77.0,77.0,2,0,22
2009-10-23 11:30:00,1256297400,88.0,88.0,88.0,88.0,1,0,38
2009-12-03 17:00:00,1259859600,50.0,50.0,50.0,50.0,1,0,38
2009-12-15 11:00:00,1260874800,56.0,56.0,56.0,56.0,1,0,4
2009-12-15 17:30:00,1260898200,53.89,53.89,53.89,53.89,1,0,30
2009-12-17 12:00:00,1261051200,56.0,56.0,56.0,56.0,1,0,8
2009-12-18 17:30:00,1261157400,56.0,56.0,56.0,56.0,1,0,38
2010-01-06 13:00:00,1262782800,52.0,52.0,52.0,52.0,2,0,10
2010-01-06 13:30:00,1262784600,52.0,55.0,52.0,55.0,2,0,35
2010-01-07 16:30:00,1262881800,59.0,59.0,59.0,59.0,1,0,30
2010-01-18 12:00:00,1263816000,59.0,59.0,59.0,59.0,1,0,1
2010-02-19 17:00:00,1266598800,52.0,52.0,52.0,52.0,1,0,20
2010-02-22 13:00:00,1266843600,59.0,59.0,59.0,59.0,1,0,1
2010-03-10 16:00:00,1268236800,58.0,58.0,58.0,58.0,4,0,115
2010-03-23 15:30:00,1269358200,57.5,57.5,57.5,57.5,1,0,5
2010-03-24 12:00:00,1269432000,57.5,57.5,57.5,57.5,1,0,8
2010-04-01 13:30:00,1270128600,59.99,59.99,59.99,59.99,1,0,4
2010-04-07 11:00:00,1270638000,59.99,59.99,59.99,59.99,1,0,4
2010-04-08 11:00:00,1270724400,59.0,59.0,59.0,59.0,1,0,7
2010-04-12 16:30:00,1271089800,59.99,59.99,59.99,59.99,1,0,43
2010-05-17 16:00:00,1274112000,57.0,57.0,57.0,57.0,1,0,50
2010-05-18 12:30:00,1274185800,59.0,59.0,59.0,59.0,1,0,7
2010-05-20 15:30:00,1274369400,58.0,58.0,58.0,58.0,1,0,4
