datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-09-14,1158192000,2.5300000000000002,2.5300000000000002,2.5300000000000002,2.5300000000000002,2,0,1000
2008-05-12,1210550400,4.59,4.59,4.59,4.59,1,0,100
2008-05-21,1211328000,5.18,5.18,5.18,5.18,1,0,200
2008-06-02,1212364800,5.18,5.18,5.18,5.18,2,0,500
2009-03-09,1236556800,1.42,1.42,1.42,1.42,1,0,100
2009-03-25,1237939200,1.26,1.26,1.26,1.26,1,0,100
2009-04-02,1238630400,1.32,1.32,1.32,1.32,1,0,100
2009-10-20,1255996800,1.8,1.8,1.8,1.8,1,0,100
2010-01-05,1262649600,2.27,2.27,2.27,2.27,1,0,100
2010-01-06,1262736000,2.29,2.29,2.29,2.29,1,0,100
2010-01-08,1262908800,2.4,2.4,2.4,2.4,3,0,300
2010-01-11,1263168000,2.41,2.41,2.41,2.41,1,0,100
2010-01-14,1263427200,2.44,2.44,2.44,2.44,1,0,100
2010-01-15,1263513600,2.46,2.46,2.46,2.46,1,0,100
2010-01-19,1263859200,2.46,2.46,2.46,2.46,1,0,100
2010-01-27,1264550400,2.4,2.4,2.4,2.4,1,0,100
2010-02-02,1265068800,2.36,2.36,2.36,2.36,1,0,100
2010-02-05,1265328000,1.9100000000000001,1.9100000000000001,1.9100000000000001,1.9100000000000001,1,0,100
2011-01-10,1294617600,1.8599999999999999,1.8599999999999999,1.8599999999999999,1.8599999999999999,1,0,100
2011-01-12,1294790400,1.76,1.76,1.76,1.76,1,0,400
2011-01-13,1294876800,1.65,1.65,1.65,1.65,3,0,400
2011-01-17,1295222400,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1,0,100
2011-04-11,1302480000,1.9100000000000001,1.9100000000000001,1.9100000000000001,1.9100000000000001,1,0,100
2011-06-17,1308268800,2.68,2.68,2.68,2.68,1,0,100
2011-06-24,1308873600,2.62,2.62,2.62,2.62,1,0,100
2011-06-27,1309132800,2.69,2.69,2.69,2.69,1,0,100
