datetime,time,open,high,low,close,tick_volume,spread,real_volume
2008-05-09 14:00:00,1210341600,4.8100000000000005,4.8100000000000005,4.8100000000000005,4.8100000000000005,1,0,100
2008-05-09 17:00:00,1210352400,5.73,5.73,5.73,5.73,2,0,300
2008-05-19 15:00:00,1211209200,6.8100000000000005,6.8100000000000005,6.8100000000000005,6.8100000000000005,1,0,100
2008-05-19 16:00:00,1211212800,6.8100000000000005,6.8100000000000005,6.8100000000000005,6.8100000000000005,1,0,100
2008-05-19 17:00:00,1211216400,7.42,7.42,7.42,7.42,2,0,200
2008-05-26 10:00:00,1211796000,7.21,7.21,7.21,7.21,1,0,100
2008-06-02 14:30:00,1212417000,7.21,7.21,7.21,7.21,2,0,200
2008-06-03 10:00:00,1212487200,7.21,7.21,7.21,7.21,1,0,100
2008-06-13 17:00:00,1213376400,6.02,6.02,6.02,6.02,1,0,100
2008-06-16 11:30:00,1213615800,5.61,5.61,5.61,5.61,1,0,100
2008-06-16 15:00:00,1213628400,7.21,7.21,7.21,7.21,2,0,200
2008-06-19 15:00:00,1213887600,7.21,7.21,7.21,7.21,3,0,700
2008-10-15 12:30:00,1224073800,1.76,1.76,1.76,1.76,1,0,100
2008-10-21 14:00:00,1224597600,2.01,2.01,2.01,2.01,1,0,100
2008-10-24 16:00:00,1224864000,2.01,2.01,2.01,2.01,1,0,100
2008-10-30 12:30:00,1225369800,2.01,2.01,2.01,2.01,1,0,100
2008-10-30 14:30:00,1225377000,2.01,2.01,2.01,2.01,1,0,100
2008-10-30 16:00:00,1225382400,2.01,2.01,2.01,2.01,1,0,100
2008-10-31 15:00:00,1225465200,2.01,2.01,2.01,2.01,1,0,100
2009-02-26 12:00:00,1235649600,2.01,2.01,2.01,2.01,1,0,100
2009-04-17 13:00:00,1239973200,1.85,1.85,1.85,1.85,1,0,100
2009-04-22 16:30:00,1240417800,2.01,2.01,2.01,2.01,1,0,100
2009-05-04 13:00:00,1241442000,2.01,2.01,2.01,2.01,1,0,100
2009-05-19 17:00:00,1242752400,2.0,2.0,2.0,2.0,1,0,100
2009-06-01 13:00:00,1243861200,2.0,2.0,2.0,2.0,1,0,100
2009-07-27 16:00:00,1248710400,1.8399999999999999,1.8399999999999999,1.8399999999999999,1.8399999999999999,4,0,1000
2009-07-28 11:00:00,1248778800,1.8599999999999999,1.8599999999999999,1.8599999999999999,1.8599999999999999,2,0,200
2009-07-28 12:30:00,1248784200,1.8599999999999999,1.8599999999999999,1.8599999999999999,1.8599999999999999,2,0,200
2009-07-28 15:00:00,1248793200,1.8599999999999999,1.8599999999999999,1.8599999999999999,1.8599999999999999,1,0,100
2009-07-28 16:30:00,1248798600,1.8599999999999999,1.8599999999999999,1.8599999999999999,1.8599999999999999,4,0,400
2009-07-29 16:30:00,1248885000,1.87,1.87,1.87,1.87,1,0,200
2009-07-30 16:30:00,1248971400,1.9,1.9,1.9,1.9,2,0,200
2009-08-05 11:30:00,1249471800,1.87,1.87,1.87,1.87,1,0,100
2009-08-06 12:00:00,1249560000,1.9,1.9,1.9,1.9,1,0,100
2009-08-07 14:00:00,1249653600,1.92,1.92,1.92,1.92,1,0,100
2009-08-17 10:00:00,1250503200,2.21,2.21,2.21,2.21,1,0,100
2009-08-17 13:30:00,1250515800,2.75,2.75,2.75,2.75,2,0,400
2009-08-17 14:00:00,1250517600,2.84,2.84,2.84,2.84,1,0,100
2009-08-21 11:30:00,1250854200,3.75,3.75,3.75,3.75,1,0,100
2009-08-21 16:00:00,1250870400,3.75,3.75,3.75,3.75,1,0,200
2009-08-24 15:30:00,1251127800,2.92,2.92,2.92,2.92,4,0,600
2009-08-24 16:30:00,1251131400,2.52,2.52,2.52,2.52,1,0,100
2009-08-24 17:00:00,1251133200,2.5,2.5,2.5,2.5,1,0,100
2009-09-24 14:30:00,1253802600,2.92,2.92,2.92,2.92,1,0,100
2010-01-04 16:00:00,1262620800,3.0,3.0,3.0,3.0,1,0,100
2010-01-05 13:00:00,1262696400,3.03,3.03,3.03,3.03,2,0,200
2010-01-06 13:30:00,1262784600,3.2,3.2,3.2,3.2,1,0,100
2010-01-08 17:00:00,1262970000,3.12,3.12,3.12,3.12,1,0,100
2010-02-05 15:00:00,1265382000,2.75,2.75,2.75,2.75,1,0,100
2010-02-26 12:00:00,1267185600,2.92,2.92,2.92,2.92,1,0,100
2010-02-26 13:30:00,1267191000,2.95,2.95,2.95,2.95,1,0,100
2010-03-01 13:30:00,1267450200,2.92,2.92,2.92,2.92,1,0,100
2010-03-01 15:00:00,1267455600,2.92,2.92,2.92,2.92,1,0,100
2010-03-01 16:30:00,1267461000,2.92,2.92,2.92,2.92,1,0,100
2010-03-02 16:30:00,1267547400,2.75,2.75,2.75,2.75,1,0,100
2010-03-08 15:00:00,1268060400,2.92,2.92,2.92,2.92,1,0,100
2010-03-10 14:30:00,1268231400,3.0,3.0,3.0,3.0,2,0,200
2010-03-11 12:00:00,1268308800,3.0,3.0,3.0,3.0,1,0,100
2010-03-15 14:00:00,1268661600,3.0,3.0,3.0,3.0,1,0,100
2010-08-17 13:30:00,1282051800,2.8,2.8,2.8,2.8,1,0,100
2010-08-24 15:30:00,1282663800,2.71,2.71,2.71,2.71,1,0,100
2010-08-26 16:00:00,1282838400,2.71,2.71,2.71,2.71,1,0,100
2010-08-31 12:30:00,1283257800,2.71,2.71,2.71,2.71,1,0,100
2010-08-31 16:00:00,1283270400,3.07,3.07,3.07,3.07,1,0,400
2010-09-01 17:00:00,1283360400,2.74,2.74,2.74,2.74,1,0,200
2010-09-02 11:30:00,1283427000,2.76,2.76,2.76,2.76,2,0,200
2010-09-08 13:30:00,1283952600,2.76,2.76,2.76,2.76,1,0,100
2010-11-24 15:00:00,1290610800,3.0,3.0,3.0,3.0,1,0,100
2011-05-17 13:00:00,1305637200,3.01,3.01,3.01,3.01,1,0,100
2011-05-27 13:30:00,1306503000,3.36,3.36,3.36,3.36,1,0,100
2011-05-30 13:00:00,1306760400,3.1,3.1,3.1,3.1,2,0,400
2011-06-17 16:30:00,1308328200,3.69,3.69,3.69,3.69,1,0,100
2011-06-24 14:00:00,1308924000,3.63,3.63,3.63,3.63,1,0,100
2011-06-27 17:00:00,1309194000,3.71,3.71,3.71,3.71,1,0,100
2011-07-19 11:00:00,1311073200,3.45,3.45,3.45,3.45,1,0,100
2011-07-29 14:30:00,1311949800,3.41,3.41,3.41,3.41,1,0,200
