datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18 15:00:00,1145372400,311.77,311.77,311.77,311.77,2,0,3238
2006-04-24 12:30:00,1145881800,293.43,293.43,293.43,293.43,2,0,710
2006-04-24 13:30:00,1145885400,320.02,320.02,320.02,320.02,1,0,1000
2006-04-25 14:30:00,1145975400,298.93,298.93,298.93,298.93,1,0,680
2006-04-26 12:00:00,1146052800,288.85,288.85,288.85,288.85,2,0,1650
2006-04-26 12:30:00,1146054600,275.17,275.17,275.17,275.17,1,0,130
2006-05-08 11:00:00,1147086000,321.04,321.04,321.04,321.04,2,0,2685
2006-05-08 14:30:00,1147098600,321.05,321.05,321.05,321.05,1,0,1000
2006-05-15 15:00:00,1147705200,320.94,320.94,320.94,320.94,3,0,2000
2006-05-16 10:30:00,1147775400,311.77,311.77,311.77,311.77,3,0,1019
2006-05-17 16:30:00,1147883400,275.14,275.14,275.14,275.14,1,0,1200
2006-05-18 11:00:00,1147950000,293.43,293.43,293.43,293.43,2,0,6059
2006-05-19 11:00:00,1148036400,279.68,279.68,279.68,279.68,1,0,2138
2006-05-22 10:30:00,1148293800,284.27,284.27,284.27,284.27,1,0,270
2006-05-22 11:30:00,1148297400,298.06,298.06,298.06,298.06,1,0,4900
2006-05-24 11:00:00,1148468400,275.1,275.1,275.1,275.1,4,0,8315
2006-05-29 11:00:00,1148900400,302.6,302.6,302.6,302.6,1,0,32
2006-05-29 13:30:00,1148909400,288.85,288.85,288.85,288.85,1,0,318
2006-05-30 12:30:00,1148992200,284.27,284.27,284.27,284.27,2,0,2200
2006-05-30 15:00:00,1149001200,279.68,279.68,279.68,279.68,1,0,74
2006-06-01 16:00:00,1149177600,279.68,279.68,279.68,279.68,1,0,528
2006-06-02 10:00:00,1149242400,283.35,283.35,283.35,283.35,4,0,2984
2006-06-05 12:00:00,1149508800,284.27,284.27,284.27,284.27,1,0,2100
2006-06-09 11:00:00,1149850800,293.43,293.43,293.43,293.43,1,0,10
2006-06-09 12:00:00,1149854400,330.11,330.11,330.11,330.11,1,0,990
2006-06-13 12:00:00,1150200000,279.68,279.68,279.68,279.68,1,0,80
2006-06-13 12:30:00,1150201800,293.43,293.43,293.43,293.43,1,0,1600
2006-06-14 16:00:00,1150300800,273.26,273.26,273.26,273.26,1,0,2685
2006-06-16 14:00:00,1150466400,275.1,275.1,275.1,275.1,1,0,200
2006-06-16 15:30:00,1150471800,270.51,270.51,270.51,270.51,1,0,2800
2006-06-19 15:30:00,1150731000,279.68,279.68,279.68,279.68,3,0,2000
2006-06-21 11:30:00,1150889400,267.76,267.76,267.76,267.76,2,0,1820
