datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18 11:00:00,1145358000,16.65,16.74,16.63,16.74,6,0,390
2006-04-18 13:00:00,1145365200,16.87,16.97,16.87,16.97,3,0,300
2006-04-18 13:30:00,1145367000,16.91,17.0,16.91,17.0,5,0,198
2006-04-18 14:00:00,1145368800,17.01,17.01,17.01,17.01,1,0,93
2006-04-18 15:00:00,1145372400,17.07,17.07,17.07,17.07,2,0,30
2006-04-18 15:30:00,1145374200,17.12,17.12,16.91,16.91,19,0,1485
2006-04-18 16:00:00,1145376000,16.75,16.75,16.45,16.45,6,0,369
2006-04-18 16:30:00,1145377800,16.91,16.91,16.91,16.91,1,0,150
2006-04-18 17:30:00,1145381400,17.06,17.06,17.06,17.06,1,0,60
2006-04-18 18:00:00,1145383200,17.04,17.04,17.04,17.04,1,0,30
2006-04-19 10:00:00,1145440800,17.07,17.26,17.07,17.26,9,0,810
2006-04-19 10:30:00,1145442600,17.33,17.46,17.33,17.46,7,0,516
2006-04-19 11:00:00,1145444400,17.44,17.48,17.44,17.48,8,0,561
2006-04-19 11:30:00,1145446200,17.49,17.49,17.36,17.36,4,0,312
2006-04-19 12:00:00,1145448000,17.51,17.61,17.48,17.48,7,0,414
2006-04-19 12:30:00,1145449800,17.39,17.39,17.3,17.3,4,0,150
2006-04-19 13:00:00,1145451600,17.39,17.43,17.39,17.43,2,0,312
2006-04-19 13:30:00,1145453400,17.49,17.49,17.39,17.39,3,0,144
2006-04-19 14:00:00,1145455200,17.49,17.52,17.49,17.52,3,0,303
2006-04-19 14:30:00,1145457000,17.51,17.61,17.48,17.61,14,0,1320
2006-04-19 15:00:00,1145458800,17.62,17.69,17.62,17.68,8,0,597
2006-04-19 15:30:00,1145460600,17.67,17.71,17.52,17.71,7,0,705
2006-04-19 16:00:00,1145462400,17.53,17.59,17.53,17.59,4,0,375
2006-04-20 10:00:00,1145527200,17.79,18.2,17.79,18.11,28,0,2094
2006-04-20 10:30:00,1145529000,18.06,18.11,17.95,18.05,21,0,1041
2006-04-20 11:00:00,1145530800,17.99,18.11,17.99,18.11,8,0,654
2006-04-20 11:30:00,1145532600,18.05,18.06,17.98,17.98,11,0,642
2006-04-20 12:00:00,1145534400,18.05,18.05,17.95,17.99,6,0,579
2006-04-20 12:30:00,1145536200,18.05,18.05,18.05,18.05,8,0,576
2006-04-20 13:00:00,1145538000,18.09,18.09,18.05,18.05,10,0,648
2006-04-20 13:30:00,1145539800,18.08,18.09,18.08,18.08,5,0,96
2006-04-20 14:00:00,1145541600,18.09,18.1,18.08,18.1,5,0,150
2006-04-20 14:30:00,1145543400,18.1,18.1,18.01,18.01,3,0,36
2006-04-24 10:00:00,1145872800,18.3,18.31,18.09,18.09,17,0,846
2006-04-24 10:30:00,1145874600,17.79,17.88,17.72,17.88,4,0,120
2006-04-24 11:00:00,1145876400,17.88,17.88,17.88,17.88,2,0,285
2006-04-24 11:30:00,1145878200,17.91,17.91,17.91,17.91,5,0,300
2006-04-24 12:30:00,1145881800,17.88,17.95,17.88,17.95,8,0,315
2006-04-24 13:30:00,1145885400,17.91,17.91,17.91,17.91,1,0,42
2006-04-24 14:00:00,1145887200,17.94,18.04,17.94,18.04,2,0,99
2006-04-24 14:30:00,1145889000,17.93,17.93,17.91,17.91,3,0,171
2006-04-24 15:30:00,1145892600,17.88,17.91,17.87,17.87,7,0,255
2006-04-24 16:00:00,1145894400,18.04,18.04,18.04,18.04,1,0,15
2006-04-24 16:30:00,1145896200,17.95,18.04,17.87,18.04,6,0,474
2006-04-24 17:30:00,1145899800,17.86,18.05,17.86,18.05,4,0,228
2006-04-24 18:00:00,1145901600,18.09,18.09,17.88,17.88,2,0,171
2006-04-25 10:00:00,1145959200,18.09,18.13,18.03,18.03,8,0,534
2006-04-25 10:30:00,1145961000,17.99,18.1,17.56,18.05,14,0,843
2006-04-25 11:30:00,1145964600,18.05,18.05,18.05,18.05,4,0,330
2006-04-25 12:00:00,1145966400,18.06,18.12,18.05,18.12,10,0,492
2006-04-25 12:30:00,1145968200,18.11,18.12,18.05,18.12,9,0,402
2006-04-25 13:00:00,1145970000,18.13,18.17,18.13,18.17,2,0,60
2006-04-25 13:30:00,1145971800,18.11,18.11,18.11,18.11,9,0,303
2006-04-25 14:30:00,1145975400,18.13,18.17,18.13,18.17,3,0,111
2006-04-25 15:00:00,1145977200,18.11,18.27,18.11,18.2,10,0,606
2006-04-25 15:30:00,1145979000,18.23,18.27,18.23,18.27,2,0,105
2006-04-25 16:00:00,1145980800,18.25,18.25,18.25,18.25,3,0,180
2006-04-25 16:30:00,1145982600,18.3,18.34,18.19,18.19,7,0,510
2006-04-25 17:30:00,1145986200,18.34,18.34,18.3,18.3,8,0,504
2006-04-25 18:00:00,1145988000,18.35,18.35,18.35,18.35,2,0,51
2006-04-26 10:00:00,1146045600,18.35,18.35,18.27,18.35,10,0,609
2006-04-26 10:30:00,1146047400,18.54,18.54,18.35,18.46,14,0,1083
2006-04-26 11:00:00,1146049200,18.44,18.67,18.44,18.67,24,0,1404
2006-04-26 11:30:00,1146051000,18.71,18.71,18.67,18.67,10,0,663
2006-04-26 12:00:00,1146052800,18.71,18.71,18.71,18.71,1,0,6
2006-04-26 12:30:00,1146054600,18.69,18.69,18.69,18.69,4,0,180
2006-04-26 13:00:00,1146056400,18.71,18.78,18.71,18.77,16,0,981
2006-04-26 13:30:00,1146058200,18.83,18.84,18.83,18.84,3,0,150
2006-04-26 14:00:00,1146060000,18.84,18.86,18.82,18.86,18,0,1368
2006-04-26 14:30:00,1146061800,18.77,18.87,18.77,18.84,8,0,420
2006-04-26 15:00:00,1146063600,18.87,18.9,18.84,18.9,6,0,279
2006-04-26 15:30:00,1146065400,18.87,18.9,18.86,18.87,11,0,645
2006-04-26 16:00:00,1146067200,18.84,18.9,18.84,18.9,6,0,333
2006-04-26 16:30:00,1146069000,18.84,18.84,18.74,18.74,5,0,330
2006-04-27 10:00:00,1146132000,18.81,18.81,18.35,18.67,26,0,2259
2006-04-27 10:30:00,1146133800,18.8,18.81,18.8,18.81,3,0,87
2006-04-27 11:00:00,1146135600,18.81,18.81,18.77,18.77,4,0,273
2006-04-27 11:30:00,1146137400,18.8,18.81,18.8,18.81,3,0,141
2006-04-27 12:00:00,1146139200,18.73,18.73,18.73,18.73,1,0,63
2006-04-27 12:30:00,1146141000,18.83,18.87,18.83,18.87,7,0,552
2006-04-27 13:00:00,1146142800,18.85,18.9,18.68,18.9,7,0,402
2006-04-27 13:30:00,1146144600,18.9,18.9,18.9,18.9,6,0,249
2006-04-27 14:00:00,1146146400,18.84,18.84,18.84,18.84,2,0,150
2006-04-27 14:30:00,1146148200,18.93,18.93,18.87,18.87,4,0,522
2006-04-27 15:00:00,1146150000,18.84,18.84,18.84,18.84,8,0,420
2006-04-27 15:30:00,1146151800,18.68,18.68,18.68,18.68,2,0,132
2006-04-27 16:00:00,1146153600,18.81,18.81,18.81,18.81,2,0,150
2006-04-27 16:30:00,1146155400,18.74,18.74,18.74,18.74,3,0,120
2006-04-27 18:00:00,1146160800,18.87,18.87,18.67,18.67,5,0,186
2006-04-28 10:00:00,1146218400,18.87,18.87,18.87,18.87,2,0,39
2006-04-28 10:30:00,1146220200,18.71,18.71,18.64,18.64,3,0,45
2006-04-28 11:00:00,1146222000,18.56,18.67,18.55,18.67,6,0,600
2006-04-28 11:30:00,1146223800,18.64,18.64,18.64,18.64,1,0,150
2006-04-28 12:00:00,1146225600,18.57,18.57,18.51,18.51,3,0,237
2006-04-28 12:30:00,1146227400,18.58,18.64,18.58,18.64,3,0,156
2006-04-28 13:00:00,1146229200,18.67,18.67,18.58,18.61,29,0,2232
2006-04-28 14:00:00,1146232800,18.64,18.64,18.64,18.64,2,0,117
2006-04-28 14:30:00,1146234600,18.63,18.74,18.63,18.74,9,0,822
2006-04-28 15:00:00,1146236400,18.87,18.87,18.87,18.87,3,0,69
2006-04-28 15:30:00,1146238200,18.94,18.94,18.84,18.84,3,0,165
2006-04-28 16:00:00,1146240000,18.97,19.03,18.94,18.94,25,0,1539
2006-04-28 16:30:00,1146241800,18.94,19.32,18.94,19.03,19,0,1158
2006-05-03 10:00:00,1146650400,19.07,19.1,19.07,19.1,4,0,480
2006-05-03 10:30:00,1146652200,19.13,19.13,19.0,19.07,20,0,2439
2006-05-03 11:00:00,1146654000,19.04,19.11,19.04,19.11,8,0,744
2006-05-03 11:30:00,1146655800,19.13,19.16,19.11,19.16,7,0,579
2006-05-03 12:00:00,1146657600,19.05,19.13,18.94,18.94,6,0,249
2006-05-03 12:30:00,1146659400,19.03,19.03,18.81,18.81,8,0,834
2006-05-03 13:00:00,1146661200,18.77,18.77,18.77,18.77,1,0,60
2006-05-03 14:00:00,1146664800,18.87,18.87,18.87,18.87,3,0,150
2006-05-03 15:00:00,1146668400,18.81,18.81,18.81,18.81,1,0,120
2006-05-03 15:30:00,1146670200,18.78,18.85,18.78,18.85,3,0,507
