datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18 10:00:00,1145354400,37.6,37.74,37.54,37.6,23,0,1330
2006-04-18 10:30:00,1145356200,37.56,37.84,37.54,37.84,34,0,1610
2006-04-18 11:00:00,1145358000,37.94,38.09,37.79,38.04,18,0,604
2006-04-18 11:30:00,1145359800,37.85,38.15,37.84,38.09,28,0,1244
2006-04-18 12:00:00,1145361600,38.05,38.19,37.99,37.99,34,0,1844
2006-04-18 12:30:00,1145363400,38.02,38.19,38.02,38.04,16,0,662
2006-04-18 13:00:00,1145365200,38.02,38.19,38.02,38.02,10,0,432
2006-04-18 13:30:00,1145367000,38.02,38.03,38.01,38.01,11,0,382
2006-04-18 14:00:00,1145368800,38.02,38.17,38.02,38.09,19,0,1014
2006-04-18 14:30:00,1145370600,38.09,38.09,37.94,37.94,33,0,1354
2006-04-18 15:00:00,1145372400,38.09,38.19,38.02,38.14,37,0,1710
2006-04-18 15:30:00,1145374200,38.14,38.19,38.04,38.12,24,0,656
2006-04-18 16:00:00,1145376000,38.16,38.54,38.16,38.54,27,0,1768
2006-04-18 16:30:00,1145377800,38.53,38.54,38.05,38.05,46,0,2312
2006-04-18 17:30:00,1145381400,38.39,38.39,38.02,38.02,19,0,1316
2006-04-18 18:00:00,1145383200,37.99,38.12,37.99,38.12,7,0,190
2006-04-18 18:30:00,1145385000,38.14,38.14,38.14,38.14,1,0,14
2006-04-19 10:00:00,1145440800,38.34,39.14,38.34,39.0,56,0,2512
2006-04-19 10:30:00,1145442600,38.99,39.4,38.99,39.4,64,0,3170
2006-04-19 11:00:00,1145444400,39.29,39.56,39.24,39.24,36,0,1730
2006-04-19 11:30:00,1145446200,39.25,39.42,39.09,39.42,35,0,1520
2006-04-19 12:00:00,1145448000,39.39,39.51,39.37,39.37,26,0,1396
2006-04-19 12:30:00,1145449800,39.56,39.59,39.42,39.54,30,0,1630
2006-04-19 13:00:00,1145451600,39.56,39.64,39.54,39.64,23,0,690
2006-04-19 13:30:00,1145453400,39.61,39.74,39.61,39.74,13,0,536
2006-04-19 14:00:00,1145455200,39.74,39.74,39.63,39.69,25,0,1018
2006-04-19 14:30:00,1145457000,39.65,39.65,39.53,39.62,31,0,1678
2006-04-19 15:00:00,1145458800,39.64,39.74,39.64,39.64,26,0,1232
2006-04-19 15:30:00,1145460600,39.69,39.74,39.64,39.66,21,0,822
2006-04-19 16:00:00,1145462400,39.69,39.76,39.59,39.69,35,0,1872
2006-04-20 10:00:00,1145527200,39.84,40.58,39.69,40.48,84,0,3050
2006-04-20 10:30:00,1145529000,40.43,40.82,40.38,40.63,76,0,3252
2006-04-20 11:00:00,1145530800,40.61,40.83,40.56,40.81,42,0,2016
2006-04-20 11:30:00,1145532600,40.83,40.88,40.53,40.63,64,0,2990
2006-04-20 12:00:00,1145534400,40.56,40.73,40.23,40.33,31,0,1312
2006-04-20 12:30:00,1145536200,40.53,40.58,40.39,40.44,25,0,1400
2006-04-20 13:00:00,1145538000,40.58,40.8,40.56,40.8,39,0,1946
2006-04-20 13:30:00,1145539800,40.81,40.83,40.66,40.83,64,0,3038
2006-04-20 14:00:00,1145541600,40.85,40.95,40.85,40.93,40,0,1796
2006-04-20 14:30:00,1145543400,40.89,41.18,40.89,41.18,45,0,2006
2006-04-24 10:00:00,1145872800,40.83,41.03,40.61,40.83,62,0,2650
2006-04-24 10:30:00,1145874600,40.78,40.78,40.33,40.33,46,0,1628
2006-04-24 11:00:00,1145876400,40.33,40.78,40.33,40.53,17,0,946
2006-04-24 11:30:00,1145878200,40.58,40.68,40.48,40.61,10,0,412
2006-04-24 12:00:00,1145880000,40.58,40.6,40.46,40.47,27,0,1566
2006-04-24 12:30:00,1145881800,40.51,40.58,40.48,40.56,17,0,772
2006-04-24 13:00:00,1145883600,40.53,40.6,40.53,40.6,5,0,124
2006-04-24 13:30:00,1145885400,40.58,40.58,40.43,40.46,27,0,838
2006-04-24 14:00:00,1145887200,40.44,40.49,40.43,40.43,8,0,404
2006-04-24 14:30:00,1145889000,40.38,40.38,40.33,40.33,25,0,742
2006-04-24 15:00:00,1145890800,40.38,40.38,40.31,40.38,14,0,778
2006-04-24 15:30:00,1145892600,40.39,40.39,40.33,40.34,17,0,718
2006-04-24 16:00:00,1145894400,40.36,40.48,40.34,40.38,14,0,582
2006-04-24 16:30:00,1145896200,40.39,40.5,40.36,40.41,24,0,994
2006-04-24 17:30:00,1145899800,40.45,40.48,40.41,40.41,13,0,330
2006-04-24 18:00:00,1145901600,40.48,40.48,40.41,40.43,3,0,82
2006-04-24 18:30:00,1145903400,40.44,40.44,40.44,40.44,1,0,80
2006-04-25 10:00:00,1145959200,40.43,40.6,40.4,40.4,29,0,1130
2006-04-25 10:30:00,1145961000,40.44,40.58,40.44,40.53,20,0,1104
2006-04-25 11:00:00,1145962800,40.54,40.56,39.84,39.84,70,0,3372
2006-04-25 11:30:00,1145964600,39.82,40.18,39.82,40.18,10,0,598
2006-04-25 12:00:00,1145966400,40.13,40.16,40.11,40.16,7,0,280
2006-04-25 12:30:00,1145968200,40.11,40.11,39.88,39.97,12,0,596
2006-04-25 13:00:00,1145970000,40.04,40.14,40.02,40.14,8,0,398
2006-04-25 13:30:00,1145971800,40.13,40.23,40.02,40.02,11,0,586
2006-04-25 14:00:00,1145973600,40.04,40.07,40.02,40.07,16,0,608
2006-04-25 14:30:00,1145975400,40.04,40.08,40.04,40.05,15,0,848
2006-04-25 15:00:00,1145977200,40.07,40.18,40.04,40.04,11,0,328
2006-04-25 15:30:00,1145979000,40.13,40.13,40.02,40.07,15,0,654
2006-04-25 16:00:00,1145980800,40.08,40.08,39.94,40.04,17,0,1030
2006-04-25 16:30:00,1145982600,40.04,40.23,39.89,40.23,34,0,1350
2006-04-25 17:30:00,1145986200,40.13,40.13,39.97,39.97,9,0,302
2006-04-25 18:00:00,1145988000,39.99,40.23,39.99,40.23,3,0,62
2006-04-25 18:30:00,1145989800,40.08,40.08,39.94,39.94,2,0,48
2006-04-26 10:00:00,1146045600,40.08,40.08,39.84,39.89,29,0,910
2006-04-26 10:30:00,1146047400,39.99,40.33,39.95,40.33,25,0,1400
2006-04-26 11:00:00,1146049200,40.31,40.58,40.3,40.58,24,0,1002
2006-04-26 11:30:00,1146051000,40.43,40.53,40.43,40.46,11,0,536
2006-04-26 12:00:00,1146052800,40.43,40.46,40.38,40.46,24,0,1054
2006-04-26 12:30:00,1146054600,40.43,40.48,40.34,40.46,20,0,1374
2006-04-26 13:00:00,1146056400,40.49,40.53,40.49,40.5,5,0,170
2006-04-26 13:30:00,1146058200,40.49,40.53,40.48,40.48,16,0,630
2006-04-26 14:00:00,1146060000,40.49,40.51,40.48,40.48,11,0,476
2006-04-26 14:30:00,1146061800,40.52,40.57,40.49,40.57,27,0,1120
2006-04-26 15:00:00,1146063600,40.57,40.57,40.48,40.53,28,0,1266
2006-04-26 15:30:00,1146065400,40.53,40.58,40.49,40.57,25,0,1034
2006-04-26 16:00:00,1146067200,40.56,40.56,40.5,40.5,8,0,532
2006-04-26 16:30:00,1146069000,40.51,40.57,40.39,40.39,18,0,722
2006-04-26 17:30:00,1146072600,40.46,40.46,40.46,40.46,6,0,198
2006-04-26 18:00:00,1146074400,40.43,40.43,40.39,40.39,5,0,184
2006-04-26 18:30:00,1146076200,40.43,40.55,40.38,40.38,12,0,466
2006-04-27 10:00:00,1146132000,40.33,40.33,39.88,40.09,48,0,2554
2006-04-27 10:30:00,1146133800,40.04,40.08,39.79,39.87,36,0,1678
2006-04-27 11:00:00,1146135600,39.84,40.46,39.84,40.34,23,0,1026
2006-04-27 11:30:00,1146137400,40.38,40.43,40.11,40.11,17,0,1032
2006-04-27 12:00:00,1146139200,40.23,40.33,40.04,40.16,15,0,696
2006-04-27 12:30:00,1146141000,40.21,40.23,40.09,40.22,10,0,384
2006-04-27 13:00:00,1146142800,40.23,40.33,40.19,40.23,14,0,888
2006-04-27 13:30:00,1146144600,40.28,40.28,40.19,40.19,5,0,234
2006-04-27 14:00:00,1146146400,40.28,40.28,40.18,40.2,12,0,540
2006-04-27 14:30:00,1146148200,40.11,40.18,40.08,40.13,10,0,372
2006-04-27 15:00:00,1146150000,40.1,40.1,39.99,40.01,18,0,718
2006-04-27 15:30:00,1146151800,40.01,40.03,39.97,40.03,17,0,580
2006-04-27 16:00:00,1146153600,40.02,40.02,39.94,39.94,14,0,436
2006-04-27 16:30:00,1146155400,39.97,40.03,39.94,39.97,25,0,1044
2006-04-27 17:30:00,1146159000,40.11,40.28,39.93,39.93,6,0,178
2006-04-27 18:30:00,1146162600,39.99,39.99,39.99,39.99,2,0,50
2006-04-28 10:00:00,1146218400,40.33,40.33,40.0,40.0,26,0,1292
2006-04-28 10:30:00,1146220200,40.04,40.18,39.94,40.02,25,0,808
2006-04-28 11:00:00,1146222000,39.99,39.99,39.89,39.89,27,0,1126
2006-04-28 11:30:00,1146223800,39.94,40.06,39.54,39.79,78,0,2906
2006-04-28 12:00:00,1146225600,39.67,39.83,39.67,39.74,22,0,940
2006-04-28 12:30:00,1146227400,39.75,39.84,39.53,39.53,60,0,2244
2006-04-28 13:00:00,1146229200,39.69,39.69,39.59,39.59,28,0,1294
2006-04-28 13:30:00,1146231000,39.64,39.64,39.49,39.49,27,0,880
2006-04-28 14:00:00,1146232800,39.59,39.59,39.47,39.47,20,0,960
2006-04-28 14:30:00,1146234600,39.49,39.59,39.39,39.39,51,0,2168
2006-04-28 15:00:00,1146236400,39.36,39.44,39.3,39.44,67,0,2834
2006-04-28 15:30:00,1146238200,39.39,39.44,39.34,39.38,42,0,1860
2006-04-28 16:00:00,1146240000,39.44,39.49,39.37,39.43,27,0,886
2006-04-28 16:30:00,1146241800,39.49,39.84,39.47,39.83,45,0,1602
2006-05-03 10:00:00,1146650400,39.83,40.08,39.83,40.02,37,0,1600
2006-05-03 10:30:00,1146652200,40.04,40.04,39.78,39.85,43,0,2110
2006-05-03 11:00:00,1146654000,39.84,40.03,39.77,39.84,24,0,958
2006-05-03 11:30:00,1146655800,39.9,39.9,39.74,39.74,20,0,816
2006-05-03 12:00:00,1146657600,39.7,39.99,39.7,39.99,26,0,1348
2006-05-03 12:30:00,1146659400,39.87,39.94,39.79,39.94,16,0,780
2006-05-03 13:00:00,1146661200,39.89,39.94,39.89,39.94,9,0,422
2006-05-03 13:30:00,1146663000,39.9,39.99,39.9,39.94,12,0,424
2006-05-03 14:00:00,1146664800,39.93,39.99,39.9,39.94,24,0,908
2006-05-03 14:30:00,1146666600,39.9,39.94,39.89,39.94,22,0,908
2006-05-03 15:00:00,1146668400,39.92,39.94,39.74,39.82,33,0,1262
2006-05-04 10:00:00,1146736800,39.89,40.5,39.84,40.1,44,0,1388
2006-05-04 10:30:00,1146738600,40.23,40.25,40.02,40.08,29,0,1654
2006-05-04 11:00:00,1146740400,40.12,40.21,40.04,40.21,26,0,1266
2006-05-04 11:30:00,1146742200,40.14,40.18,40.02,40.08,39,0,2146
2006-05-04 12:00:00,1146744000,40.04,40.08,39.94,39.97,15,0,664
2006-05-04 12:30:00,1146745800,39.99,40.07,39.99,40.06,24,0,920
2006-05-04 13:00:00,1146747600,40.07,40.18,40.07,40.11,21,0,990
2006-05-04 13:30:00,1146749400,40.09,40.09,39.94,40.0,22,0,966
2006-05-04 14:00:00,1146751200,40.04,40.23,40.0,40.23,22,0,786
2006-05-04 14:30:00,1146753000,40.13,40.23,40.08,40.18,10,0,416
2006-05-04 15:00:00,1146754800,40.08,40.13,40.08,40.08,15,0,700
2006-05-04 15:30:00,1146756600,40.08,40.11,39.97,40.08,20,0,770
2006-05-04 16:00:00,1146758400,40.02,40.28,40.02,40.28,19,0,1096
2006-05-04 16:30:00,1146760200,40.22,40.33,40.02,40.18,17,0,970
2006-05-04 17:30:00,1146763800,40.16,40.19,40.16,40.19,5,0,290
2006-05-04 18:00:00,1146765600,40.16,40.16,40.08,40.08,5,0,60
2006-05-04 18:30:00,1146767400,40.21,40.21,40.21,40.21,2,0,94
2006-05-05 10:00:00,1146823200,40.13,40.63,40.09,40.63,43,0,1738
2006-05-05 10:30:00,1146825000,40.56,40.56,40.28,40.52,32,0,1896
2006-05-05 11:00:00,1146826800,40.43,40.58,40.38,40.53,39,0,1596
2006-05-05 11:30:00,1146828600,40.51,40.58,40.43,40.58,29,0,1196
2006-05-05 12:00:00,1146830400,40.48,40.48,40.35,40.43,21,0,858
2006-05-05 12:30:00,1146832200,40.45,40.45,40.35,40.43,13,0,798
2006-05-05 13:00:00,1146834000,40.41,40.43,40.33,40.41,22,0,1262
2006-05-05 13:30:00,1146835800,40.43,40.43,40.38,40.4,10,0,334
2006-05-05 14:00:00,1146837600,40.38,40.41,40.37,40.4,10,0,586
2006-05-05 14:30:00,1146839400,40.42,40.48,40.39,40.46,23,0,1078
2006-05-05 15:00:00,1146841200,40.47,40.55,40.46,40.55,18,0,870
2006-05-05 15:30:00,1146843000,40.53,40.56,40.48,40.48,18,0,654
2006-05-05 16:00:00,1146844800,40.47,40.53,40.36,40.4,38,0,2058
2006-05-05 16:30:00,1146846600,40.35,40.48,40.34,40.43,41,0,1764
2006-05-05 17:30:00,1146850200,40.34,40.46,40.33,40.46,9,0,274
2006-05-05 18:00:00,1146852000,40.33,40.43,40.33,40.43,7,0,184
2006-05-05 18:30:00,1146853800,40.38,40.44,40.33,40.44,12,0,252
2006-05-08 10:00:00,1147082400,40.81,40.83,40.73,40.76,59,0,2470
2006-05-08 10:30:00,1147084200,40.78,40.93,40.76,40.88,42,0,2050
2006-05-08 11:00:00,1147086000,40.93,40.93,40.68,40.68,80,0,2758
2006-05-08 11:30:00,1147087800,40.71,40.71,40.53,40.61,44,0,1488
2006-05-08 12:00:00,1147089600,40.73,40.98,40.67,40.98,54,0,2044
2006-05-08 12:30:00,1147091400,40.93,40.98,40.84,40.98,35,0,1538
2006-05-08 13:00:00,1147093200,40.99,41.08,40.97,41.08,61,0,2512
2006-05-08 13:30:00,1147095000,41.13,41.18,41.1,41.15,38,0,1424
2006-05-08 14:00:00,1147096800,41.17,41.23,41.13,41.23,25,0,1366
2006-05-08 14:30:00,1147098600,41.2,41.28,41.2,41.27,27,0,1316
2006-05-08 15:00:00,1147100400,41.21,41.27,41.17,41.17,32,0,1304
2006-05-08 15:30:00,1147102200,41.18,41.18,40.98,41.11,43,0,1760
2006-05-08 16:00:00,1147104000,41.03,41.18,40.98,41.1,19,0,688
2006-05-08 16:30:00,1147105800,41.13,41.18,40.93,40.98,54,0,2686
2006-05-08 17:30:00,1147109400,41.0,41.0,41.0,41.0,3,0,50
2006-05-08 18:00:00,1147111200,40.98,41.03,40.9,40.98,13,0,528
2006-05-08 18:30:00,1147113000,40.97,41.01,40.97,41.01,3,0,136
2006-05-09 10:00:00,1147168800,41.26,41.32,41.23,41.28,58,0,2122
2006-05-09 10:30:00,1147170600,41.3,41.3,41.25,41.27,40,0,1750
2006-05-09 11:00:00,1147172400,41.26,41.28,41.08,41.08,60,0,3444
2006-05-09 11:30:00,1147174200,41.08,41.2,41.08,41.08,16,0,718
2006-05-09 12:00:00,1147176000,41.13,41.2,41.1,41.2,9,0,546
2006-05-09 12:30:00,1147177800,41.18,41.18,41.04,41.06,40,0,1728
2006-05-09 13:00:00,1147179600,41.04,41.06,40.92,40.92,35,0,1184
2006-05-09 13:30:00,1147181400,41.06,41.06,40.94,41.05,14,0,690
2006-05-09 14:00:00,1147183200,41.03,41.03,40.94,40.98,24,0,976
2006-05-09 14:30:00,1147185000,40.95,40.98,40.86,40.98,28,0,1258
2006-05-09 15:00:00,1147186800,40.9,41.02,40.89,40.94,17,0,524
2006-05-09 15:30:00,1147188600,40.98,41.02,40.9,40.9,23,0,1692
2006-05-09 16:00:00,1147190400,40.88,40.88,40.66,40.76,55,0,2282
2006-05-09 16:30:00,1147192200,40.66,40.83,40.58,40.58,49,0,2252
2006-05-09 17:30:00,1147195800,40.63,40.83,40.61,40.61,24,0,992
2006-05-09 18:00:00,1147197600,40.6,40.61,40.53,40.53,13,0,664
2006-05-09 18:30:00,1147199400,40.54,40.56,40.23,40.33,47,0,1802
2006-05-10 10:00:00,1147255200,40.33,40.43,40.23,40.38,59,0,2670
2006-05-10 10:30:00,1147257000,40.53,40.53,40.24,40.33,16,0,512
2006-05-10 11:00:00,1147258800,40.28,40.48,40.28,40.46,16,0,726
2006-05-10 11:30:00,1147260600,40.4,40.43,40.26,40.26,26,0,1188
2006-05-10 12:00:00,1147262400,40.33,40.33,40.24,40.31,10,0,320
2006-05-10 12:30:00,1147264200,40.29,40.33,40.08,40.19,48,0,1944
2006-05-10 13:00:00,1147266000,40.14,40.19,40.07,40.16,19,0,738
2006-05-10 13:30:00,1147267800,40.18,40.18,40.13,40.13,12,0,480
2006-05-10 14:00:00,1147269600,40.11,40.33,40.11,40.23,14,0,686
2006-05-10 14:30:00,1147271400,40.21,40.33,40.18,40.32,20,0,970
2006-05-10 15:00:00,1147273200,40.19,40.31,40.07,40.31,38,0,1744
2006-05-10 15:30:00,1147275000,40.28,40.33,40.05,40.33,28,0,1266
2006-05-10 16:00:00,1147276800,40.43,40.53,40.24,40.53,13,0,560
2006-05-10 16:30:00,1147278600,40.33,40.52,40.28,40.41,21,0,976
2006-05-10 17:30:00,1147282200,40.43,40.43,40.43,40.43,10,0,344
2006-05-10 18:00:00,1147284000,40.46,40.53,40.43,40.48,10,0,276
2006-05-10 18:30:00,1147285800,40.49,40.49,40.38,40.38,10,0,350
2006-05-11 10:00:00,1147341600,40.59,40.73,40.34,40.34,37,0,1858
2006-05-11 10:30:00,1147343400,40.38,40.68,40.38,40.43,30,0,1650
2006-05-11 11:00:00,1147345200,40.36,40.43,40.11,40.11,32,0,1330
2006-05-11 11:30:00,1147347000,40.26,40.32,40.09,40.09,11,0,418
2006-05-11 12:00:00,1147348800,40.11,40.38,40.11,40.38,20,0,986
2006-05-11 12:30:00,1147350600,40.33,40.4,40.08,40.23,27,0,1702
2006-05-11 13:00:00,1147352400,40.39,40.39,40.08,40.08,5,0,124
2006-05-11 13:30:00,1147354200,40.07,40.28,40.04,40.28,16,0,570
2006-05-11 14:00:00,1147356000,40.13,40.28,40.04,40.23,11,0,338
2006-05-11 14:30:00,1147357800,40.09,40.23,40.04,40.23,13,0,736
2006-05-11 15:00:00,1147359600,40.04,40.07,40.0,40.07,17,0,410
2006-05-11 15:30:00,1147361400,40.04,40.04,39.74,39.77,84,0,3384
2006-05-11 16:00:00,1147363200,39.84,39.84,39.72,39.74,28,0,1334
2006-05-11 16:30:00,1147365000,39.72,40.08,39.72,40.08,25,0,1214
2006-05-11 17:30:00,1147368600,40.04,40.04,40.02,40.04,5,0,248
2006-05-11 18:30:00,1147372200,39.8,39.8,39.79,39.8,9,0,136
2006-05-12 10:00:00,1147428000,39.39,39.59,39.17,39.34,60,0,2568
2006-05-12 10:30:00,1147429800,39.3,39.34,38.96,39.14,64,0,2160
2006-05-12 11:00:00,1147431600,39.11,39.54,39.11,39.4,29,0,1144
2006-05-12 11:30:00,1147433400,39.42,39.44,39.34,39.44,20,0,710
2006-05-12 12:00:00,1147435200,39.49,39.49,39.44,39.45,13,0,306
2006-05-12 12:30:00,1147437000,39.47,39.49,39.42,39.42,21,0,1040
2006-05-12 13:00:00,1147438800,39.54,39.54,39.39,39.39,5,0,182
2006-05-12 13:30:00,1147440600,39.4,39.59,39.29,39.39,39,0,1520
2006-05-12 14:00:00,1147442400,39.34,39.42,39.25,39.25,14,0,564
2006-05-12 14:30:00,1147444200,39.25,39.44,39.24,39.29,19,0,984
2006-05-12 15:00:00,1147446000,39.3,39.49,39.3,39.42,19,0,704
2006-05-12 15:30:00,1147447800,39.44,39.5,39.42,39.49,7,0,328
2006-05-12 16:00:00,1147449600,39.54,39.57,39.49,39.57,17,0,698
2006-05-12 16:30:00,1147451400,39.54,39.81,39.42,39.69,40,0,1780
2006-05-12 17:30:00,1147455000,39.67,39.67,39.64,39.64,6,0,182
2006-05-12 18:00:00,1147456800,39.74,39.82,39.74,39.79,4,0,158
2006-05-12 18:30:00,1147458600,39.82,39.84,39.82,39.84,2,0,108
2006-05-15 10:00:00,1147687200,39.64,39.64,38.74,38.94,91,0,3172
2006-05-15 10:30:00,1147689000,38.84,39.52,38.84,39.52,20,0,822
2006-05-15 11:00:00,1147690800,39.49,39.79,39.34,39.34,19,0,698
2006-05-15 11:30:00,1147692600,39.29,39.54,39.24,39.24,24,0,816
2006-05-15 12:00:00,1147694400,39.25,39.34,39.19,39.24,15,0,742
2006-05-15 12:30:00,1147696200,39.19,39.34,39.19,39.27,9,0,364
2006-05-15 13:00:00,1147698000,39.19,39.19,39.07,39.09,27,0,1132
2006-05-15 13:30:00,1147699800,39.08,39.09,38.92,38.92,25,0,1092
2006-05-15 14:00:00,1147701600,38.9,39.19,38.79,38.79,49,0,1744
2006-05-15 14:30:00,1147703400,38.84,38.84,38.54,38.54,45,0,1778
2006-05-15 15:00:00,1147705200,38.59,38.6,38.34,38.6,42,0,1814
2006-05-15 15:30:00,1147707000,38.59,39.12,38.4,38.59,26,0,950
2006-05-15 16:00:00,1147708800,38.52,38.97,38.48,38.97,23,0,832
2006-05-15 16:30:00,1147710600,39.09,39.09,38.84,38.84,23,0,934
2006-05-16 10:00:00,1147773600,38.92,39.74,38.92,39.1,43,0,2336
2006-05-16 10:30:00,1147775400,39.05,39.09,38.75,38.87,57,0,2702
2006-05-16 11:00:00,1147777200,38.92,38.96,38.54,38.74,65,0,2432
2006-05-16 11:30:00,1147779000,38.72,38.84,38.59,38.59,36,0,1476
2006-05-16 12:00:00,1147780800,38.64,38.84,38.49,38.49,42,0,1648
2006-05-16 12:30:00,1147782600,38.74,38.74,38.21,38.39,75,0,2972
2006-05-16 13:00:00,1147784400,38.44,38.69,38.44,38.54,10,0,378
2006-05-16 13:30:00,1147786200,38.59,38.73,38.52,38.73,8,0,384
2006-05-16 14:00:00,1147788000,38.74,38.96,38.74,38.87,9,0,716
2006-05-16 14:30:00,1147789800,38.94,38.94,38.74,38.77,30,0,1492
2006-05-16 15:00:00,1147791600,38.74,38.84,38.55,38.59,32,0,1262
2006-05-16 15:30:00,1147793400,38.63,38.82,38.47,38.59,33,0,1320
