datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18 11:30:00,1145359800,53.19,53.19,53.19,53.19,1,0,18
2006-04-26 13:00:00,1146056400,51.84,51.84,51.84,51.84,1,0,19
2006-04-28 10:00:00,1146218400,51.98,51.98,51.98,51.98,1,0,3
2006-04-28 11:00:00,1146222000,53.18,53.18,53.18,53.18,2,0,32
2006-05-03 13:30:00,1146663000,53.19,53.66,53.19,53.66,2,0,20
2006-05-04 16:00:00,1146758400,50.93,50.93,47.29,47.29,2,0,15
2006-05-08 14:00:00,1147096800,52.75,52.75,52.75,52.75,1,0,2
2006-05-08 16:00:00,1147104000,52.74,52.75,52.74,52.75,2,0,25
2006-05-15 00:00:00,1147651200,51.84,51.84,51.84,51.84,1,0,50
2006-05-15 14:30:00,1147703400,51.85,51.85,51.85,51.85,1,0,50
2006-05-16 14:30:00,1147789800,45.47,45.47,45.47,45.47,2,0,50
2006-05-19 13:00:00,1148043600,45.47,45.47,45.47,45.47,1,0,7
2006-05-22 14:00:00,1148306400,45.47,45.47,45.47,45.47,1,0,22
2006-05-25 11:00:00,1148554800,49.1,49.1,49.1,49.1,1,0,1
2006-05-29 10:00:00,1148896800,49.1,49.1,49.1,49.1,1,0,4
2006-05-29 12:30:00,1148905800,47.29,47.29,47.29,47.29,1,0,29
2006-06-06 13:00:00,1149598800,46.61,46.61,46.61,46.61,1,0,5
2006-06-08 15:00:00,1149778800,43.67,43.67,43.67,43.67,1,0,5
2006-06-22 14:30:00,1150986600,42.74,42.74,42.74,42.74,1,0,5
2006-06-28 16:30:00,1151512200,42.74,42.74,42.74,42.74,1,0,3
2006-07-04 15:00:00,1152025200,45.61,45.61,45.61,45.61,2,0,5
2006-07-05 12:00:00,1152100800,44.97,44.97,44.97,44.97,1,0,8
2006-07-06 11:30:00,1152185400,46.38,46.38,46.38,46.38,1,0,7
2006-07-13 16:30:00,1152808200,42.74,42.74,42.74,42.74,1,0,6
2006-07-25 15:30:00,1153841400,47.28,47.28,47.28,47.28,1,0,1
2006-07-25 17:30:00,1153848600,47.28,47.28,47.28,47.28,1,0,9
2006-07-26 12:30:00,1153917000,48.1,48.1,48.1,48.1,1,0,10
2006-07-27 15:30:00,1154014200,48.2,48.2,48.2,48.2,2,0,33
2006-07-28 15:30:00,1154100600,49.01,50.02,49.01,50.02,3,0,67
2006-08-03 13:00:00,1154610000,48.2,48.2,48.2,48.2,1,0,11
2006-08-03 15:30:00,1154619000,45.47,45.47,45.47,45.47,1,0,5
2006-08-03 16:00:00,1154620800,47.29,47.29,47.29,47.29,1,0,5
