datetime,time,open,high,low,close,tick_volume,spread,real_volume
2010-01-04 16:00:00,1262620800,2.12,2.12,2.07,2.07,3,0,600
2010-01-04 17:30:00,1262626200,2.22,2.22,2.22,2.22,1,0,100
2010-01-05 11:00:00,1262689200,2.17,2.17,2.12,2.12,3,0,3000
2010-01-05 11:30:00,1262691000,2.17,2.17,2.17,2.17,1,0,200
2010-01-05 12:30:00,1262694600,2.22,2.22,2.22,2.22,1,0,3000
2010-01-05 13:00:00,1262696400,2.22,2.22,2.22,2.22,1,0,100
2010-01-05 17:30:00,1262712600,2.17,2.17,2.17,2.17,1,0,900
2010-01-06 11:00:00,1262775600,2.22,2.22,2.22,2.22,1,0,900
2010-01-06 17:30:00,1262799000,2.12,2.22,2.07,2.22,4,0,1100
2010-01-07 16:00:00,1262880000,2.17,2.17,2.17,2.17,1,0,800
2010-01-07 16:30:00,1262881800,2.17,2.17,2.17,2.17,1,0,300
2010-01-07 17:30:00,1262885400,2.17,2.17,2.17,2.17,1,0,100
2010-01-08 11:00:00,1262948400,2.22,2.22,2.22,2.22,2,0,300
2010-01-08 11:30:00,1262950200,2.22,2.22,2.22,2.22,1,0,900
2010-01-08 13:30:00,1262957400,2.22,2.22,2.22,2.22,1,0,100
2010-01-08 16:00:00,1262966400,2.22,2.22,2.22,2.22,2,0,1500
2010-01-11 11:00:00,1263207600,2.22,2.22,2.22,2.22,1,0,200
2010-01-11 11:30:00,1263209400,2.22,2.22,2.22,2.22,1,0,700
2010-01-11 13:30:00,1263216600,2.17,2.17,2.17,2.17,1,0,300
2010-01-11 14:30:00,1263220200,2.22,2.22,2.22,2.22,2,0,700
2010-01-11 17:30:00,1263231000,2.22,2.22,2.22,2.22,2,0,1000
2010-01-13 13:30:00,1263389400,2.12,2.12,2.12,2.12,1,0,100
2010-01-13 15:00:00,1263394800,2.22,2.22,2.22,2.22,1,0,100
2010-01-15 16:00:00,1263571200,2.12,2.12,2.12,2.12,1,0,600
2010-01-15 17:00:00,1263574800,2.22,2.22,2.22,2.22,1,0,100
2010-01-18 11:30:00,1263814200,2.12,2.12,2.12,2.12,1,0,200
