datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-11-16,1163635200,0.07,0.07,0.07,0.07,3,0,12000000
2006-11-22,1164153600,0.13,0.13,0.13,0.13,2,0,8000000
2006-11-29,1164758400,0.07,0.07,0.07,0.07,5,0,40000000
2006-12-07,1165449600,0.07,0.07,0.07,0.07,3,0,24000000
2006-12-12,1165881600,0.1,0.1,0.1,0.1,1,0,4000000
2006-12-14,1166054400,0.13,0.13,0.13,0.13,1,0,4000000
2007-02-06,1170720000,0.15,0.15,0.15,0.15,2,0,8000000
2007-03-01,1172707200,0.13,0.13,0.13,0.13,2,0,16000000
2007-03-02,1172793600,0.13,0.13,0.13,0.13,1,0,4000000
2007-03-19,1174262400,0.1,0.1,0.07,0.07,2,0,8000000
2007-03-20,1174348800,0.02,0.02,0.02,0.02,4,0,32000000
2007-03-22,1174521600,0.02,0.02,0.02,0.02,3,0,16000000
2007-04-03,1175558400,0.07,0.07,0.07,0.07,1,0,4000000
2007-04-10,1176163200,0.07,0.07,0.07,0.07,1,0,4000000
2007-04-19,1176940800,0.1,0.1,0.1,0.1,1,0,4000000
2007-04-20,1177027200,0.17,0.17,0.17,0.17,3,0,16000000
2007-04-25,1177459200,0.17,0.17,0.17,0.17,1,0,20000000
2007-05-09,1178668800,0.17,0.17,0.17,0.17,1,0,4000000
2007-05-10,1178755200,0.17,0.17,0.17,0.17,1,0,4000000
2007-05-15,1179187200,0.17,0.17,0.17,0.17,2,0,40000000
2007-05-17,1179360000,0.25,0.25,0.25,0.25,1,0,4000000
2007-05-23,1179878400,0.25,0.25,0.25,0.25,1,0,4000000
2007-07-05,1183593600,0.22,0.23,0.22,0.23,2,0,8000000
2007-07-06,1183680000,0.28,0.32,0.28,0.32,4,0,16000000
2007-07-10,1184025600,0.32,0.32,0.32,0.32,1,0,8000000
2007-07-18,1184716800,0.28,0.28,0.28,0.28,1,0,4000000
2007-07-20,1184889600,0.3,0.3,0.3,0.3,1,0,4000000
2007-08-01,1185926400,0.24,0.24,0.24,0.24,1,0,4000000
2007-08-13,1186963200,0.15,0.15,0.15,0.15,2,0,8000000
2007-09-21,1190332800,0.19,0.19,0.19,0.19,2,0,8000000
2007-09-25,1190678400,0.19,0.19,0.19,0.19,1,0,4000000
2007-10-05,1191542400,0.17,0.17,0.17,0.17,1,0,4000000
2007-10-29,1193616000,0.15,0.15,0.15,0.15,2,0,8000000
2007-11-06,1194307200,0.17,0.17,0.17,0.17,1,0,4000000
2007-11-29,1196294400,0.17,0.17,0.17,0.17,1,0,4000000
2007-12-11,1197331200,10.21,10.21,10.21,10.21,1,0,100
2007-12-13,1197504000,9.92,9.92,9.92,9.92,1,0,100
2008-01-15,1200355200,10.52,10.52,10.52,10.52,1,0,200
2008-01-18,1200614400,9.92,9.92,9.92,9.92,1,0,600
2008-01-21,1200873600,9.92,9.92,9.92,9.92,3,0,1500
