datetime,time,open,high,low,close,tick_volume,spread,real_volume
2018-05-11 10:00:00,1526032800,19.0,19.02,18.75,18.75,11,1,273
2018-05-11 10:30:00,1526034600,18.75,18.77,18.45,18.45,13,1,233
2018-05-11 11:00:00,1526036400,18.46,18.48,18.46,18.48,2,1,148
2018-05-11 11:30:00,1526038200,18.51,18.52,18.47,18.52,9,1,310
2018-05-11 12:00:00,1526040000,18.52,18.53,18.49,18.5,5,1,188
2018-05-11 12:30:00,1526041800,18.53,18.55,18.3,18.54,15,1,252
2018-05-11 13:00:00,1526043600,18.54,18.54,18.4,18.54,6,1,277
2018-05-11 13:30:00,1526045400,18.54,18.54,18.37,18.37,4,1,111
2018-05-11 14:00:00,1526047200,18.47,18.54,18.35,18.35,9,1,217
2018-05-11 14:30:00,1526049000,18.43,18.5,18.43,18.49,3,1,52
2018-05-11 15:00:00,1526050800,18.45,18.5,18.45,18.5,2,1,22
2018-05-11 15:30:00,1526052600,18.35,18.35,18.3,18.3,12,1,283
2018-05-11 16:00:00,1526054400,18.25,18.25,18.01,18.15,9,1,190
2018-05-11 16:30:00,1526056200,18.32,18.32,18.25,18.25,2,1,80
2018-05-14 10:00:00,1526292000,18.5,18.65,18.5,18.62,25,1,731
2018-05-14 10:30:00,1526293800,18.62,18.63,18.6,18.63,11,1,221
2018-05-14 11:00:00,1526295600,18.64,18.64,18.53,18.53,5,1,134
2018-05-14 11:30:00,1526297400,18.51,18.51,18.2,18.2,11,1,292
2018-05-14 12:00:00,1526299200,18.3,18.5,18.2,18.5,6,1,107
2018-05-14 12:30:00,1526301000,18.33,18.5,18.33,18.33,7,1,199
2018-05-14 13:00:00,1526302800,18.5,18.5,18.49,18.5,5,1,91
2018-05-14 13:30:00,1526304600,18.48,18.48,18.3,18.31,9,1,162
2018-05-14 14:00:00,1526306400,18.35,18.47,18.34,18.4,5,1,98
2018-05-14 14:30:00,1526308200,18.48,18.49,18.35,18.35,3,1,157
2018-05-14 15:00:00,1526310000,18.46,18.46,18.15,18.3,10,1,223
2018-05-14 15:30:00,1526311800,18.3,18.49,18.3,18.49,7,1,122
2018-05-14 16:00:00,1526313600,18.45,18.45,18.31,18.45,7,1,190
2018-05-14 16:30:00,1526315400,18.44,18.44,18.44,18.44,1,1,60
2018-05-14 17:00:00,1526317200,18.45,18.45,18.45,18.45,3,0,66
2018-05-15 10:00:00,1526378400,18.45,18.45,18.39,18.44,23,1,581
2018-05-15 10:30:00,1526380200,18.49,18.53,18.47,18.53,14,1,332
2018-05-15 11:00:00,1526382000,18.5,18.53,18.4,18.4,10,1,241
2018-05-15 11:30:00,1526383800,18.5,18.5,18.5,18.5,3,1,82
2018-05-15 12:00:00,1526385600,18.5,18.5,18.45,18.45,4,1,208
2018-05-15 12:30:00,1526387400,18.44,18.44,18.44,18.44,1,1,4
2018-05-15 13:00:00,1526389200,18.5,18.51,18.4,18.41,11,1,290
2018-05-15 13:30:00,1526391000,18.41,18.51,18.4,18.51,7,1,131
2018-05-15 14:00:00,1526392800,18.51,18.51,18.3,18.3,5,1,114
2018-05-15 14:30:00,1526394600,18.31,18.35,18.3,18.35,5,1,80
2018-05-15 15:00:00,1526396400,18.35,18.35,18.23,18.23,8,1,307
2018-05-15 15:30:00,1526398200,18.34,18.34,18.25,18.34,5,1,76
2018-05-15 16:00:00,1526400000,18.33,18.33,18.2,18.2,4,1,103
2018-05-15 16:30:00,1526401800,18.24,18.25,18.24,18.25,3,1,120
2018-05-15 17:00:00,1526403600,18.25,18.25,18.25,18.25,2,0,60
2018-05-16 10:00:00,1526464800,18.43,18.43,18.34,18.35,13,1,316
2018-05-16 10:30:00,1526466600,18.4,18.43,18.3,18.32,13,1,279
2018-05-16 11:00:00,1526468400,18.32,18.32,18.3,18.32,6,1,126
2018-05-16 11:30:00,1526470200,18.34,18.39,18.29,18.39,11,1,264
2018-05-16 12:00:00,1526472000,18.36,18.39,18.31,18.31,7,1,200
2018-05-16 12:30:00,1526473800,18.31,18.34,18.31,18.31,5,1,109
2018-05-16 13:00:00,1526475600,18.3,18.35,18.3,18.32,3,1,47
2018-05-16 13:30:00,1526477400,18.31,18.35,18.31,18.31,5,1,83
2018-05-16 14:00:00,1526479200,18.31,18.34,18.31,18.34,6,1,113
2018-05-16 14:30:00,1526481000,18.31,18.33,18.3,18.33,6,1,93
2018-05-16 15:00:00,1526482800,18.3,18.33,18.29,18.29,7,1,181
2018-05-16 15:30:00,1526484600,18.34,18.34,18.3,18.3,7,1,238
2018-05-16 16:00:00,1526486400,18.34,18.4,18.34,18.4,3,1,170
2018-05-17 10:00:00,1526551200,18.4,18.44,18.31,18.31,8,1,170
2018-05-17 10:30:00,1526553000,18.32,18.42,18.32,18.36,4,1,124
2018-05-17 11:00:00,1526554800,18.42,18.44,18.42,18.44,5,1,140
2018-05-17 11:30:00,1526556600,18.44,18.44,18.38,18.38,7,1,110
2018-05-17 12:00:00,1526558400,18.36,18.38,18.36,18.38,4,1,66
2018-05-17 13:00:00,1526562000,18.38,18.38,18.32,18.34,7,1,182
2018-05-17 13:30:00,1526563800,18.34,18.34,18.34,18.34,4,1,116
2018-05-17 14:00:00,1526565600,18.35,18.35,18.3,18.3,4,1,53
2018-05-17 14:30:00,1526567400,18.3,18.3,18.26,18.28,5,1,216
2018-05-17 15:00:00,1526569200,18.29,18.31,18.29,18.31,6,1,139
2018-05-17 15:30:00,1526571000,18.29,18.31,18.29,18.31,8,1,378
2018-05-17 16:00:00,1526572800,18.28,18.28,18.21,18.21,3,1,69
2018-05-17 16:30:00,1526574600,18.3,18.31,18.26,18.26,5,1,123
2018-05-18 10:00:00,1526637600,18.49,18.5,18.4,18.4,5,1,140
2018-05-18 10:30:00,1526639400,18.4,18.4,18.01,18.01,6,1,227
2018-05-18 11:00:00,1526641200,18.38,18.38,18.3,18.3,4,1,117
2018-05-18 11:30:00,1526643000,18.3,18.3,18.11,18.11,6,1,168
2018-05-18 12:00:00,1526644800,18.15,18.15,18.05,18.1,10,1,278
2018-05-18 12:30:00,1526646600,18.15,18.15,18.06,18.06,7,1,140
2018-05-18 13:00:00,1526648400,18.17,18.17,18.08,18.08,4,1,93
2018-05-18 13:30:00,1526650200,18.08,18.08,18.08,18.08,4,1,50
2018-05-18 14:00:00,1526652000,18.14,18.14,18.0,18.14,14,1,317
2018-05-18 14:30:00,1526653800,18.04,18.14,18.0,18.14,6,1,228
2018-05-18 15:00:00,1526655600,18.0,18.0,18.0,18.0,1,1,60
2018-05-18 15:30:00,1526657400,18.01,18.13,18.0,18.0,12,0,221
2018-05-18 16:00:00,1526659200,18.01,18.04,18.01,18.04,3,1,114
2018-05-18 16:30:00,1526661000,18.14,18.14,18.02,18.02,3,1,92
2018-05-18 17:00:00,1526662800,18.15,18.15,18.15,18.15,5,0,109
2018-05-21 10:00:00,1526896800,18.35,18.4,18.0,18.0,10,1,85
2018-05-21 10:30:00,1526898600,18.0,18.1,18.0,18.1,5,1,82
2018-05-21 11:00:00,1526900400,18.15,18.25,18.1,18.1,4,1,72
2018-05-21 11:30:00,1526902200,18.39,18.39,18.1,18.1,3,1,62
2018-05-21 12:00:00,1526904000,18.3,18.3,18.06,18.06,6,1,196
2018-05-21 12:30:00,1526905800,18.12,18.39,18.12,18.13,5,1,154
2018-05-21 13:00:00,1526907600,18.15,18.15,18.15,18.15,2,1,88
2018-05-21 13:30:00,1526909400,18.13,18.13,18.05,18.05,3,1,115
2018-05-21 14:00:00,1526911200,18.25,18.25,18.18,18.18,3,1,63
2018-05-21 14:30:00,1526913000,18.39,18.39,18.18,18.39,4,1,198
2018-05-21 15:00:00,1526914800,18.2,18.2,18.01,18.02,6,1,110
2018-05-21 15:30:00,1526916600,18.02,18.02,18.02,18.02,1,1,10
2018-05-21 16:00:00,1526918400,18.02,18.02,18.0,18.0,3,1,54
2018-05-21 17:00:00,1526922000,18.1,18.1,18.1,18.1,3,0,50
2018-05-22 10:00:00,1526983200,18.1,18.28,18.1,18.25,7,1,147
2018-05-22 10:30:00,1526985000,18.26,18.3,18.26,18.3,3,0,181
2018-05-22 11:00:00,1526986800,18.3,18.45,18.3,18.45,15,1,463
2018-05-22 11:30:00,1526988600,18.45,18.5,18.35,18.35,16,1,541
2018-05-22 12:00:00,1526990400,18.5,18.54,18.48,18.5,17,1,461
2018-05-22 12:30:00,1526992200,18.52,18.56,18.43,18.43,25,1,943
2018-05-22 13:00:00,1526994000,18.5,18.55,18.5,18.54,10,1,354
2018-05-22 13:30:00,1526995800,18.54,18.54,18.34,18.34,8,1,149
2018-05-22 14:00:00,1526997600,18.5,18.5,18.5,18.5,1,1,4
2018-05-22 14:30:00,1526999400,18.5,18.5,18.4,18.5,7,1,216
2018-05-22 15:00:00,1527001200,18.52,18.53,18.32,18.53,9,1,242
2018-05-22 15:30:00,1527003000,18.53,18.54,18.43,18.49,18,1,694
2018-05-22 16:00:00,1527004800,18.42,18.55,18.42,18.55,4,1,114
2018-05-23 10:00:00,1527069600,18.55,18.55,18.5,18.5,5,1,61
2018-05-23 10:30:00,1527071400,18.3,18.5,18.11,18.4,9,1,176
2018-05-23 11:00:00,1527073200,18.5,18.55,18.5,18.55,20,1,765
2018-05-23 11:30:00,1527075000,18.55,18.55,18.51,18.52,6,1,99
2018-05-23 12:00:00,1527076800,18.52,18.56,18.51,18.56,10,1,410
2018-05-23 12:30:00,1527078600,18.51,18.7,18.51,18.7,35,1,1409
2018-05-23 13:00:00,1527080400,18.65,18.73,18.65,18.73,3,1,157
2018-05-23 13:30:00,1527082200,18.73,18.75,18.58,18.75,9,1,292
2018-05-23 14:00:00,1527084000,18.73,18.74,18.73,18.74,6,1,254
2018-05-23 14:30:00,1527085800,18.73,18.73,18.72,18.72,7,1,278
2018-05-23 15:00:00,1527087600,18.72,18.75,18.72,18.75,5,1,74
2018-05-23 15:30:00,1527089400,18.75,18.98,18.75,18.91,25,1,966
2018-05-23 16:00:00,1527091200,18.82,18.98,18.82,18.93,11,1,338
2018-05-23 16:30:00,1527093000,18.95,18.98,18.9,18.98,12,1,418
