datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-05-26 14:30:00,1148653800,2.0,2.0,2.0,2.0,1,0,500
2006-12-11 16:00:00,1165852800,2.7,2.7,2.7,2.7,1,0,100
2006-12-13 11:30:00,1166009400,2.7,2.7,2.7,2.7,1,0,400
2007-01-12 16:30:00,1168619400,3.45,3.45,3.45,3.45,1,0,500
2007-05-17 16:00:00,1179417600,5.4,5.4,5.4,5.4,2,0,200
2007-05-21 13:00:00,1179752400,6.0,6.0,6.0,6.0,1,0,9
2007-05-23 10:30:00,1179916200,6.0,6.0,6.0,6.0,1,0,91
2008-02-15 14:00:00,1203084000,5.5,5.5,5.5,5.5,2,0,136
2008-05-15 17:00:00,1210870800,5.0,5.0,5.0,5.0,1,0,100
2008-05-29 12:00:00,1212062400,4.8,4.8,4.8,4.8,3,0,300
2008-06-19 11:00:00,1213873200,6.77,6.77,6.77,6.77,1,0,15
2008-09-05 12:00:00,1220616000,4.0,4.0,4.0,4.0,1,0,13
2008-11-24 18:00:00,1227549600,5.85,5.85,5.85,5.85,1,0,2
2009-02-19 12:30:00,1235046600,5.77,5.77,5.77,5.77,1,0,4
2009-05-25 14:30:00,1243261800,3.0,3.0,3.0,3.0,2,0,200
2009-07-01 14:30:00,1246458600,2.5,2.5,2.5,2.5,3,0,50
2009-07-03 14:00:00,1246629600,2.55,2.55,2.55,2.55,3,0,9
2009-07-03 16:00:00,1246636800,2.55,2.55,2.55,2.55,2,0,50
2009-07-06 17:00:00,1246899600,2.5,2.5,2.5,2.5,2,0,189
2009-07-07 13:30:00,1246973400,2.52,2.52,2.52,2.52,2,0,70
2009-07-08 12:00:00,1247054400,2.54,2.54,2.54,2.54,3,0,256
2009-09-01 13:30:00,1251811800,4.1,4.1,4.1,4.1,2,0,2
2009-09-15 16:30:00,1253032200,3.96,3.96,3.96,3.96,2,0,52
2009-09-25 11:00:00,1253876400,3.99,3.99,3.99,3.99,2,0,11
2009-09-29 16:30:00,1254241800,3.3,3.3,3.3,3.3,3,0,436
2009-10-08 13:30:00,1255008600,4.0,4.0,4.0,4.0,1,0,300
2010-01-04 11:30:00,1262604600,2.9,2.9,2.9,2.9,1,0,8
2010-01-04 13:30:00,1262611800,2.9,2.9,2.9,2.9,1,0,25
2010-01-07 11:00:00,1262862000,2.9,2.9,2.9,2.9,1,0,9
