datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-09-23 10:00:00,1632391200,3.17,3.24,3.0,3.16,244,0,125200
2021-09-23 10:30:00,1632393000,3.15,3.15,3.03,3.06,84,1,37800
2021-09-23 11:00:00,1632394800,3.04,3.06,2.91,2.98,236,1,109100
2021-09-23 11:30:00,1632396600,2.96,3.05,2.92,3.05,250,1,161600
2021-09-23 12:00:00,1632398400,3.04,3.07,3.02,3.05,112,1,77000
2021-09-23 12:30:00,1632400200,3.04,3.12,3.0,3.12,94,1,57200
2021-09-23 13:00:00,1632402000,3.12,3.12,3.03,3.07,46,1,25500
2021-09-23 13:30:00,1632403800,3.06,3.11,3.03,3.11,84,2,24900
2021-09-23 14:00:00,1632405600,3.09,3.11,3.03,3.1,126,1,96900
2021-09-23 14:30:00,1632407400,3.07,3.21,3.05,3.21,402,1,176900
2021-09-23 15:00:00,1632409200,3.21,3.23,3.12,3.15,229,1,84200
2021-09-23 15:30:00,1632411000,3.15,3.18,3.12,3.15,64,1,58600
2021-09-23 16:00:00,1632412800,3.13,3.19,3.1,3.15,156,1,107800
2021-09-23 16:30:00,1632414600,3.12,3.14,3.06,3.1,39,1,61500
2021-09-23 17:00:00,1632416400,3.14,3.14,3.14,3.14,24,0,59100
2021-09-23 17:30:00,1632418200,3.14,3.14,3.08,3.09,9,1,7600
2021-09-24 10:00:00,1632477600,3.12,3.21,2.95,3.0,133,1,80100
2021-09-24 10:30:00,1632479400,3.01,3.04,3.0,3.02,43,1,16000
2021-09-24 11:00:00,1632481200,3.01,3.1,3.0,3.09,82,1,109700
2021-09-24 11:30:00,1632483000,3.1,3.13,3.08,3.09,24,1,76000
2021-09-24 12:00:00,1632484800,3.08,3.1,3.08,3.1,6,1,1500
2021-09-24 12:30:00,1632486600,3.1,3.15,3.08,3.11,35,1,27600
2021-09-24 13:00:00,1632488400,3.11,3.11,3.05,3.05,44,1,40500
2021-09-24 13:30:00,1632490200,3.06,3.07,3.04,3.07,13,1,6300
2021-09-24 14:00:00,1632492000,3.07,3.07,3.05,3.05,2,1,200
2021-09-24 14:30:00,1632493800,3.06,3.07,3.02,3.06,26,1,12600
2021-09-24 15:00:00,1632495600,3.06,3.07,3.02,3.07,15,1,12300
2021-09-24 15:30:00,1632497400,3.04,3.07,3.02,3.04,22,1,10900
2021-09-24 16:00:00,1632499200,3.03,3.03,2.98,3.02,33,1,39800
2021-09-24 16:30:00,1632501000,3.0,3.08,3.0,3.08,48,1,40700
2021-09-24 17:00:00,1632502800,3.09,3.09,3.09,3.09,19,0,24500
2021-09-24 17:30:00,1632504600,3.05,3.1,3.03,3.1,16,1,9200
2021-09-27 10:00:00,1632736800,3.1,3.13,2.99,3.04,53,1,38600
2021-09-27 10:30:00,1632738600,3.04,3.08,3.03,3.03,24,1,14300
2021-09-27 11:00:00,1632740400,3.06,3.06,3.0,3.0,34,1,21400
2021-09-27 11:30:00,1632742200,3.0,3.03,2.9699999999999998,3.02,39,1,30700
2021-09-27 12:00:00,1632744000,2.99,3.02,2.96,3.02,37,1,21700
2021-09-27 12:30:00,1632745800,3.0,3.02,3.0,3.02,3,3,1700
2021-09-27 13:00:00,1632747600,2.99,3.02,2.96,2.96,30,1,16400
2021-09-27 13:30:00,1632749400,2.98,3.0,2.96,3.0,21,1,9800
2021-09-27 14:00:00,1632751200,2.9699999999999998,2.99,2.96,2.96,13,1,4000
2021-09-27 14:30:00,1632753000,2.96,2.98,2.95,2.95,22,1,10800
2021-09-27 15:00:00,1632754800,2.93,2.96,2.92,2.96,20,1,21900
2021-09-27 15:30:00,1632756600,2.96,2.96,2.91,2.92,29,1,24700
2021-09-27 16:00:00,1632758400,2.91,2.94,2.91,2.93,11,1,5900
2021-09-27 16:30:00,1632760200,2.92,2.92,2.85,2.9,64,1,43900
2021-09-27 17:00:00,1632762000,2.9,2.9,2.9,2.9,23,0,18100
2021-09-27 17:30:00,1632763800,2.9,2.92,2.9,2.9,24,1,51200
2021-09-28 10:00:00,1632823200,2.96,3.0,2.9,2.95,87,1,68600
