datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-11-29 10:00:00,1575021600,8.55,8.72,8.17,8.5,25,0,541
2019-11-29 10:30:00,1575023400,8.48,8.48,8.37,8.43,25,1,767
2019-11-29 11:00:00,1575025200,8.43,8.45,8.41,8.41,11,1,218
2019-11-29 11:30:00,1575027000,8.4,8.41,8.38,8.4,11,1,242
2019-11-29 12:00:00,1575028800,8.4,8.4,8.39,8.4,6,1,114
2019-11-29 12:30:00,1575030600,8.4,8.42,8.4,8.42,4,1,53
2019-11-29 13:00:00,1575032400,8.41,8.44,8.41,8.44,7,1,129
2019-11-29 13:30:00,1575034200,8.43,8.43,8.41,8.41,15,1,365
2019-11-29 14:00:00,1575036000,8.4,8.41,8.38,8.38,11,1,224
2019-11-29 14:30:00,1575037800,8.38,8.38,8.38,8.38,1,1,15
2019-11-29 15:00:00,1575039600,8.38,8.39,8.38,8.39,7,1,111
2019-11-29 15:30:00,1575041400,8.39,8.39,8.39,8.39,5,2,11
2019-11-29 16:00:00,1575043200,8.4,8.4,8.38,8.38,2,1,5
2019-11-29 16:30:00,1575045000,8.38,8.39,8.36,8.38,6,1,102
2019-11-29 17:00:00,1575046800,8.39,8.39,8.37,8.37,6,1,197
2019-11-29 17:30:00,1575048600,8.37,8.5,8.3,8.3,20,1,396
2019-11-29 18:00:00,1575050400,10.0,10.0,10.0,10.0,4,20,51
2019-12-02 10:00:00,1575280800,9.95,9.95,8.5,8.55,28,0,465
2019-12-02 10:30:00,1575282600,8.54,8.75,8.54,8.64,10,1,250
2019-12-02 11:00:00,1575284400,8.7,8.72,8.64,8.67,18,1,386
2019-12-02 11:30:00,1575286200,8.62,8.67,8.52,8.65,21,1,349
2019-12-02 12:00:00,1575288000,8.65,8.69,8.6,8.62,15,1,441
2019-12-02 12:30:00,1575289800,8.63,8.66,8.63,8.65,7,1,235
2019-12-02 13:00:00,1575291600,8.62,8.62,8.6,8.6,8,1,195
2019-12-02 13:30:00,1575293400,8.6,8.61,8.6,8.61,2,3,15
2019-12-02 14:00:00,1575295200,8.61,8.65,8.61,8.65,5,2,5
2019-12-02 14:30:00,1575297000,8.64,8.65,8.64,8.65,6,1,94
2019-12-02 15:00:00,1575298800,8.63,8.65,8.6,8.65,9,1,296
2019-12-02 15:30:00,1575300600,8.65,8.65,8.64,8.64,4,1,93
2019-12-02 16:00:00,1575302400,8.6,8.61,8.6,8.6,6,1,146
2019-12-02 16:30:00,1575304200,8.6,8.61,8.59,8.59,6,1,169
2019-12-02 17:00:00,1575306000,8.61,8.69,8.44,8.69,19,1,302
2019-12-02 17:30:00,1575307800,8.55,8.68,8.55,8.55,5,12,69
2019-12-03 10:00:00,1575367200,8.7,8.74,8.64,8.64,19,1,520
2019-12-03 10:30:00,1575369000,8.65,8.65,8.63,8.64,12,1,247
2019-12-03 11:00:00,1575370800,8.64,8.64,8.6,8.62,8,1,152
2019-12-03 11:30:00,1575372600,8.62,8.62,8.59,8.61,10,1,287
2019-12-03 12:00:00,1575374400,8.61,8.61,8.52,8.6,36,1,1425
2019-12-03 12:30:00,1575376200,8.59,8.59,8.57,8.57,2,1,66
2019-12-03 13:00:00,1575378000,8.59,8.59,8.57,8.58,6,1,104
2019-12-03 14:00:00,1575381600,8.6,8.6,8.55,8.58,10,1,325
2019-12-03 14:30:00,1575383400,8.61,8.61,8.61,8.61,5,1,161
2019-12-03 15:00:00,1575385200,8.61,8.61,8.59,8.6,5,1,164
2019-12-03 15:30:00,1575387000,8.59,8.59,8.5,8.54,20,1,924
2019-12-03 16:00:00,1575388800,8.57,8.57,8.52,8.53,10,1,216
2019-12-03 16:30:00,1575390600,8.54,8.56,8.53,8.56,5,1,176
2019-12-03 17:00:00,1575392400,8.55,8.6,8.55,8.6,7,1,162
2019-12-03 17:30:00,1575394200,8.6,8.6,8.58,8.58,13,1,350
2019-12-03 18:00:00,1575396000,8.57,8.57,8.57,8.57,2,2,28
2019-12-04 10:00:00,1575453600,8.62,8.62,8.58,8.59,8,1,80
2019-12-04 10:30:00,1575455400,8.59,8.59,8.59,8.59,4,1,69
2019-12-04 11:00:00,1575457200,8.6,8.6,8.57,8.57,12,1,238
2019-12-04 11:30:00,1575459000,8.57,8.57,8.51,8.55,19,1,431
2019-12-04 12:00:00,1575460800,8.53,8.54,8.52,8.54,12,1,399
2019-12-04 12:30:00,1575462600,8.55,8.55,8.52,8.52,6,1,78
2019-12-04 13:00:00,1575464400,8.52,8.53,8.49,8.49,25,1,436
2019-12-04 13:30:00,1575466200,8.5,8.54,8.5,8.54,2,3,35
2019-12-04 14:00:00,1575468000,8.49,8.52,8.34,8.35,25,1,620
2019-12-04 14:30:00,1575469800,8.48,8.55,8.48,8.5,6,1,247
2019-12-04 15:00:00,1575471600,8.55,8.55,8.55,8.55,3,1,73
2019-12-04 16:00:00,1575475200,8.53,8.54,8.5,8.5,3,2,44
2019-12-04 16:30:00,1575477000,8.51,8.53,8.5,8.53,9,1,416
2019-12-04 17:00:00,1575478800,8.53,8.54,8.49,8.52,16,1,507
2019-12-04 17:30:00,1575480600,8.53,8.53,8.49,8.49,7,1,163
2019-12-05 10:00:00,1575540000,8.49,8.5,8.49,8.5,2,1,52
2019-12-05 10:30:00,1575541800,8.49,8.5,8.46,8.48,15,1,260
2019-12-05 11:00:00,1575543600,8.49,8.5,8.47,8.5,11,1,241
2019-12-05 11:30:00,1575545400,8.48,8.48,8.45,8.45,14,1,214
2019-12-05 12:00:00,1575547200,8.45,8.45,8.44,8.44,5,1,156
2019-12-05 12:30:00,1575549000,8.45,8.45,8.43,8.44,8,1,165
2019-12-05 13:00:00,1575550800,8.43,8.43,8.41,8.41,13,1,314
2019-12-05 14:00:00,1575554400,8.43,8.43,8.4,8.4,25,1,603
2019-12-05 14:30:00,1575556200,8.41,8.44,8.4,8.4,9,1,275
2019-12-05 15:00:00,1575558000,8.39,8.4,8.39,8.39,5,1,47
2019-12-05 15:30:00,1575559800,8.38,8.39,8.36,8.38,4,1,110
2019-12-05 16:00:00,1575561600,8.37,8.39,8.34,8.39,30,1,709
2019-12-05 16:30:00,1575563400,8.39,8.39,8.35,8.38,19,1,589
2019-12-05 17:00:00,1575565200,8.38,8.38,8.34,8.36,7,1,200
2019-12-05 17:30:00,1575567000,8.39,8.39,8.35,8.35,4,2,138
2019-12-05 18:00:00,1575568800,8.5,8.5,8.5,8.5,6,16,59
2019-12-06 10:00:00,1575626400,8.5,8.5,8.33,8.33,13,0,295
2019-12-06 10:30:00,1575628200,8.33,8.4,8.33,8.35,16,1,676
2019-12-06 11:00:00,1575630000,8.35,8.36,8.35,8.36,9,1,213
2019-12-06 11:30:00,1575631800,8.35,8.36,8.35,8.36,10,1,170
2019-12-06 12:00:00,1575633600,8.36,8.36,8.35,8.35,6,1,136
2019-12-06 12:30:00,1575635400,8.34,8.34,8.33,8.33,11,1,134
2019-12-06 13:00:00,1575637200,8.32,8.33,8.27,8.3,28,1,586
2019-12-06 13:30:00,1575639000,8.3,8.31,8.28,8.29,14,1,220
2019-12-06 14:00:00,1575640800,8.29,8.3,8.28,8.29,7,1,96
2019-12-06 14:30:00,1575642600,8.29,8.29,8.24,8.29,20,1,445
2019-12-06 15:00:00,1575644400,8.31,8.31,8.3,8.3,8,1,134
2019-12-06 15:30:00,1575646200,8.29,8.34,8.25,8.33,23,1,479
2019-12-06 16:00:00,1575648000,8.3,8.3,8.27,8.27,7,1,225
2019-12-06 16:30:00,1575649800,8.32,8.32,8.28,8.3,3,1,207
2019-12-06 17:00:00,1575651600,8.31,8.32,8.31,8.32,3,1,130
2019-12-06 17:30:00,1575653400,8.32,8.32,8.31,8.32,5,1,116
2019-12-06 18:00:00,1575655200,8.35,8.35,8.35,8.35,1,5,8
2019-12-09 10:00:00,1575885600,8.21,8.64,8.21,8.56,24,1,618
2019-12-09 10:30:00,1575887400,8.55,8.59,8.53,8.56,15,1,452
2019-12-09 11:00:00,1575889200,8.56,8.64,8.56,8.59,26,1,860
2019-12-09 11:30:00,1575891000,8.59,8.59,8.52,8.58,16,1,332
2019-12-09 12:00:00,1575892800,8.56,8.57,8.53,8.55,13,1,312
2019-12-09 12:30:00,1575894600,8.54,8.55,8.52,8.54,15,1,382
2019-12-09 13:00:00,1575896400,8.56,8.57,8.54,8.56,10,1,184
2019-12-09 13:30:00,1575898200,8.56,8.57,8.56,8.57,6,1,207
2019-12-09 14:00:00,1575900000,8.54,8.54,8.49,8.49,9,1,213
2019-12-09 14:30:00,1575901800,8.51,8.54,8.51,8.53,8,1,25
2019-12-09 15:00:00,1575903600,8.57,8.58,8.56,8.56,4,1,14
2019-12-09 15:30:00,1575905400,8.55,8.55,8.52,8.52,6,1,165
2019-12-09 16:00:00,1575907200,8.53,8.54,8.52,8.52,8,1,106
2019-12-09 16:30:00,1575909000,8.52,8.52,8.52,8.52,4,1,175
2019-12-09 17:00:00,1575910800,8.54,8.54,8.53,8.53,9,1,205
2019-12-09 17:30:00,1575912600,8.53,8.58,8.49,8.58,25,1,564
2019-12-09 18:00:00,1575914400,8.58,8.58,8.58,8.58,2,0,63
2019-12-10 12:30:00,1575981000,8.61,8.61,8.57,8.59,41,1,691
2019-12-10 13:00:00,1575982800,8.6,8.6,8.58,8.58,14,1,192
2019-12-10 13:30:00,1575984600,8.57,8.67,8.57,8.59,20,1,364
2019-12-10 14:00:00,1575986400,8.59,8.6,8.58,8.6,22,1,517
2019-12-10 14:30:00,1575988200,8.61,8.62,8.57,8.61,18,1,589
2019-12-10 15:00:00,1575990000,8.6,8.62,8.6,8.61,18,1,238
2019-12-10 15:30:00,1575991800,8.61,8.61,8.58,8.58,12,1,128
2019-12-10 16:00:00,1575993600,8.58,8.6,8.58,8.59,13,1,361
2019-12-10 16:30:00,1575995400,8.59,8.64,8.59,8.64,12,1,146
2019-12-10 17:00:00,1575997200,8.68,8.7,8.67,8.7,12,1,448
2019-12-10 17:30:00,1575999000,8.7,8.7,8.63,8.66,14,1,524
2019-12-10 18:00:00,1576000800,8.72,8.72,8.72,8.72,2,7,25
2019-12-11 10:00:00,1576058400,8.8,8.95,8.8,8.83,59,1,1242
2019-12-11 10:30:00,1576060200,8.83,8.88,8.81,8.86,28,1,525
2019-12-11 11:00:00,1576062000,8.85,8.89,8.85,8.87,37,1,881
2019-12-11 11:30:00,1576063800,8.87,8.87,8.85,8.86,19,1,235
2019-12-11 12:00:00,1576065600,8.86,8.92,8.85,8.92,25,1,799
2019-12-11 12:30:00,1576067400,8.92,8.92,8.88,8.88,14,1,339
2019-12-11 13:00:00,1576069200,8.86,8.89,8.86,8.88,12,1,267
2019-12-11 13:30:00,1576071000,8.87,8.93,8.87,8.88,26,1,527
2019-12-11 14:00:00,1576072800,8.89,8.9,8.87,8.88,10,1,257
2019-12-11 14:30:00,1576074600,8.87,8.91,8.87,8.9,16,1,361
2019-12-11 15:00:00,1576076400,8.9,8.9,8.87,8.87,14,1,308
2019-12-11 15:30:00,1576078200,8.9,8.93,8.9,8.9,8,1,153
