datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-05-08 16:00:00,1147104000,0.23,0.23,0.23,0.23,2,0,125
2006-06-01 15:00:00,1149174000,0.26,0.26,0.26,0.26,2,0,210
2007-01-22 16:00:00,1169481600,9.95,9.95,9.95,9.95,1,0,1
2007-03-06 14:30:00,1173191400,1.79,1.79,1.79,1.79,2,0,124
2007-03-06 15:30:00,1173195000,1.79,1.79,1.79,1.79,1,0,62
2007-03-29 13:30:00,1175175000,1.09,1.09,1.0,1.0,2,0,1009
2007-04-10 11:30:00,1176204600,1.69,1.69,1.69,1.69,1,0,1
2007-04-24 13:00:00,1177419600,1.49,2.09,1.49,2.09,7,0,7
2007-04-24 15:00:00,1177426800,2.34,2.34,2.34,2.34,3,0,3
2007-05-02 16:30:00,1178123400,2.19,2.19,2.19,2.19,1,0,1
2007-07-05 15:30:00,1183649400,2.14,2.14,2.14,2.14,1,0,1
2007-07-06 10:30:00,1183717800,2.59,2.59,2.59,2.59,1,0,1
2007-07-06 14:30:00,1183732200,2.59,2.59,2.59,2.59,1,0,76
2007-07-06 15:00:00,1183734000,2.59,2.59,2.59,2.59,2,0,2
2007-07-20 13:30:00,1184938200,1.49,1.49,1.49,1.49,1,0,1
2007-07-25 10:00:00,1185357600,1.58,1.58,1.58,1.58,1,0,1
2007-07-25 10:30:00,1185359400,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999,1,0,1
2007-07-31 12:00:00,1185883200,1.5699999999999998,1.5699999999999998,1.5699999999999998,1.5699999999999998,1,0,1
2007-08-02 12:00:00,1186056000,1.5699999999999998,1.5699999999999998,1.5699999999999998,1.5699999999999998,1,0,1
2007-08-10 14:00:00,1186754400,1.3900000000000001,1.3900000000000001,1.3900000000000001,1.3900000000000001,1,0,1
2007-10-01 12:30:00,1191241800,1.04,1.04,1.04,1.04,1,0,123
2007-10-08 10:00:00,1191837600,1.0,1.0,1.0,1.0,1,0,20
2007-10-08 12:30:00,1191846600,1.0,1.0,1.0,1.0,1,0,10
2007-10-09 11:30:00,1191929400,1.0,1.0,1.0,1.0,1,0,20
2007-10-09 12:00:00,1191931200,1.0,1.34,1.0,1.34,2,0,83
2007-10-09 16:30:00,1191947400,0.95,0.95,0.95,0.95,1,0,18
2007-10-15 17:00:00,1192467600,1.34,1.34,1.34,1.34,1,0,1
2007-10-23 15:00:00,1193151600,1.16,1.16,1.16,1.16,1,0,1
2007-10-26 13:00:00,1193403600,1.16,1.16,1.16,1.16,1,0,1
2007-11-01 11:00:00,1193914800,1.16,1.16,1.16,1.16,2,0,2
2007-11-05 15:30:00,1194276600,1.16,1.16,1.16,1.16,1,0,1
2007-11-06 13:00:00,1194354000,1.15,1.15,1.15,1.15,1,0,1
2007-11-13 14:30:00,1194964200,1.16,1.16,1.16,1.16,1,0,1
2007-11-21 13:00:00,1195650000,0.9,0.9,0.9,0.9,1,0,20
2007-11-28 11:30:00,1196249400,1.34,1.34,1.34,1.34,1,0,1
2007-12-03 14:30:00,1196692200,0.99,0.99,0.99,0.99,4,0,121
2007-12-04 12:30:00,1196771400,1.34,1.34,1.34,1.34,2,0,61
2007-12-11 12:00:00,1197374400,0.95,0.95,0.95,0.95,1,0,1
2007-12-17 12:00:00,1197892800,1.34,1.34,1.34,1.34,1,0,1
2007-12-18 13:00:00,1197982800,1.33,1.33,1.33,1.33,1,0,1
2007-12-20 12:00:00,1198152000,1.34,1.34,1.34,1.34,1,0,1
2007-12-27 15:00:00,1198767600,1.34,1.34,1.34,1.34,1,0,1
2008-01-03 16:30:00,1199377800,1.34,1.34,1.34,1.34,1,0,1
2008-01-21 18:00:00,1200938400,0.8,0.8,0.8,0.8,1,0,25
2008-03-03 12:30:00,1204547400,0.89,1.0,0.89,1.0,2,0,98
2008-03-10 10:30:00,1205145000,1.0,1.0,1.0,1.0,1,0,45
2008-04-04 10:30:00,1207305000,1.5,1.5,1.5,1.5,1,0,1
2008-04-08 16:30:00,1207672200,1.5,1.5,1.5,1.5,1,0,1
2008-04-28 12:00:00,1209384000,1.08,1.08,1.08,1.08,1,0,1
2008-04-30 10:30:00,1209551400,1.5,1.5,1.5,1.5,1,0,1
2008-05-02 10:30:00,1209724200,1.5,1.5,1.5,1.5,1,0,1
2008-05-05 11:00:00,1209985200,1.5,1.5,1.5,1.5,1,0,1
2008-05-06 11:00:00,1210071600,1.5,1.5,1.5,1.5,1,0,1
2008-05-07 11:30:00,1210159800,1.5,1.5,1.5,1.5,1,0,1
2008-05-08 10:30:00,1210242600,1.5,1.5,1.5,1.5,1,0,1
2008-05-09 11:00:00,1210330800,1.5,1.5,1.5,1.5,1,0,1
2008-05-12 12:30:00,1210595400,1.2,1.2,1.2,1.2,1,0,1
2008-05-13 12:30:00,1210681800,1.5,1.5,1.5,1.5,1,0,1
2008-05-14 11:00:00,1210762800,1.5,1.5,1.5,1.5,1,0,1
2008-05-15 11:00:00,1210849200,1.1,1.1,1.1,1.1,1,0,1
2008-05-16 12:30:00,1210941000,1.5,1.5,1.5,1.5,1,0,1
2008-05-19 12:00:00,1211198400,1.5,1.5,1.5,1.5,1,0,1
2008-05-20 13:00:00,1211288400,1.0,1.0,1.0,1.0,1,0,1
2008-05-21 13:30:00,1211376600,1.0,1.0,1.0,1.0,1,0,1
2008-05-26 15:30:00,1211815800,1.0,1.0,1.0,1.0,1,0,1
2008-05-29 11:00:00,1212058800,1.0,1.0,1.0,1.0,1,0,1
2008-06-02 11:00:00,1212404400,1.5,1.5,1.5,1.5,1,0,1
2008-06-03 12:00:00,1212494400,0.99,0.99,0.99,0.99,1,0,1
2008-06-04 11:30:00,1212579000,0.99,0.99,0.99,0.99,1,0,1
2008-06-05 16:30:00,1212683400,0.99,0.99,0.99,0.99,1,0,1
2008-06-11 13:00:00,1213189200,0.68,0.68,0.68,0.68,1,0,200
2008-06-11 14:30:00,1213194600,1.5,1.5,1.5,1.5,1,0,1
2008-06-12 11:00:00,1213268400,1.5,1.5,1.5,1.5,1,0,1
2008-06-25 14:00:00,1214402400,1.5,1.5,1.5,1.5,1,0,1
2008-07-01 11:00:00,1214910000,0.98,0.98,0.98,0.98,1,0,1
2008-07-02 13:00:00,1215003600,1.5,1.5,1.5,1.5,1,0,1
