datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-05-08,1147046400,0.23,0.23,0.23,0.23,2,0,922
2006-06-01,1149120000,0.26,0.26,0.26,0.26,2,0,625
2006-09-04,1157328000,0.25,0.25,0.25,0.25,1,0,50
2006-09-05,1157414400,0.2,0.2,0.2,0.2,2,0,476
2006-12-07,1165449600,0.35,0.35,0.33,0.33,5,0,1125
2006-12-13,1165968000,0.51,0.51,0.51,0.51,1,0,100
2006-12-22,1166745600,0.44,0.44,0.38,0.38,2,0,950
2007-01-12,1168560000,0.49,0.6,0.49,0.6,5,0,1372
2007-01-15,1168819200,1.5899999999999999,1.5899999999999999,0.99,1.04,41,0,11401
2007-01-16,1168905600,1.34,1.3599999999999999,1.06,1.09,38,0,9495
2007-01-17,1168992000,1.18,1.18,0.88,0.88,21,0,5550
2007-01-18,1169078400,0.93,1.08,0.87,0.88,13,0,2369
2007-01-19,1169164800,0.93,1.02,0.93,1.02,16,0,3702
2007-01-22,1169424000,0.99,0.99,0.89,0.89,15,0,3386
2007-01-23,1169510400,0.92,0.98,0.85,0.85,14,0,1967
2007-01-24,1169596800,0.84,0.85,0.84,0.85,3,0,420
2007-01-26,1169769600,0.85,0.99,0.82,0.99,13,0,3168
2007-01-29,1170028800,1.02,1.02,0.93,0.93,10,0,2199
2007-01-30,1170115200,0.94,0.94,0.94,0.94,1,0,315
2007-01-31,1170201600,0.97,0.97,0.9,0.9,3,0,602
2007-02-01,1170288000,0.89,0.89,0.79,0.8,13,0,2216
2007-02-02,1170374400,0.81,0.81,0.79,0.79,8,0,2000
2007-02-05,1170633600,0.79,0.79,0.74,0.74,9,0,1626
2007-02-06,1170720000,0.79,0.9,0.79,0.9,6,0,1637
2007-02-07,1170806400,0.88,0.88,0.81,0.82,5,0,1107
2007-02-09,1170979200,0.84,0.89,0.79,0.8,7,0,2117
2007-02-12,1171238400,0.81,0.81,0.79,0.79,2,0,220
2007-02-13,1171324800,0.8,0.8,0.8,0.8,1,0,300
2007-02-14,1171411200,0.73,0.73,0.73,0.73,2,0,375
2007-02-15,1171497600,0.75,0.75,0.75,0.75,1,0,391
2007-02-21,1172016000,0.76,0.78,0.74,0.74,8,0,987
2007-02-23,1172188800,0.77,0.79,0.77,0.79,7,0,2000
2007-02-27,1172534400,0.71,0.73,0.69,0.73,5,0,1389
2007-02-28,1172620800,0.67,0.67,0.67,0.67,1,0,2
2007-03-01,1172707200,0.73,0.73,0.67,0.71,6,0,1311
2007-03-02,1172793600,0.69,0.69,0.69,0.69,2,0,140
2007-03-05,1173052800,0.68,0.68,0.64,0.65,9,0,1020
2007-03-06,1173139200,0.69,0.75,0.67,0.75,3,0,771
2007-03-07,1173225600,0.75,0.79,0.67,0.69,4,0,192
2007-03-08,1173312000,0.68,0.68,0.68,0.68,1,0,300
2007-03-12,1173657600,0.64,0.64,0.64,0.64,1,0,45
2007-03-13,1173744000,0.68,0.81,0.68,0.76,17,0,4104
2007-03-14,1173830400,0.7,0.7,0.69,0.69,3,0,505
2007-03-15,1173916800,0.7,0.7,0.7,0.7,1,0,294
2007-03-16,1174003200,0.68,0.69,0.68,0.69,6,0,598
2007-03-19,1174262400,0.71,0.71,0.69,0.69,5,0,1064
2007-03-20,1174348800,0.73,0.78,0.73,0.78,6,0,1300
2007-03-21,1174435200,0.77,0.8,0.75,0.75,8,0,1957
2007-03-22,1174521600,0.74,0.74,0.73,0.73,3,0,1000
2007-03-23,1174608000,0.73,0.73,0.73,0.73,1,0,200
2007-03-26,1174867200,0.72,0.72,0.72,0.72,1,0,94
2007-03-27,1174953600,0.87,0.87,0.87,0.87,1,0,1
2007-03-28,1175040000,0.69,0.7,0.69,0.69,4,0,1239
2007-03-29,1175126400,0.69,0.69,0.69,0.69,2,0,260
2007-03-30,1175212800,0.69,0.69,0.69,0.69,1,0,40
2007-04-02,1175472000,0.69,0.69,0.67,0.67,6,0,754
2007-04-03,1175558400,0.67,0.76,0.67,0.67,6,0,701
2007-04-04,1175644800,0.69,0.69,0.69,0.69,1,0,50
2007-04-05,1175731200,0.71,0.71,0.71,0.71,1,0,400
2007-04-09,1176076800,0.73,0.78,0.73,0.78,4,0,743
2007-04-10,1176163200,0.77,0.77,0.77,0.77,2,0,150
2007-04-13,1176422400,0.7,0.7,0.68,0.68,4,0,1000
2007-04-16,1176681600,0.72,0.72,0.72,0.72,1,0,1
2007-04-17,1176768000,0.79,0.79,0.79,0.79,1,0,1
2007-04-18,1176854400,0.72,0.74,0.72,0.74,5,0,1027
2007-04-19,1176940800,0.72,0.72,0.72,0.72,2,0,700
2007-04-20,1177027200,0.74,0.76,0.74,0.76,2,0,400
2007-04-23,1177286400,0.75,0.75,0.74,0.74,4,0,819
2007-04-24,1177372800,0.74,0.82,0.74,0.82,17,0,4549
2007-04-25,1177459200,0.82,0.86,0.77,0.78,16,0,2546
2007-04-26,1177545600,0.81,0.81,0.77,0.77,4,0,742
2007-04-30,1177891200,0.78,0.78,0.78,0.78,2,0,600
2007-05-02,1178064000,0.76,0.76,0.76,0.76,1,0,99
2007-05-03,1178150400,0.77,0.77,0.77,0.77,2,0,564
2007-05-04,1178236800,0.76,0.8,0.76,0.8,10,0,2463
2007-05-07,1178496000,0.82,0.87,0.8,0.87,9,0,2000
2007-05-08,1178582400,0.79,0.83,0.76,0.76,5,0,1008
2007-05-09,1178668800,0.8,0.82,0.8,0.82,3,0,741
2007-05-11,1178841600,0.82,0.84,0.82,0.84,18,0,4800
2007-05-15,1179187200,0.83,0.83,0.81,0.81,3,0,745
2007-05-16,1179273600,0.84,0.84,0.84,0.84,2,0,600
2007-05-17,1179360000,0.82,0.82,0.82,0.82,1,0,295
2007-05-18,1179446400,0.85,0.85,0.82,0.82,4,0,706
2007-05-21,1179705600,0.83,0.84,0.83,0.83,4,0,693
2007-05-22,1179792000,0.83,0.84,0.81,0.84,9,0,2332
2007-05-24,1179964800,0.75,0.75,0.74,0.74,2,0,200
2007-05-25,1180051200,0.79,0.79,0.79,0.79,5,0,1263
2007-05-29,1180396800,0.83,0.84,0.82,0.82,9,0,1940
2007-05-30,1180483200,0.8,0.8,0.8,0.8,1,0,241
2007-05-31,1180569600,0.8,0.8,0.8,0.8,2,0,460
2007-06-05,1181001600,0.8,0.8,0.77,0.77,3,0,1000
2007-06-06,1181088000,0.75,0.75,0.75,0.75,1,0,5
2007-06-08,1181260800,0.77,0.77,0.77,0.77,1,0,248
2007-06-11,1181520000,0.77,0.79,0.77,0.78,3,0,413
2007-06-12,1181606400,0.84,0.84,0.84,0.84,2,0,270
2007-06-14,1181779200,0.81,0.81,0.81,0.81,1,0,100
2007-06-15,1181865600,0.78,0.78,0.78,0.78,2,0,172
2007-06-18,1182124800,0.79,0.79,0.79,0.79,1,0,200
2007-06-19,1182211200,0.78,0.78,0.78,0.78,2,0,243
