datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-02-10 10:30:00,1612953000,28.45,28.5,25.61,25.61,5767,0,6411900
2021-02-10 11:00:00,1612954800,23.0,24.0,22.02,23.3,11585,0,5761000
2021-02-10 11:30:00,1612956600,23.15,23.32,22.23,22.57,5933,1,2324200
2021-02-10 12:00:00,1612958400,22.57,23.27,22.45,22.53,3882,1,1326700
2021-02-10 12:30:00,1612960200,22.54,22.58,22.03,22.3,3560,1,1270100
2021-02-10 13:00:00,1612962000,22.3,22.48,22.23,22.43,1881,1,483600
2021-02-10 13:30:00,1612963800,22.43,22.49,22.0,22.0,3276,1,1398100
2021-02-10 14:00:00,1612965600,22.01,22.02,21.4,21.6,2693,1,1427300
2021-02-10 14:30:00,1612967400,21.6,22.1,21.6,21.96,2129,1,959000
2021-02-10 15:00:00,1612969200,21.95,22.0,21.82,21.91,1485,1,525100
2021-02-10 15:30:00,1612971000,21.9,21.92,21.09,21.15,2051,1,1027500
2021-02-10 16:00:00,1612972800,21.18,21.45,20.71,20.71,2228,0,1078300
2021-02-10 16:30:00,1612974600,20.65,20.82,20.21,20.62,1996,0,1088700
2021-02-10 17:00:00,1612976400,20.64,21.2,20.56,21.11,3355,1,1369600
2021-02-10 17:30:00,1612978200,21.11,21.44,20.94,21.4,2467,1,1328300
2021-02-10 18:00:00,1612980000,21.4,21.4,21.4,21.4,290,0,1550000
2021-02-11 10:00:00,1613037600,21.81,22.27,21.5,21.94,1251,0,565900
2021-02-11 10:30:00,1613039400,21.9,21.94,20.45,20.47,1108,1,386000
2021-02-11 11:00:00,1613041200,20.47,21.4,20.45,21.32,1164,1,468500
2021-02-11 11:30:00,1613043000,21.3,21.72,21.25,21.6,953,1,233700
2021-02-11 12:00:00,1613044800,21.58,21.8,21.27,21.55,750,1,147300
2021-02-11 12:30:00,1613046600,21.56,21.85,21.45,21.6,776,1,217600
2021-02-11 13:00:00,1613048400,21.57,21.81,21.33,21.77,646,1,138400
2021-02-11 13:30:00,1613050200,21.77,22.25,21.77,22.16,1072,1,392700
2021-02-11 14:00:00,1613052000,22.15,22.17,21.87,21.93,930,1,459700
2021-02-11 14:30:00,1613053800,21.95,21.98,21.7,21.97,787,1,162600
2021-02-11 15:00:00,1613055600,21.98,22.2,21.4,21.97,1092,1,345300
2021-02-11 15:30:00,1613057400,21.98,22.15,21.9,22.01,876,1,240300
2021-02-11 16:00:00,1613059200,22.0,22.35,21.91,22.04,963,1,249400
2021-02-11 16:30:00,1613061000,22.04,22.3,21.99,22.14,925,1,265900
2021-02-11 17:00:00,1613062800,22.15,22.23,21.71,22.01,932,1,314500
2021-02-11 17:30:00,1613064600,22.01,22.29,22.01,22.28,761,1,297500
2021-02-11 18:00:00,1613066400,22.16,22.16,22.16,22.16,102,0,230700
2021-02-12 10:00:00,1613124000,22.25,22.25,21.4,21.74,240,0,99700
2021-02-12 10:30:00,1613125800,21.65,22.3,21.65,22.1,175,1,81400
2021-02-12 11:00:00,1613127600,22.15,22.18,22.03,22.1,144,1,65100
2021-02-12 11:30:00,1613129400,22.14,22.2,21.8,22.13,251,1,111400
2021-02-12 12:00:00,1613131200,22.15,22.2,22.0,22.09,111,1,25500
2021-02-12 12:30:00,1613133000,22.07,22.15,21.92,22.15,124,1,24000
2021-02-12 13:00:00,1613134800,22.16,22.2,21.8,22.01,159,1,80800
2021-02-12 13:30:00,1613136600,22.02,22.2,21.9,22.05,147,1,42800
2021-02-12 14:00:00,1613138400,22.05,22.06,21.95,22.05,71,1,9300
2021-02-12 14:30:00,1613140200,22.05,22.2,21.97,22.11,134,1,57200
2021-02-12 15:00:00,1613142000,22.11,22.11,21.82,22.0,140,1,44000
2021-02-12 15:30:00,1613143800,21.99,22.09,21.8,21.98,150,1,37700
2021-02-12 16:00:00,1613145600,21.95,22.05,21.81,21.96,197,1,53100
2021-02-12 16:30:00,1613147400,21.98,22.01,21.77,21.98,366,1,86300
2021-02-12 17:00:00,1613149200,21.96,22.05,21.85,21.86,417,1,200200
2021-02-12 17:30:00,1613151000,21.91,22.22,21.8,22.22,628,1,336500
2021-02-12 18:00:00,1613152800,22.2,22.2,22.2,22.2,59,0,129400
2021-02-17 13:00:00,1613566800,22.0,22.14,21.57,21.63,246,0,100000
2021-02-17 13:30:00,1613568600,21.63,22.02,21.52,22.02,289,1,66500
2021-02-17 14:00:00,1613570400,22.01,22.09,21.72,22.0,299,1,90400
2021-02-17 14:30:00,1613572200,22.0,22.02,21.95,22.0,181,1,35300
2021-02-17 15:00:00,1613574000,22.0,22.02,21.82,21.85,329,1,145200
2021-02-17 15:30:00,1613575800,21.85,21.95,21.84,21.92,179,1,25600
2021-02-17 16:00:00,1613577600,21.86,21.92,21.76,21.85,175,1,26700
2021-02-17 16:30:00,1613579400,21.83,21.88,21.7,21.75,220,1,56300
2021-02-17 17:00:00,1613581200,21.74,21.8,21.68,21.8,176,1,24800
2021-02-17 17:30:00,1613583000,21.8,21.86,21.7,21.8,339,1,105200
2021-02-17 18:00:00,1613584800,21.8,21.8,21.8,21.8,55,0,267200
2021-02-18 10:00:00,1613642400,21.6,21.9,21.56,21.63,130,0,41000
2021-02-18 10:30:00,1613644200,21.62,21.62,21.32,21.51,240,1,82700
2021-02-18 11:00:00,1613646000,21.49,21.54,21.41,21.46,199,1,34600
2021-02-18 11:30:00,1613647800,21.47,21.53,21.0,21.4,310,1,95300
2021-02-18 12:00:00,1613649600,21.35,21.4,21.2,21.21,197,1,42000
2021-02-18 12:30:00,1613651400,21.22,21.29,20.91,20.91,368,0,112000
2021-02-18 13:00:00,1613653200,20.92,21.09,20.85,21.05,290,1,60400
2021-02-18 13:30:00,1613655000,21.08,21.1,20.9,21.06,269,1,47400
2021-02-18 14:00:00,1613656800,21.06,21.2,20.9,21.03,285,1,65900
2021-02-18 14:30:00,1613658600,21.03,21.5,21.0,21.33,321,1,53100
2021-02-18 15:00:00,1613660400,21.28,21.47,21.15,21.41,297,1,72500
2021-02-18 15:30:00,1613662200,21.31,21.69,21.31,21.41,396,1,148100
2021-02-18 16:00:00,1613664000,21.41,21.69,21.41,21.66,321,1,50400
2021-02-18 16:30:00,1613665800,21.56,21.67,21.49,21.57,346,1,52200
2021-02-18 17:00:00,1613667600,21.6,21.65,21.43,21.5,333,1,71400
2021-02-18 17:30:00,1613669400,21.5,21.58,21.45,21.55,210,1,53100
2021-02-18 18:00:00,1613671200,21.65,21.65,21.65,21.65,47,0,230400
2021-02-19 10:00:00,1613728800,21.64,22.16,21.21,22.16,178,1,89100
2021-02-19 10:30:00,1613730600,22.15,22.2,21.71,22.2,193,1,90200
2021-02-19 11:00:00,1613732400,22.11,22.15,21.79,21.91,121,1,60000
2021-02-19 11:30:00,1613734200,21.91,22.1,21.76,22.09,105,3,53700
2021-02-19 12:00:00,1613736000,22.02,22.15,21.9,22.1,88,1,40300
2021-02-19 12:30:00,1613737800,22.1,22.29,22.01,22.1,131,1,82800
2021-02-19 13:00:00,1613739600,22.1,22.48,22.1,22.41,167,1,59900
2021-02-19 13:30:00,1613741400,22.35,22.51,22.25,22.25,125,1,39400
2021-02-19 14:00:00,1613743200,22.25,22.35,22.25,22.29,71,1,17300
2021-02-19 14:30:00,1613745000,22.28,22.33,22.25,22.3,73,1,15100
2021-02-19 15:00:00,1613746800,22.3,22.44,22.3,22.44,191,1,54000
2021-02-19 15:30:00,1613748600,22.44,22.75,22.35,22.55,344,1,183200
2021-02-19 16:00:00,1613750400,22.55,22.97,22.54,22.85,381,1,151100
2021-02-19 16:30:00,1613752200,22.85,22.88,22.7,22.8,219,1,76100
2021-02-19 17:00:00,1613754000,22.79,22.84,22.55,22.76,195,1,71400
2021-02-19 17:30:00,1613755800,22.72,22.77,22.4,22.45,243,1,90100
2021-02-19 18:00:00,1613757600,22.4,22.4,22.4,22.4,64,0,165400
2021-02-22 10:00:00,1613988000,21.85,22.01,21.53,21.65,166,0,100200
2021-02-22 10:30:00,1613989800,21.56,21.6,21.21,21.3,220,1,129900
2021-02-22 11:00:00,1613991600,21.31,21.71,21.3,21.61,142,1,92000
2021-02-22 11:30:00,1613993400,21.69,21.89,21.69,21.88,178,1,89300
2021-02-22 12:00:00,1613995200,21.75,22.28,21.69,22.14,229,2,98800
2021-02-22 12:30:00,1613997000,22.14,22.19,22.0,22.11,235,1,81000
2021-02-22 13:00:00,1613998800,22.11,22.17,22.03,22.14,114,1,21600
2021-02-22 13:30:00,1614000600,22.12,22.15,22.02,22.05,158,1,31600
2021-02-22 14:00:00,1614002400,22.01,22.13,22.01,22.11,208,1,37400
2021-02-22 14:30:00,1614004200,22.08,22.23,22.03,22.23,242,1,43000
2021-02-22 15:00:00,1614006000,22.2,22.28,22.14,22.28,303,1,70300
2021-02-22 15:30:00,1614007800,22.28,22.9,22.26,22.59,448,1,103300
2021-02-22 16:00:00,1614009600,22.6,22.9,22.57,22.75,374,1,87600
2021-02-22 16:30:00,1614011400,22.65,23.07,22.6,22.77,457,1,107900
2021-02-22 17:00:00,1614013200,22.76,22.9,22.71,22.85,216,1,41900
2021-02-22 17:30:00,1614015000,22.8,23.15,22.74,23.03,295,1,79200
2021-02-22 18:00:00,1614016800,22.9,22.9,22.9,22.9,54,0,134700
2021-02-23 10:00:00,1614074400,23.2,23.8,23.17,23.43,189,0,63900
2021-02-23 10:30:00,1614076200,23.43,23.51,23.34,23.5,258,1,131100
2021-02-23 11:00:00,1614078000,23.51,23.51,23.03,23.42,180,1,52600
2021-02-23 11:30:00,1614079800,23.46,23.5,23.3,23.32,93,1,26100
2021-02-23 12:00:00,1614081600,23.32,23.4,23.3,23.35,42,1,12600
2021-02-23 12:30:00,1614083400,23.36,23.51,23.33,23.5,349,1,150900
2021-02-23 13:00:00,1614085200,23.48,23.51,23.36,23.45,208,1,69100
2021-02-23 13:30:00,1614087000,23.45,23.5,23.12,23.45,306,1,126600
2021-02-23 14:00:00,1614088800,23.45,23.5,23.2,23.47,157,1,39200
2021-02-23 14:30:00,1614090600,23.5,23.85,23.44,23.75,461,1,334000
2021-02-23 15:00:00,1614092400,23.74,23.8,23.56,23.77,225,1,114900
