datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-09-30 10:00:00,1601460000,12.89,13.16,12.85,13.0,828,0,25337
2020-09-30 10:30:00,1601461800,13.0,13.78,12.94,13.75,482,1,13408
2020-09-30 11:00:00,1601463600,13.74,13.74,13.32,13.62,236,1,6655
2020-09-30 11:30:00,1601465400,13.65,13.96,13.64,13.86,169,1,4853
2020-09-30 12:00:00,1601467200,13.88,13.88,13.64,13.83,98,1,2197
2020-09-30 12:30:00,1601469000,13.82,14.08,13.8,14.05,113,1,2622
2020-09-30 13:00:00,1601470800,14.05,14.19,14.0,14.15,92,1,1756
2020-09-30 13:30:00,1601472600,14.15,14.2,13.94,14.11,85,1,1538
2020-09-30 14:00:00,1601474400,14.09,14.09,13.86,13.92,74,1,1594
2020-09-30 14:30:00,1601476200,13.91,14.01,13.9,13.97,49,1,918
2020-09-30 15:00:00,1601478000,13.99,14.1,13.97,14.0,53,1,1064
2020-09-30 15:30:00,1601479800,14.0,14.05,13.97,14.02,41,1,1143
2020-09-30 16:00:00,1601481600,14.08,14.32,14.05,14.32,63,1,1781
2020-09-30 16:30:00,1601483400,14.34,14.6,14.27,14.41,96,1,2087
2020-09-30 17:00:00,1601485200,14.13,14.13,14.13,14.13,26,0,460
2020-10-01 10:00:00,1601546400,14.2,14.56,14.11,14.37,245,0,5400
2020-10-01 10:30:00,1601548200,14.39,14.54,14.34,14.35,108,1,2350
2020-10-01 11:00:00,1601550000,14.35,14.43,14.21,14.42,94,1,2096
2020-10-01 11:30:00,1601551800,14.39,14.44,14.17,14.24,57,1,995
2020-10-01 12:00:00,1601553600,14.21,14.21,13.89,14.11,87,1,2257
2020-10-01 12:30:00,1601555400,14.13,14.13,14.08,14.08,30,1,593
2020-10-01 13:00:00,1601557200,14.08,14.31,14.08,14.19,29,1,803
2020-10-01 13:30:00,1601559000,14.19,14.21,14.18,14.21,13,1,301
2020-10-01 14:00:00,1601560800,14.2,14.27,14.16,14.27,24,1,618
2020-10-01 14:30:00,1601562600,14.27,14.36,14.27,14.32,26,1,393
2020-10-01 15:00:00,1601564400,14.32,14.47,14.31,14.39,40,1,964
2020-10-01 15:30:00,1601566200,14.42,14.48,14.42,14.48,17,1,463
2020-10-01 16:00:00,1601568000,14.48,14.52,14.39,14.5,36,1,812
2020-10-01 16:30:00,1601569800,14.47,14.49,14.41,14.44,26,0,421
2020-10-01 17:00:00,1601571600,14.47,14.47,14.47,14.47,4,3,82
2020-10-02 10:00:00,1601632800,14.45,14.65,14.35,14.65,90,0,1849
2020-10-02 10:30:00,1601634600,14.65,14.7,14.53,14.53,56,1,1151
2020-10-02 11:00:00,1601636400,14.56,14.62,14.54,14.6,33,1,1034
2020-10-02 11:30:00,1601638200,14.59,14.59,14.5,14.53,16,1,354
2020-10-02 12:00:00,1601640000,14.53,14.58,14.5,14.5,20,1,212
2020-10-02 12:30:00,1601641800,14.5,14.51,14.45,14.49,10,1,291
2020-10-02 13:00:00,1601643600,14.45,14.45,14.27,14.39,21,1,450
2020-10-02 13:30:00,1601645400,14.39,14.39,14.3,14.3,9,1,225
2020-10-02 14:00:00,1601647200,14.26,14.26,14.0,14.06,26,1,549
2020-10-02 14:30:00,1601649000,14.08,14.15,14.06,14.15,16,1,314
2020-10-02 15:00:00,1601650800,14.1,14.18,14.1,14.15,10,1,341
2020-10-02 15:30:00,1601652600,14.15,14.15,14.02,14.09,18,1,133
2020-10-02 16:00:00,1601654400,14.09,14.1,13.97,14.03,37,1,829
2020-10-02 16:30:00,1601656200,14.03,14.2,14.01,14.2,18,1,708
2020-10-02 17:00:00,1601658000,14.29,14.29,14.29,14.29,1,1,99
2020-10-05 10:00:00,1601892000,14.29,14.33,14.17,14.19,30,1,690
2020-10-05 10:30:00,1601893800,14.25,14.25,13.99,14.06,26,1,649
2020-10-05 11:00:00,1601895600,14.07,14.13,14.04,14.12,18,1,470
2020-10-05 11:30:00,1601897400,14.13,14.15,14.1,14.1,8,1,59
2020-10-05 12:00:00,1601899200,14.1,14.1,14.07,14.07,10,1,226
2020-10-05 12:30:00,1601901000,14.07,14.07,13.98,14.03,19,1,224
2020-10-05 13:00:00,1601902800,14.03,14.03,13.98,13.99,14,1,276
2020-10-05 13:30:00,1601904600,14.02,14.02,14.02,14.02,2,1,28
2020-10-05 14:00:00,1601906400,14.01,14.01,14.0,14.0,6,1,81
2020-10-05 14:30:00,1601908200,14.0,14.0,13.99,14.0,12,1,251
2020-10-05 15:00:00,1601910000,13.99,14.1,13.99,14.1,21,1,465
2020-10-05 15:30:00,1601911800,14.05,14.08,14.03,14.06,5,1,59
2020-10-05 16:00:00,1601913600,14.06,14.09,14.06,14.07,10,1,161
2020-10-05 16:30:00,1601915400,14.07,14.14,14.02,14.14,14,1,231
2020-10-06 10:00:00,1601978400,13.9,14.24,13.73,14.21,25,0,545
2020-10-06 10:30:00,1601980200,14.22,14.22,14.12,14.13,8,1,116
2020-10-06 11:00:00,1601982000,14.12,14.12,14.12,14.12,1,5,1
2020-10-06 11:30:00,1601983800,14.01,14.03,13.5,13.55,33,1,750
2020-10-06 12:00:00,1601985600,13.6,13.81,13.6,13.79,24,1,559
2020-10-06 12:30:00,1601987400,13.97,14.05,13.94,14.05,12,1,371
2020-10-06 13:00:00,1601989200,14.03,14.03,13.95,14.02,5,2,120
2020-10-06 13:30:00,1601991000,13.98,14.0,13.94,13.94,8,1,123
2020-10-06 14:00:00,1601992800,14.0,14.0,14.0,14.0,3,3,38
2020-10-06 14:30:00,1601994600,13.95,14.01,13.95,14.01,6,1,214
2020-10-06 15:00:00,1601996400,14.02,14.04,14.0,14.0,10,1,161
2020-10-06 15:30:00,1601998200,13.95,13.95,13.72,13.74,10,2,246
2020-10-06 16:00:00,1602000000,13.77,13.8,13.7,13.8,13,5,370
2020-10-06 16:30:00,1602001800,13.78,13.78,13.78,13.78,4,3,91
2020-10-06 17:00:00,1602003600,13.87,13.87,13.87,13.87,7,17,80
2020-10-07 10:00:00,1602064800,13.71,13.72,13.51,13.53,22,1,319
2020-10-07 10:30:00,1602066600,13.59,13.83,13.59,13.73,24,1,606
2020-10-07 11:00:00,1602068400,13.7,13.7,13.63,13.67,5,2,123
2020-10-07 11:30:00,1602070200,13.7,13.82,13.7,13.8,8,1,135
2020-10-07 12:00:00,1602072000,13.82,13.82,13.76,13.81,10,1,275
2020-10-07 12:30:00,1602073800,13.79,13.81,13.73,13.73,7,1,106
2020-10-07 13:30:00,1602077400,13.71,13.72,13.71,13.72,3,1,135
2020-10-07 14:00:00,1602079200,13.74,13.8,13.74,13.8,10,1,161
2020-10-07 14:30:00,1602081000,13.8,13.8,13.8,13.8,1,1,70
2020-10-07 15:00:00,1602082800,13.79,13.82,13.78,13.78,6,1,92
2020-10-07 15:30:00,1602084600,13.71,13.8,13.71,13.79,4,1,120
2020-10-07 16:00:00,1602086400,13.72,13.72,13.62,13.62,7,1,227
2020-10-07 16:30:00,1602088200,13.61,13.61,13.58,13.58,6,2,77
2020-10-07 17:00:00,1602090000,13.8,13.8,13.8,13.8,4,13,80
2020-10-08 10:00:00,1602151200,13.5,13.5,13.3,13.3,11,1,181
2020-10-08 10:30:00,1602153000,13.31,13.31,13.17,13.17,14,1,182
2020-10-08 11:00:00,1602154800,13.16,13.24,13.12,13.16,23,1,494
2020-10-08 11:30:00,1602156600,13.2,13.25,13.2,13.22,16,1,330
2020-10-08 12:00:00,1602158400,13.22,13.22,13.14,13.17,12,1,111
2020-10-08 12:30:00,1602160200,13.16,13.24,13.16,13.19,7,1,100
2020-10-08 13:00:00,1602162000,13.23,13.23,13.19,13.19,3,1,140
2020-10-08 13:30:00,1602163800,13.19,13.2,13.19,13.2,7,1,109
2020-10-08 14:00:00,1602165600,13.21,13.21,13.21,13.21,4,1,24
