datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-03 10:00:00,1151920800,9.34,9.34,9.34,9.34,2,0,600
2006-07-03 10:30:00,1151922600,9.5,9.59,9.5,9.5,11,0,11100
2006-07-03 11:00:00,1151924400,9.4,9.4,9.0,9.0,11,0,8000
2006-07-03 11:30:00,1151926200,9.05,9.05,9.05,9.05,7,0,15000
2006-07-03 12:00:00,1151928000,9.35,9.45,9.35,9.39,7,0,4300
2006-07-03 13:00:00,1151931600,9.05,9.05,9.05,9.05,1,0,200
2006-07-03 16:00:00,1151942400,9.15,9.29,9.06,9.29,7,0,2200
2006-07-03 16:30:00,1151944200,9.06,9.06,9.0,9.0,10,0,10800
2006-07-03 18:30:00,1151951400,9.05,9.05,9.05,9.05,1,0,100
2006-07-04 10:00:00,1152007200,8.99,9.0,8.99,8.99,7,0,3000
2006-07-04 10:30:00,1152009000,8.9,8.9,8.9,8.9,4,0,1000
2006-07-04 11:00:00,1152010800,8.92,8.92,8.92,8.92,1,0,10000
2006-07-04 11:30:00,1152012600,9.0,9.0,9.0,9.0,1,0,100
2006-07-04 12:00:00,1152014400,9.2,9.2,9.2,9.2,1,0,500
2006-07-04 12:30:00,1152016200,9.0,9.0,9.0,9.0,3,0,7300
2006-07-04 13:00:00,1152018000,8.8,8.8,8.8,8.8,2,0,1700
2006-07-04 14:00:00,1152021600,8.78,8.78,8.78,8.78,2,0,2800
2006-07-04 15:00:00,1152025200,8.8,8.8,8.8,8.8,4,0,5000
2006-07-04 16:30:00,1152030600,8.75,8.75,8.7,8.7,3,0,1000
2006-07-04 17:30:00,1152034200,8.71,8.71,8.7,8.7,3,0,3100
2006-07-05 12:00:00,1152100800,8.98,8.98,8.7,8.7,6,0,5400
2006-07-05 12:30:00,1152102600,8.7,8.7,8.7,8.7,1,0,100
2006-07-05 14:30:00,1152109800,8.79,8.8,8.79,8.8,2,0,1500
2006-07-05 15:00:00,1152111600,8.8,8.8,8.69,8.69,4,0,3900
2006-07-05 15:30:00,1152113400,8.69,8.69,8.69,8.69,2,0,1900
2006-07-05 16:00:00,1152115200,8.69,8.69,8.69,8.69,1,0,500
2006-07-05 16:30:00,1152117000,8.68,8.68,8.68,8.68,1,0,7600
2006-07-05 17:00:00,1152118800,8.56,8.56,8.56,8.56,4,0,2700
2006-07-05 18:00:00,1152122400,8.56,8.56,8.56,8.56,1,0,400
2006-07-06 10:30:00,1152181800,8.51,8.51,8.5,8.5,4,0,1000
2006-07-06 11:30:00,1152185400,8.5,8.5,8.5,8.5,1,0,200
2006-07-06 12:00:00,1152187200,8.6,8.6,8.6,8.6,5,0,1700
2006-07-06 12:30:00,1152189000,8.65,8.65,8.65,8.65,4,0,600
2006-07-06 13:30:00,1152192600,8.65,8.65,8.65,8.65,2,0,700
2006-07-06 14:00:00,1152194400,8.61,8.61,8.6,8.6,2,0,300
2006-07-06 14:30:00,1152196200,8.65,8.65,8.65,8.65,1,0,200
2006-07-06 15:00:00,1152198000,8.65,8.7,8.65,8.7,3,0,1200
2006-07-06 17:00:00,1152205200,8.7,8.7,8.7,8.7,3,0,1200
2006-07-07 10:00:00,1152266400,8.68,8.68,8.68,8.68,1,0,100
2006-07-07 12:00:00,1152273600,8.71,8.71,8.7,8.7,3,0,2000
2006-07-07 16:00:00,1152288000,8.65,8.65,8.65,8.65,5,0,5000
2006-07-07 16:30:00,1152289800,9.0,9.05,9.0,9.0,9,0,19600
2006-07-07 17:00:00,1152291600,9.0,9.0,9.0,9.0,2,0,300
2006-07-10 10:00:00,1152525600,8.99,9.05,8.99,9.05,8,0,8600
2006-07-10 10:30:00,1152527400,9.05,9.09,9.05,9.09,3,0,1200
2006-07-10 11:00:00,1152529200,9.05,9.05,9.05,9.05,1,0,1000
2006-07-10 12:00:00,1152532800,9.0,9.0,9.0,9.0,3,0,500
2006-07-10 14:00:00,1152540000,9.07,9.07,8.98,8.98,3,0,3500
2006-07-10 14:30:00,1152541800,8.95,8.95,8.95,8.95,2,0,200
2006-07-10 15:30:00,1152545400,8.85,8.95,8.8,8.85,6,0,12700
2006-07-10 16:00:00,1152547200,8.9,8.9,8.9,8.9,1,0,2000
