datetime,time,open,high,low,close,tick_volume,spread,real_volume
2016-07-11 12:00:00,1468238400,3.17,3.17,3.17,3.17,1,1,4000000
2017-06-08 11:30:00,1496921400,4.12,4.12,4.12,4.12,1,1,100
2017-06-09 15:00:00,1497020400,4.8,4.8,4.8,4.8,1,1,100
2017-08-30 13:00:00,1504098000,10.09,10.09,10.09,10.09,2,1,200
2017-09-01 11:30:00,1504265400,13.11,13.11,13.11,13.11,2,1,200
2017-09-01 13:00:00,1504270800,13.11,13.11,13.11,13.11,3,1,300
2017-09-01 16:00:00,1504281600,12.72,12.72,12.72,12.72,1,1,100
2017-09-01 17:00:00,1504285200,12.23,12.23,12.23,12.23,2,0,200
2017-09-04 11:00:00,1504522800,11.25,11.25,11.25,11.25,1,1,100
2017-09-04 12:30:00,1504528200,10.1,10.1,10.1,10.1,6,1,700
2017-09-04 13:00:00,1504530000,10.1,10.1,10.1,10.1,2,1,200
2017-09-04 13:30:00,1504531800,10.1,10.1,10.1,10.1,2,1,200
2017-09-05 12:00:00,1504612800,10.75,10.75,10.75,10.75,2,1,400
2017-09-06 11:00:00,1504695600,10.18,10.18,10.18,10.18,1,1,100
2017-09-06 15:30:00,1504711800,10.18,10.18,10.18,10.18,1,1,100
2017-09-12 10:30:00,1505212200,9.79,9.79,9.79,9.79,1,1,100
2017-09-12 11:30:00,1505215800,7.83,7.83,7.83,7.83,2,1,200
2017-09-12 12:00:00,1505217600,7.47,7.47,7.17,7.17,6,1,600
2017-09-12 12:30:00,1505219400,7.2,7.2,7.06,7.13,6,1,600
2017-09-12 13:00:00,1505221200,7.14,7.14,7.14,7.14,1,1,100
2017-09-12 14:30:00,1505226600,7.06,7.07,7.06,7.06,4,1,400
2017-09-12 15:30:00,1505230200,7.24,7.24,7.24,7.24,1,1,100
2017-09-12 16:00:00,1505232000,7.29,7.42,7.24,7.24,14,1,1700
2017-09-12 16:30:00,1505233800,7.24,7.24,7.24,7.24,4,1,400
2017-09-13 10:30:00,1505298600,7.24,7.24,7.24,7.24,4,1,900
2017-09-13 11:00:00,1505300400,7.34,7.34,7.24,7.24,6,1,700
