datetime,time,open,high,low,close,tick_volume,spread,real_volume
2014-08-05 10:00:00,1407232800,3.51,3.55,3.48,3.51,16,0,25400
2014-08-05 10:30:00,1407234600,3.51,3.51,3.51,3.51,3,0,300
2014-08-05 11:00:00,1407236400,3.49,3.49,3.43,3.43,2,0,12100
2014-08-05 11:30:00,1407238200,3.44,3.49,3.44,3.45,11,0,18400
2014-08-05 12:00:00,1407240000,3.44,3.44,3.41,3.41,8,0,8700
2014-08-05 12:30:00,1407241800,3.43,3.46,3.42,3.46,15,0,8000
2014-08-05 13:00:00,1407243600,3.44,3.44,3.44,3.44,1,0,100
2014-08-05 13:30:00,1407245400,3.46,3.46,3.46,3.46,1,0,100
2014-08-05 14:00:00,1407247200,3.44,3.46,3.41,3.41,8,0,12700
2014-08-05 14:30:00,1407249000,3.39,3.42,3.37,3.42,7,0,12600
2014-08-05 15:30:00,1407252600,3.42,3.42,3.42,3.42,1,0,100
2014-08-05 16:30:00,1407256200,3.42,3.46,3.39,3.46,9,0,900
2014-08-05 17:00:00,1407258000,3.39,3.39,3.39,3.39,6,0,5000
2014-08-06 10:00:00,1407319200,3.38,3.45,3.38,3.41,8,0,5700
2014-08-06 10:30:00,1407321000,3.39,3.39,3.36,3.36,4,0,13500
2014-08-06 11:00:00,1407322800,3.35,3.36,3.3,3.3,12,0,17600
2014-08-06 11:30:00,1407324600,3.31,3.34,3.31,3.34,6,0,2500
2014-08-06 12:00:00,1407326400,3.33,3.38,3.32,3.38,12,0,11200
2014-08-06 12:30:00,1407328200,3.38,3.38,3.37,3.37,11,0,1300
2014-08-06 13:30:00,1407331800,3.36,3.36,3.36,3.36,4,0,400
2014-08-06 14:30:00,1407335400,3.35,3.37,3.33,3.35,9,0,6100
2014-08-06 15:00:00,1407337200,3.34,3.35,3.34,3.35,6,0,1100
2014-08-06 15:30:00,1407339000,3.36,3.38,3.36,3.38,8,0,12900
2014-08-06 16:00:00,1407340800,3.39,3.44,3.32,3.39,27,0,28800
2014-08-06 16:30:00,1407342600,3.38,3.38,3.38,3.38,6,0,600
2014-08-06 17:00:00,1407344400,3.38,3.38,3.38,3.38,2,0,4700
2014-08-07 10:00:00,1407405600,3.43,3.43,3.35,3.4,6,0,600
2014-08-07 10:30:00,1407407400,3.38,3.38,3.34,3.35,13,0,16600
2014-08-07 11:00:00,1407409200,3.36,3.36,3.35,3.35,3,0,300
2014-08-07 11:30:00,1407411000,3.34,3.35,3.34,3.35,3,0,1100
2014-08-07 12:00:00,1407412800,3.34,3.34,3.34,3.34,1,0,100
2014-08-07 13:00:00,1407416400,3.34,3.34,3.32,3.32,5,0,8700
2014-08-07 13:30:00,1407418200,3.32,3.32,3.32,3.32,3,0,700
2014-08-07 14:00:00,1407420000,3.33,3.35,3.33,3.33,15,0,11800
2014-08-07 14:30:00,1407421800,3.33,3.34,3.32,3.33,11,0,7500
2014-08-07 15:00:00,1407423600,3.32,3.33,3.32,3.33,5,0,600
2014-08-07 15:30:00,1407425400,3.33,3.33,3.32,3.32,6,0,3300
2014-08-07 16:00:00,1407427200,3.33,3.33,3.31,3.31,5,0,1900
2014-08-07 16:30:00,1407429000,3.32,3.35,3.32,3.35,9,0,6000
2014-08-07 17:00:00,1407430800,3.32,3.32,3.32,3.32,9,0,7700
2014-08-08 10:00:00,1407492000,3.31,3.36,3.3,3.32,20,0,20700
2014-08-08 10:30:00,1407493800,3.31,3.31,3.31,3.31,1,0,100
2014-08-08 11:00:00,1407495600,3.31,3.31,3.31,3.31,2,0,300
2014-08-08 11:30:00,1407497400,3.32,3.36,3.32,3.36,19,0,29100
2014-08-08 15:30:00,1407511800,3.35,3.35,3.34,3.35,3,0,400
2014-08-08 16:30:00,1407515400,3.35,3.4,3.35,3.4,14,0,7700
2014-08-08 17:00:00,1407517200,3.37,3.37,3.37,3.37,9,0,3000
2014-08-11 10:00:00,1407751200,3.35,3.43,3.35,3.4,14,0,8600
2014-08-11 10:30:00,1407753000,3.4,3.41,3.35,3.35,17,0,25300
2014-08-11 11:00:00,1407754800,3.34,3.34,3.31,3.31,21,0,7400
2014-08-11 11:30:00,1407756600,3.31,3.36,3.31,3.35,13,0,34800
2014-08-11 12:00:00,1407758400,3.34,3.34,3.34,3.34,1,0,100
2014-08-11 14:30:00,1407767400,3.33,3.33,3.33,3.33,2,0,200
2014-08-11 16:30:00,1407774600,3.32,3.35,3.31,3.35,6,0,13200
2014-08-11 17:00:00,1407776400,3.31,3.31,3.31,3.31,13,0,12100
2014-08-12 10:00:00,1407837600,3.31,3.37,3.3,3.34,17,0,14500
2014-08-12 10:30:00,1407839400,3.33,3.33,3.32,3.32,2,0,200
2014-08-12 12:00:00,1407844800,3.32,3.32,3.32,3.32,5,0,500
2014-08-12 13:30:00,1407850200,3.33,3.33,3.32,3.32,5,0,1900
2014-08-12 15:30:00,1407857400,3.32,3.32,3.32,3.32,7,0,800
2014-08-12 16:00:00,1407859200,3.32,3.32,3.32,3.32,2,0,200
2014-08-12 16:30:00,1407861000,3.31,3.34,3.3,3.34,20,0,13000
2014-08-12 17:00:00,1407862800,3.34,3.34,3.34,3.34,8,0,3000
2014-08-13 10:00:00,1407924000,3.34,3.41,3.34,3.35,63,0,29700
2014-08-13 10:30:00,1407925800,3.35,3.36,3.35,3.36,42,0,4900
2014-08-13 11:00:00,1407927600,3.36,3.36,3.34,3.36,44,0,13700
2014-08-13 11:30:00,1407929400,3.36,3.37,3.36,3.36,42,0,4600
2014-08-13 12:00:00,1407931200,3.36,3.36,3.32,3.34,48,0,6200
2014-08-13 12:30:00,1407933000,3.36,3.36,3.34,3.36,45,0,5400
2014-08-13 13:00:00,1407934800,3.36,3.39,3.36,3.38,55,0,6900
2014-08-13 13:30:00,1407936600,3.38,3.39,3.38,3.39,40,0,4000
2014-08-13 14:00:00,1407938400,3.39,3.39,3.39,3.39,39,0,3900
2014-08-13 14:30:00,1407940200,3.39,3.39,3.38,3.39,43,0,6100
2014-08-13 15:00:00,1407942000,3.39,3.39,3.39,3.39,40,0,4000
2014-08-13 15:30:00,1407943800,3.39,3.39,3.38,3.38,40,0,4000
2014-08-13 16:00:00,1407945600,3.38,3.39,3.38,3.39,42,0,4300
2014-08-13 16:30:00,1407947400,3.39,3.39,3.39,3.39,34,0,14600
2014-08-13 17:00:00,1407949200,3.41,3.41,3.41,3.41,19,0,41000
2014-08-14 10:00:00,1408010400,3.39,3.46,3.34,3.42,21,0,24600
2014-08-14 10:30:00,1408012200,3.4,3.42,3.4,3.42,8,0,8800
2014-08-14 11:30:00,1408015800,3.41,3.41,3.41,3.41,1,0,300
2014-08-14 12:00:00,1408017600,3.4,3.4,3.4,3.4,6,0,1100
2014-08-14 12:30:00,1408019400,3.4,3.4,3.38,3.38,2,0,200
2014-08-14 13:00:00,1408021200,3.37,3.37,3.37,3.37,1,0,100
2014-08-14 13:30:00,1408023000,3.37,3.41,3.37,3.41,11,0,32400
2014-08-14 15:30:00,1408030200,3.39,3.39,3.37,3.37,2,0,3000
2014-08-14 16:00:00,1408032000,3.37,3.41,3.37,3.41,14,0,13100
2014-08-14 16:30:00,1408033800,3.39,3.41,3.39,3.41,11,0,1200
2014-08-14 17:00:00,1408035600,3.36,3.36,3.36,3.36,12,0,31200
2014-08-15 10:00:00,1408096800,3.36,3.38,3.34,3.36,11,0,10300
2014-08-15 10:30:00,1408098600,3.37,3.38,3.37,3.38,2,0,200
2014-08-15 11:30:00,1408102200,3.37,3.37,3.34,3.35,5,0,13000
2014-08-15 12:00:00,1408104000,3.34,3.36,3.31,3.36,15,0,36200
2014-08-15 12:30:00,1408105800,3.37,3.38,3.37,3.38,3,0,4900
2014-08-15 14:00:00,1408111200,3.37,3.37,3.37,3.37,1,0,100
2014-08-15 15:30:00,1408116600,3.38,3.38,3.38,3.38,3,0,6400
2014-08-15 16:30:00,1408120200,3.37,3.38,3.35,3.38,6,0,700
2014-08-15 17:00:00,1408122000,3.38,3.38,3.38,3.38,6,0,7100
2014-08-18 10:00:00,1408356000,3.38,3.38,3.38,3.38,1,0,100
2014-08-18 11:00:00,1408359600,3.37,3.38,3.36,3.36,15,0,10900
2014-08-18 11:30:00,1408361400,3.36,3.38,3.35,3.38,9,0,2200
2014-08-18 12:30:00,1408365000,3.37,3.37,3.37,3.37,1,0,100
2014-08-18 13:00:00,1408366800,3.36,3.36,3.36,3.36,2,0,1000
2014-08-18 13:30:00,1408368600,3.36,3.36,3.33,3.33,3,0,1500
2014-08-18 14:00:00,1408370400,3.33,3.37,3.32,3.37,6,0,6600
2014-08-18 15:30:00,1408375800,3.37,3.37,3.37,3.37,1,0,20700
2014-08-18 16:00:00,1408377600,3.36,3.36,3.36,3.36,2,0,1800
2014-08-18 16:30:00,1408379400,3.37,3.38,3.36,3.38,18,0,5600
2014-08-19 10:00:00,1408442400,3.36,3.41,3.36,3.36,13,0,26000
2014-08-19 10:30:00,1408444200,3.35,3.35,3.35,3.35,3,0,400
2014-08-19 11:00:00,1408446000,3.35,3.35,3.34,3.35,7,0,13800
2014-08-19 11:30:00,1408447800,3.35,3.36,3.35,3.36,6,0,1100
2014-08-19 12:00:00,1408449600,3.35,3.36,3.35,3.36,4,0,800
2014-08-19 12:30:00,1408451400,3.36,3.37,3.36,3.37,3,0,1900
2014-08-19 15:00:00,1408460400,3.36,3.36,3.35,3.36,7,0,1000
2014-08-19 15:30:00,1408462200,3.36,3.36,3.35,3.36,10,0,2400
2014-08-19 16:00:00,1408464000,3.36,3.37,3.36,3.36,15,0,2900
2014-08-19 16:30:00,1408465800,3.36,3.37,3.34,3.36,14,0,3200
2014-08-19 17:00:00,1408467600,3.36,3.36,3.36,3.36,9,0,23800
2014-08-20 10:00:00,1408528800,3.33,3.34,3.33,3.34,5,0,1800
2014-08-20 10:30:00,1408530600,3.34,3.34,3.33,3.34,5,0,2300
2014-08-20 11:00:00,1408532400,3.33,3.33,3.33,3.33,5,0,10300
2014-08-20 11:30:00,1408534200,3.33,3.34,3.33,3.34,6,0,5800
2014-08-20 12:00:00,1408536000,3.34,3.34,3.34,3.34,3,0,800
2014-08-20 12:30:00,1408537800,3.33,3.36,3.33,3.36,11,0,4000
2014-08-20 13:00:00,1408539600,3.35,3.37,3.33,3.33,12,0,2100
2014-08-20 14:00:00,1408543200,3.34,3.35,3.34,3.35,3,0,800
2014-08-20 14:30:00,1408545000,3.34,3.35,3.34,3.35,6,0,1500
2014-08-20 15:00:00,1408546800,3.35,3.35,3.33,3.33,4,0,5100
2014-08-20 15:30:00,1408548600,3.33,3.33,3.33,3.33,3,0,500
2014-08-20 16:00:00,1408550400,3.33,3.37,3.33,3.36,10,0,5900
2014-08-20 16:30:00,1408552200,3.35,3.37,3.34,3.37,15,0,6900
2014-08-20 17:00:00,1408554000,3.36,3.36,3.36,3.36,3,0,12600
2014-08-21 10:00:00,1408615200,3.36,3.36,3.36,3.36,1,0,100
2014-08-21 13:00:00,1408626000,3.35,3.35,3.35,3.35,3,0,300
2014-08-21 14:00:00,1408629600,3.35,3.37,3.33,3.37,12,0,1800
2014-08-21 14:30:00,1408631400,3.36,3.37,3.33,3.33,19,0,7400
2014-08-21 15:00:00,1408633200,3.33,3.37,3.32,3.37,12,0,13300
2014-08-21 16:00:00,1408636800,3.36,3.37,3.36,3.37,5,0,700
2014-08-21 16:30:00,1408638600,3.36,3.37,3.36,3.37,11,0,2700
2014-08-21 17:00:00,1408640400,3.37,3.37,3.37,3.37,6,0,2400
2014-08-22 10:00:00,1408701600,3.34,3.5,3.34,3.44,82,0,96500
2014-08-22 10:30:00,1408703400,3.46,3.46,3.44,3.45,16,0,12800
2014-08-22 11:00:00,1408705200,3.44,3.46,3.44,3.44,25,0,5300
2014-08-22 11:30:00,1408707000,3.46,3.4699999999999998,3.43,3.45,42,0,24500
2014-08-22 12:00:00,1408708800,3.45,3.46,3.43,3.43,31,0,22200
2014-08-22 12:30:00,1408710600,3.45,3.45,3.43,3.43,24,0,19100
