datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-05-21 16:00:00,1179763200,35.0,35.0,35.0,35.0,3,0,39
2009-05-20 17:00:00,1242838800,21.0,21.0,21.0,21.0,3,0,9
2009-11-18 15:30:00,1258558200,15.12,15.12,15.12,15.12,1,0,1
2009-11-18 16:30:00,1258561800,15.51,15.51,15.51,15.51,1,0,1
2009-11-18 18:00:00,1258567200,50.0,50.0,50.0,50.0,1,0,1
2010-03-17 17:00:00,1268845200,80.0,80.0,80.0,80.0,1,0,1
2010-12-09 18:00:00,1291917600,249.99,249.99,249.99,249.99,2,0,2
2011-12-07 13:30:00,1323264600,7.64,7.64,7.64,7.64,1,0,7
2012-07-05 11:00:00,1341486000,15.01,15.01,15.01,15.01,1,0,2
2012-07-11 16:30:00,1342024200,15.05,15.05,15.05,15.05,3,0,9
2012-07-18 14:00:00,1342620000,20.01,20.01,20.01,20.01,1,0,7
2012-08-22 11:00:00,1345633200,94.99,94.99,94.99,94.99,1,0,1
2012-08-27 17:00:00,1346086800,95.0,95.0,95.0,95.0,1,0,1
2012-09-03 14:00:00,1346680800,95.0,95.0,95.0,95.0,1,0,1
2012-09-04 11:00:00,1346756400,95.02,95.02,95.01,95.01,3,0,3
2012-09-04 12:30:00,1346761800,110.0,110.0,110.0,110.0,1,0,1
2012-09-05 13:30:00,1346851800,95.0,95.0,95.0,95.0,1,0,1
2012-09-05 14:30:00,1346855400,95.0,95.0,95.0,95.0,1,0,2
2012-09-12 12:00:00,1347451200,70.0,70.0,70.0,70.0,2,0,3
2012-09-20 12:30:00,1348144200,95.0,95.0,95.0,95.0,1,0,1
2012-09-20 13:30:00,1348147800,95.0,95.0,95.0,95.0,1,0,1
2012-10-15 11:30:00,1350300600,100.0,100.0,100.0,100.0,2,0,2
2012-10-15 13:30:00,1350307800,81.0,81.0,81.0,81.0,1,0,1
2012-10-15 15:00:00,1350313200,85.0,85.0,85.0,85.0,3,0,5
2012-10-19 12:00:00,1350648000,81.0,81.0,81.0,81.0,1,0,1
2013-03-07 14:30:00,1362666600,68.35,68.35,68.35,68.35,2,0,20
2013-03-19 13:00:00,1363698000,85.0,85.0,85.0,85.0,2,0,3
2013-03-19 14:00:00,1363701600,85.0,85.0,85.0,85.0,1,0,1
2013-03-19 16:00:00,1363708800,85.0,85.0,85.0,85.0,1,0,3
2013-03-19 17:00:00,1363712400,85.0,85.0,85.0,85.0,1,0,2
2013-03-20 12:30:00,1363782600,85.0,85.0,85.0,85.0,1,0,1
2013-03-20 17:00:00,1363798800,72.0,72.0,72.0,72.0,1,0,1
2013-03-21 17:30:00,1363887000,72.0,72.0,72.0,72.0,2,0,6
2016-08-19 12:00:00,1471608000,1000.0,1000.0,1000.0,1000.0,1,1,1
2016-09-14 11:00:00,1473850800,1000.0,1000.0,1000.0,1000.0,1,1,2
2016-11-29 18:00:00,1480442400,500.0,500.0,500.0,500.0,1,1,1
2017-01-03 17:00:00,1483462800,400.0,400.0,400.0,400.0,1,1,1
2018-01-08 18:00:00,1515434400,230.01,230.01,230.01,230.01,1,1,1
2018-10-24 17:00:00,1540400400,88.01,88.01,88.01,88.01,2,98258,2
2018-11-09 13:30:00,1541770200,160.0,160.0,160.0,160.0,2,6900,11
2018-11-14 18:00:00,1542218400,160.0,160.0,160.0,160.0,1,0,12
2018-11-22 17:30:00,1542907800,160.1,160.1,160.1,160.1,4,0,32
2018-11-23 10:00:00,1542967200,170.0,170.0,170.0,170.0,2,0,10
2018-11-23 11:30:00,1542972600,175.0,175.0,175.0,175.0,1,500,4
2018-11-23 16:30:00,1542990600,175.0,175.0,175.0,175.0,1,0,1
2018-11-23 17:30:00,1542994200,175.0,175.0,175.0,175.0,1,8500,4
2018-11-29 18:00:00,1543514400,179.01,179.01,179.01,179.01,1,0,2
2018-11-30 17:00:00,1543597200,175.0,175.0,175.0,175.0,3,0,38
2018-12-03 14:00:00,1543845600,180.0,180.0,180.0,180.0,1,1000,1
2018-12-03 14:30:00,1543847400,180.0,180.0,180.0,180.0,1,1000,4
2018-12-03 17:00:00,1543856400,180.0,180.0,180.0,180.0,1,1000,7
2018-12-06 18:00:00,1544119200,181.0,181.0,181.0,181.0,3,0,11
2018-12-11 12:30:00,1544531400,217.0,217.0,217.0,217.0,1,0,1
2018-12-11 17:00:00,1544547600,217.0,217.0,217.0,217.0,3,0,3
2018-12-13 14:00:00,1544709600,174.01,174.01,174.01,174.01,1,0,8
2018-12-17 18:00:00,1545069600,208.0,208.0,208.0,208.0,1,10800,5
2018-12-18 14:00:00,1545141600,177.01,177.01,177.01,177.01,1,2700,1
2018-12-18 18:00:00,1545156000,217.0,217.0,217.0,217.0,2,2700,2
