datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-03 00:00:00,1151884800,11.54,11.54,11.54,11.54,5,0,44800
2006-07-03 16:30:00,1151944200,11.61,11.61,11.61,11.61,1,0,2800
2006-07-04 11:30:00,1152012600,11.61,11.61,11.61,11.61,3,0,2800
2006-07-05 11:00:00,1152097200,11.49,11.49,11.49,11.49,1,0,400
2006-07-05 12:30:00,1152102600,11.54,11.54,11.54,11.54,1,0,20000
2006-07-05 14:00:00,1152108000,11.44,11.49,11.4,11.49,3,0,6000
2006-07-05 14:30:00,1152109800,11.49,11.49,11.49,11.49,5,0,8800
2006-07-05 15:30:00,1152113400,11.54,11.54,11.49,11.49,3,0,6000
2006-07-06 11:30:00,1152185400,11.49,11.49,11.49,11.49,1,0,1600
2006-07-06 12:30:00,1152189000,11.49,11.49,11.49,11.49,1,0,3200
2006-07-06 15:00:00,1152198000,11.31,11.31,11.31,11.31,3,0,20000
2006-07-06 15:30:00,1152199800,11.26,11.26,11.26,11.26,2,0,6800
2006-07-06 17:00:00,1152205200,11.31,11.31,11.31,11.31,2,0,1600
2006-07-07 10:30:00,1152268200,11.61,11.61,11.61,11.61,1,0,40000
2006-07-07 11:00:00,1152270000,11.54,11.54,11.31,11.31,6,0,22400
2006-07-07 11:30:00,1152271800,11.4,11.4,11.26,11.26,3,0,15600
2006-07-07 12:00:00,1152273600,11.26,11.26,11.26,11.26,3,0,8000
2006-07-07 12:30:00,1152275400,11.31,11.31,11.31,11.31,1,0,3600
2006-07-11 13:30:00,1152624600,11.03,11.03,11.03,11.03,1,0,800
2006-07-11 15:00:00,1152630000,11.13,11.13,11.13,11.13,2,0,4000
2006-07-11 16:00:00,1152633600,11.13,11.16,11.13,11.16,2,0,4400
2006-07-11 16:30:00,1152635400,11.4,11.4,11.4,11.4,1,0,2400
2006-07-12 10:00:00,1152698400,11.4,11.4,11.4,11.4,2,0,43600
2006-07-12 11:30:00,1152703800,11.4,11.4,11.4,11.4,2,0,1200
2006-07-12 12:00:00,1152705600,11.31,11.31,11.29,11.29,2,0,2000
2006-07-12 15:00:00,1152716400,11.26,11.26,11.26,11.26,1,0,32000
2006-07-14 10:30:00,1152873000,10.95,10.95,10.95,10.95,2,0,800
2006-07-14 11:00:00,1152874800,10.86,10.86,10.86,10.86,1,0,6000
2006-07-14 12:00:00,1152878400,10.86,10.86,10.86,10.86,5,0,11200
2006-07-14 15:30:00,1152891000,10.86,10.86,10.86,10.86,1,0,400
2006-07-14 16:30:00,1152894600,10.86,10.95,10.86,10.95,3,0,4800
2006-07-17 11:00:00,1153134000,10.95,10.95,10.95,10.95,1,0,400
2006-07-17 11:30:00,1153135800,10.76,10.76,10.76,10.76,1,0,400
2006-07-17 12:00:00,1153137600,10.71,10.71,10.71,10.71,2,0,3600
2006-07-17 15:30:00,1153150200,10.71,10.71,10.71,10.71,1,0,4000
2006-07-17 16:00:00,1153152000,10.71,10.71,10.71,10.71,2,0,8000
2006-07-17 17:00:00,1153155600,10.65,10.65,10.65,10.65,1,0,800
2006-07-18 14:00:00,1153231200,10.55,10.55,10.51,10.55,3,0,8400
2006-07-18 14:30:00,1153233000,10.55,10.55,10.55,10.55,1,0,400
2006-07-18 16:30:00,1153240200,10.55,10.55,10.55,10.55,1,0,8000
2006-07-19 10:30:00,1153305000,10.78,10.78,10.78,10.78,2,0,12000
2006-07-19 11:00:00,1153306800,10.95,10.95,10.86,10.95,4,0,28400
2006-07-19 12:30:00,1153312200,11.03,11.03,11.03,11.03,5,0,5200
2006-07-19 14:00:00,1153317600,11.09,11.09,11.09,11.09,1,0,4000
2006-07-19 15:00:00,1153321200,11.08,11.09,11.08,11.09,4,0,4400
2006-07-19 15:30:00,1153323000,11.09,11.09,11.09,11.09,1,0,2400
2006-07-19 16:00:00,1153324800,11.16,11.16,11.16,11.16,1,0,4000
2006-07-19 16:30:00,1153326600,11.16,11.16,11.16,11.16,3,0,3200
2006-07-19 17:00:00,1153328400,11.16,11.16,11.16,11.16,1,0,800
2006-07-20 10:30:00,1153391400,11.18,11.18,11.18,11.18,1,0,1200
2006-07-20 11:00:00,1153393200,11.16,11.16,11.07,11.07,2,0,29200
2006-07-20 11:30:00,1153395000,11.12,11.12,11.12,11.12,2,0,28000
2006-07-20 12:30:00,1153398600,11.09,11.09,11.09,11.09,1,0,1200
2006-07-20 13:00:00,1153400400,11.09,11.09,11.09,11.09,1,0,8000
2006-07-20 16:00:00,1153411200,10.86,10.86,10.86,10.86,1,0,800
2006-07-20 16:30:00,1153413000,10.86,10.86,10.86,10.86,2,0,7200
2006-07-21 10:30:00,1153477800,10.86,10.86,10.86,10.86,1,0,800
2006-07-21 11:00:00,1153479600,11.16,11.16,10.71,10.71,6,0,44000
2006-07-21 12:00:00,1153483200,10.86,10.86,10.86,10.86,1,0,16000
2006-07-21 15:30:00,1153495800,10.71,10.71,10.71,10.71,1,0,400
2006-07-21 16:00:00,1153497600,10.71,10.71,10.71,10.71,1,0,400
2006-07-24 10:30:00,1153737000,10.71,10.71,10.71,10.71,1,0,800
2006-07-24 11:30:00,1153740600,10.95,10.95,10.9,10.9,2,0,14000
2006-07-24 12:30:00,1153744200,10.9,10.9,10.9,10.9,1,0,10000
2006-07-24 15:30:00,1153755000,10.85,10.85,10.85,10.85,2,0,6000
2006-07-24 16:00:00,1153756800,10.86,10.92,10.86,10.92,2,0,8000
