datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18 00:00:00,1145318400,73.45,73.45,73.45,73.45,4,0,108
2006-04-18 10:00:00,1145354400,73.55,73.55,73.55,73.55,5,0,74
2006-04-18 11:00:00,1145358000,73.75,73.8,73.75,73.8,2,0,50
2006-04-18 12:00:00,1145361600,73.6,73.6,73.6,73.6,1,0,6
2006-04-18 12:30:00,1145363400,73.55,73.55,73.48,73.48,4,0,30
2006-04-18 13:30:00,1145367000,74.19,74.24,74.19,74.24,3,0,70
2006-04-18 14:00:00,1145368800,74.54,74.54,74.54,74.54,2,0,30
2006-04-18 15:00:00,1145372400,74.88,74.93,74.88,74.93,9,0,212
2006-04-18 15:30:00,1145374200,75.23,75.23,75.23,75.23,2,0,50
2006-04-18 16:30:00,1145377800,73.95,76.58,73.7,76.58,17,0,446
2006-04-18 17:30:00,1145381400,76.07,76.07,76.07,76.07,1,0,50
2006-04-18 18:30:00,1145385000,76.11,76.11,76.11,76.11,1,0,15
2006-04-19 10:00:00,1145440800,75.92,76.11,75.92,75.92,5,0,97
2006-04-19 10:30:00,1145442600,74.93,74.93,74.93,74.93,1,0,20
2006-04-19 11:00:00,1145444400,75.12,75.12,75.12,75.12,1,0,90
2006-04-19 11:30:00,1145446200,75.03,75.03,75.03,75.03,4,0,134
2006-04-19 12:00:00,1145448000,75.42,75.42,75.42,75.42,2,0,103
2006-04-19 12:30:00,1145449800,75.48,76.58,74.93,76.58,4,0,72
2006-04-19 13:00:00,1145451600,75.31,75.31,75.31,75.31,1,0,43
2006-04-19 13:30:00,1145453400,75.57,75.57,75.57,75.57,1,0,30
2006-04-19 14:00:00,1145455200,75.82,75.82,75.82,75.82,2,0,43
2006-04-19 14:30:00,1145457000,74.93,74.93,74.93,74.93,2,0,80
2006-04-19 15:00:00,1145458800,75.92,76.11,75.92,75.92,4,0,62
2006-04-19 15:30:00,1145460600,76.2,76.2,76.2,76.2,1,0,2
2006-04-19 16:00:00,1145462400,75.92,75.92,75.92,75.92,1,0,16
2006-04-20 10:30:00,1145529000,76.89,76.89,72.67,74.93,15,0,393
2006-04-20 11:00:00,1145530800,75.92,76.24,75.92,76.24,3,0,24
2006-04-20 11:30:00,1145532600,75.93,75.93,75.42,75.42,6,0,133
2006-04-20 12:00:00,1145534400,74.93,75.52,73.96,73.96,8,0,319
2006-04-20 14:00:00,1145541600,75.42,75.42,75.42,75.42,1,0,46
2006-04-20 14:30:00,1145543400,75.92,76.2,75.92,76.2,2,0,75
2006-04-24 10:00:00,1145872800,76.24,78.68,76.1,76.1,7,0,287
2006-04-24 10:30:00,1145874600,76.41,76.9,76.11,76.13,6,0,162
2006-04-24 11:00:00,1145876400,76.41,76.41,76.11,76.11,4,0,25
2006-04-24 12:00:00,1145880000,76.02,76.02,75.92,75.92,5,0,112
2006-04-24 12:30:00,1145881800,75.34,75.82,75.34,75.48,4,0,113
2006-04-24 13:00:00,1145883600,76.38,76.38,76.38,76.38,1,0,25
2006-04-24 15:00:00,1145890800,76.11,76.11,76.11,76.11,1,0,3
2006-04-24 16:00:00,1145894400,76.21,76.21,76.16,76.16,2,0,75
2006-04-24 16:30:00,1145896200,75.92,76.4,75.33,76.4,10,0,146
2006-04-24 18:30:00,1145903400,76.02,76.02,76.02,76.02,1,0,45
2006-04-25 10:30:00,1145961000,75.92,76.61,75.92,76.61,6,0,212
2006-04-25 11:00:00,1145962800,76.5,76.5,76.49,76.49,2,0,111
2006-04-25 11:30:00,1145964600,76.31,76.41,76.31,76.41,2,0,120
2006-04-25 12:30:00,1145968200,75.62,76.21,75.62,76.21,2,0,28
2006-04-25 13:00:00,1145970000,76.41,76.41,76.41,76.41,2,0,52
2006-04-25 14:30:00,1145975400,76.02,76.02,76.02,76.02,1,0,74
2006-04-25 16:30:00,1145982600,75.92,75.92,75.92,75.92,3,0,21
2006-04-25 17:30:00,1145986200,76.89,76.89,76.89,76.89,2,0,28
2006-04-25 18:00:00,1145988000,76.85,76.85,76.85,76.85,1,0,80
