datetime,time,open,high,low,close,tick_volume,spread,real_volume
2009-12-10 11:00:00,1260442800,40.0,40.2,40.0,40.1,4,0,100
2009-12-10 11:30:00,1260444600,40.0,40.0,39.9,39.98,6,0,213
2009-12-10 12:00:00,1260446400,40.1,40.1,39.95,39.95,2,0,54
2009-12-10 12:30:00,1260448200,40.1,40.15,40.05,40.05,17,0,425
2009-12-10 13:00:00,1260450000,40.1,40.1,39.91,40.01,9,0,289
2009-12-10 13:30:00,1260451800,40.01,40.13,39.91,39.91,6,0,118
2009-12-10 14:00:00,1260453600,40.0,40.0,39.9,39.9,3,0,42
2009-12-10 14:30:00,1260455400,40.06,40.06,40.06,40.06,2,0,85
2009-12-10 15:00:00,1260457200,40.0,40.06,40.0,40.05,8,0,103
2009-12-10 15:30:00,1260459000,40.05,40.05,39.91,40.0,5,0,140
2009-12-10 16:00:00,1260460800,40.0,40.0,40.0,40.0,8,0,175
2009-12-10 16:30:00,1260462600,40.01,40.07,40.0,40.0,13,0,191
2009-12-10 17:00:00,1260464400,40.0,40.1,40.0,40.07,14,0,293
2009-12-10 17:30:00,1260466200,40.07,40.13,39.9,39.9,22,0,350
2009-12-10 18:30:00,1260469800,39.97,39.97,39.81,39.97,7,0,118
2009-12-10 19:00:00,1260471600,39.96,39.96,39.96,39.96,1,0,4
2009-12-11 11:00:00,1260529200,40.1,40.3,40.1,40.3,11,0,269
2009-12-11 11:30:00,1260531000,40.3,40.5,40.3,40.42,11,0,307
2009-12-11 12:00:00,1260532800,40.4,40.59,40.35,40.59,12,0,383
2009-12-11 12:30:00,1260534600,40.59,41.7,40.59,41.7,43,0,836
2009-12-11 13:00:00,1260536400,41.78,41.78,41.55,41.55,10,0,308
2009-12-11 13:30:00,1260538200,41.6,41.7,41.36,41.7,19,0,545
2009-12-11 14:00:00,1260540000,41.66,41.66,41.02,41.6,9,0,219
2009-12-11 14:30:00,1260541800,41.58,41.66,41.55,41.66,13,0,317
2009-12-11 15:00:00,1260543600,41.68,41.72,41.6,41.6,27,0,676
2009-12-11 15:30:00,1260545400,41.71,41.93,41.71,41.9,41,0,925
2009-12-11 16:00:00,1260547200,41.9,41.9,41.6,41.68,12,0,367
2009-12-11 16:30:00,1260549000,41.75,41.8,41.66,41.68,7,0,213
2009-12-11 17:00:00,1260550800,41.73,41.73,41.65,41.67,12,0,346
2009-12-11 17:30:00,1260552600,41.54,41.55,41.44,41.55,10,0,330
2009-12-11 18:30:00,1260556200,41.5,41.67,41.44,41.44,11,0,143
2009-12-11 19:00:00,1260558000,41.5,41.66,41.5,41.66,4,0,112
2009-12-14 11:00:00,1260788400,41.7,42.34,41.51,41.9,32,0,746
2009-12-14 11:30:00,1260790200,41.97,41.97,41.92,41.92,6,0,258
2009-12-14 12:00:00,1260792000,41.85,41.99,41.85,41.99,8,0,181
2009-12-14 12:30:00,1260793800,41.96,42.14,41.96,42.08,12,0,336
2009-12-14 13:00:00,1260795600,42.12,42.12,41.85,41.85,9,0,227
2009-12-14 13:30:00,1260797400,41.89,41.89,41.89,41.89,2,0,25
2009-12-14 14:00:00,1260799200,41.9,42.0,41.77,42.0,9,0,246
2009-12-14 14:30:00,1260801000,41.96,41.96,41.96,41.96,2,0,55
2009-12-14 15:00:00,1260802800,41.82,42.0,41.82,42.0,4,0,88
2009-12-14 15:30:00,1260804600,42.0,42.14,42.0,42.06,18,0,574
2009-12-14 16:00:00,1260806400,42.01,42.14,42.0,42.0,5,0,154
2009-12-14 16:30:00,1260808200,41.96,41.97,41.82,41.97,7,0,305
2009-12-14 17:00:00,1260810000,41.97,42.0,41.82,41.82,7,0,289
2009-12-14 17:30:00,1260811800,41.92,41.92,41.75,41.75,13,0,380
2009-12-14 18:30:00,1260815400,41.76,41.76,41.76,41.76,1,0,46
2009-12-14 19:00:00,1260817200,41.75,41.75,41.75,41.75,1,0,4
2009-12-15 11:00:00,1260874800,41.3,41.6,41.03,41.59,30,0,903
2009-12-15 11:30:00,1260876600,41.58,41.81,41.51,41.81,16,0,581
2009-12-15 12:00:00,1260878400,41.81,41.81,41.63,41.63,4,0,102
2009-12-15 12:30:00,1260880200,41.67,41.71,41.22,41.64,9,0,216
2009-12-15 13:00:00,1260882000,41.71,41.97,41.71,41.97,17,0,637
2009-12-15 13:30:00,1260883800,41.98,42.0,41.97,41.97,6,0,121
2009-12-15 14:00:00,1260885600,41.94,41.94,41.9,41.9,3,0,51
2009-12-15 14:30:00,1260887400,41.9,41.94,41.85,41.94,5,0,75
2009-12-15 15:00:00,1260889200,41.89,41.94,41.74,41.9,12,0,378
2009-12-15 15:30:00,1260891000,41.9,41.93,41.9,41.93,7,0,164
2009-12-15 16:00:00,1260892800,41.75,41.9,41.75,41.75,3,0,142
2009-12-15 16:30:00,1260894600,41.89,41.9,41.78,41.78,11,0,258
2009-12-15 17:00:00,1260896400,41.85,41.85,41.8,41.8,7,0,408
2009-12-15 17:30:00,1260898200,41.87,41.92,41.8,41.91,15,0,277
2009-12-15 18:30:00,1260901800,41.88,41.93,41.88,41.93,3,0,44
2009-12-16 11:00:00,1260961200,41.9,42.94,41.9,42.44,66,0,2011
2009-12-16 11:30:00,1260963000,42.47,42.47,42.26,42.31,24,0,654
2009-12-16 12:00:00,1260964800,42.45,42.5,42.45,42.5,12,0,281
2009-12-16 12:30:00,1260966600,42.6,42.86,42.51,42.51,27,0,852
2009-12-16 13:00:00,1260968400,42.7,42.75,42.52,42.7,7,0,297
2009-12-16 13:30:00,1260970200,42.67,42.79,42.61,42.61,10,0,317
2009-12-16 14:00:00,1260972000,42.51,42.74,42.51,42.74,15,0,275
2009-12-16 14:30:00,1260973800,42.74,42.8,42.51,42.78,28,0,668
2009-12-16 15:00:00,1260975600,42.75,42.88,42.71,42.88,44,0,1088
2009-12-16 15:30:00,1260977400,42.88,42.88,42.53,42.8,13,0,431
2009-12-16 16:00:00,1260979200,42.7,42.85,42.7,42.83,38,0,1261
2009-12-16 16:30:00,1260981000,42.8,42.82,42.67,42.67,13,0,416
2009-12-16 17:00:00,1260982800,42.67,42.77,42.6,42.6,10,0,271
2009-12-16 17:30:00,1260984600,42.6,42.6,42.2,42.2,41,0,1318
2009-12-16 18:30:00,1260988200,42.6,42.6,42.5,42.59,5,0,137
2009-12-16 19:00:00,1260990000,42.27,42.27,42.26,42.26,2,0,107
2009-12-17 11:00:00,1261047600,42.28,42.28,41.89,42.0,9,0,433
2009-12-17 11:30:00,1261049400,42.04,42.04,41.72,41.72,17,0,522
2009-12-17 12:00:00,1261051200,41.7,41.91,41.62,41.91,17,0,653
2009-12-17 12:30:00,1261053000,41.87,42.32,41.85,42.32,17,0,552
2009-12-17 13:00:00,1261054800,42.25,42.3,42.23,42.3,13,0,389
2009-12-17 13:30:00,1261056600,42.3,42.35,42.15,42.32,10,0,193
2009-12-17 14:00:00,1261058400,42.16,42.3,42.15,42.3,5,0,153
2009-12-17 14:30:00,1261060200,42.27,42.28,42.2,42.28,6,0,211
2009-12-17 15:00:00,1261062000,42.28,42.28,41.9,41.9,12,0,305
2009-12-17 15:30:00,1261063800,42.03,42.03,41.9,42.0,9,0,252
2009-12-17 16:00:00,1261065600,42.0,42.03,41.81,41.81,11,0,384
2009-12-17 16:30:00,1261067400,41.86,41.9,41.81,41.9,3,0,35
2009-12-17 17:00:00,1261069200,41.81,41.95,41.81,41.94,10,0,445
2009-12-17 17:30:00,1261071000,41.93,42.08,41.93,42.08,13,0,220
