datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-07-29 10:00:00,1627552800,12.88,13.11,12.58,12.68,671,0,13857
2021-07-29 10:30:00,1627554600,12.68,12.96,12.52,12.92,428,1,8648
2021-07-29 11:00:00,1627556400,12.92,13.65,12.88,13.55,262,1,7040
2021-07-29 11:30:00,1627558200,13.59,13.59,13.38,13.41,167,1,3739
2021-07-29 12:00:00,1627560000,13.4,13.4,13.1,13.35,170,1,3617
2021-07-29 12:30:00,1627561800,13.32,13.38,13.2,13.36,102,1,1803
2021-07-29 13:00:00,1627563600,13.37,13.44,13.29,13.36,77,1,1428
2021-07-29 13:30:00,1627565400,13.36,13.49,13.34,13.43,68,1,1483
2021-07-29 14:00:00,1627567200,13.4,13.5,13.37,13.49,68,1,1320
2021-07-29 14:30:00,1627569000,13.5,13.76,13.49,13.65,106,1,2382
2021-07-29 15:00:00,1627570800,13.6,13.87,13.35,13.46,114,1,3233
2021-07-29 15:30:00,1627572600,13.44,13.89,13.44,13.8,91,1,2154
2021-07-29 16:00:00,1627574400,13.79,14.1,13.75,13.95,249,1,7448
2021-07-29 16:30:00,1627576200,13.99,14.05,13.9,13.95,89,1,2008
2021-07-29 17:00:00,1627578000,13.95,13.95,13.95,13.95,13,0,309
2021-07-29 17:30:00,1627579800,13.95,13.95,13.92,13.94,29,1,361
2021-07-30 10:00:00,1627639200,13.94,14.19,13.64,14.07,160,0,2956
2021-07-30 10:30:00,1627641000,14.07,14.07,13.81,13.82,79,1,1281
2021-07-30 11:00:00,1627642800,13.82,13.91,13.73,13.9,49,1,761
2021-07-30 11:30:00,1627644600,13.92,13.97,13.9,13.92,67,1,1650
2021-07-30 12:00:00,1627646400,13.9,14.0,13.8,14.0,65,1,1293
2021-07-30 12:30:00,1627648200,14.01,14.01,13.8,13.86,47,1,698
2021-07-30 13:00:00,1627650000,13.9,13.92,13.83,13.83,26,1,624
2021-07-30 13:30:00,1627651800,13.87,13.92,13.8,13.87,40,1,900
2021-07-30 14:00:00,1627653600,13.82,14.03,13.8,13.99,51,1,1157
2021-07-30 14:30:00,1627655400,13.95,14.18,13.8,14.18,96,1,2287
2021-07-30 15:00:00,1627657200,14.19,14.2,13.86,13.9,52,1,1166
2021-07-30 15:30:00,1627659000,13.91,13.95,13.8,13.81,50,1,862
2021-07-30 16:00:00,1627660800,13.81,13.91,13.8,13.84,50,1,697
2021-07-30 16:30:00,1627662600,13.9,14.0,13.81,14.0,39,1,1079
2021-07-30 17:00:00,1627664400,14.05,14.05,14.05,14.05,5,0,60
2021-07-30 17:30:00,1627666200,14.04,14.05,13.94,14.05,13,1,288
2021-08-02 10:00:00,1627898400,14.0,14.3,13.81,13.86,117,0,2785
2021-08-02 10:30:00,1627900200,13.82,14.0,13.82,13.9,50,1,1118
2021-08-02 11:00:00,1627902000,13.88,14.3,13.87,14.09,96,1,2862
2021-08-02 11:30:00,1627903800,13.94,14.05,13.85,13.92,47,1,666
2021-08-02 12:00:00,1627905600,13.9,13.97,13.8,13.92,44,3,734
