datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-07-29 10:00:00,1627552800,12.87,13.07,12.56,12.75,1744,0,2140300
2021-07-29 10:30:00,1627554600,12.71,12.97,12.57,12.92,1919,1,1068700
2021-07-29 11:00:00,1627556400,12.92,13.64,12.86,13.59,2669,1,2248700
2021-07-29 11:30:00,1627558200,13.59,13.59,13.35,13.4,660,1,558000
2021-07-29 12:00:00,1627560000,13.4,13.4,13.11,13.27,1120,1,854200
2021-07-29 12:30:00,1627561800,13.29,13.37,13.16,13.35,709,1,764300
2021-07-29 13:00:00,1627563600,13.35,13.45,13.3,13.35,346,1,273600
2021-07-29 13:30:00,1627565400,13.35,13.49,13.35,13.42,352,1,278900
2021-07-29 14:00:00,1627567200,13.41,13.54,13.37,13.52,395,1,251400
2021-07-29 14:30:00,1627569000,13.47,13.76,13.47,13.61,775,1,401900
2021-07-29 15:00:00,1627570800,13.61,13.89,13.32,13.45,1312,1,1190600
2021-07-29 15:30:00,1627572600,13.46,13.91,13.42,13.84,1886,1,803200
2021-07-29 16:00:00,1627574400,13.84,14.11,13.73,13.99,2560,1,1018400
2021-07-29 16:30:00,1627576200,14.0,14.06,13.9,13.94,1592,1,596400
2021-07-29 17:00:00,1627578000,13.93,13.93,13.93,13.93,72,0,431400
2021-07-29 17:30:00,1627579800,13.93,13.95,13.93,13.93,25,1,14300
2021-07-30 10:00:00,1627639200,13.89,14.18,13.68,14.07,260,0,103400
2021-07-30 10:30:00,1627641000,14.05,14.05,13.81,13.88,94,1,23100
2021-07-30 11:00:00,1627642800,13.82,13.93,13.75,13.9,311,1,95500
2021-07-30 11:30:00,1627644600,13.92,13.97,13.77,13.87,158,1,26600
2021-07-30 12:00:00,1627646400,13.89,14.1,13.81,14.01,240,1,82400
2021-07-30 12:30:00,1627648200,14.09,14.11,13.78,13.82,295,1,72500
2021-07-30 13:00:00,1627650000,13.82,13.96,13.77,13.84,272,1,38800
2021-07-30 13:30:00,1627651800,13.84,13.98,13.8,13.84,285,1,34100
2021-07-30 14:00:00,1627653600,13.83,14.15,13.78,13.93,401,1,90700
2021-07-30 14:30:00,1627655400,13.92,14.34,13.79,14.14,390,1,90800
2021-07-30 15:00:00,1627657200,14.15,14.19,13.85,13.87,322,1,59900
2021-07-30 15:30:00,1627659000,13.88,14.0,13.72,13.74,264,1,38600
2021-07-30 16:00:00,1627660800,13.8,13.92,13.75,13.81,273,1,40300
2021-07-30 16:30:00,1627662600,13.81,14.06,13.81,14.06,216,1,78200
2021-07-30 17:00:00,1627664400,13.98,13.98,13.98,13.98,39,0,103500
2021-07-30 17:30:00,1627666200,13.98,14.2,13.96,13.98,17,2,28600
2021-08-02 10:00:00,1627898400,13.98,14.32,13.81,13.81,135,0,38100
