datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-28 11:10:00,1154085000,15.46,15.46,15.46,15.46,1,0,100000
2006-08-09 11:05:00,1155121500,17.95,17.95,17.95,17.95,1,0,100000
2006-08-09 12:10:00,1155125400,18.06,18.06,18.06,18.06,2,0,200000
2006-08-09 16:55:00,1155142500,18.06,18.06,18.06,18.06,1,0,100000
2006-08-17 17:00:00,1155834000,18.04,18.04,18.04,18.04,2,0,600000
2006-10-03 14:20:00,1159885200,20.6,20.6,20.6,20.6,1,0,200000
2006-10-13 13:05:00,1160744700,21.45,21.45,21.45,21.45,1,0,200000
2006-10-13 14:15:00,1160748900,21.44,21.44,21.44,21.44,1,0,200000
2006-10-24 12:45:00,1161693900,23.19,23.19,23.19,23.19,1,0,100000
2006-10-30 15:45:00,1162223100,25.42,25.42,25.42,25.42,1,0,100000
2006-11-22 11:50:00,1164196200,25.76,25.76,25.76,25.76,2,0,200000
2006-12-07 15:20:00,1165504800,34.18,34.18,34.18,34.18,1,0,100000
2006-12-27 15:30:00,1167233400,42.07,42.07,42.07,42.07,1,0,100000
2007-01-17 12:10:00,1169035800,38.64,38.64,38.64,38.64,1,0,200000
2007-01-31 13:15:00,1170249300,42.07,42.07,42.07,42.07,1,0,200000
2007-02-15 15:55:00,1171554900,42.93,42.93,42.93,42.93,1,0,100000
2007-03-09 16:00:00,1173456000,50.66,50.66,50.66,50.66,1,0,100000
2007-03-22 11:30:00,1174563000,48.95,48.95,48.95,48.95,2,0,200000
2007-04-02 12:35:00,1175517300,51.53,51.53,51.53,51.53,1,0,300000
2007-04-17 12:30:00,1176813000,51.52,51.52,51.52,51.52,1,0,500000
2007-04-17 12:55:00,1176814500,51.52,51.52,51.52,51.52,1,0,100000
2007-04-26 15:20:00,1177600800,51.52,51.52,51.52,51.52,1,0,100000
2007-04-26 16:25:00,1177604700,51.52,51.52,51.52,51.52,1,0,400000
2007-05-31 11:20:00,1180610400,52.21,52.21,52.21,52.21,2,0,3300000
2007-06-01 11:30:00,1180697400,52.21,52.21,52.21,52.21,1,0,100000
2007-06-04 16:50:00,1180975800,52.21,52.21,52.21,52.21,1,0,100000
2007-06-05 15:05:00,1181055900,52.21,52.21,52.21,52.21,1,0,100000
2007-06-06 16:45:00,1181148300,52.21,52.21,52.21,52.21,1,0,100000
2007-06-08 15:15:00,1181315700,52.21,52.21,52.21,52.21,1,0,100000
2007-06-15 14:45:00,1181918700,52.21,52.21,52.21,52.21,1,0,700000
2007-06-18 15:05:00,1182179100,26.1,26.1,26.1,26.1,2,0,500
2007-06-19 15:30:00,1182267000,26.1,26.1,26.1,26.1,1,0,100
2007-07-06 16:45:00,1183740300,26.1,26.1,26.1,26.1,1,0,300
2007-07-16 15:15:00,1184598900,25.76,25.76,25.76,25.76,1,0,100
2007-07-18 10:05:00,1184753100,26.1,26.1,26.1,26.1,1,0,900
2007-07-19 15:25:00,1184858700,26.1,26.1,26.1,26.1,4,0,2800
2007-07-19 16:30:00,1184862600,26.1,26.1,26.1,26.1,1,0,2000
2007-07-20 11:05:00,1184929500,26.1,26.1,26.1,26.1,3,0,8200
2007-07-20 11:10:00,1184929800,26.1,26.1,26.1,26.1,1,0,100
2007-07-20 11:25:00,1184930700,26.1,26.1,26.1,26.1,1,0,100
2007-07-20 14:00:00,1184940000,26.1,26.1,26.1,26.1,1,0,100
2007-07-20 14:05:00,1184940300,26.1,26.1,26.1,26.1,1,0,100
2007-07-20 15:30:00,1184945400,26.1,26.1,26.1,26.1,1,0,900
2007-08-08 12:15:00,1186575300,26.1,26.1,26.1,26.1,6,0,3600
2007-08-08 12:20:00,1186575600,26.1,26.1,26.1,26.1,1,0,400
2007-08-08 15:25:00,1186586700,26.1,26.1,26.1,26.1,1,0,1000
2007-08-09 10:30:00,1186655400,26.1,26.1,26.1,26.1,1,0,1600
2007-08-09 10:35:00,1186655700,26.1,26.1,26.1,26.1,3,0,5600
2007-08-09 10:40:00,1186656000,26.1,26.1,26.1,26.1,3,0,800
2007-08-09 12:05:00,1186661100,31.77,31.77,31.77,31.77,11,0,43000
2007-08-09 12:10:00,1186661400,34.34,34.34,34.34,34.34,1,0,100
2007-08-09 12:35:00,1186662900,30.97,30.97,30.97,30.97,1,0,500
2007-08-09 16:25:00,1186676700,30.93,30.93,30.93,30.93,1,0,500
2007-08-09 17:05:00,1186679100,30.93,30.93,30.93,30.93,2,0,200
2007-08-17 16:35:00,1187368500,28.77,28.77,28.77,28.77,1,0,5000
2007-08-22 14:00:00,1187791200,30.32,30.32,30.32,30.32,1,0,6800
2007-08-30 15:30:00,1188487800,34.34,34.34,34.34,34.34,1,0,100
2007-09-04 12:05:00,1188907500,34.33,34.33,34.33,34.33,1,0,2000
2007-09-06 11:05:00,1189076700,31.77,31.77,31.77,31.77,1,0,100
2007-09-06 11:35:00,1189078500,31.78,31.78,31.77,31.77,2,0,800
2007-09-27 10:40:00,1190889600,33.06,33.06,33.06,33.06,1,0,100
2007-09-28 16:45:00,1190997900,33.49,33.49,33.49,33.49,1,0,200
2007-10-09 14:00:00,1191938400,33.06,33.06,33.06,33.06,1,0,100
2007-10-09 16:20:00,1191946800,33.49,33.49,33.49,33.49,1,0,100
2007-10-10 13:25:00,1192022700,33.49,33.49,33.49,33.49,1,0,100
2007-10-23 18:00:00,1193162400,33.49,33.49,33.49,33.49,1,0,400
2007-10-29 12:35:00,1193661300,33.49,33.49,33.49,33.49,1,0,400
2007-10-29 15:55:00,1193673300,33.49,33.49,33.49,33.49,1,0,100
2007-10-30 17:25:00,1193765100,33.48,33.48,33.48,33.48,1,0,2000
2007-10-31 11:10:00,1193829000,33.48,33.48,33.48,33.48,1,0,100
2007-11-06 17:50:00,1194371400,33.49,33.49,33.49,33.49,1,0,100
2007-11-09 13:35:00,1194615300,33.49,33.49,33.49,33.49,1,0,100
2007-11-13 16:55:00,1194972900,33.49,33.49,33.49,33.49,1,0,3200
2007-11-28 16:45:00,1196268300,29.79,29.79,29.79,29.79,2,0,700
2007-11-28 17:00:00,1196269200,29.79,29.79,29.79,29.79,2,0,1900
2007-11-29 12:35:00,1196339700,32.63,32.63,32.63,32.63,1,0,100
2007-11-30 11:20:00,1196421600,33.06,33.06,33.06,33.06,1,0,100
2007-12-07 11:30:00,1197027000,33.23,33.32,33.23,33.32,2,0,900
2007-12-10 11:40:00,1197286800,38.21,38.21,38.21,38.21,1,0,100
2007-12-13 14:40:00,1197556800,30.92,30.92,30.92,30.92,2,0,200
2007-12-13 16:25:00,1197563100,33.91,33.91,33.91,33.91,1,0,100
2007-12-13 17:00:00,1197565200,33.91,33.91,33.91,33.91,1,0,100
2007-12-13 17:05:00,1197565500,33.9,33.9,33.9,33.9,1,0,400
2007-12-13 17:20:00,1197566400,32.63,32.63,32.63,32.63,1,0,300
2007-12-26 15:25:00,1198682700,38.64,38.64,38.64,38.64,2,0,200
2007-12-28 11:25:00,1198841100,42.93,42.93,42.93,42.93,1,0,100
2007-12-28 17:50:00,1198864200,46.37,46.37,46.37,46.37,1,0,100
2008-01-08 11:45:00,1199792700,46.37,46.37,46.37,46.37,1,0,3200
