datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-06-06 11:15:00,1181128500,10.54,10.54,10.54,10.54,1,0,500000
2007-06-15 11:00:00,1181905200,11.93,11.93,11.93,11.93,1,0,100000
2007-07-04 16:45:00,1183567500,11.52,11.52,11.52,11.52,1,0,300000
2007-08-07 11:45:00,1186487100,10.61,10.61,10.61,10.61,1,0,100000
2007-08-07 14:15:00,1186496100,10.55,10.55,10.55,10.55,1,0,100000
2007-09-05 15:30:00,1189006200,10.61,10.61,10.61,10.61,1,0,200000
2007-09-06 11:30:00,1189078200,10.76,10.76,10.76,10.76,1,0,100000
2007-09-06 14:15:00,1189088100,10.76,10.76,10.76,10.76,1,0,200000
2007-09-11 10:30:00,1189506600,10.8,10.8,10.8,10.8,1,0,100000
2008-09-05 14:30:00,1220625000,11.11,11.11,11.11,11.11,1,0,100
2008-10-14 16:30:00,1224001800,11.11,11.11,11.11,11.11,1,0,300
2011-08-08 11:00:00,1312801200,16.4,16.4,16.4,16.4,3,0,1000
2012-05-31 11:30:00,1338463800,17.4,17.4,17.4,17.4,1,0,100
2012-09-21 12:15:00,1348229700,21.34,21.34,21.34,21.34,1,0,100
2020-10-30 16:15:00,1604074500,18.2,18.2,18.2,18.2,1,0,100
2020-12-28 17:30:00,1609176600,24.66,24.66,24.66,24.66,2,0,200
2020-12-28 18:00:00,1609178400,27.63,27.63,27.63,27.63,1,0,100
2020-12-29 11:00:00,1609239600,30.02,30.02,30.02,30.02,2,0,400
2020-12-29 12:00:00,1609243200,35.01,35.01,34.98,34.98,3,0,400
2020-12-29 13:00:00,1609246800,40.01,40.01,40.01,40.01,2,0,200
2020-12-29 13:15:00,1609247700,45.0,45.0,45.0,45.0,1,0,100
2020-12-29 13:30:00,1609248600,49.98,49.98,49.98,49.98,1,0,100
2020-12-29 13:45:00,1609249500,51.01,51.01,51.01,51.01,1,0,100
2020-12-29 14:00:00,1609250400,53.0,53.0,53.0,53.0,1,0,100
2020-12-29 14:15:00,1609251300,54.0,54.0,54.0,54.0,1,0,100
2020-12-29 14:45:00,1609253100,54.16,54.16,54.16,54.16,1,0,100
2020-12-29 15:00:00,1609254000,55.26,55.26,55.26,55.26,1,0,100
2020-12-29 16:00:00,1609257600,55.26,55.26,55.26,55.26,1,0,100
2020-12-29 17:45:00,1609263900,69.07,69.07,69.07,69.07,3,0,300
2020-12-29 18:00:00,1609264800,69.07,69.07,69.07,69.07,1,0,100
2020-12-30 11:30:00,1609327800,130.0,131.56,130.0,131.56,3,0,300
2020-12-30 13:15:00,1609334100,133.14,133.14,125.0,125.0,4,0,400
2020-12-30 15:15:00,1609341300,125.0,125.0,125.0,125.0,1,150,100
2020-12-30 15:45:00,1609343100,126.5,127.99,126.5,127.99,2,299,200
2020-12-30 16:00:00,1609344000,128.0,128.0,128.0,128.0,1,4000,100
2020-12-30 16:15:00,1609344900,128.0,128.0,128.0,128.0,2,4000,200
