datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18,1145318400,29.94,30.21,29.94,30.08,7,0,126
2006-04-19,1145404800,30.18,30.27,29.6,29.61,17,0,318
2006-04-20,1145491200,29.97,29.97,29.97,29.97,9,0,173
2006-04-24,1145836800,30.08,30.22,29.36,29.79,18,0,423
2006-04-25,1145923200,29.97,30.07,29.31,29.31,9,0,153
2006-04-26,1146009600,29.7,29.98,29.5,29.98,17,0,344
2006-04-27,1146096000,29.5,29.5,27.51,29.19,64,0,1430
2006-04-28,1146182400,28.74,28.74,28.01,28.06,20,0,664
2006-05-03,1146614400,29.31,30.27,29.11,29.98,22,0,518
2006-05-04,1146700800,30.37,30.47,29.79,30.18,24,0,619
2006-05-05,1146787200,30.16,30.99,29.32,30.99,44,0,1186
2006-05-08,1147046400,31.01,31.95,30.95,31.95,32,0,729
2006-05-09,1147132800,31.71,32.68,31.24,32.68,33,0,805
2006-05-10,1147219200,31.91,33.35,31.91,33.35,22,0,782
2006-05-11,1147305600,32.97,34.11,30.76,30.76,42,0,1163
2006-05-12,1147392000,31.71,31.81,31.52,31.81,8,0,119
2006-05-15,1147651200,31.63,33.39,30.18,31.52,30,0,590
2006-05-16,1147737600,31.71,31.76,30.08,31.21,28,0,431
2006-05-17,1147824000,30.75,30.75,29.17,29.17,17,0,374
2006-05-18,1147910400,29.36,30.74,28.93,29.79,18,0,372
2006-05-19,1147996800,30.08,30.75,29.8,30.42,10,0,259
2006-05-22,1148256000,29.31,31.7,28.07,28.74,23,0,690
2006-05-23,1148342400,28.21,29.29,27.1,27.1,43,0,1256
2006-05-24,1148428800,28.83,28.83,25.57,26.91,7,0,98
2006-05-25,1148515200,27.39,28.82,27.39,28.25,15,0,402
2006-05-26,1148601600,28.54,28.74,28.21,28.49,10,0,251
2006-05-29,1148860800,28.93,28.93,28.35,28.9,13,0,214
2006-05-30,1148947200,28.25,28.25,27.29,27.39,22,0,521
2006-05-31,1149033600,27.87,28.82,27.01,28.82,19,0,386
2006-06-01,1149120000,28.25,28.3,27.55,28.3,15,0,454
2006-06-02,1149206400,28.82,28.83,28.54,28.83,14,0,390
2006-06-05,1149465600,28.8,28.83,28.25,28.25,19,0,344
2006-06-06,1149552000,28.21,28.83,27.59,28.83,11,0,408
2006-06-07,1149638400,27.97,28.82,27.97,28.06,6,0,190
2006-06-08,1149724800,27.39,27.39,25.97,26.24,14,0,388
2006-06-09,1149811200,26.91,27.87,26.91,27.87,7,0,219
2006-06-12,1150070400,27.39,27.97,26.52,27.97,28,0,549
2006-06-13,1150156800,26.04,26.31,25.71,25.71,17,0,307
2006-06-14,1150243200,26.34,26.43,24.75,24.75,18,0,408
2006-06-16,1150416000,26.91,26.91,25.47,25.66,13,0,157
2006-06-19,1150675200,27.62,27.62,25.37,25.47,12,0,359
2006-06-20,1150761600,25.09,25.56,25.08,25.08,19,0,333
2006-06-21,1150848000,25.1,25.76,24.75,25.76,10,0,315
2006-06-22,1150934400,25.56,25.56,24.99,24.99,8,0,134
2006-06-23,1151020800,24.99,25.08,24.6,24.79,14,0,403
2006-06-26,1151280000,24.99,24.99,24.03,24.03,32,0,618
2006-06-27,1151366400,24.99,25.95,24.51,24.6,9,0,163
2006-06-28,1151452800,25.18,25.18,23.83,24.03,25,0,407
2006-06-29,1151539200,23.96,25.55,23.96,25.04,16,0,249
2006-06-30,1151625600,25.18,25.76,24.37,25.6,14,0,460
2006-07-03,1151884800,25.94,27.2,25.32,27.2,25,0,701
2006-07-04,1151971200,27.53,27.86,27.1,27.49,33,0,780
2006-07-05,1152057600,27.86,27.86,26.91,27.73,20,0,591
2006-07-06,1152144000,27.44,27.97,26.91,27.48,22,0,466
2006-07-07,1152230400,27.68,28.16,27.25,28.14,23,0,454
2006-07-10,1152489600,28.14,28.14,27.35,28.01,24,0,361
2006-07-11,1152576000,27.86,28.15,26.63,26.64,21,0,472
2006-07-12,1152662400,28.25,28.25,27.2,27.56,17,0,478
2006-07-13,1152748800,27.39,28.25,27.08,27.29,15,0,368
2006-07-14,1152835200,27.39,27.5,26.05,26.43,17,0,275
2006-07-17,1153094400,27.58,27.58,25.96,26.49,8,0,146
2006-07-18,1153180800,26.33,26.63,25.95,25.95,11,0,347
2006-07-19,1153267200,26.04,28.27,26.04,27.1,7,0,310
2006-07-20,1153353600,27.21,27.84,26.43,26.43,15,0,363
2006-07-21,1153440000,26.43,27.85,25.95,27.85,14,0,171
2006-07-24,1153699200,27.83,27.83,25.95,26.44,20,0,529
2006-07-25,1153785600,27.05,27.05,25.86,26.25,18,0,397
2006-07-26,1153872000,26.72,26.72,26.04,26.04,13,0,417
2006-07-27,1153958400,26.43,26.43,26.04,26.04,25,0,618
2006-07-28,1154044800,26.24,27.19,25.96,25.98,20,0,588
2006-07-31,1154304000,26.43,26.43,25.97,25.97,27,0,781
2006-08-01,1154390400,25.96,26.62,25.56,25.95,21,0,469
2006-08-02,1154476800,26.14,26.76,26.14,26.7,14,0,457
2006-08-03,1154563200,26.3,27.59,26.19,26.91,27,0,715
2006-08-04,1154649600,26.43,27.55,26.38,26.81,18,0,448
2006-08-07,1154908800,26.91,27.59,26.86,27.59,28,0,786
2006-08-08,1154995200,27.39,27.87,27.32,27.32,27,0,842
2006-08-09,1155081600,27.58,28.33,27.58,27.97,34,0,725
2006-08-10,1155168000,27.87,28.83,27.58,27.87,32,0,634
2006-08-11,1155254400,27.68,27.77,27.28,27.77,54,0,1138
2006-08-14,1155513600,27.39,27.39,26.62,26.62,30,0,649
2006-08-15,1155600000,26.67,26.91,26.62,26.91,21,0,369
2006-08-16,1155686400,26.96,27.87,26.86,27.63,38,0,801
2006-08-17,1155772800,27.2,27.2,26.42,26.42,21,0,469
2006-08-18,1155859200,26.62,28.63,25.95,28.62,32,0,559
2006-08-21,1156118400,26.49,26.49,26.14,26.28,20,0,534
2006-08-22,1156204800,26.43,27.39,25.95,26.0,25,0,592
2006-08-23,1156291200,26.28,26.28,25.61,26.22,26,0,616
2006-08-24,1156377600,26.0,26.0,25.76,25.8,24,0,561
