datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-05-17 11:00:00,1147863600,17.91,17.91,17.91,17.91,3,0,80535
2006-05-29 14:00:00,1148911200,19.13,19.13,19.13,19.13,5,0,68192
2006-06-07 13:00:00,1149685200,19.08,19.08,19.08,19.08,2,0,91823
2006-06-23 16:00:00,1151078400,18.38,18.38,18.38,18.38,1,0,2000
2006-08-08 11:00:00,1155034800,19.98,19.98,19.98,19.98,2,0,28472
2006-08-08 14:00:00,1155045600,19.85,19.85,19.85,19.85,1,0,32754
2006-09-13 11:00:00,1158145200,17.98,17.98,17.98,17.98,2,0,14162
2006-09-13 16:00:00,1158163200,19.98,19.98,19.98,19.98,1,0,13363
2006-09-26 13:00:00,1159275600,19.79,19.79,19.79,19.79,3,0,48000
2006-10-05 11:00:00,1160046000,23.09,23.09,23.09,23.09,2,0,32520
2006-10-17 12:00:00,1161086400,23.09,23.09,23.09,23.09,2,0,41667
2006-10-18 12:00:00,1161172800,22.62,22.62,22.62,22.62,2,0,98424
2006-11-28 13:00:00,1164718800,19.32,19.32,19.32,19.32,3,0,98184
2006-11-30 17:00:00,1164906000,19.89,19.89,19.89,19.89,3,0,54283
2006-12-11 15:00:00,1165849200,22.62,22.62,22.62,22.62,2,0,86317
2006-12-20 12:00:00,1166616000,18.1,18.1,18.1,18.1,2,0,10000
2006-12-28 14:00:00,1167314400,21.21,21.21,21.21,21.21,1,0,100
2007-01-02 12:00:00,1167739200,19.79,19.79,19.79,19.79,1,0,8713
2007-02-05 15:00:00,1170687600,22.62,22.62,22.62,22.62,3,0,50565
2007-02-08 12:00:00,1170936000,21.21,21.21,21.21,21.21,2,0,20496
2007-03-07 16:00:00,1173283200,23.09,23.09,23.09,23.09,1,0,1
2007-03-08 14:00:00,1173362400,29.12,29.12,29.12,29.12,1,0,1
2007-03-21 15:00:00,1174489200,23.09,23.09,23.09,23.09,2,0,27402
2007-03-28 15:00:00,1175094000,22.62,22.62,22.62,22.62,2,0,18967
2007-04-03 12:00:00,1175601600,22.63,22.63,22.63,22.63,4,0,40337
2007-04-19 15:00:00,1176994800,23.09,23.09,23.09,23.09,3,0,30000
2007-05-21 12:00:00,1179748800,42.99,42.99,42.99,42.99,1,0,1
2007-06-12 11:00:00,1181646000,39.9,39.9,39.9,39.9,2,0,21000
2007-06-18 17:00:00,1182186000,32.0,32.0,32.0,32.0,3,0,21000
2007-07-06 12:00:00,1183723200,30.0,30.0,30.0,30.0,1,0,1742
2007-07-11 16:00:00,1184169600,32.01,32.01,32.01,32.01,2,0,1742
2007-07-19 16:00:00,1184860800,33.5,33.5,33.5,33.5,2,0,41599
2007-08-03 13:00:00,1186146000,28.0,28.0,28.0,28.0,3,0,30374
2007-08-22 17:00:00,1187802000,30.45,30.45,30.45,30.45,2,0,43
2007-10-11 11:00:00,1192100400,30.5,30.5,30.5,30.5,2,0,36
2007-10-19 17:00:00,1192813200,31.0,31.0,31.0,31.0,1,0,1
2007-10-24 17:00:00,1193245200,31.0,31.0,31.0,31.0,1,0,20
2007-11-23 17:00:00,1195837200,33.0,33.0,33.0,33.0,1,0,1
2007-12-28 15:00:00,1198854000,31.0,31.0,31.0,31.0,1,0,1
2008-02-07 17:00:00,1202403600,26.0,26.0,26.0,26.0,1,0,78
2008-02-08 11:00:00,1202468400,26.0,26.0,26.0,26.0,1,0,69
2008-03-18 10:00:00,1205834400,26.0,26.0,26.0,26.0,3,0,27
2008-04-01 14:00:00,1207058400,28.5,28.5,28.5,28.5,1,0,1
2008-04-02 11:00:00,1207134000,29.0,29.0,29.0,29.0,1,0,1
2008-04-02 13:00:00,1207141200,29.0,29.0,29.0,29.0,3,0,13
2008-04-10 12:00:00,1207828800,35.99,35.99,35.99,35.99,1,0,1
2008-04-28 11:00:00,1209380400,22.0,22.0,22.0,22.0,4,0,75
2008-06-23 16:00:00,1214236800,25.0,25.0,25.0,25.0,3,0,15
2008-07-28 14:00:00,1217253600,28.51,28.51,28.51,28.51,1,0,1
2008-08-25 12:00:00,1219665600,27.6,27.6,27.6,27.6,2,0,40
2008-09-02 11:00:00,1220353200,27.0,27.0,27.0,27.0,2,0,26
2008-09-10 15:00:00,1221058800,27.0,27.0,27.0,27.0,1,0,20
2008-09-11 15:00:00,1221145200,22.68,22.68,22.68,22.68,1,0,49
2008-09-11 16:00:00,1221148800,22.78,22.78,22.78,22.78,1,0,14
2009-08-17 15:00:00,1250521200,30.0,30.0,30.0,30.0,1,0,1
2009-11-09 15:00:00,1257778800,27.12,27.12,27.12,27.12,1,0,40
2009-11-26 17:00:00,1259254800,26.02,26.02,26.02,26.02,1,0,36
2010-10-13 13:00:00,1286974800,34.04,34.04,34.04,34.04,1,0,2
2010-10-28 17:00:00,1288285200,37.9,37.9,37.9,37.9,1,0,20
2010-11-25 14:00:00,1290693600,41.09,41.09,41.09,41.09,1,0,25
2010-12-13 16:00:00,1292256000,40.0,40.0,40.0,40.0,1,0,2
2011-06-13 12:00:00,1307966400,40.52,40.52,40.52,40.52,1,0,10
2011-10-04 14:00:00,1317736800,35.5,35.5,35.5,35.5,6,0,138
2011-10-04 15:00:00,1317740400,35.5,35.5,35.5,35.5,1,0,45
2011-10-04 16:00:00,1317744000,36.0,36.0,36.0,36.0,1,0,10
2012-01-23 16:00:00,1327334400,39.22,39.22,39.22,39.22,1,0,3
2012-06-01 10:00:00,1338544800,38.61,38.61,38.61,38.61,1,0,3
2012-08-29 13:00:00,1346245200,38.6,38.6,38.6,38.6,1,0,30
2012-10-23 13:00:00,1350997200,30.0,30.0,30.0,30.0,1,0,28
2013-04-15 13:00:00,1366030800,34.96,34.96,34.96,34.96,2,0,28
2013-04-16 13:00:00,1366117200,33.77,33.77,32.0,32.0,3,0,19
2013-05-28 12:00:00,1369742400,45.0,45.0,45.0,45.0,1,0,2
2013-08-22 12:00:00,1377172800,30.0,30.0,30.0,30.0,2,0,18
2013-08-29 12:00:00,1377777600,29.22,29.22,29.22,29.22,3,0,71
2013-09-10 14:00:00,1378821600,30.0,31.0,30.0,31.0,5,0,24
2013-09-16 11:00:00,1379329200,34.99,36.99,34.99,36.99,4,0,31
2013-10-28 16:00:00,1382976000,30.01,30.01,30.01,30.01,1,0,9
2013-11-13 17:00:00,1384362000,35.0,35.0,35.0,35.0,1,0,10
2013-11-14 15:00:00,1384441200,35.0,35.0,35.0,35.0,1,0,10
2013-11-18 15:00:00,1384786800,35.01,35.01,35.01,35.01,1,0,2
2014-04-25 12:00:00,1398427200,25.0,25.0,25.0,25.0,3,0,20
2016-09-06 13:00:00,1473166800,35.01,35.01,35.01,35.01,1,1,1
2016-09-19 17:00:00,1474304400,25.0,25.0,25.0,25.0,1,1,1
2017-06-23 16:00:00,1498233600,35.0,35.0,35.0,35.0,1,1,3
