datetime,time,open,high,low,close,tick_volume,spread,real_volume
2017-04-07 10:00:00,1491559200,25.0,25.0,25.0,25.0,1,1,1
2017-04-13 10:30:00,1492079400,16.01,16.01,16.01,16.01,2,1,7
2017-04-13 17:00:00,1492102800,16.0,16.0,16.0,16.0,1,0,2
2017-05-04 16:30:00,1493915400,20.0,20.0,20.0,20.0,1,1,5
2017-09-15 17:00:00,1505494800,26.01,26.01,26.01,26.01,1,1,20
2017-10-04 10:30:00,1507113000,25.0,25.0,25.0,25.0,1,1,4
2017-10-04 12:00:00,1507118400,25.0,25.0,25.0,25.0,1,1,16
2017-10-13 17:00:00,1507914000,26.5,26.5,26.5,26.5,1,1,4
2017-11-07 14:00:00,1510063200,16.81,16.81,16.81,16.81,2,1,51
2017-12-06 13:00:00,1512565200,22.99,22.99,22.99,22.99,2,1,5
2018-01-08 11:00:00,1515409200,14.0,14.0,14.0,14.0,4,1,97
2018-02-06 14:00:00,1517925600,21.0,21.0,21.0,21.0,1,1,30
2018-02-16 18:00:00,1518804000,18.01,18.01,18.01,18.01,1,1,39
2018-04-11 10:00:00,1523440800,18.63,18.63,18.63,18.63,1,1,5
2018-04-26 10:30:00,1524738600,22.0,22.0,22.0,22.0,1,1,5
2018-05-10 13:00:00,1525957200,30.0,30.0,30.0,30.0,1,1,10
2018-05-28 15:30:00,1527521400,23.0,23.0,23.0,23.0,1,1,18
2018-06-01 17:00:00,1527872400,24.5,24.5,24.5,24.5,1,1,40
2018-06-05 14:30:00,1528209000,25.0,25.0,25.0,25.0,1,1,35
2018-06-08 12:30:00,1528461000,25.0,25.0,25.0,25.0,1,1,7
2018-07-03 11:00:00,1530615600,25.0,25.0,25.0,25.0,1,1,10
2018-07-04 14:30:00,1530714600,20.9,20.9,20.9,20.9,1,1,40
2018-07-17 10:30:00,1531823400,25.0,25.0,25.0,25.0,1,1,1
2018-07-23 12:00:00,1532347200,25.0,25.0,25.0,25.0,1,1,1
2018-07-23 14:30:00,1532356200,25.0,25.0,25.0,25.0,1,1,5
2018-07-26 16:00:00,1532620800,25.0,25.0,25.0,25.0,1,1,2
2018-08-20 10:00:00,1534759200,21.22,21.22,21.22,21.22,1,1,10
2018-08-28 11:30:00,1535455800,27.6,27.6,27.6,27.6,2,1,38
2018-08-28 14:00:00,1535464800,30.45,30.45,30.45,30.45,1,1,1
2018-08-28 16:00:00,1535472000,30.0,30.0,30.0,30.0,2,1,9
2018-10-02 14:00:00,1538488800,30.5,30.5,30.5,30.5,1,1,9
2018-10-22 12:30:00,1540211400,30.6,30.6,30.6,30.6,1,2999,20
2018-10-31 14:30:00,1540996200,25.0,25.0,25.0,25.0,1,990,9
2018-11-07 10:00:00,1541584800,29.9,29.9,25.0,25.0,2,0,20
2018-11-19 12:30:00,1542630600,29.95,29.95,29.95,29.95,1,3004,5
2019-01-04 16:30:00,1546619400,34.5,34.5,34.5,34.5,2,0,81
