datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18,1145318400,9.25,9.25,9.25,9.25,1,0,20
2006-04-24,1145836800,8.75,8.75,8.75,8.75,1,0,60000
2006-05-03,1146614400,9.25,9.25,9.25,9.25,1,0,20000
2006-05-15,1147651200,9.0,9.0,9.0,9.0,1,0,1800
2006-06-19,1150675200,8.45,8.45,8.45,8.45,1,0,20000
2006-06-30,1151625600,8.7,8.75,8.7,8.75,2,0,44980
2006-07-27,1153958400,8.05,8.05,8.05,8.05,1,0,20000
2006-07-31,1154304000,8.15,8.15,8.15,8.15,1,0,24700
2006-08-03,1154563200,8.0,8.0,7.06,7.06,2,0,44000
2006-08-08,1154995200,8.85,9.0,8.85,9.0,2,0,38000
2006-08-24,1156377600,9.0,9.0,9.0,9.0,5,0,147820
2006-09-04,1157328000,8.75,8.75,8.75,8.75,1,0,36000
2006-09-13,1158105600,9.1,9.1,9.1,9.1,1,0,20000
2006-10-18,1161129600,9.25,9.25,9.25,9.25,1,0,36000
2006-10-19,1161216000,8.25,8.25,8.25,8.25,1,0,36000
2006-11-06,1162771200,8.25,8.25,8.25,8.25,1,0,2000
2006-11-22,1164153600,8.5,8.5,8.5,8.5,2,0,114900
2006-12-20,1166572800,11.5,11.5,11.5,11.5,1,0,20000
2006-12-21,1166659200,12.5,12.5,12.5,12.5,1,0,80000
2007-01-05,1167955200,12.5,12.5,12.5,12.5,1,0,145820
2007-01-24,1169596800,12.63,12.63,12.63,12.63,1,0,80000
2007-01-26,1169769600,12.63,12.63,12.63,12.63,1,0,80000
2007-01-29,1170028800,13.0,13.0,13.0,13.0,1,0,115380
2007-01-30,1170115200,10.05,10.05,10.05,10.05,1,0,20
2007-01-31,1170201600,12.63,12.63,12.63,12.63,1,0,40000
2007-02-07,1170806400,12.5,12.5,12.5,12.5,1,0,115380
2007-02-26,1172448000,13.7,13.7,13.7,13.7,1,0,127320
2007-02-27,1172534400,12.3,12.3,12.3,12.3,1,0,2680
2007-03-22,1174521600,16.25,16.25,16.25,16.25,1,0,80000
2007-03-26,1174867200,16.25,16.25,16.25,16.25,1,0,100000
2007-03-28,1175040000,16.25,16.25,16.25,16.25,2,0,47000
2007-03-29,1175126400,16.5,16.5,16.5,16.5,1,0,12000
2007-03-30,1175212800,16.5,16.5,16.5,16.5,1,0,3000
2007-04-02,1175472000,16.5,16.5,16.5,16.5,1,0,30720
2007-04-04,1175644800,16.45,16.45,16.45,16.45,1,0,94780
2007-04-05,1175731200,16.45,16.45,16.45,16.45,1,0,43600
2007-04-09,1176076800,16.4,16.4,16.4,16.4,1,0,23200
2007-04-13,1176422400,16.22,16.22,16.22,16.22,1,0,7160
2007-04-17,1176768000,15.5,15.5,15.5,15.5,1,0,98500
2007-04-18,1176854400,16.5,16.5,16.5,16.5,3,0,16360
2007-04-25,1177459200,16.25,16.25,16.25,16.25,1,0,28940
2007-04-27,1177632000,16.45,16.45,16.45,16.45,1,0,40000
2007-05-09,1178668800,16.5,16.5,16.5,16.5,1,0,80000
2007-05-21,1179705600,17.5,17.5,17.5,17.5,1,0,100000
2007-06-05,1181001600,18.5,18.5,18.5,18.5,1,0,100000
2007-06-06,1181088000,18.0,18.0,18.0,18.0,1,0,40000
2007-06-08,1181260800,18.0,18.0,18.0,18.0,1,0,36000
2007-06-11,1181520000,18.0,18.0,18.0,18.0,1,0,26000
2007-06-14,1181779200,13.55,13.55,13.55,13.55,2,0,72000
2007-07-04,1183507200,15.4,15.4,15.4,15.4,1,0,76000
2007-07-11,1184112000,14.25,14.25,14.25,14.25,1,0,144200
2007-07-13,1184284800,14.0,14.0,14.0,14.0,1,0,107440
2007-07-16,1184544000,14.0,14.0,14.0,14.0,1,0,98120
2007-07-19,1184803200,14.5,14.5,14.5,14.5,1,0,188720
2007-07-27,1185494400,15.0,15.0,15.0,15.0,1,0,20
2007-08-07,1186444800,12.25,12.25,12.25,12.25,1,0,44260
2007-08-10,1186704000,12.0,12.0,12.0,12.0,1,0,1000
2007-08-13,1186963200,11.75,11.75,11.75,11.75,1,0,81
2007-08-14,1187049600,12.4,12.4,12.4,12.4,1,0,3
2007-08-20,1187568000,11.48,11.48,11.48,11.48,1,0,59
2007-08-22,1187740800,11.7,11.7,11.7,11.7,1,0,33
2007-08-24,1187913600,12.48,12.48,12.48,12.48,1,0,67
2007-08-28,1188259200,11.7,11.7,11.7,11.7,1,0,28
2007-08-29,1188345600,12.5,12.5,12.5,12.5,1,0,78
2007-09-03,1188777600,12.87,12.87,12.87,12.87,1,0,1
2007-09-17,1189987200,12.2,12.2,12.2,12.2,1,0,76
2007-09-18,1190073600,12.87,12.87,12.87,12.87,1,0,27
2007-09-19,1190160000,15.0,15.0,15.0,15.0,2,0,54
2007-09-20,1190246400,12.5,12.5,12.5,12.5,1,0,94
2007-10-02,1191283200,12.0,12.0,12.0,12.0,1,0,46
2007-10-10,1191974400,12.8,12.8,12.8,12.8,1,0,60
2007-10-18,1192665600,13.75,14.0,13.75,14.0,2,0,106
2007-11-01,1193875200,11.0,11.0,11.0,11.0,1,0,14
2007-11-05,1194220800,15.0,15.0,15.0,15.0,2,0,3
2007-11-06,1194307200,14.0,14.0,12.0,12.0,4,0,86
2007-11-13,1194912000,12.0,12.0,12.0,12.0,1,0,96
2007-11-14,1194998400,12.0,12.0,11.8,11.8,2,0,13
2007-12-06,1196899200,10.11,10.11,10.11,10.11,1,0,5
2008-01-18,1200614400,8.02,8.02,8.02,8.02,2,0,72
2008-01-22,1200960000,8.48,8.48,7.52,7.52,2,0,66
2008-01-23,1201046400,7.52,7.52,7.52,7.52,2,0,72
2008-01-30,1201651200,8.98,8.98,8.98,8.98,1,0,20
2008-02-13,1202860800,7.8,7.8,7.8,7.8,1,0,32
2008-02-19,1203379200,7.6,7.6,7.6,7.6,1,0,8
2008-02-25,1203897600,8.0,8.0,8.0,8.0,1,0,20
2008-03-04,1204588800,7.7,7.7,7.52,7.52,2,0,80
2008-03-06,1204761600,9.0,9.0,9.0,9.0,3,0,80
2008-03-18,1205798400,8.9,8.9,8.9,8.9,1,0,5
2008-03-27,1206576000,8.98,9.48,8.98,9.48,2,0,20
2008-04-01,1207008000,9.0,9.0,9.0,9.0,1,0,36
2008-04-17,1208390400,8.98,8.98,8.98,8.98,1,0,71
2008-04-22,1208822400,8.98,8.98,8.98,8.98,1,0,4
2008-05-05,1209945600,8.98,8.98,8.98,8.98,1,0,1
2008-05-06,1210032000,8.0,8.0,7.02,7.02,5,0,74
