datetime,time,open,high,low,close,tick_volume,spread,real_volume
2013-12-09 10:00:00,1386583200,15.51,15.58,15.04,15.34,601,0,19553
2013-12-09 11:00:00,1386586800,15.4,15.4,15.24,15.36,367,0,8425
2013-12-09 12:00:00,1386590400,15.38,15.41,15.22,15.27,765,0,22088
2013-12-09 13:00:00,1386594000,15.29,15.3,15.25,15.28,80,0,2324
2013-12-09 14:00:00,1386597600,15.27,15.36,15.27,15.28,80,0,2695
2013-12-09 15:00:00,1386601200,15.28,15.34,15.19,15.31,160,0,5341
2013-12-09 16:00:00,1386604800,15.31,15.35,15.25,15.3,174,0,6567
2013-12-09 17:00:00,1386608400,15.33,15.33,15.33,15.33,27,0,774
2013-12-10 10:00:00,1386669600,15.6,15.88,15.58,15.88,11,0,374
2013-12-10 11:00:00,1386673200,15.9,15.95,15.87,15.89,32,0,819
2013-12-10 12:00:00,1386676800,15.84,15.84,15.71,15.77,5,0,197
2013-12-10 13:00:00,1386680400,15.72,15.73,15.72,15.73,7,0,117
2013-12-10 14:00:00,1386684000,15.75,15.84,15.75,15.82,4,0,112
2013-12-10 15:00:00,1386687600,15.8,15.89,15.8,15.82,6,0,219
2013-12-10 16:00:00,1386691200,15.9,15.92,15.84,15.84,17,0,320
2013-12-10 17:00:00,1386694800,15.76,15.76,15.76,15.76,2,0,25
2013-12-11 10:00:00,1386756000,15.94,15.94,15.79,15.79,15,0,627
2013-12-11 11:00:00,1386759600,15.79,15.99,15.79,15.9,23,0,862
2013-12-11 12:00:00,1386763200,15.76,15.79,15.75,15.75,3,0,63
2013-12-11 13:00:00,1386766800,15.74,15.75,15.73,15.75,6,0,150
2013-12-11 14:00:00,1386770400,15.75,15.75,15.75,15.75,2,0,37
2013-12-11 15:00:00,1386774000,15.74,15.74,15.53,15.6,14,0,269
2013-12-11 16:00:00,1386777600,15.69,15.7,15.54,15.63,10,0,311
2013-12-12 10:00:00,1386842400,15.68,15.7,15.68,15.7,2,0,49
2013-12-12 11:00:00,1386846000,15.75,15.75,15.75,15.75,1,0,12
2013-12-12 12:00:00,1386849600,15.66,15.7,15.65,15.66,5,0,150
2013-12-12 13:00:00,1386853200,15.69,15.7,15.61,15.61,6,0,190
2013-12-12 14:00:00,1386856800,15.62,15.7,15.6,15.69,10,0,251
2013-12-12 15:00:00,1386860400,15.64,15.67,15.53,15.55,9,0,407
2013-12-12 16:00:00,1386864000,15.5,15.55,15.5,15.55,9,0,317
2013-12-12 17:00:00,1386867600,15.75,15.75,15.75,15.75,3,0,34
2013-12-13 10:00:00,1386928800,15.45,15.45,15.44,15.44,2,0,24
2013-12-13 11:00:00,1386932400,15.46,15.46,15.34,15.34,7,0,252
2013-12-13 12:00:00,1386936000,15.4,15.4,15.4,15.4,1,0,25
2013-12-13 15:00:00,1386946800,15.3,15.39,15.25,15.34,13,0,446
2013-12-13 16:00:00,1386950400,15.32,15.35,15.26,15.3,7,0,215
2013-12-16 10:00:00,1387188000,15.4,15.4,15.4,15.4,1,0,12
2013-12-16 11:00:00,1387191600,15.45,15.45,15.2,15.21,7,0,402
2013-12-16 12:00:00,1387195200,15.35,15.52,15.31,15.31,8,0,298
2013-12-16 13:00:00,1387198800,15.5,15.5,15.38,15.38,2,0,112
2013-12-16 14:00:00,1387202400,15.3,15.43,15.3,15.43,8,0,311
2013-12-16 15:00:00,1387206000,15.34,15.34,15.3,15.3,2,0,112
2013-12-16 16:00:00,1387209600,15.35,15.36,15.31,15.31,4,0,204
2013-12-17 10:00:00,1387274400,15.25,15.25,15.09,15.09,10,0,250
2013-12-17 11:00:00,1387278000,15.2,15.26,15.06,15.08,15,0,441
2013-12-17 12:00:00,1387281600,15.06,15.06,15.01,15.01,3,0,77
2013-12-17 13:00:00,1387285200,14.97,15.0,14.97,15.0,3,0,76
2013-12-17 14:00:00,1387288800,15.0,15.0,15.0,15.0,2,0,62
2013-12-17 15:00:00,1387292400,14.9,14.9,14.76,14.76,2,0,62
2013-12-17 16:00:00,1387296000,14.9,14.96,14.77,14.96,5,0,159
2013-12-18 10:00:00,1387360800,15.0,15.0,15.0,15.0,1,0,8
2013-12-18 11:00:00,1387364400,14.9,15.0,14.75,14.75,7,0,161
2013-12-18 12:00:00,1387368000,14.76,15.05,14.76,15.05,10,0,255
2013-12-18 14:00:00,1387375200,14.93,15.0,14.93,15.0,8,0,299
2013-12-18 15:00:00,1387378800,15.12,15.12,14.9,14.9,3,0,152
2013-12-18 16:00:00,1387382400,14.95,14.95,14.76,14.76,2,0,96
2013-12-19 10:00:00,1387447200,15.0,15.0,15.0,15.0,1,0,87
2013-12-19 11:00:00,1387450800,14.87,14.87,14.81,14.81,2,0,87
2013-12-19 12:00:00,1387454400,14.86,14.87,14.86,14.87,2,0,106
2013-12-19 13:00:00,1387458000,14.87,15.0,14.87,15.0,9,0,249
2013-12-19 14:00:00,1387461600,14.82,14.82,14.73,14.8,10,0,445
2013-12-19 16:00:00,1387468800,14.89,15.0,14.89,15.0,4,0,183
2013-12-20 10:00:00,1387533600,15.08,15.08,15.08,15.08,1,0,14
2013-12-20 11:00:00,1387537200,15.07,15.07,14.74,14.91,9,0,114
2013-12-20 13:00:00,1387544400,15.0,15.0,15.0,15.0,2,0,50
2013-12-20 14:00:00,1387548000,15.0,15.0,15.0,15.0,1,0,75
2013-12-20 16:00:00,1387555200,14.76,14.76,14.76,14.76,1,0,87
2013-12-23 11:00:00,1387796400,14.75,14.75,14.72,14.72,3,0,78
2013-12-23 12:00:00,1387800000,14.7,14.7,14.5,14.5,2,0,102
