datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-08-19 10:00:00,1629367200,20.35,20.37,20.0,20.36,22,6,356
2021-08-19 11:00:00,1629370800,20.35,20.67,20.32,20.32,13,1,257
2021-08-19 12:00:00,1629374400,20.33,20.49,20.21,20.24,23,1,436
2021-08-19 13:00:00,1629378000,20.33,20.68,20.24,20.68,19,7,246
2021-08-19 14:00:00,1629381600,20.68,20.9,20.43,20.89,9,40,164
2021-08-19 15:00:00,1629385200,20.86,20.99,20.57,20.69,12,22,297
2021-08-19 16:00:00,1629388800,20.46,21.09,20.46,20.46,27,14,892
2021-08-19 17:00:00,1629392400,21.99,21.99,21.99,21.99,7,15,97
2021-08-20 10:00:00,1629453600,20.2,20.99,20.2,20.74,20,1,251
2021-08-20 11:00:00,1629457200,20.75,21.03,20.65,20.65,19,1,536
2021-08-20 12:00:00,1629460800,20.6,20.86,20.53,20.81,26,1,369
2021-08-20 13:00:00,1629464400,20.85,20.85,20.68,20.69,12,3,145
2021-08-20 14:00:00,1629468000,20.94,20.94,20.76,20.79,22,2,222
2021-08-20 15:00:00,1629471600,20.85,21.01,20.84,21.0,24,1,290
2021-08-20 16:00:00,1629475200,20.97,21.06,20.9,20.9,10,2,132
2021-08-20 17:00:00,1629478800,20.74,20.74,20.74,20.74,4,31,148
2021-08-23 10:00:00,1629712800,20.75,21.19,20.5,20.94,27,7,499
2021-08-23 11:00:00,1629716400,20.95,21.15,20.92,20.92,7,8,132
2021-08-23 12:00:00,1629720000,21.13,21.2,20.91,20.99,24,3,338
2021-08-23 13:00:00,1629723600,21.0,21.11,20.91,21.02,18,1,289
2021-08-23 14:00:00,1629727200,20.97,21.15,20.97,21.04,22,2,288
2021-08-23 15:00:00,1629730800,21.02,21.08,20.79,20.92,19,1,152
2021-08-23 16:00:00,1629734400,20.91,20.99,20.78,20.99,22,2,598
2021-08-23 17:00:00,1629738000,21.08,21.08,21.08,21.08,6,12,195
2021-08-24 10:00:00,1629799200,20.74,21.34,20.74,21.23,24,4,470
2021-08-24 11:00:00,1629802800,20.98,21.22,20.93,21.22,24,3,559
2021-08-24 12:00:00,1629806400,21.08,21.23,21.02,21.02,10,7,118
2021-08-24 13:00:00,1629810000,21.07,21.14,21.01,21.08,10,3,191
2021-08-24 14:00:00,1629813600,21.1,21.1,21.07,21.1,4,2,78
2021-08-24 15:00:00,1629817200,21.04,21.14,21.02,21.04,13,2,345
2021-08-24 16:00:00,1629820800,21.03,21.24,21.02,21.11,26,3,848
2021-08-24 17:00:00,1629824400,21.24,21.24,21.01,21.01,13,22,275
2021-08-25 10:00:00,1629885600,21.35,21.42,20.82,21.37,21,3,383
2021-08-25 11:00:00,1629889200,21.37,21.44,21.21,21.26,11,5,210
2021-08-25 12:00:00,1629892800,21.21,21.26,21.13,21.22,14,7,107
2021-08-25 13:00:00,1629896400,21.15,21.22,21.01,21.11,13,5,93
2021-08-25 14:00:00,1629900000,21.12,21.32,21.12,21.12,14,9,107
2021-08-25 15:00:00,1629903600,21.12,21.37,21.12,21.36,23,2,134
2021-08-25 16:00:00,1629907200,21.32,21.56,21.18,21.29,31,6,816
2021-08-25 17:00:00,1629910800,21.58,21.58,21.46,21.46,9,1,160
2021-08-26 10:00:00,1629972000,21.6,21.6,21.21,21.47,13,4,264
2021-08-26 11:00:00,1629975600,21.45,21.49,21.24,21.24,7,3,134
2021-08-26 12:00:00,1629979200,21.25,21.39,20.92,21.22,18,18,406
2021-08-26 13:00:00,1629982800,21.21,21.21,21.02,21.02,4,16,101
2021-08-26 14:00:00,1629986400,21.03,21.19,20.93,20.93,14,3,273
2021-08-26 15:00:00,1629990000,20.9,20.94,20.63,20.94,24,3,474
2021-08-26 16:00:00,1629993600,20.71,20.94,20.62,20.62,18,3,458
2021-08-26 17:00:00,1629997200,20.62,20.62,20.62,20.62,6,31,156
2021-08-27 10:00:00,1630058400,20.63,20.81,20.4,20.65,29,2,460
2021-08-27 11:00:00,1630062000,20.78,20.92,20.64,20.91,13,17,258
2021-08-27 12:00:00,1630065600,20.73,20.9,20.64,20.77,11,17,209
2021-08-27 13:00:00,1630069200,20.64,20.89,20.64,20.76,15,1,216
2021-08-27 14:00:00,1630072800,20.72,20.88,20.72,20.82,14,2,97
2021-08-27 15:00:00,1630076400,20.82,20.84,20.78,20.84,11,1,181
2021-08-27 16:00:00,1630080000,20.83,20.95,20.71,20.81,19,2,678
2021-08-27 17:00:00,1630083600,20.93,21.0,20.79,21.0,4,1,33
