datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-07-19,1184803200,10.32,10.32,10.32,10.32,1,0,20
2007-07-20,1184889600,9.99,9.99,9.99,9.99,1,0,1
2007-07-23,1185148800,9.99,9.99,9.99,9.99,1,0,60
2007-07-30,1185753600,9.99,9.99,8.56,9.89,9,0,160
2007-07-31,1185840000,9.89,10.46,9.51,9.51,5,0,103
2007-08-01,1185926400,9.51,9.51,9.51,9.51,1,0,10
2007-08-02,1186012800,10.37,10.37,10.27,10.27,4,0,110
2007-08-06,1186358400,10.18,10.18,10.18,10.18,2,0,29
2007-08-07,1186444800,9.51,9.51,9.04,9.04,2,0,90
2007-08-08,1186531200,9.04,10.46,9.04,10.32,4,0,138
2007-08-10,1186704000,9.51,9.51,9.51,9.51,2,0,50
2007-08-13,1186963200,9.51,10.37,9.51,9.51,5,0,148
2007-08-17,1187308800,9.51,9.51,9.51,9.51,1,0,10
2007-08-20,1187568000,9.51,9.51,9.51,9.51,1,0,59
2007-08-22,1187740800,10.37,10.37,9.99,10.18,4,0,55
2007-08-23,1187827200,10.03,10.18,10.03,10.18,4,0,114
2007-08-24,1187913600,9.7,9.7,9.7,9.7,1,0,70
2007-08-27,1188172800,9.61,9.61,9.61,9.61,2,0,58
2007-08-29,1188345600,10.32,10.32,10.32,10.32,1,0,70
2007-08-31,1188518400,10.45,10.56,10.45,10.56,2,0,20
2007-09-03,1188777600,9.8,9.8,9.54,9.54,2,0,90
2007-09-04,1188864000,10.56,10.56,10.46,10.46,4,0,230
2007-09-11,1189468800,9.62,9.62,9.62,9.62,1,0,70
2007-09-12,1189555200,10.08,10.08,9.63,9.63,2,0,70
2007-09-13,1189641600,9.71,9.71,9.71,9.71,1,0,50
2007-09-17,1189987200,9.99,9.99,9.71,9.71,3,0,140
2007-09-19,1190160000,9.05,9.05,9.05,9.05,1,0,10
2007-09-24,1190592000,9.32,9.61,9.32,9.61,2,0,80
2007-09-25,1190678400,9.51,9.51,9.51,9.51,1,0,60
2007-09-26,1190764800,9.7,9.7,9.7,9.7,1,0,20
2007-09-27,1190851200,9.7,9.7,9.05,9.05,3,0,100
2007-09-28,1190937600,9.32,9.32,9.32,9.32,1,0,10
2007-10-01,1191196800,9.32,9.32,9.32,9.32,1,0,80
2007-10-03,1191369600,9.24,9.24,9.24,9.24,1,0,90
2007-10-04,1191456000,9.56,9.56,9.24,9.24,3,0,55
2007-10-05,1191542400,9.51,9.51,9.05,9.05,4,0,75
2007-10-08,1191801600,9.05,9.99,9.05,9.99,3,0,140
2007-10-15,1192406400,9.05,9.99,9.05,9.99,4,0,125
2007-10-17,1192579200,9.99,9.99,9.54,9.54,2,0,110
2007-10-18,1192665600,9.99,9.99,9.99,9.99,2,0,40
2007-10-19,1192752000,9.99,9.99,9.99,9.99,1,0,40
2007-10-22,1193011200,9.23,9.23,9.23,9.23,1,0,40
2007-10-25,1193270400,10.18,10.18,9.99,9.99,2,0,50
2007-10-31,1193788800,10.18,10.27,10.18,10.27,4,0,100
2007-11-06,1194307200,9.99,9.99,9.99,9.99,1,0,30
2007-11-09,1194566400,9.77,9.77,9.05,9.32,3,0,110
2007-11-14,1194998400,9.32,9.51,9.32,9.51,2,0,18
2007-11-22,1195689600,10.12,10.12,10.12,10.12,3,0,93
2007-11-26,1196035200,9.27,9.27,9.27,9.27,1,0,82
2007-11-28,1196208000,9.99,9.99,9.05,9.05,4,0,197
2007-11-29,1196294400,9.13,9.13,9.13,9.13,1,0,10
2007-12-06,1196899200,9.61,9.61,9.61,9.61,1,0,90
2007-12-11,1197331200,9.99,10.27,9.23,10.27,3,0,135
2007-12-14,1197590400,9.14,9.14,9.14,9.14,2,0,70
2007-12-18,1197936000,9.37,9.37,9.37,9.37,1,0,36
2007-12-19,1198022400,9.14,9.14,8.56,8.56,3,0,49
2007-12-26,1198627200,8.08,8.08,5.8,8.08,5,0,113
2007-12-27,1198713600,9.7,9.7,8.57,9.32,5,0,84
2007-12-28,1198800000,9.51,9.51,7.61,7.61,7,0,117
2008-01-07,1199664000,9.05,9.05,9.04,9.04,2,0,69
2008-01-08,1199750400,8.66,8.66,8.57,8.57,2,0,31
2008-01-14,1200268800,9.7,9.7,9.7,9.7,1,0,8
2008-01-23,1201046400,8.33,8.33,8.33,8.33,1,0,10
2008-01-29,1201564800,9.42,9.42,9.42,9.42,1,0,10
2008-02-13,1202860800,8.7,8.7,8.37,8.37,2,0,106
2008-02-14,1202947200,8.7,8.7,8.7,8.7,1,0,40
2008-02-19,1203379200,8.09,8.99,8.09,8.99,2,0,61
2008-02-22,1203638400,8.94,8.94,8.94,8.94,1,0,40
2008-02-25,1203897600,10.1,10.1,10.1,10.1,1,0,20
2008-02-26,1203984000,8.66,8.66,8.66,8.66,1,0,67
2008-02-28,1204156800,8.1,8.1,8.1,8.1,1,0,80
2008-03-06,1204761600,8.46,8.46,8.46,8.46,1,0,30
2008-03-11,1205193600,8.55,8.55,8.55,8.55,1,0,90
2008-03-13,1205366400,8.56,8.56,8.56,8.56,2,0,60
2008-03-18,1205798400,8.0,8.0,8.0,8.0,2,0,10
2008-03-28,1206662400,8.21,8.21,7.0,7.0,3,0,60
2008-03-31,1206921600,8.0,8.0,8.0,8.0,1,0,5
2008-04-01,1207008000,7.5,7.5,7.5,7.5,1,0,25
2008-04-02,1207094400,8.0,8.0,8.0,8.0,1,0,90
2008-04-04,1207267200,8.5,8.5,8.5,8.5,2,0,15
2008-04-07,1207526400,8.5,8.5,8.5,8.5,1,0,25
2008-04-11,1207872000,9.7,9.7,8.0,8.0,2,0,80
2008-04-18,1208476800,8.63,8.63,8.63,8.63,1,0,10
2008-05-05,1209945600,8.4,8.4,8.2,8.2,4,0,60
2008-05-06,1210032000,9.0,9.0,9.0,9.0,6,0,35
2008-05-07,1210118400,8.6,8.6,8.5,8.5,2,0,40
2008-05-12,1210550400,8.95,8.95,8.95,8.95,1,0,22
2008-05-16,1210896000,8.8,8.8,8.7,8.7,2,0,73
2008-05-19,1211155200,8.7,8.7,8.7,8.7,1,0,11
2008-05-20,1211241600,8.8,8.8,8.8,8.8,1,0,90
2008-05-26,1211760000,7.6,7.6,7.6,7.6,2,0,70
2008-05-30,1212105600,8.5,8.5,8.5,8.5,2,0,26
2008-06-02,1212364800,8.4,8.4,8.4,8.4,2,0,63
2008-06-03,1212451200,8.01,8.4,8.0,8.4,4,0,90
2008-06-10,1213056000,8.3,8.3,8.3,8.3,1,0,10
2008-06-11,1213142400,8.01,8.01,8.0,8.0,3,0,40
2008-06-16,1213574400,8.0,8.0,8.0,8.0,1,0,10
2008-06-17,1213660800,8.35,8.35,8.35,8.35,1,0,60
2008-06-20,1213920000,8.21,8.21,8.21,8.21,1,0,5
2008-06-23,1214179200,8.21,8.21,8.21,8.21,1,0,18
2008-06-24,1214265600,8.42,8.42,8.42,8.42,1,0,49
2008-06-25,1214352000,8.5,8.5,8.5,8.5,1,0,4
2008-06-26,1214438400,8.5,8.6,8.5,8.6,2,0,70
2008-06-27,1214524800,7.51,7.51,7.51,7.51,1,0,10
2008-07-28,1217203200,8.8,9.9,8.8,9.9,3,0,100
2008-08-14,1218672000,9.3,9.3,9.3,9.3,1,0,58
2008-08-15,1218758400,8.49,8.49,8.49,8.49,1,0,68
2008-08-18,1219017600,7.51,9.9,7.51,9.0,5,0,101
2008-08-28,1219881600,7.51,7.51,7.51,7.51,2,0,90
2008-08-29,1219968000,8.5,8.5,8.5,8.5,2,0,12
2008-09-01,1220227200,9.0,9.0,9.0,9.0,1,0,10
2008-09-03,1220400000,7.8,7.8,7.8,7.8,2,0,50
2008-09-05,1220572800,7.61,7.61,7.61,7.61,1,0,4
2008-09-18,1221696000,7.6,7.6,7.6,7.6,2,0,100
2008-09-23,1222128000,7.6,7.6,7.6,7.6,2,0,40
2008-09-25,1222300800,8.0,8.0,8.0,8.0,1,0,49
2008-10-06,1223251200,6.5,6.5,6.5,6.5,1,0,30
2008-10-14,1223942400,5.5,5.5,5.5,5.5,2,0,99
2008-10-15,1224028800,7.0,7.0,7.0,7.0,1,0,20
2008-10-23,1224720000,5.15,5.15,5.15,5.15,1,0,20
2008-10-31,1225411200,6.78,6.78,6.78,6.78,1,0,22
2008-11-17,1226880000,6.5,6.5,6.0,6.0,4,0,39
2008-11-26,1227657600,5.0,5.0,5.0,5.0,2,0,90
2008-12-01,1228089600,6.2,6.2,6.2,6.2,2,0,37
2008-12-02,1228176000,6.2,6.2,6.2,6.2,1,0,20
2008-12-05,1228435200,6.2,6.2,6.2,6.2,1,0,3
2008-12-09,1228780800,6.5,6.5,6.5,6.5,1,0,5
2008-12-11,1228953600,6.45,6.45,6.45,6.45,1,0,1
2008-12-15,1229299200,6.75,6.75,6.75,6.75,1,0,30
2008-12-16,1229385600,6.77,6.77,6.77,6.77,1,0,2
2008-12-17,1229472000,6.5,6.5,6.5,6.5,2,0,48
2008-12-18,1229558400,7.0,7.0,7.0,7.0,1,0,30
2008-12-22,1229904000,6.7,6.7,6.7,6.7,1,0,3
2008-12-29,1230508800,5.26,5.26,5.26,5.26,1,0,10
2009-01-07,1231286400,6.15,6.15,5.26,5.26,2,0,70
2009-01-14,1231891200,5.4,5.4,5.4,5.4,2,0,89
2009-01-28,1233100800,6.12,6.12,6.12,6.12,2,0,58
2009-02-09,1234137600,5.4,5.4,5.4,5.4,1,0,6
2009-02-11,1234310400,6.23,6.24,6.23,6.24,2,0,23
2009-02-20,1235088000,5.41,5.41,5.41,5.41,1,0,10
2009-03-17,1237248000,6.45,6.45,6.45,6.45,1,0,2
2009-03-19,1237420800,5.5,5.5,5.5,5.5,1,0,20
2009-03-23,1237766400,6.35,6.35,6.35,6.35,1,0,33
2009-03-25,1237939200,6.65,6.65,6.65,6.65,3,0,100
2009-03-31,1238457600,5.8,5.8,5.8,5.8,2,0,80
2009-04-13,1239580800,5.51,5.51,5.51,5.51,1,0,10
2009-04-27,1240790400,7.99,7.99,7.99,7.99,1,0,10
2009-04-29,1240963200,8.5,8.5,8.5,8.5,1,0,20
2009-05-05,1241481600,8.7,8.7,8.7,8.7,1,0,23
2009-05-06,1241568000,8.7,8.7,8.7,8.7,1,0,4
2009-05-07,1241654400,8.7,8.7,8.7,8.7,1,0,15
2009-05-08,1241740800,8.7,8.7,8.7,8.7,1,0,18
2009-05-11,1242000000,7.01,7.01,7.01,7.01,3,0,90
2009-05-12,1242086400,8.49,8.49,8.49,8.49,1,0,20
2009-05-13,1242172800,8.7,8.7,8.7,8.7,1,0,65
2009-05-14,1242259200,9.15,9.15,9.15,9.15,1,0,3
2009-05-15,1242345600,9.08,9.08,9.08,9.08,2,0,70
2009-05-18,1242604800,8.5,8.5,8.5,8.5,1,0,1
2009-05-22,1242950400,9.5,9.5,9.5,9.5,1,0,1
2009-05-26,1243296000,9.5,9.5,9.5,9.5,1,0,29
2009-05-27,1243382400,9.55,9.55,9.55,9.55,1,0,15
2009-06-02,1243900800,9.6,9.6,9.6,9.6,1,0,5
2009-06-03,1243987200,9.0,9.0,9.0,9.0,1,0,30
2009-06-09,1244505600,9.8,9.8,9.8,9.8,2,0,50
2009-06-25,1245888000,9.9,9.9,9.9,9.9,1,0,3
2009-06-26,1245974400,9.85,9.85,9.85,9.85,1,0,5
2009-06-29,1246233600,9.0,9.0,9.0,9.0,1,0,50
2009-07-03,1246579200,9.0,9.0,9.0,9.0,1,0,50
2009-07-08,1247011200,7.5,9.21,7.5,9.21,6,0,108
2009-07-13,1247443200,9.1,9.1,9.1,9.1,1,0,10
2009-07-15,1247616000,9.98,9.98,9.98,9.98,1,0,10
2009-07-21,1248134400,6.51,6.51,6.51,6.51,3,0,22
2009-07-22,1248220800,9.51,9.51,9.51,9.51,1,0,8
2009-07-23,1248307200,9.85,9.85,9.85,9.85,1,0,10
2009-07-27,1248652800,9.2,9.2,9.2,9.2,1,0,4
2009-07-28,1248739200,10.1,10.2,10.1,10.2,2,0,2
2009-07-30,1248912000,10.1,10.1,10.1,10.1,1,0,3
2009-08-04,1249344000,10.0,10.0,10.0,10.0,1,0,49
2009-09-03,1251936000,7.0,10.21,7.0,10.21,2,0,11
2009-09-04,1252022400,10.21,10.21,10.21,10.21,1,0,22
2009-09-08,1252368000,10.0,10.0,10.0,10.0,1,0,2
2009-09-17,1253145600,9.51,9.51,9.51,9.51,1,0,80
2009-09-22,1253577600,9.8,9.8,9.8,9.8,1,0,6
2009-09-23,1253664000,10.17,10.17,10.17,10.17,1,0,48
2009-09-25,1253836800,10.0,10.0,10.0,10.0,1,0,70
2009-09-29,1254182400,10.19,10.19,10.19,10.19,1,0,20
2009-10-06,1254787200,10.01,10.01,10.01,10.01,1,0,40
