datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-04-13 10:20:00,1176459600,19.5,19.65,19.2,19.61,1700,0,70415
2007-04-13 10:25:00,1176459900,19.61,19.76,19.51,19.72,282,0,11424
2007-04-13 10:30:00,1176460200,19.72,19.8,19.72,19.72,85,0,2901
2007-04-13 10:35:00,1176460500,19.73,19.75,19.7,19.71,123,0,5282
2007-04-13 10:40:00,1176460800,19.71,19.8,19.68,19.8,229,0,9654
2007-04-13 10:45:00,1176461100,19.79,19.85,19.72,19.81,71,0,2174
2007-04-13 10:50:00,1176461400,19.81,19.85,19.78,19.84,59,0,2129
2007-04-13 10:55:00,1176461700,19.81,19.82,19.74,19.76,21,0,1182
2007-04-13 11:00:00,1176462000,19.76,19.76,19.69,19.7,24,0,1481
2007-04-13 11:05:00,1176462300,19.71,19.72,19.68,19.69,43,0,1969
2007-04-13 11:10:00,1176462600,19.69,19.73,19.69,19.7,86,0,3895
2007-04-13 11:15:00,1176462900,19.71,19.74,19.7,19.71,93,0,4751
2007-04-13 11:20:00,1176463200,19.71,19.73,19.71,19.71,72,0,1901
2007-04-13 11:25:00,1176463500,19.72,19.74,19.71,19.72,164,0,4774
2007-04-13 11:30:00,1176463800,19.72,19.72,19.71,19.72,65,0,2635
2007-04-13 11:35:00,1176464100,19.72,19.75,19.71,19.75,58,0,2314
2007-04-13 11:40:00,1176464400,19.76,19.77,19.71,19.71,28,0,1257
2007-04-13 11:45:00,1176464700,19.71,19.72,19.71,19.71,29,0,1000
2007-04-13 11:50:00,1176465000,19.71,19.74,19.71,19.71,23,0,889
2007-04-13 11:55:00,1176465300,19.71,19.72,19.71,19.71,15,0,605
2007-04-13 12:00:00,1176465600,19.71,19.71,19.7,19.7,35,0,1455
2007-04-13 12:05:00,1176465900,19.71,19.71,19.69,19.71,16,0,669
2007-04-13 12:10:00,1176466200,19.7,19.71,19.69,19.7,15,0,739
2007-04-13 12:15:00,1176466500,19.69,19.7,19.68,19.69,25,0,1021
2007-04-13 12:20:00,1176466800,19.7,19.71,19.7,19.7,25,0,912
