datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-02-08 10:00:00,1612778400,9.6,9.99,8.76,9.28,9528,0,6075600
2021-02-08 11:00:00,1612782000,9.28,9.29,8.9,9.1,3789,1,1630500
2021-02-08 12:00:00,1612785600,9.11,9.16,8.86,8.92,3398,1,1242700
2021-02-08 13:00:00,1612789200,8.91,9.0,8.91,9.0,1795,1,801600
2021-02-08 14:00:00,1612792800,9.0,9.29,8.96,9.16,2422,1,1025600
2021-02-08 15:00:00,1612796400,9.17,9.17,9.01,9.01,1836,1,547900
2021-02-08 16:00:00,1612800000,9.01,9.07,8.9,8.98,2386,1,856100
2021-02-08 17:00:00,1612803600,8.99,9.21,8.96,9.18,2605,1,1194800
2021-02-08 18:00:00,1612807200,9.04,9.04,9.04,9.04,232,0,715800
2021-02-09 10:00:00,1612864800,9.1,9.29,8.76,8.76,1805,0,1274600
2021-02-09 11:00:00,1612868400,8.76,8.9,8.76,8.85,966,1,414900
2021-02-09 12:00:00,1612872000,8.85,8.89,8.8,8.84,854,1,463700
2021-02-09 13:00:00,1612875600,8.84,8.95,8.8,8.87,889,1,356500
2021-02-09 14:00:00,1612879200,8.86,8.9,8.78,8.86,882,1,599200
2021-02-09 15:00:00,1612882800,8.85,8.85,8.75,8.76,505,1,303100
2021-02-09 16:00:00,1612886400,8.75,8.85,8.68,8.73,960,1,576400
2021-02-09 17:00:00,1612890000,8.72,8.74,8.56,8.7,1439,1,756800
2021-02-09 18:00:00,1612893600,8.7,8.7,8.7,8.7,63,0,203900
2021-02-10 10:00:00,1612951200,8.61,8.63,8.32,8.5,828,0,634000
2021-02-10 11:00:00,1612954800,8.5,8.56,8.5,8.5,354,1,152900
2021-02-10 12:00:00,1612958400,8.5,8.54,8.5,8.5,429,1,165200
2021-02-10 13:00:00,1612962000,8.5,8.51,8.45,8.45,928,1,183000
2021-02-10 14:00:00,1612965600,8.45,8.52,8.4,8.41,929,1,214300
2021-02-10 15:00:00,1612969200,8.41,8.42,8.33,8.36,1331,1,364400
2021-02-10 16:00:00,1612972800,8.36,8.42,8.32,8.4,1358,1,485500
2021-02-10 17:00:00,1612976400,8.39,8.42,8.35,8.39,1223,1,672900
2021-02-10 18:00:00,1612980000,8.5,8.5,8.5,8.5,52,0,332700
2021-02-11 10:00:00,1613037600,8.5,8.6,8.3,8.32,212,1,75500
2021-02-11 11:00:00,1613041200,8.32,8.42,8.3,8.42,190,1,75400
2021-02-11 12:00:00,1613044800,8.42,8.49,8.33,8.4,332,1,101100
2021-02-11 13:00:00,1613048400,8.42,8.45,8.35,8.36,619,1,235100
2021-02-11 14:00:00,1613052000,8.36,8.4,8.33,8.36,647,1,505200
2021-02-11 15:00:00,1613055600,8.36,8.36,8.31,8.34,281,1,101500
2021-02-11 16:00:00,1613059200,8.34,8.39,8.33,8.36,508,1,257400
2021-02-11 17:00:00,1613062800,8.37,8.46,8.35,8.43,454,1,192800
2021-02-11 18:00:00,1613066400,8.4,8.4,8.4,8.4,53,0,102600
2021-02-12 10:00:00,1613124000,8.42,8.42,8.2,8.3,227,1,88500
2021-02-12 11:00:00,1613127600,8.3,8.38,8.28,8.36,200,1,94800
2021-02-12 12:00:00,1613131200,8.36,8.39,8.22,8.31,688,1,846300
2021-02-12 13:00:00,1613134800,8.31,8.38,8.31,8.33,455,1,85400
2021-02-12 14:00:00,1613138400,8.33,8.39,8.31,8.35,573,1,75600
2021-02-12 15:00:00,1613142000,8.35,8.36,8.33,8.34,621,1,82900
2021-02-12 16:00:00,1613145600,8.35,8.36,8.31,8.33,687,1,138100
2021-02-12 17:00:00,1613149200,8.31,8.45,8.3,8.4,563,1,157800
2021-02-12 18:00:00,1613152800,8.39,8.39,8.39,8.39,21,0,65400
2021-02-17 13:00:00,1613566800,8.6,9.18,8.4,8.77,564,0,315100
2021-02-17 14:00:00,1613570400,8.76,8.82,8.53,8.6,582,1,205400
2021-02-17 15:00:00,1613574000,8.58,8.71,8.5,8.53,481,1,118100
2021-02-17 16:00:00,1613577600,8.56,8.72,8.51,8.65,509,1,216200
2021-02-17 17:00:00,1613581200,8.65,8.85,8.63,8.85,605,1,282500
2021-02-17 18:00:00,1613584800,8.7,8.7,8.7,8.7,33,0,36500
2021-02-18 10:00:00,1613642400,8.85,8.97,8.55,8.62,203,0,98800
2021-02-18 11:00:00,1613646000,8.63,8.63,8.55,8.56,93,1,46400
2021-02-18 12:00:00,1613649600,8.56,8.68,8.51,8.63,100,0,27100
2021-02-18 13:00:00,1613653200,8.69,8.7,8.6,8.62,95,1,20900
2021-02-18 14:00:00,1613656800,8.67,8.7,8.56,8.68,103,1,23200
2021-02-18 15:00:00,1613660400,8.69,8.69,8.62,8.66,105,1,17400
2021-02-18 16:00:00,1613664000,8.66,8.85,8.57,8.77,311,1,135400
2021-02-18 17:00:00,1613667600,8.77,8.94,8.74,8.82,254,1,119800
2021-02-18 18:00:00,1613671200,8.9,8.9,8.9,8.9,67,0,167500
2021-02-19 10:00:00,1613728800,8.74,8.96,8.72,8.95,127,1,75300
2021-02-19 11:00:00,1613732400,8.95,8.99,8.81,8.82,102,1,48200
2021-02-19 12:00:00,1613736000,8.83,8.87,8.82,8.84,49,1,14100
2021-02-19 13:00:00,1613739600,8.87,8.89,8.84,8.85,98,1,25600
