datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-03 10:00:00,1151920800,0.61,0.62,0.61,0.62,37,0,150000
2006-07-03 11:00:00,1151924400,0.62,0.62,0.61,0.62,42,0,99000
2006-07-03 12:00:00,1151928000,0.62,0.62,0.62,0.62,40,0,383000
2006-07-03 13:00:00,1151931600,0.62,0.62,0.62,0.62,27,0,146000
2006-07-03 14:00:00,1151935200,0.62,0.62,0.62,0.62,10,0,19000
2006-07-03 15:00:00,1151938800,0.62,0.62,0.62,0.62,11,0,59000
2006-07-03 16:00:00,1151942400,0.62,0.62,0.62,0.62,13,0,24000
2006-07-03 17:00:00,1151946000,0.61,0.61,0.61,0.61,8,0,25000
2006-07-04 10:00:00,1152007200,0.62,0.63,0.62,0.63,36,0,69000
2006-07-04 11:00:00,1152010800,0.62,0.62,0.62,0.62,16,0,31000
2006-07-04 12:00:00,1152014400,0.62,0.63,0.62,0.63,13,0,25000
2006-07-04 13:00:00,1152018000,0.62,0.62,0.62,0.62,4,0,6000
2006-07-04 14:00:00,1152021600,0.62,0.62,0.62,0.62,9,0,19000
2006-07-04 15:00:00,1152025200,0.62,0.62,0.61,0.61,10,0,38000
2006-07-04 16:00:00,1152028800,0.61,0.62,0.61,0.62,8,0,31000
2006-07-05 10:00:00,1152093600,0.61,0.61,0.61,0.61,20,0,50000
2006-07-05 11:00:00,1152097200,0.61,0.61,0.59,0.61,43,0,116000
2006-07-05 12:00:00,1152100800,0.61,0.61,0.61,0.61,11,0,15000
2006-07-05 13:00:00,1152104400,0.61,0.61,0.61,0.61,10,0,37000
2006-07-05 14:00:00,1152108000,0.61,0.61,0.61,0.61,34,0,209000
2006-07-05 15:00:00,1152111600,0.61,0.62,0.61,0.61,27,0,122000
2006-07-05 16:00:00,1152115200,0.61,0.61,0.59,0.6,51,0,223000
2006-07-05 17:00:00,1152118800,0.6,0.6,0.6,0.6,8,0,186000
2006-07-06 10:00:00,1152180000,0.61,0.61,0.61,0.61,19,0,76000
2006-07-06 11:00:00,1152183600,0.61,0.61,0.61,0.61,27,0,99000
2006-07-06 12:00:00,1152187200,0.61,0.61,0.6,0.61,38,0,150000
